decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,ExchangeBlockchain and crypto asset exchangeAcademyBlockchain and crypto educationLearn & EarnEarn free crypto through learningCharityPowering blockchain for goodCloudEnterprise exchange solutionsDEXFast and secure decentralized digital asset exchangeLabsIncubator for top blockchain projectsLaunchpadToken Launch PlatformResearchInstitutional-grade analysis and reportsTrust WalletBinance's official crypto walletBinance Gift CardCustomizable crypto gift cardBinance Live,472,<error>,<error>
,,-1.0,0,,"Bringing blockchain broadcasts to you liveBABTVerified user credentials for the Web3 eraDeFi WalletMeet the next-generation Web3 walletBuy CryptoPay withTradeBinance ConvertThe easiest way to tradeSpotTrade crypto with advanced toolsMarginIncrease your profits with leverageStrategy TradingTrading made easy, trade like a proP2PBank transfer and 100+ optionsSwap FarmingSwap to earn BNBFan TokenUpgrade your fan experienceBinance OTCOTC liquidity and execution servicesDerivativesUSDⓈ-M Futures",494,<error>,<error>
,,-1.0,0,,"Perpetual or Quarterly Contracts settled in USDT or BUSDCOIN-M FuturesPerpetual or Quarterly Contracts settled in CryptocurrencyOptionsBuy and Sell European-style Options.Leveraged TokensEnjoy increased leverage without risk of liquidationLeaderboardExclusive ranking for Binance traders, follow top traders' strategiesBinance Futures OverviewView our full range of crypto-derivative instrumentsFutures MarketsView trends and opportunities in the Futures Markets before tradingResponsible Trading",496,<error>,<error>
,,-1.0,0,,"Learn how you could practice responsible trading with Binance FuturesBlogExpand your knowledge and get the latest insights in Derivatives TradingVIP PortalVIP Exclusive, Tailor-made Institutional Grade ServicesEarnBinance EarnOne-stop Investment SolutionLaunchpadToken Launch PlatformSimple EarnEarn daily rewards on your idle tokensDeFi StakingEasy Access to DeFi OpportunitiesBNB VaultEarn Multi-benefits with BNBDual InvestmentCommit your crypto holdings and enjoy high returnsLiquidity Farming",497,<error>,<error>
,,-1.0,0,,"Add liquidity and earn doubleAuto-InvestnewAccumulate crypto on autopilotBinance PoolMine more rewards by connecting to the poolETH 2.0One click staking, rewards paid dailyRange BoundnewEarn high rewards when the market moves sidewaysFinanceBinance CardConvert and pay with crypto worldwideCrypto LoansGet an instant loan secured by crypto assetsBinance PaySend and spend crypto at zero feesBinance Gift CardCustomizable crypto gift cardNFTInstitutionalInstitutional Home",471,<error>,<error>
,,-1.0,0,,Premium digital asset solutions for institutionsLinkConnect and grow with Binance liquidity solutionsAsset Management SolutionsDiscover various asset management solutionsVIP PortalOne-stop station made for VIP and institutionsCustodySecure digital assets with leading infrastructureVIP LoanBespoke institutional loan with wide coverageAPIsUnlimited opportunities with one keyHistorical Market DataYour all-in-one trading data repositoryExecution & OTC ServicesExecution & OTC ServicesFeedUSD,491,<error>,<error>
Privacy Notice - Binance,Privacy Notice - Binance,100.0,3045,main,Privacy Notice - Binance,24,<generic>,<other>
Last updated: 28 March 2023,Last updated: 28 March 2023,100.0,3070,sub,"Last updated: 28 March 2023Binance (“Binance”, “we”, or “us”) is committed to protecting the privacy of our customers, and we take our data protection responsibilities with the utmost seriousness.This Privacy Notice describes how Binance collects and processes your personal information through the Binance websites and applications that are referenced in this Privacy Notice. Binance refers to an ecosystem comprising Binance websites (whose domain names include but are not limited towww.binance.com/en",504,<change>,<other>
Last updated: 28 March 2023,Last updated: 28 March 2023,100.0,3070,sub,"), mobile applications, clients, applets and other applications that are developed to offer Binance Services, and includes independently-operated platforms, websites and clients within the ecosystem (e.g., Binance’s Open Platform, Binance Launchpad, Binance Labs, Binance Charity, Binance DEX, Binance X, JEX, and fiat gateways). “Binance Operators” refer to all parties that run Binance, including but not limited to legal persons, unincorporated organizations and teams that provide Binance Services and are responsible for such services. “Binance” as used in this Privacy Notice includes Binance Operators.",609,<change>,<other>
Last updated: 28 March 2023,Last updated: 28 March 2023,100.0,3070,sub,"This Privacy Notice applies to all Personal Information processing activities carried out by us, across platforms, websites, and departments of Binance and Binance Operators.To the extent that you are a customer or user of our services, this Privacy Notice applies together with any terms of business and other contractual documents, including but not limited to any agreements we may have with you.",399,<change>,<other>
Last updated: 28 March 2023,Last updated: 28 March 2023,100.0,3070,sub,"To the extent that you are not a relevant stakeholder, customer, or user of our services, but are using our website, this Privacy Notice also applies to you together with our Cookie Notice.This Notice should therefore be read together with our Cookie Notice, which provides further details on our use of cookies on the website. Our Cookie Notice can be accessedhere.",366,<change>,<other>
1. Binance Relationship with you,1. Binance Relationship with you,100.0,4959,main,"1. Binance Relationship with youWhere you resideServices ProvidedYour operating entityContact addressFranceDigital Asset Services ProviderBinance France SAS17 rue de la Vanne 92129, Montrouge, France.ItalyDigital Asset Services ProviderBinance Italy S.R.LVia  Generale  Francesco Poli, 31, 73100, Lecce, Lecce, Italy.SpainVirtual Assets Services ProviderBinance Spain SLC/ Don Ramón de la Cruz, 38, 28001, Madrid, Spain.SwedenFinancial InstitutionBinance Nordics ABMailbox 625, 114 11 Stockholm Sverige.Poland",509,<generic>,<other>
1. Binance Relationship with you,1. Binance Relationship with you,100.0,4959,main,"Digital Asset ServicesBinance Poland Spółka z Ograniczoną OdpowiedzialnościąUl. Aleje Ujazdowskie, No. 41, apt., locality Warsaw, 00-540, Poland.The Binance operating entity you contract with determines the means and purposes of processing of your personal information in relation to the services provided to you (typically referred to as a “data controller”).  For most jurisdictions in the European Economic Area, this is Binance (Services) Holdings Limited, a company registered at 6th Floor, South Bank House, Barrow Street, 4 Dublin, Ireland.",547,<generic>,<other>
1. Binance Relationship with you,1. Binance Relationship with you,100.0,4959,main,"If you reside in France, Italy, Spain, Sweden or Poland then the relevant data controller is Binance (Service) Holdings Limited as joint controller with the Binance entity referenced in the table above for your country of residence. In these cases, Binance (Service) Holdings Limited is the joint controller with primary responsibility for your personal information, including providing you with information and responding to any requests you may make under data protection law.You may be asked to provide personal information when you are in contact with any Binance companies. The Binance companies may share your personal information with each other and if they do so they will use it consistently with this Privacy Notice.",726,<generic>,<other>
2. What Personal Information does Binance collect and process?,2. What Personal Information does Binance collect and process?,100.0,6768,main,"2. What Personal Information does Binance collect and process?Personal information is data that identifies an individual or relates to an identifiable individual. This includes information you provide to us, information which is collected about you automatically, and information we obtain from third parties.",309,<first>,<what>
Information you provide to us.,Information you provide to us.,100.0,7079,sub,"Information you provide to us. To open an account and access our services, we'll ask you to provide us with some information about yourself. This information is either required by law (     e.g., to verify your identity and comply with “Know Your Customer” obligations), necessary to provide the requested services (e.g., you will need to provide your email address in order to open your account), or is relevant for certain specified purposes, described in greater detail below. In some cases, if we add services and features you may be asked to provide us with additional information.",586,<first>,<how-gathered>
Information you provide to us.,Information you provide to us.,100.0,7079,sub,Failure in providing the data required implies that Binance will not be able to offer you our services.We may collect the following types of information from you:,162,<first>,<how-gathered>
Category of Personal Information,Category of Personal Information,100.0,7830,sub,Category of Personal Information,32,<first>,<what>
Types of Personal Information,Types of Personal Information,100.0,7863,sub,Types of Personal Information,29,<first>,<what>
Personal Identification Information.,Personal Identification Information.,100.0,7893,sub,"Personal Identification Information.Full name, e-mail address, gender, home address, phone address, phone number, date of birth, nationality, signature, utility bills, photographs, and a video recording of you",209,<first>,<what>
Sensitive and Biometric Personal Information,Sensitive and Biometric Personal Information,100.0,8104,sub,"Sensitive and Biometric Personal InformationBinance may also collect sensitive personal information when permitted by local law or with your consent, such as biometric information, for example to verify your identity by comparing the facial scan data extracted from your selfie or video with the photo in your government issued identity document",345,<first>,<what>
