decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy for Applications,Privacy Policy for Applications,100.0,0,main,Privacy Policy for Applications | Speech BlubsSpeech Blubsby Blub BlubStart TalkingParent's AcademyAssessmentTestimonialsResearchSign inSettingsSign outSign inMy profileSettingsSign outStart TalkingBack to Terms & PoliciesPrivacy Policy for WebsiteCookie PolicyPrivacy Policy for ApplicationsEnd User License AgreementTerms of WebsiteBack to School Giveaway for Teachers & SLPsRefund PolicyBLUB BLUB FEBRUARY 2023 TIKTOK GIVEAWAY CONTEST RULESSelect legalPrivacy Policy for WebsiteCookie Policy,494,<generic>,<other>
Privacy Policy for Applications,Privacy Policy for Applications,100.0,0,main,Privacy Policy for ApplicationsEnd User License AgreementTerms of WebsiteBack to School Giveaway for Teachers & SLPsRefund PolicyBLUB BLUB FEBRUARY 2023 TIKTOK GIVEAWAY CONTEST RULESPrivacy Policy for Applications,213,<generic>,<other>
1 ABOUT THIS PRIVACY POLICY,1 ABOUT THIS PRIVACY POLICY,100.0,742,main,1 ABOUT THIS PRIVACY POLICY,27,<generic>,<other>
1 ABOUT THIS PRIVACY POLICY,1 ABOUT THIS PRIVACY POLICY,100.0,742,main,"Blub Blub Inc., having its registered address at 3500 South DuPont Highway, Suite AT-101, 19901 Dover, County of Kent, Delaware, United States (hereinafter referred to as “Blub Blub”, “we”, or “us”) respects the privacy of its users, both parents and children (hereinafter referred to as “you” or “user”). We believe that  it is important for you to make informed decisions regarding the use of our applications based on your understanding of what information we collect through the use of our applications, what we do with such information, how we process it, with whom do we share it, as well as your rights and choices regarding your information processed by us. Therefore, we have provided this privacy policy (hereinafter referred to as “Privacy Policy”) which further describes our privacy practices while you use our applications.",837,<generic>,<other>
1 ABOUT THIS PRIVACY POLICY,1 ABOUT THIS PRIVACY POLICY,100.0,742,main,This Privacy Policy is part of and incorporated by reference into the End User License Agreement (https://speechblubs.com/legal/end-user-license-agreement/) governing the use of all Blub Blub Applications (hereinafter referred to as “Application”).We recommend that you read this Privacy Policy in full to ensure you are fully informed.,336,<generic>,<other>
2 TYPES OF INFORMATION WE COLLECT,2 TYPES OF INFORMATION WE COLLECT,100.0,1948,main,"2 TYPES OF INFORMATION WE COLLECTWe may collect different categories of information from you, either personal or ",113,<first>,<what>
Non-personal information,non-personal information,100.0,2062,sub,non-,4,<first>,<what>
Personal information,personal information,100.0,2066,sub,"personal information, as defined below and depending on the nature of your interaction with the Application, all as detailed below.Non-personal information",155,<first>,<what>
Personal information,personal information,100.0,2066,sub,"is information that may be made available or gathered through your use of the Application and may include your aggregated usage information and technical information transmitted by your device, including certain software and hardware information such as: device brand, screen size, type of operating system, type of device, language preference, the time and date you access our Application, your actions within our Application (e.g., registration, pages viewed, etc.), the URLs from which you were directed to our Application, search queries within our Application, etc., and approximate geo-location (country). To clarify, based on this type of information we are not aware of your identity.",692,<first>,<what>
Personal information,personal information,100.0,2066,sub,"Personal informationis individually identifiable information, namely information that identifies an individual or mat with reasonable effort identifies an individual. Personal information includes information voluntarily provided by you as well as certain identifiers, such as internet protocol (hereinafter referred to as »IP«) address.",337,<first>,<what>
Personal information,personal information,100.0,2066,sub,"You are not required by law to provide us with certain personal information. You can always refuse to provide certain personal information, however you acknowledge that such refusal may prevent you from engaging in certain activities within the Application.In the event we combine personal information with non-personal information, the combined information will be treated as personal information for as long as it remains combined.The table below details the information we collect, why and how we use it:",507,<first>,<what>
Personal information,personal information,100.0,2066,sub,"Type of informationHow we use itTo use the application and related activities, you as a parent will be required to sign up fora subscriptionthrough your app store account.We will use this information for the purpose of performing our contract with the parent, and provide access to requested activities within the Application.To create the child(s) »profile« you as a parent will be requested to provide your child’s gender, first name and birth month and year.",461,<first>,<what>
Personal information,personal information,100.0,2066,sub,"We will use such information to personalize the child’s experience, including providing direct access to content that we find to be appropriate and relevant for the child, based on the child’s age and screener report. Gender and name is to make the experience more personal.If youcontact usfor support or other inquiries or if you leave a comment through any means of communication available you will be required to provide us with a valid email address and you may provide us with your name.",492,<first>,<what>
Personal information,personal information,100.0,2066,sub,We will use this information solely for the purpose of responding to your inquiries directly on a one-time basis and providing you with the support you have requested.If you voluntarilysubscribe to our newsletteryou will be asked to provide us with a valid email address. You can unsubscribe at any time using the unsubscribe option within the body of the newsletter or by contacting customer support athi@blubblub.org.,419,<first>,<what>
Personal information,personal information,100.0,2066,sub,"We will use the email address in order to send the information related to our Application and to keep you up to date regarding new products, related news, updates, etc.",168,<first>,<what>
Personal information,personal information,100.0,2066,sub,"If you decide to register through or grant access to a third party social networking or integrated services (hereinafter referred to as “Integrated Service”), such as Facebook, Google or Apple, we may also collect personal information that is already associated with your Integrated Service account. You may also have the option of sharing additional information with Blub Blub through and Integrated Service. If you choose to provide such information, during registration or otherwise, you are giving Blub Blub will treat the information as personal information and will use it in accordance with this Privacy Policy.",618,<first>,<what>
Personal information,personal information,100.0,2066,sub,"We will use this information to personalize your experience while using the Application and to operate, maintain, enhance and provide all features of our Application.IdentifiersWe collect, use and share identifiers solely for the purpose of providing support for the internal operations and/or in compliance with COPPA regulations.Approximate GEO location data.We will use this information solely to determine the user’s country to provide applicable content.",459,<first>,<what>
Personal information,personal information,100.0,2066,sub,"Prior to the Application installation process, you will be requested to provide access permission to your device’s camera, storage, phone use and microphone use.Access is required to use certain features of the Application such as to enable the child to use the camera through the Application and to use face detection feature or voice detection feature. WE WILL NOT SAVE NOR COLLECT ANY VOICE RECORDS OR ANY PHOTOS STORED ON THE DEVICE.",437,<first>,<what>
