decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy of First Words for Baby,Privacy Policy of First Words for Baby,100.0,0,main,Privacy Policy of First Words for BabyPrivacy Policy ofFirst Words for BabyThis Application collects some Personal Data from its Users.This document can be printed for reference by using the print command in the settings of any browser.,236,<generic>,<other>
Policy summary,Policy summary,100.0,241,main,Policy summary,14,<generic>,<other>
Personal Data collected for the following purposes and using the following services:,Personal Data collected for the following purposes and using the following services:,100.0,256,sub,Personal Data collected for the following purposes and using the following services:,84,<first>,<why>
Contacting the User,Contacting the User,100.0,341,sub,Contacting the User,19,<first>,<why>
Contact form,Contact form,100.0,361,sub,Contact formPersonal Data: date of birth; email address; first name,67,<first>,<how-gathered>
Further information about Personal Data,Further information about Personal Data,100.0,430,sub,Further information about Personal Data,39,<generic>,<other>
Push notifications,Push notifications,100.0,470,sub,Push notificationsThis Application may send push notifications to the User.,75,<first>,<how-used>
The Service is directed to children under the age of 13,The Service is directed to children under the age of 13,100.0,547,sub,"The Service is directed to children under the age of 13This Application is directed to children under the age of 13. It doesn't require the child to disclose any more information than is reasonably necessary to participate in its activity.Parents may review the personal information about their child collected by this Application - if any - outlined in the rest of this policy, ask for its deletion and request any further collection or use to be omitted by contacting the Owner. Parents may also agree to the collection and use of their childâ€™s information, but still not allow disclosure to third parties, unless disclosure is integral to the Service.",656,<audience>,<other>
Contact information,Contact information,100.0,1206,main,Contact information,19,<contact>,<other>
Owner and Data Controller,Owner and Data Controller,100.0,1226,sub,Owner and Data ControllerPapumba S.R.LOwner contact email:info@papumba.com,74,<contact>,<other>
Full policy,Full policy,100.0,1304,main,Full policy,11,<generic>,<other>
Owner and Data Controller,Owner and Data Controller,100.0,1316,sub,Owner and Data ControllerPapumba S.R.LOwner contact email:info@papumba.com,74,<contact>,<other>
Types of Data collected,Types of Data collected,100.0,1394,sub,"Types of Data collectedAmong the types of Personal Data that this Application collects, by itself or through third parties, there are:      first name; date of birth; email address.Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.Personal Data may be freely provided by the User, or, in case of Usage Data, collected automatically when using this Application.",501,<first>,<what>
Types of Data collected,Types of Data collected,100.0,1394,sub,"Unless specified otherwise, all Data requested by this Application is mandatory and failure to provide this Data may make it impossible for this Application to provide its services. In cases where this Application specifically states that some Data is not mandatory, Users are free not to communicate this Data without consequences to the availability or the functioning of the Service.Users who are uncertain about which Personal Data is mandatory are welcome to contact the Owner.",482,<first>,<what>
Types of Data collected,Types of Data collected,100.0,1394,sub,"Any use of Cookies â€“ or of other tracking tools â€“ by this Application or by the owners of third-party services used by this Application serves the purpose of providing the Service required by the User, in addition to any other purposes described in the present document and in the Cookie Policy, if available.Users are responsible for any third-party Personal Data obtained, published or shared through this Application and confirm that they have the third party's consent to provide the Data to the Owner.",510,<first>,<what>
Mode and place of processing the Data,Mode and place of processing the Data,100.0,2896,sub,Mode and place of processing the Data,37,<first>,<how-used>
Methods of processing,Methods of processing,100.0,2934,sub,"Methods of processingThe Owner takes appropriate security measures to prevent unauthorized access, disclosure, modification, or unauthorized destruction of the Data.",165,<first>,<how-used>
