decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy - CookpadBy using our services, you agree to ourCookie PolicyandTerms of Service.AcceptGet the AppPrivacy Policy",127,<generic>,<other>
Website and App Privacy Policy,Website and App Privacy Policy,100.0,136,main,Website and App Privacy Policy,30,<generic>,<other>
Last Updated: 1 February 2022,Last Updated: 1 February 2022,100.0,167,main,Last Updated: 1 February 2022,29,<change>,<other>
Contents,Contents,100.0,197,main,Contents,8,<generic>,<other>
1. Overview,1. Overview,100.0,206,main,1. Overview,11,<generic>,<other>
2. What does this Privacy Policy cover?,2. What does this Privacy Policy cover?,100.0,218,main,2. What does this Privacy Policy cover?,39,<generic>,<other>
3. What Personal Information do we collect from you?,3. What Personal Information do we collect from you?,100.0,258,main,3. What Personal Information do we collect from you?4. Cookies5. How do we use Personal Information collected from you?6. Who do we share your Personal Information with?7. Our legal grounds for processing Personal Information8. Where is your Personal Information stored and processed?9. How long do we keep your Personal Information?10. How do we secure your Personal Information?11. What about the privacy of children?12. Changes to this Privacy Policy13. Your rights,468,<first>,<what>
3. What Personal Information do we collect from you?,3. What Personal Information do we collect from you?,100.0,258,main,"14. Contacting us, further questions and how to make a complaint1. OverviewThis is the Website and App Privacy Policy (“Privacy Policy”) of the UK registered branch of Cookpad Inc., a corporation registered at WeWork Ocean Gate Minatomirai, 3-7-1 Yokohama-shi Nishi Ward Minatomirai, Kanagawa, Japan (“Cookpad”",310,<first>,<what>
3. What Personal Information do we collect from you?,3. What Personal Information do we collect from you?,100.0,258,main,") and we are the data controller in respect of the Personal Information (as defined below) that we collect from you.  It covers information Cookpad collects from users and visitors of our official website (“Site”) and official mobile app (“App”).When we use the terms “we”, “us” or “our” we refer to Cookpad and“Our Group”means entities controlling, controlled by or under common control with Cookpad. Learn more about Our Grouphere.",433,<first>,<what>
3. What Personal Information do we collect from you?,3. What Personal Information do we collect from you?,100.0,258,main,"By accessing our Site or App, you confirm that you have read and understood the entirety of this Privacy Policy.You have various rights in respect of our use of your Personal Information as set out in the‘Your Rights’section below.  Two of the fundamental rights to be aware of are that you may:ask us to stop using your Personal Information for direct-marketing by email or push notification.  If you exercise this right, we will stop using your Personal Information in this regard; and",487,<first>,<what>
3. What Personal Information do we collect from you?,3. What Personal Information do we collect from you?,100.0,258,main,"ask us to consider any valid objections you have to our use of your Personal Information where we process your Personal Information on the basis of our, or a third party's, legitimate interests.2. What does this Privacy Policy cover?We process certain information about you visit or when you use our service provided by our Site or App (“Cookpad Service”). Some of that information may enable you to be identifiable (“Personal Information”).",441,<first>,<what>
3. What Personal Information do we collect from you?,3. What Personal Information do we collect from you?,100.0,258,main,"This Privacy Policy explains how we collect, store and use your Personal Information when you visit or use our Site and App. It also describes the types of Personal Information we collect, how we use this Personal Information to ensure we provide a relevant and timely Cookpad Service to you, and to improve your experience of the Cookpad Service.3. What Personal Information do we collect from you?",399,<first>,<what>
Information you submit to us,Information you submit to us,100.0,2837,sub,Information you submit to us,28,<first>,<how-gathered>
Visiting our Site or using our App without registration,Visiting our Site or using our App without registration,100.0,2866,sub,Visiting our Site or using our App without registrationTechnical Information(see below),87,<first>,<when>
