decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,space cleanerSearch this siteSkip to main contentSkip to navigationspace cleaner,80,<error>,<error>
Privacy Policy,Privacy Policy,100.0,85,main,"Privacy PolicyThis SERVICE is provided by space cleaner at no cost and is intended for use as is.This page is used to inform visitors regarding our policies with the collection, use, and disclosure of Personal Information if anyone decided to use our Service.",259,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,85,main,"If you choose to use our Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that we collect is used for providing and improving the Service. We will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at space cleaner unless otherwise defined in this Privacy Policy.",483,<generic>,<other>
Information Collection and Use,Information Collection and Use,100.0,832,main,Information Collection and Use,30,<first>,<how-used>
Information Collection and Use,Information Collection and Use,100.0,832,main,"For a better experience, when you login and use the application, we may require you to provide us with certain personally identifiable information, including but not limited to email address, phone number, social media profile information(such as username), social media account information(such as social graph, photos or videos), online identifiers including Identifier for Vendors (IDFV), Identifier for Advertisers (IDFA) and IP address. When you contact us to seek our customer support, we may obtain and maintain any information you choose to provide, including your username, your email addresses, as well as information about your mobile device such as its device type OS type and any information concerning your use of the Application. In addition, the Application may collect certain information automatically, including, but not limited to, IP address, device ID and information about the way you use the Application.",928,<first>,<how-used>
Information Collection and Use,Information Collection and Use,100.0,832,main,"The WiFi security function will send the WiFi information,including location,to third party security service to check whether its under risk. The information will not be stored on the server after the checking.The app does use third party services that may collect information used to identify you.",298,<first>,<how-used>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,2092,sub,Link to privacy policy of third party service providers used by the app1.   Google Admob & Firebase & Firebase Crashlyticshttps://policies.google.com/privacy?hl=en2.   Unityhttps://unity3d.com/legal/privacy-policy3.   Facebookhttps://www.facebook.com/about/privacy4.   Trustlookhttps://www.trustlook.com/privacy.html5.   AdMobhttps://policies.google.com/privacy?hl=en6.   AppLovinhttps://www.applovin.com/privacy/,413,<third>,<other>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,2092,sub,"The information that we request will be retained by us and used as described in this privacy policy. We may use your personal data to:provide you with a better and more personalized level of service;review your requests, suggestions and complaints regarding our service;send you marketing communications and promotional offers (including push notifications);monitor metrics such as total number of visitors, traffic and demographic patterns;show you ads that are more tailored to your interests;",495,<third>,<other>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,2092,sub,"identify and resolve errors, problems or bugs in our products and services;meet legal and regulatory requirements including compliance with applicable law; respond to requests from public and government authorities, including authorities outside your country of residence and to meet national security or law enforcement requirement.",333,<third>,<other>
Sensitive Personal Information,Sensitive Personal Information,100.0,3354,main,"Sensitive Personal InformationWe will never ask you to send us or submit to the Service any information related to racial or ethnic origin; political opinions or union membership; religious or other beliefs; your health, biometric or genetic information; information about your sexual preference or sexual orientation; or information about your criminal background",364,<first>,<what>
Log Data,Log Data,100.0,3720,main,"Log DataWe want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics.",447,<first>,<what>
Cookies,Cookies,100.0,4169,main,"CookiesCookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.This Service does not use these “cookies” explicitly. However, the app may use third-party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",609,<tracking>,<how-gathered>
