decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyThis page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.If you choose to use our Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that we collect is used for providing and improving the service.We will not use or share your information with anyone except as described in this Privacy Policy.",492,<generic>,<other>
1. Information Collection and Use,1. Information Collection and Use,100.0,496,main,1. Information Collection and Use,33,<first>,<how-used>
"1.1 We collect information (including but not limited to 'Internet') about the product and services that you use and how you use them in order to properly provide the core or important features of our product and service, or to improve our product and service, or to provide additional features to our product (such as socializing functions or value-added services and promotions, etc.).","1.1 We collect information (including but not limited to 'Internet') about the product and services that you use and how you use them in order to properly provide the core or important features of our product and service, or to improve our product and service, or to provide additional features to our product (such as socializing functions or value-added services and promotions, etc.).",100.0,530,sub,"1.1 We collect information (including but not limited to 'Internet') about the product and services that you use and how you use them in order to properly provide the core or important features of our product and service, or to improve our product and service, or to provide additional features to our product (such as socializing functions or value-added services and promotions, etc.).Some of the typical reasons that we collect personal data include:",453,<first>,<why>
"1.1 We collect information (including but not limited to 'Internet') about the product and services that you use and how you use them in order to properly provide the core or important features of our product and service, or to improve our product and service, or to provide additional features to our product (such as socializing functions or value-added services and promotions, etc.).","1.1 We collect information (including but not limited to 'Internet') about the product and services that you use and how you use them in order to properly provide the core or important features of our product and service, or to improve our product and service, or to provide additional features to our product (such as socializing functions or value-added services and promotions, etc.).",100.0,530,sub,"Provide our product and services, including our app and related website (if any), and improve them over time;Allow you to download and purchase products and services;Personalize and manage our relationship with you, including introducing you to products or services that may be of interest to you or to provide customer support;Investigate, respond to, and manage inquiries or events;Work with and respond to law enforcement and regulators;",440,<first>,<why>
"1.1 We collect information (including but not limited to 'Internet') about the product and services that you use and how you use them in order to properly provide the core or important features of our product and service, or to improve our product and service, or to provide additional features to our product (such as socializing functions or value-added services and promotions, etc.).","1.1 We collect information (including but not limited to 'Internet') about the product and services that you use and how you use them in order to properly provide the core or important features of our product and service, or to improve our product and service, or to provide additional features to our product (such as socializing functions or value-added services and promotions, etc.).",100.0,530,sub,"Research matters relating to our prod and business, such as security threats and vulnerabilities, or conducting internal audit, data analysis, and research;",156,<first>,<why>
"1.2 If you do not agree that the information to be collected after your installation or use of the product, you may not be able to continue using the product or services that we provide; for the other types of information, your refusal to provide or optout option may cause you unable to access certain specific features or get the best experience.","1.2 If you do not agree that the information to be collected after your installation or use of the product, you may not be able to continue using the product or services that we provide; for the other types of information, your refusal to provide or optout option may cause you unable to access certain specific features or get the best experience.",100.0,1587,sub,"1.2 If you do not agree that the information to be collected after your installation or use of the product, you may not be able to continue using the product or services that we provide; for the other types of information, your refusal to provide or optout option may cause you unable to access certain specific features or get the best experience.",348,<choice>,<other>
Device information,Device information,100.0,1936,sub,"Device informationWe collect device-specific information (such as your hardware model, operating system version etc).",117,<first>,<what>
Log information,Log information,100.0,2055,sub,"Log informationWhen you use our product and service or view the content provided by us, we automatically collect and store certain information in server logs. This includes: Details of how you used our service, such as your scanning number of junk files.",254,<first>,<what>
Internet Protocol address,Internet Protocol address,100.0,2311,sub,"Internet Protocol addressDevice event information such as crashes, system activity, hardware settings, browser type, the date and time of your request and referral URL.",168,<first>,<what>
Location information,Location information,100.0,2481,sub,"Location informationWhen you use Mission and Cashout features, we may collect and process information about your actual location. We use various technologies to determine location, including IP address, GPS. The collection and use of location information is for knowing the currency of your country and if you refuse to or stop providing it, or we can’t provide any position information at all.",394,<first>,<what>
Information from other source,Information from other source,100.0,2877,sub,"Information from other sourceWe may collect information about you indirectly from other sources and combine that with information we collect through our services where this is necessary to help manage our relationship with you. These other sources may include third party software applications and social media platforms such as Facebook, Google + and Twitter. We will use the information from third parties mentioned above to create an account so you can log in directly.",472,<first>,<how-gathered>
User email information,User email information,100.0,3351,sub,"User email informationSince some in-app functions need to collect your email account information to provide a complete user experience, the application will transmit your email account information to the server in some functions. During the entire data transfer process, your personal information is encrypted for transmission and storage.",339,<first>,<what>
1.3 Permissions on you device,1.3 Permissions on you device,100.0,3692,sub,1.3 Permissions on you device,29,<first>,<how-gathered>
