decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy PolicyYou need to enable JavaScript to run this app.Peloton LogoBikeschevronTreadchevronStrengthchevronRowchevronAppchevronAccessoriesApparel,149,<error>,<error>
PELOTON PRIVACY POLICY,PELOTON PRIVACY POLICY,100.0,164,main,PELOTON PRIVACY POLICY,22,<generic>,<other>
"Last Updated: March 1, 2023","Last Updated: March 1, 2023",100.0,187,main,"Last Updated: March 1, 2023",27,<change>,<other>
Welcome to the Peloton Privacy Policy!,Welcome to the Peloton Privacy Policy!,100.0,215,main,Welcome to the Peloton Privacy Policy!,38,<generic>,<other>
Welcome to the Peloton Privacy Policy!,Welcome to the Peloton Privacy Policy!,100.0,215,main,"Welcome to Peloton Interactive, Inc. (together with our affiliates, ""Peloton"", ""we"", or ""us""). This Privacy Policy is meant to help you understand how we collect, use and share information to operate, improve, develop and help protect our services, or as otherwise outlined in the Policy. This includes how we collect and process your personal information such as when you visit Peloton sites, use any Peloton services including Peloton applications (the ""App"") or fitness equipment (such as the Peloton Bike, Bike+, Tread, Tread+, Guide, or Peloton Row), or when you interact with us via our call centers, customer support service including live chats and e-mail communications, social media channels, studios or retail shops including our showrooms or concession stores as well as other online and offline services we provide (together, the ""Services""). This Privacy Policy applies to our Services except where otherwise noted.",929,<generic>,<other>
Why This Matters,Why This Matters,100.0,1184,main,"Why This MattersPeloton uses technology and design to connect the world through fitness and empowers our members to be the best version of themselves. Our goal with this Privacy Policy is in line with our mission as a Member first company and is intended to empower our Members with the knowledge and understanding of what information Peloton collects, uses and shares transparently.",383,<generic>,<other>
Why This Matters,Why This Matters,100.0,1184,main,"Please be sure to read this entire Privacy Policy before using or submitting information through the Services. By using or submitting information through the Services, you are agreeing to the collection, transfer, manipulation, processing, storage, disclosure and other uses of your personal data as described in this Privacy Policy and to be bound by the terms of this Privacy Policy.",385,<generic>,<other>
Contents,Contents,100.0,1955,main,Contents,8,<generic>,<other>
WHAT PERSONAL INFORMATION WE COLLECT,WHAT PERSONAL INFORMATION WE COLLECT,100.0,1964,main,WHAT PERSONAL INFORMATION WE COLLECTHOW WE USE PERSONAL INFORMATIONWHO WE SHARE YOUR PERSONAL INFORMATION WITHCOOKIES AND SIMILAR TRACKING TECHNOLOGIESFITNESS DATAINTERNATIONAL DATA TRANSFERSYOUR RIGHTSDATA RETENTIONSECURITY OF YOUR INFORMATIONLEGAL BASIS FOR PROCESSINGCHILDREN’S PRIVACYU.S. STATES PRIVACY NOTICEHOW TO CONTACT USUPDATES TO OUR PRIVACY POLICYWHAT PERSONAL INFORMATION WE COLLECTThe personal information that we process about you broadly falls into the following categories:,491,<first>,<what>
Information that you provide to us,Information that you provide to us,100.0,2471,sub,"Information that you provide to us We collect personal data from you when you provide such information, such as when you access, complete and/or use one of our registration forms, interact with our content, contact us with inquiries, respond to one of our surveys, purchase, or use certain Services. If you interact with our Services, you may be asked to provide personal data in order for us to provide the Services as described:",430,<first>,<how-gathered>
Demographic Data,Demographic Data,100.0,2902,sub,Demographic Data. ,18,<first>,<what>
Account Information:,Account Information:,100.0,2921,sub,"Account Information: such as your name, address (including zip code), email, zip code, date of birth and phone number that you provide to us, for example, when you register for any Peloton Services, subscribe for Peloton marketing, communicate with us or register for a test ride.",280,<first>,<what>
Personal Records,Personal Records,100.0,3202,sub,Personal Records. ,18,<first>,<what>
Purchase Information:,Purchase Information:,100.0,3221,sub,"Purchase Information: Payment information (such as your credit card number), order details, delivery information (such as shipping and delivery address) that you provide when you purchase any Peloton Services.",209,<first>,<what>
Account Registration,Account Registration,100.0,3431,sub,Account Registration. ,22,<first>,<how-gathered>
User Profile Information:,User Profile Information:,100.0,3454,sub,"User Profile Information: Any information that you provide to us in connection with your Peloton ""User Profile"", such as demographic data listed above, username, and any additional information you choose to provide to enhance your use of the Services, including your weight, height, gender, general location, tags, image or avatar.",331,<first>,<what>
Content and Context,Content and Context,100.0,3786,sub,Content and Context.,20,<first>,<what>
Voice and Likeness:,Voice and Likeness:,100.0,3808,sub,"Voice and Likeness: Your visual image, likeness and voice recording (e.g., via photographs, video and/or CCTV) if you visit our studios and/or showrooms or participate in live studio classes. Additionally, Peloton fitness equipment and the Peloton App may contain a camera, microphone and voice control features. These features are not used for identification purposes.",369,<first>,<what>
Voice and Likeness:,Voice and Likeness:,100.0,3808,sub,"These features are in use only when activated by you, for example, to use the Peloton Guide, to take a Peloton user profile photo and, for usage of the Peloton App, any device settings that you have activated. We may use your voiceprint to understand your voice commands and, if you opt in, to improve our abilities to understand voice commands in general when you are using Peloton Guide. This data is not used for identification purposes nor is it stored by Peloton but may be shared with Service Providers (defined below) to provide the Services to you.",556,<first>,<what>
Voice and Likeness:,Voice and Likeness:,100.0,3808,sub,Other Services currently do not collect voice or visual recordings at this time.,80,<first>,<what>
User Generated:,User Generated:,100.0,4816,sub,"User Generated: Any content or material you publish or post such as hashtags, photos or videos on our Services.",111,<first>,<what>
Other Providers,Other Providers,100.0,4928,sub,Other Providers. ,17,<first>,<how-gathered>
Partners:,Partners:,100.0,4946,sub,"Partners: We may, with your consent, collect information from your use of other connected devices, including those made by other companies, to interact with our Services, such as activity trackers.",197,<first>,<how-gathered>
Feedback and Support,Feedback and Support,100.0,5144,sub,Feedback and Support. ,22,<first>,<how-gathered>
