decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,LinkedIn ,9,<error>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Privacy PolicySkip to main contentUser AgreementPrivacy PolicyCookie PolicyCopyright PolicyCalifornia Privacy DisclosureUser AgreementPrivacy PolicyCookie PolicyCopyright PolicyCalifornia Privacy DisclosurePrivacy PolicyEffective August 11, 2020Our Privacy Policy has been updated.",281,<generic>,<other>
Your Privacy Matters,Your Privacy Matters,100.0,305,main,"Your Privacy MattersLinkedIn’s mission is to connect the world’s professionals to allow them to be more productive and successful. Central to this mission is our commitment to be transparent about the data we collect about you, how it is used and with whom it is shared.This Privacy Policy applies when you use our Services (described below). We offer our userschoicesabout the data we collect, use and share as described in this Privacy Policy,Cookie Policy, Settings and ourHelp Center.",488,<generic>,<error>
Key Terms,Key Terms,100.0,801,main,Key TermsChoices﻿Settingsare available to Members of LinkedIn and Visitors are provided separate controls.Learn More.,117,<generic>,<other>
Table of Contents,Table of Contents,100.0,925,main,Table of ContentsData We CollectHow We Use Your DataHow We Share InformationYour Choices and ObligationsOther Important Information,131,<generic>,<other>
Introduction,Introduction,100.0,1062,main,IntroductionWe are a social network and online platform for professionals. People use our ,90,<generic>,<other>
Services,Services,100.0,1153,main,"Services to find and be found for business opportunities, to connect with others and find information. Our Privacy Policy applies to any Member orOur registered users (“Members”) share their professional identities, engage with their network, exchange knowledge and professional insights, post and view relevant content, learn and develop skills, and find business and career opportunities. Content and data on some of our Services is viewable to non-members (“Visitors”).",472,<generic>,<other>
Services,Services,100.0,1153,main,"We use the term “Designated Countries” to refer to countries in the European Union (EU), European Economic Area (EEA), and Switzerland.ServicesThis Privacy Policy, including our Cookie Policy applies to your use of our Services.This Privacy Policy applies to LinkedIn.com, LinkedIn-branded apps, LinkedIn Learning and other LinkedIn-related sites, apps, communications and services (“Services”), including off-site Services, such as our ad services and the “Apply with LinkedIn” and “Share with LinkedIn” plugins, but excluding services that state that they are offered under a different privacy policy. For California residents, additional disclosures required by California law may be found in our",699,<generic>,<other>
Services,Services,100.0,1153,main,California Privacy Disclosure.,30,<generic>,<other>
Data Controllers and Contracting Parties,Data Controllers and Contracting Parties,100.0,2362,main,"Data Controllers and Contracting PartiesIf you are in the “Designated Countries”, LinkedIn Ireland Unlimited Company (“LinkedIn Ireland”) will be the controller of your personal data provided to, or collected by or for, or processed in connection with our Services.If you are outside of the Designated Countries, LinkedIn Corporation will be the controller of your personal data provided to, or collected by or for, or processed in connection with, our Services.",462,<region>,<other>
Data Controllers and Contracting Parties,Data Controllers and Contracting Parties,100.0,2362,main,"As a Visitor or Member of our Services, the collection, use and sharing of your personal data is subject to this Privacy Policy and other documents referenced in this Privacy Policy, as well as updates.",202,<region>,<other>
Change,Change,100.0,3030,main,"ChangeChanges to the Privacy Policy apply to your use of our Services after the “effective date.”LinkedIn (“we” or “us”) can modify this Privacy Policy, and if we make material changes to it, we will provide notice through our Services, or by other means, to provide you the opportunity to review the changes before they become effective. If you object to any changes, you mayclose your account.",395,<change>,<other>
Change,Change,100.0,3030,main,"You acknowledge that your continued use of our Services after we publish or send a notice about our changes to this Privacy Policy means that the collection, use and sharing of your personal data is subject to the updated Privacy Policy, as of its effective date.",263,<change>,<other>
1. Data We Collect,1. Data We Collect,100.0,3693,main,1. Data We Collect,18,<first>,<what>
1.1 Data You Provide To Us,1.1 Data You Provide To Us,100.0,3712,sub,1.1 Data You Provide To UsYou provide data to create an account with us.,72,<first>,<how-gathered>
Registration,Registration,100.0,3786,sub,"RegistrationTo create an account you need to provide data including your name, email address and/or mobile number, and a password. If you register for a premium Service, you will need to provide payment (e.g., credit card) and billing information.You create your LinkedIn ",272,<first>,<how-gathered>
Profile,profile,100.0,4060,sub,"profile (a complete profile helps you get the most from our Services).ProfileYou havechoicesabout the information on your profile, such as your education, work experience, skills, photo,city or areaand endorsements. You don’t have to provide additional information on your profile; however, profile information helps you to get more from our Services, including helping recruiters and business opportunities find you. It’s your choice whether to includesensitive information",474,<first>,<how-gathered>
Profile,profile,100.0,4060,sub,"on your profile and to make that sensitive information public. Please do not post or add personal data to your profile that you would not want to be publicly available.You give other data to us, such as by syncing your address book or calendar.",244,<first>,<how-gathered>
Posting and Uploading,Posting and Uploading,100.0,4788,sub,"Posting and UploadingWe collect personal data from you when you provide, post or upload it to our Services, such as when you fill out a form, (e.g., with demographic data orsalary), respond to a survey, or submit a resume or fill out a job application on our Services. If you opt to import your address book, we receive your contacts (including contact information your service provider(s) or app automatically added to your address book when you communicated with addresses or numbers not already in your list).",512,<first>,<how-gathered>
Posting and Uploading,Posting and Uploading,100.0,4788,sub,"If you sync your contacts or calendars with our Services, we will collect your address book and calendar meeting information to keep growing your network by suggesting connections for you and others, and by providing information about events, e.g. times, places, attendees and contacts.You don’t have to post or upload personal data; though if you don’t, it may limit your ability to grow and engage with your network over our Services.",436,<first>,<how-gathered>
1.2 Data From Others,1.2 Data From Others,100.0,5742,sub,1.2 Data From OthersOthers may post or write about you.,55,<first>,<how-gathered>
