decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Safaricom Data Privacy Statement,Safaricom Data Privacy Statement,100.0,0,main,Safaricom Data Privacy StatementSafaricom Data Privacy StatementDownload PDF Version,84,<generic>,<other>
1.0 Introduction,1.0 Introduction,100.0,87,main,"1.0 IntroductionYour privacy is important to us. This privacy statement explains the        personal data Safaricom Plc (“Safaricom”) collects, how Safaricom        processes it, and for what purposes.This statement should be read together with the Terms and Conditions of        Use for other Safaricom products and services. Where there is a        conflict, this statement will prevail.This statement applies to all customers, suppliers, agents, merchants,",459,<error>,<other>
1.0 Introduction,1.0 Introduction,100.0,87,main,        dealers and all visitors frequenting any of Safaricom premises.,71,<error>,<other>
2.0 Definitions,2.0 Definitions,100.0,626,main,2.0 DefinitionsReferences to,28,<generic>,<other>
2.1 “You” means:,"2.1
“You
”
means",81.25,656,sub,"2.1“You”means:i)customer- the person who subscribes to, uses or purchases any of our        products and services or accesses our websites and includes any person        who accesses any of the products and services you have subscribed to.ii)Any agent, dealer and/or merchants who has signed an agreement with        us and is recognised as a merchant or agent in accordance with any        applicable laws or Regulations.iii) Any visitor that is a person (including contractors/subcontractors",493,<generic>,<other>
2.1 “You” means:,"2.1
“You
”
means",81.25,656,sub,        or any third parties) who gains access to any Safaricom premises.iv)Any supplier who has been contracted by Safaricom and executed aSupplier contract.,158,<generic>,<other>
"2.2 “Safaricom”, “we” or “us”, “our” and “ours” means Safaricom Plc","2.2 “Safaricom”, “we” or “us”, “our” and “ours” means Safaricom Plc",100.0,1321,sub,"2.2 “Safaricom”, “we” or “us”, “our” and “ours” means Safaricom PlcThe word“includes”means that what follows is not        necessarily exhaustive and therefore the examples given are not the        only things/situations included in the meaning or explanation of that        text.",280,<generic>,<other>
3.0 Statement Details,3.0 Statement Details,100.0,1608,main,3.0 Statement Details,21,<generic>,<other>
3.1 Collection of Information,3.1 Collection of Information,100.0,1630,sub,"3.1 Collection of Information3.1.1We collect your personal information with your knowledge and        consent when you do any of the following (please note that this list is        not exhaustive):a) register for a specific product or service, including but not        limited to SIM-card registration, PostPay subscriptions, e-commerce platforms, M-PESA and M-PESA-powered services;b) buy, subscribe to or use a Safaricom product or service online, on",452,<first>,<how-gathered>
3.1 Collection of Information,3.1 Collection of Information,100.0,1630,sub,"        the cloud, on a mobile or other device, in a Safaricom Shop or other        retail outlet;c) subscribe to Safaricom or third-party premium rates services, Short        Message Service (SMS), email or social media platforms;d) ask Safaricom for more information about a product or service or        contact Safaricom with a query or complaint;e) respond to or participate in a survey, marketingpromotion, prize competition or special offer;f) visit, access or use Safaricom or third-party websites;",505,<first>,<how-gathered>
