decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
TCL COMMUNICATION PRIVACY NOTICE,TCL Communication Privacy Notice,100.0,0,main,TCL Communication Privacy Notice-TCL GlobalTCL COMMUNICATION PRIVACY NOTICELanguageAlbanian3Arabic4Basque5Brazilian Portuguese6BulgarianChinese7Catalan8Croatian9Czech10DanishDutchEnglishEstonianFarsiFinnishFrenchFrench(CA)GalicianGermanGreekHebrewHungarianIndonesianItalianJapaneseKoreanLatam SpanishLatvianLithuaniaMacedonianMalayNorwegianPortuguesePolishRomanianRussianSlovakSpanishSwedishSerbianSlovenianTraditional ChineseThaiTurkishUkrainianUrduVietnamese,460,<generic>,<other>
TCL COMMUNICATION PRIVACY NOTICE,TCL Communication Privacy Notice,100.0,0,main,"This Privacy Notice is effective as of July 30th, 2021.This Privacy Notice sets out how TCL and/or its affiliates                and subsidiaries (collectively “TCL” or “we”) protect the                personal data we process relating to you (your “Personal                Data”), what types of Personal Data we collect about you,                what we do with it, the purpose of the collection, how we                disclose it and which rights you have in relation to the",476,<generic>,<other>
TCL COMMUNICATION PRIVACY NOTICE,TCL Communication Privacy Notice,100.0,0,main,                processing of Personal Data.Thank you for choosing TCL!,71,<generic>,<other>
WHEN DOES THIS PRIVACY NOTICE APPLY?,WHEN DOES THIS PRIVACY NOTICE APPLY?,100.0,1074,main,"WHEN DOES THIS PRIVACY NOTICE APPLY?This Privacy Notice applies when we process your Personal                Data as a result of your access and use of any of Alcatel                websites (including www.alcatelmobile.com), TCL and Alcatel                branded devices such as phones, tablets, watches, bracelets,                wearable devices, routers, and certain other TCL                applications and services provided by TCL Communication",452,<generic>,<other>
WHEN DOES THIS PRIVACY NOTICE APPLY?,WHEN DOES THIS PRIVACY NOTICE APPLY?,100.0,1074,main,"                Technology Holdings Limited that may refer to this Privacy                Notice (collectively “TCL Materials”). For TCL smart                services applications (including TCL Account, TCL Channel,                TCL Home App, BrowserHere/T-Browser, TCL Live, TV Guard,                MagiConnect, Chat Now, Smart Gallery, Reminder, Weather,                Game Center, Gesture Control and Remote Diagnosis), please                refer tohttps://www.tcl.com/global/en/privacy-notice.html.",508,<generic>,<other>
WHEN DOES THIS PRIVACY NOTICE APPLY?,WHEN DOES THIS PRIVACY NOTICE APPLY?,100.0,1074,main,"Please also refer tohttps://www.tcl.com/global/en/privacy-notice.htmlfor more information about how we process your Personal Data                when you access and use TCL website (www.tcl.com), TCL smart                TV products and SEMP branded devices.This Privacy Notice also applies to our processing of the                Personal Data of business contacts within our clients,                business partners, supplier and other organizations with",457,<generic>,<other>
WHEN DOES THIS PRIVACY NOTICE APPLY?,WHEN DOES THIS PRIVACY NOTICE APPLY?,100.0,1074,main,"                which TCL has or considers a business relationship.To find out more, pleaseclick onany of the sections below:",125,<generic>,<other>
PERSONAL DATA WE COLLECT ABOUT YOU,PERSONAL DATA WE COLLECT ABOUT YOU,100.0,2644,main,PERSONAL DATA WE COLLECT ABOUT YOUUSES OF PERSONAL DATADISCLOSURE OF YOUR PERSONAL DATA TO THIRD PARTIESTHIRD PARTY LINKSINTERNATIONAL TRANSFERS OF PERSONAL DATASECURITY OF YOUR PERSONAL DATARETENTION OF YOUR PERSONAL DATAYOUR RIGHTSUSE OF COOKIESCONTACTING USWe may update this Privacy Notice from time to time to                reflect changes in how we collect and use your Personal Data                or changes in the applicable laws. Any update to this,459,<first>,<what>
PERSONAL DATA WE COLLECT ABOUT YOU,PERSONAL DATA WE COLLECT ABOUT YOU,100.0,2644,main,"                Privacy Notice will be effective upon its posting on our                website athttps://www.tcl.com/global/en.html. In addition, we may also notify you to inform you about                the changes to this Privacy Notice as required by the                applicable laws.BY VISITING OUR WEBSITES, PROVIDING YOUR INFORMATION OR                    USING TCL MATERIALS, YOU CONFIRM THAT YOU HAVE READ AND                    UNDERSTOOD THE PRACTICES DESCRIBED IN THIS PRIVACY",490,<first>,<what>
PERSONAL DATA WE COLLECT ABOUT YOU,PERSONAL DATA WE COLLECT ABOUT YOU,100.0,2644,main,"                    NOTICE.PERSONAL DATA WE COLLECT ABOUT YOUYour privacy is important to us so we explain here what                Personal Data we collect about you. Please note that, if you                do not provide certain Personal Data, TCL may not be able to                accomplish some purposes outlined in this Privacy Notice and                you may not be able to use or access certain TCL Materials.We may collect and process the following Personal Data about                you:§",500,<first>,<what>
