decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Sleeptot AppMenuHomeFeaturesReviewsFAQDownloadLegalBilling,58,<error>,<error>
Privacy Policy,Privacy Policy,100.0,67,main,"Privacy PolicyTermsBilling TermsGeneral1.  All purchases are subject to our Terms of Use.2.  We, Burleigh Creative Pty Ltd offer a subscription-based service to the content within the Sleeptot App.3.  Subscriptions can be purchased either directly from:3.1. the SLEEPTOT website (Website Purchase); or3.2. externally (In-App Purchase).4.  Different subscription plans may be offered depending on Your location or place of purchase.",431,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"5.  The subscription fee will apply regardless of how much or how often You access or use Your subscription.In-App Purchase6.  These include a purchase made via an external App Store, such as the Apple App Store or Google Play Store, or another similar App Store.7.  An In-App Purchase is purchased from and billed by the respective App Store, not by Us.8.  Subscriptions can be purchased either directly from:8.1. an In-App Purchase is subject to the terms, conditions and other licensing arrangements",502,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,            specified by that App Store provider;8.2. In-App Purchases are processed securely via the payment gateway used by the            relevant App Store provider; and8.3. You must take up with the App Store provider directly any payment-related issues You            experience with an In-App Purchase or return requests.Website Purchase9.  Subscriptions purchased directly from the SLEEPTOT website are managed and billed by Us.,436,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"10. All SLEEPTOT Website Purchases are processed securely via our third party payment        gateway providers, such as Stripe or PayPal. You must refer to their terms and conditions        for additional information.11. All transactions are handled over SSL and are PCI-Compliant. We do not store Your credit        card details.Payment12. Subject to any free trial period, payment must be made at the time of purchase and before        You have access to Your subscription.",475,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"13. Subscriptions to the Sleeptot App will be auto-renewed on the first day of Your next        billing period.14. You must notify Us of any change to YourPayment Method.14.1. We will assume your Payment Method is correct and will continue to bill fees and            charges relating to Your subscription by Your nominated Payment Method;14.2. If any subscription fees billed to Your account are not processed for any reason, We            may suspend Your subscription until payment is made in full.",501,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"15. We reserve the right to vary the subscription fees from time to time, but only for the next and        subsequent billing periods.15.1. In that event We will give You reasonable notice of the variation before it will come into            effect; and15.2. If you do not cancel Your subscription before your next billing cycle, you will be            deemed to have accepted the variation.Free Trials16. Your Sleeptot subscription may start with a free trial for a fixed period as specified at the",499,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"        time of sign up.17. Free trials are only available to new SLEEPTOT users, and are at the sole discretion of        SLEEPTOT, and if you attempt to sign up for an additional free trial You will be immediately        charged with the standard subscription price.18. We reserve the right to revoke Your free trial at any time.19. Unless You cancel at least 24 hours before the end of the trial period, Your free trial will        automatically roll over to a paid subscription.",482,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"20. Any unused portion of Your free trial period will be forfeited upon purchase of a subscription.Promotions21. We may offer special promotions, trials, discounts, offers or coupons from time to time        directly through SLEEPTOT or through third parties, subject to and on its terms and        conditions separate to those of SLEEPTOT. It is Your responsibility to read and understand        those terms and conditions.",424,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"22. Any trial offers or subscriptions will automatically rollover to a paid subscription unless        cancelled at least 24 hours before the end of the promotional period, or unless otherwise        stated.Cancellation23. You may cancel Your subscription at any time.24. Unless You cancel at least 24 hours before the start of Your next billing period, you will be        charged for the next billing period.25. After cancellation, You will continue to have access to the SLEEPTOT App for the remainder",503,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"        of Your billing period.26. To cancel your subscription, you will need to go to the platform your subscription        was created on.26.1. If you subscribed via the website, go to Profile in Settings, and follow the prompts to            cancel the subscription.26.2. If you subscribed via the iOS app or Android app, you will need to cancel your            subscription via the relevant App Store, such as the Apple App Store or the Google Play            Store.",470,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"27. If We take action to collect any unpaid subscription fees from You, You will pay all costs (on        a full indemnity basis) incurred in doing so.28. We do not offer refunds or credits for unused subscription periods, accidental purchases,        medical conditions, or any similar reason or event.29. For support enquiries, please contact us atsupport@sleeptot.comGoverning Law30. The laws in force in Queensland govern these Billing Terms.Privacy Policy",460,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"Protecting your privacy is important to us. Accordingly, weâ€™re providing this Privacy Policy toexplain our practices regarding the collection, use and disclosure of information that we receivewhen you use our Services. This Privacy Policy applies only to those websites, services andapplications included within â€œServicesâ€ and doesnâ€™t apply to any third-party websites, services orapplications, even if they are accessible through our Services. Also, please note that, unless we",486,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,67,main,"define a term in this Privacy Policy, all capitalized words used in this Privacy Policy have thesame meanings as in our Terms of Service.",137,<generic>,<other>
HOW DO WE COLLECT AND USE INFORMATION?,HOW DO WE COLLECT AND USE INFORMATION?,100.0,5969,main,"HOW DO WE COLLECT AND USE INFORMATION?Our primary goals in collecting information are to provide and improve our Services, toadminister your use of the Services (including your Account, if you are an Account holder), andto enable you to enjoy and easily navigate our Services.",276,<first>,<how-gathered>
Account Information:,Account Information:,100.0,6249,sub,"Account Information: If you choose to opt in to receive email notifications and newsletters fromus or if you choose to invite a friend to use the Services, weâ€™ll collect certain information that canbe used to identify you or your friend, such as name and email address (â€œPersonally IdentifiableInformationâ€ or â€œPIIâ€).",327,<first>,<what>
Information Collected Using Cookies:,Information Collected Using Cookies:,100.0,6580,sub,"Information Collected Using Cookies: We may collect certain information through the use ofâ€œcookies,â€ which are small text files that are saved by your browser when you access ourServices. We may use both session cookies and persistent cookies to identify that youâ€™velogged in to the Services and to tell us how and when you interact with our Services. We mayalso use cookies to monitor aggregate usage and web traffic routing on our Services and to",454,<tracking>,<how-gathered>
Information Collected Using Cookies:,Information Collected Using Cookies:,100.0,6580,sub,"customize and improve our Services. Unlike persistent cookies, session cookies are deletedwhen you log off from the Services and close your browser. Although most browsersautomatically accept cookies, you can change your browser options to stop automaticallyaccepting cookies or to prompt you before accepting cookies. Please note, however, that if youdonâ€™t accept cookies, you may not be able to access all portions or features of the Services.",447,<tracking>,<how-gathered>
