decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
"Terms and Conditions applicable to all Kinedu Applications, Products and Services","Terms and Conditions applicable to all Kinedu Applications, Products and Services",100.0,0,main,"Terms and Conditions applicable to all Kinedu Applications, Products and Services - Kinedu BlogSkip to contentGeneric selectorsExact matches onlySearch in titleSearch in contentPost Type SelectorsDownload the appChild DevelopmentCognitiveGeneralKey MilestonesLinguisticPhysicalScientific EdgeSocial & EmotionalFeedingBottlefeedingBreastfeedingSolid FoodsHealthDiapersHealth GuideHealthy HabitsPotty TrainingSafetyKineduKinedu EducatorsUsing KineduPrenatalExerciseGeneralHealthMy FamilyNutrition",494,<generic>,<other>
"Terms and Conditions applicable to all Kinedu Applications, Products and Services","Terms and Conditions applicable to all Kinedu Applications, Products and Services",100.0,0,main,Relax and de-stressStimulationWell-beingSleepMenuChild DevelopmentCognitiveGeneralKey MilestonesLinguisticPhysicalScientific EdgeSocial & EmotionalFeedingBottlefeedingBreastfeedingSolid FoodsHealthDiapersHealth GuideHealthy HabitsPotty TrainingSafetyKineduKinedu EducatorsUsing KineduPrenatalExerciseGeneralHealthMy FamilyNutritionRelax and de-stressStimulationWell-beingSleepPTENESSearchESPTENChild DevelopmentCognitiveGeneralKey MilestonesLinguisticPhysicalScientific EdgeSocial & EmotionalFeedingBottlefeeding,512,<generic>,<other>
"Terms and Conditions applicable to all Kinedu Applications, Products and Services","Terms and Conditions applicable to all Kinedu Applications, Products and Services",100.0,0,main,BreastfeedingSolid FoodsHealthDiapersHealth GuideHealthy HabitsPotty TrainingSafetyKineduKinedu EducatorsUsing KineduPrenatalExerciseGeneralHealthMy FamilyNutritionRelax and de-stressStimulationWell-beingSleepMenuESPTENChild DevelopmentCognitiveGeneralKey MilestonesLinguisticPhysicalScientific EdgeSocial & EmotionalFeedingBottlefeedingBreastfeedingSolid FoodsHealthDiapersHealth GuideHealthy HabitsPotty TrainingSafetyKineduKinedu EducatorsUsing KineduPrenatalExerciseGeneralHealthMy FamilyNutrition,501,<generic>,<other>
"Terms and Conditions applicable to all Kinedu Applications, Products and Services","Terms and Conditions applicable to all Kinedu Applications, Products and Services",100.0,0,main,"Relax and de-stressStimulationWell-beingSleepTerms and Conditions applicable to all Kinedu Applications, Products and Services",126,<generic>,<other>
Who are we?,Who are we?,100.0,1778,main,"Who are we?Kinedu, S.A.P.I. de C.V.,is a legally existing and validly incorporated limited company under the laws of Mexico and is located in the city of Monterrey, Nuevo Leon, Mexico.",184,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"Definitions and Terms of ConstructionThe following terminology applies to these terms and conditions, privacy notice and legal notice and any and all other agreements You have with the Company (as such term is defined below) for the use and exploitation of the services that the Company offers You through the multiple technology applications integrated into its Platforms, which are mentioned and described below:",414,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Agreements”: refers jointly to these Terms and Conditions as well as to our Privacy Policy, legal notice and/or any other agreement generated or to be generated in the future by Kinedu, in relation to the Services that it offers through the Platforms.“Kinedu Algorithm”; Means the set of computer instructions developed by Kinedu used in the Kinedu Platform, through which Kinedu provides its personalized Services to its Customers based on the information entered by them in the Kinedu Platform.",497,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Applications”: refers to any technological service application that the Company has currently developed and that is offered from time to time within any of its Platforms, which are later mentioned and described in these Terms and Conditions. Similarly, this term “Applications” also includes any technological service application that the Company may develop in the future and is integrated into the Platforms for its offer to the general public.",447,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Customer”, “You” and/or “Your”: refers to You, the person of legal age, who accesses this Website and/or any of the Applications that are part of the Platforms and accepts these Company Terms and Conditions.“Contents” means all graphic and audiovisual contents, such as videos, audios, images, animations, listings and directories, developed by and/or for Kinedu (as the case may be), that Kinedu uses to provide the Services.",427,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Uploaded Content” means photographs, videos, audio and/or any graphic and/or audiovisual content owned by You that You upload on any of the Platforms, in respect of which (i) You represent to be the owner and/or licensee and (ii) You grant Kinedu a perpetual, worldwide, free and irrevocable license to be used by Kinedu in any medium, including audiovisual, visual, digital and physical, as determined below in these Terms and Conditions.",440,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Kinedu” and/or “Company”: refers to Kinedu, S.A.P.I. de C.V. a legally existing and validly incorporated limited company in accordance with the laws of Mexico.“Mexico” refers to the United Mexican States.“Party” or “Parties” refers indistinctly to the Customer or the Company and to the use of the plural term in these Terms and Conditions, jointly as the Customer and the Company.",382,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Platforms” jointly mean the Kinedu Platform, Kinedu Educators Platform and Kinedu Directory, as well as those developed in relation to any of the above.",153,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Kinedu Platform”: Means the digital internet platform that can be accessed (i) via WebApp at www.kinedu.com, (ii) through the downloadable computer application called Kinedu, which can be downloaded from the “AppStore” platform for devices using the Apple-branded iOS operating system, (iii) through the downloadable computer application called Kinedu, which can be downloaded from the “Google Play Store” platform for devices using the Android operating system, and (iv) through any future technology that Kinedu determines to use, through which Kinedu provides the Kinedu Services.",584,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Kinedu Educators Platform”: Means the digital internet platform that can be accessed (i) via WebApp at edu.kinedu.com, (ii) through the downloadable computer application called Kinedu, which can be downloaded from the “AppStore” platform for devices that use the Apple-branded iOS operating system, (iii) through the downloadable computer application called Kinedu, which can be downloaded from the “Google Play Store” platform for devices that use the Android operating system, and (iv) through any future technology that Kinedu determines to use, by means of which Kinedu provides the Kinedu Educators Services to its customers that are Kindergartens or Nurseries.",667,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Services” Means Kinedu Services, Kinedu Educators Services, and Directory Services together.“Kinedu Services” Means the services (whether personalized or not) that You can contract in the Kinedu Platform, under which You shall be given access to Content.“Kinedu Educators Services” Means the services that an educational center (Kindergarten or Daycare Center) may contract from Kinedu to use the Contents in its classrooms.“Internet Site” means all Internet sites where any of Kinedu’s Platforms are hosted.",509,<generic>,<other>
Definitions and Terms of Construction,Definitions and Terms of Construction,100.0,1965,main,"“Terms and Conditions” means these terms and conditions as they may be modified from time to time during the period in which the Company offers its Services through the Platforms.All terms refer to the offer, ",209,<generic>,<other>
Acceptance,acceptance,100.0,6713,main,acceptance and consideration of payment necessary to carry out the provision of ,80,<generic>,<other>
Services,Services,100.0,6793,main,"Services to the Customer.Any use of the terminology previously described in singular, plural, capital letters and/or he/she or they, shall be considered interchangeable and, consequently, referring to the same thing.AcceptanceThese Terms and Conditions are part of the Agreement between the Customer and Kinedu.",311,<generic>,<other>
Services,Services,100.0,6793,main,"The understanding, agreement and acceptance of the disclaimer notice and the Terms and Conditions contained herein shall be for all legal purposes as perfected between the Parties when You: (i) access any of the Internet Sites; (ii) receive any of the Services provided by Kinedu, either through any of the Internet Sites or through any of the Applications; and/or (iii) carry out the use and/or execution of any of the Applications, by carrying out the activities permitted within their functionality. In this regard, in the event of any of the events under which You accept these Terms and Conditions in accordance with the foregoing, Kinedu may execute measures to validate Your identity and Your acceptance of these Terms and Conditions.",741,<generic>,<other>
Services,Services,100.0,6793,main,"Without prejudice to the foregoing, in the event that You act on behalf of another person (individual or legal entity), You accept, acknowledge and warrant that: (i) You have sufficient legal capacity to bind such third party to these Terms and Conditions, (ii) have read and fully understands this Agreement and (iii) accepts this Agreement on behalf of the person You represent. If You do not have sufficient legal capacity to subject such third party to these Terms and Conditions, You must not use the Services offered by Kinedu.",533,<generic>,<other>
Services,Services,100.0,6793,main,"ServicesThe services provided by Kinedu through the Platforms and through the different Applications may vary depending on the purpose of the service offered by each Application; and which, but not limited to, are described below:",230,<generic>,<other>
Kinedu App,Kinedu App,100.0,8616,sub,Kinedu App,10,<generic>,<other>
Kinedu App,Kinedu App,100.0,8616,sub,": Kinedu App is an early stimulation and development application that Kinedu offers You to guide You from pregnancy to the 4 (four) years of Your baby. Kinedu offers more than 1,800 (one thousand eight hundred) fun developmental activities based on Your child’s age and developmental level from pregnancy through four (4) years, as well as helping You understand Your baby’s developmental milestones with the child development assessment offered by this Application. Likewise, through Kinedu App You shall be able to receive communication and notifications of the different platforms and services in the event that Your child is enrolled in an educational center or with an early childhood professional who uses them.",717,<generic>,<other>
Kinedu Educators,Kinedu Educators,100.0,9345,sub,"Kinedu Educators: In case You are: (A) an educational center or early childhood professional, Kinedu Educators shall provide You with tools to plan the pedagogical day and learning experiences, understand development, and train Your teachers holistically on early childhood development. Kinedu Educators shall be able to communicate with the Parents through the Kinedu Platform. For more information, You can access edu.kinedu.com.",431,<generic>,<other>
Payment,Payment,100.0,9778,main,Payment,7,<generic>,<other>
Payment,Payment,100.0,9778,main,"Some of the Services provided by Kinedu require You to pay a consideration to Kinedu; in such cases, You agree to pay the amounts indicated. Kinedu accepts most credit or debit cards through Stripe or payments through Apple’s AppStore and Google’s Play Store. Our payment terms shall be in accordance with the services rendered from time to time. The payment of the consideration that You agree to pay to Kinedu does not entail a transfer of ownership with respect to the Contents. All Content and Kinedu Algorithm shall remain the property of the Company. The money pending to be paid by the due date shall incur a default interest of 2.0 (two point zero) percentage points on the Prime rate in the United States of America, on the outstanding balance until it is paid in full and definitively. Once payment is made, there are no refunds other than those agreed to by the terms of the Apple AppStore and Google Play Store.",923,<generic>,<other>
Payment,Payment,100.0,9778,main,"We reserve the right to recover any outstanding consideration due from You. In such circumstances, You shall be liable to Kinedu for payment of all administrative and trial costs resulting therefrom.",199,<generic>,<other>
