decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy - Hushed - Secure second and temporary phone number appGET STARTEDDOWNLOAD ONGET STARTEDPlans & PricingFeaturesBlogLog inPrivacy Policy,150,<generic>,<other>
"Last Updated: November 1, 2022","Last Updated: November 1, 2022",100.0,159,main,"Last Updated: November 1, 2022",30,<change>,<other>
1. Introduction,1. Introduction,100.0,190,main,"1. IntroductionHushed is founded on the principle of helping people keep their private communications private without compromise — as they should be.The purpose of this Privacy Policy is to outline AffinityClick Inc.’s (“AffinityClick”, “we”, “us” or “our”) commitment towards respecting your privacy and to comply with the applicable privacy laws and associated rules governing how or when any of your personal information is collected, used and disclosed while accessing our Website and Services (each as defined in our Terms of Service located at",549,<generic>,<other>
1. Introduction,1. Introduction,100.0,190,main,"https://hushed.com/privacy-policy/. We know that you take your personal data and information very seriously; and so do we. We strongly encourage all of our users to familiarize themselves with our Privacy Policy to understand any and all circumstances where both non-identifiable or personally identifiable data may be collected or processed while using our Services.By visiting our website, registering with or using any of our Services, you are accepting and agree to comply with this Privacy Policy.",502,<generic>,<other>
European Residents:,"
European Residents",94.73684210526316,1254,sub,"European Residents: If you reside in the European Union, the European Economic Area or Switzerland, please also see our European Privacy Policy below for further information on your rights under applicable European privacy laws.",228,<region>,<other>
California Residents:,"
California Residents",95.23809523809523,1484,sub,"California Residents:  If you reside in California, please see our California Privacy Rights section below for further information on your rights under theCalifornia Consumer Privacy Act.Your access to and use of the Services is subject to our Terms of Service (“TOS”). Any capitalized terms used but not defined in this Privacy Policy have the meanings provided in the TOS.",374,<region>,<other>
2. Consent,2. Consent,100.0,1866,main,2. Consent,10,<choice>,<other>
2. Consent,2. Consent,100.0,1866,main,"By using, registering to or otherwise accessing our Services, you agree to this Privacy Policy and give your explicit, informed consent to the collection, use and processing of your personal data in accordance with this Privacy Policy. If you do not agree to this Privacy Policy or the TOS, please do not visit, use, register to, or otherwise access any of our Website or Services. You acknowledge and agree that such personal information may be transferred from your current location to the offices and servers of AffinityClick and authorized third parties referred to herein located in Canada and the United States.",617,<choice>,<other>
2. Consent,2. Consent,100.0,1866,main,"You may withdraw your consent at any time, unless such consent would frustrate the performance of a legal obligation. Your withdrawal may restrict our ability to provide the Services. There are limited circumstances in which we may collect, use or disclose personal information without your consent. They include: a) when the collection, use or disclosure of personal information is permitted or required by law; b) in an emergency that threatens an individual’s life, health or personal security; c) when the personal information is available from a public source; d) when we require legal advice from a lawyer; e) for the purposes of collecting debt; f) to protect ourselves from fraud; or g) to investigate an anticipated breach of an agreement or a contravention of law.",774,<choice>,<other>
3. How We Collect Information,3. How We Collect Information,100.0,3270,main,"3. How We Collect InformationWe collect information about you from a variety of sources when you access our Website or Services, including: (a) directly from you (when you sign up for or use our Services); (b) from our business partners and service providers; (c) from third party sources; and (d) automatically from devices that you use to connect to our Website or Services.",376,<first>,<how-gathered>
4. Types of Information We Collect,4. Types of Information We Collect,100.0,3648,main,4. Types of Information We CollectThe amount and type of information that we collect about you depends on the nature of your interaction with our Website and Services. We collect information only insofar as is necessary or appropriate to fulfill the purpose of your interaction with us. We collect the following information based on different scenarios of usage while accessing our Services:,391,<first>,<what>
a) Registration/Profile Information,a) Registration/Profile Information,100.0,4041,sub,"a) Registration/Profile Informationi. when signing up for your account, we collect your email address and password; passwords are hashed and encrypted before being transmitted to our servers; we do not see the clear text version of your password;",246,<first>,<what>
b) Contact Information,b) Contact Information,100.0,4289,sub,"b) Contact Informationi. authentication information (e.g. your account’s email address and encrypted password);ii. communications with us (e.g. interaction with our sales or customer support teams);iii. when buying phone numbers from certain countries, we may ask you to submit proof of identity and/or address verification information in order to comply with the requirements of local regulations in the territories from which the phone number(s) originate; we may share that information with our third party telecommunication providers in order to fulfill the transaction requirements and provide the phone number to your account; and",636,<first>,<what>
b) Contact Information,b) Contact Information,100.0,4289,sub,"iv. we allow you to add other contacts and phone numbers to your app’s address book, this information is stored until you choose to delete the contact information or your account; we do not store or download contacts from your device’s address book.",249,<first>,<what>
c) Usage Information,c) Usage Information,100.0,5179,sub,"c) Usage Informationi. like most website and app operators, we collect information about your interactions with the Website and Services, such as which screens or pages you visit, what you click on, when you perform those actions, language preferences, and so on);ii. message content contained within SMS/MMS segments as well as the source and destination numbers are stored until you delete your message history, associated phone number, or your account;",455,<first>,<what>
c) Usage Information,c) Usage Information,100.0,5179,sub,"iii. CDR (Call Detail Records) are stored until you delete the call log, associated phone number, or your account (CDRs contains various attributes of the call such as time, duration, completion status, source number, and destination number);iv. voicemail recordings and voicemail greetings are stored until you delete voicemail recordings, voicemail greetings, the associated phone number, or your account; and",411,<first>,<what>
c) Usage Information,c) Usage Information,100.0,5179,sub,v. you are entirely and solely responsible for any information that you disclose or share with other users through our Services. We strongly recommend that you use extreme caution in sharing any personal information with other parties through our ServicesAffinityClick is not responsible for any information that you disclose to other parties through our Services.,364,<first>,<what>
d) Billing Information,d) Billing Information,100.0,6416,sub,d) Billing Information,22,<first>,<what>
d) Billing Information,d) Billing Information,100.0,6416,sub,"i. payment information is collected by our third party payment providers such as Apple, Google, Stripe or Coinbase, each of which may require you to provide your billing details and financial information corresponding to your selected method of payment (e.g. a credit card number and expiration date). In most cases, we will have access to transaction reference numbers and/or your billing information pertaining to each payment; however, we do not store or otherwise process any credit card information. Please refer to each payment provider’s terms and conditions and privacy policies as applicable. For ease, here is a link to Stripe’s privacy policy:",654,<first>,<what>
d) Billing Information,d) Billing Information,100.0,6416,sub,https://stripe.com/us/privacyand following is a link to Coinbase’s privacy policy:https://www.coinbase.com/legal/privacy,120,<first>,<what>
e) Information from Third Parties and Integration Partners,e) Information from Third Parties and Integration Partners,100.0,7217,sub,"e) Information from Third Parties and Integration Partnersi. we collect your information or data from third parties if you give permission to those third parties to share your information with us or where you have made that information publicly available online (e.g. if you enable service integrations with DropBox or Slack, they may send us your information which they have collected, all of which will be controlled by such third party); and",444,<third>,<what>
e) Information from Third Parties and Integration Partners,e) Information from Third Parties and Integration Partners,100.0,7217,sub,"ii. other sources (to the extent permitted by applicable law we may receive additional information about you, such as demographic data or fraud detection information and warnings, or other information about you from partner networks).",234,<third>,<what>
f) Log Data,f) Log Data,100.0,7898,sub,"f) Log Datai. we collect log data each time a device accesses our servers, log data includes details about the nature of each access including originating IP addresses, access times, device type, operating system versions, internet service providers, pages you view before and after using the Website or Services, links to third party applications, and hardware and software information.",387,<first>,<what>
g) Cookies,g) Cookies,100.0,8287,sub,g) Cookies,10,<tracking>,<what>
g) Cookies,g) Cookies,100.0,8287,sub,"i. Our Website  uses “cookies” which enables us to remember you and understand and save your preferences. A cookie is a string of information that a website stores on your computer, and that your browser provides to the website each time you return. We use cookies to help us identify and track visitors to our sites, their usage of the Website, and their Website access preferences, to improve our Website and Services. If you do not wish to have cookies placed on your computer you should set your browsers to refuse cookies before using our websites. If you do this, the drawback is that certain features of our Website and Services may not function properly and this may also block cookies for any other website you visit; and",730,<tracking>,<what>
g) Cookies,g) Cookies,100.0,8287,sub,"ii. Ads appearing on any of our Websites may be delivered by advertising partners, who may also set cookies. These cookies allow the ad server to recognize your computer each time they send you an online advertisement to compile information about you or others who use your computer. This information allows ad networks to, among other things, deliver targeted advertisements that they believe will be of most interest to you. This Privacy Policy covers the use of cookies by us and does not cover the use of cookies by any advertisers.",536,<tracking>,<what>
5. How We Use the Information We Collect,5. How We Use the Information We Collect,100.0,9566,main,5. How We Use the Information We Collect,40,<first>,<how-used>
5. How We Use the Information We Collect,5. How We Use the Information We Collect,100.0,9566,main,"We use your information for the purposes identified in this Privacy Policy at the time of collection or for a purpose related thereto, including to develop and provide the Website and Services. Specifically, we may use your information for the following purposes: a) verifying identity and authenticating information; b) registration; c) payment processing; d) monitor information you transmit through our Services to operate our Services properly and to protect ourselves, our users, and the public; e) to send email notifications and reminders related to the Services; f) providing the Services and operating our business; g) responding to customer requests and complaints; h) sending newsletters or other marketing information; i) establishing and maintaining relationships with our users; j) optimizing experiences by performing analytics and conducting research; k) conducting investigations, detecting fraud, abuse, security breaches and other harmful activity; l) resolving disputes and enforcing agreements and policies; and m) meeting and complying with legal and regulatory requirements. We will not rent or sell personal information to anyone.",1154,<first>,<how-used>
6. How We Share the Information We Collect,6. How We Share the Information We Collect,100.0,10762,main,"6. How We Share the Information We CollectWe may disclose personal information to fulfill the purposes identified in this Privacy Policy, and for purposes related thereto, and to provide the Services, including as follows:a) within our organization;b) with our third party service providers, affiliates and trusted key partners who help us provide certain aspects of our Services, including without limitation:i. facilitate payment processing;",443,<third>,<how-gathered>
6. How We Share the Information We Collect,6. How We Share the Information We Collect,100.0,10762,main,ii. facilitate sending customer email surveys or marketing notifications;iii. manage our sales and customer support services to you;iv. deliver and help us track our marketing and advertising content;v. help us provide core features of telecommunications services;vi. help us track website conversions and success metrics;,322,<third>,<how-gathered>
6. How We Share the Information We Collect,6. How We Share the Information We Collect,100.0,10762,main,"c) certain information may be shared with third parties or published when you follow links to third party websites, we do not own or control these third parties and when you interact with them you may be providing information to them directly – such parties will have their own rules and policies in respect of the collection, use and disclosure of personal information and we encourage you to review these rules and policies;",426,<third>,<how-gathered>
6. How We Share the Information We Collect,6. How We Share the Information We Collect,100.0,10762,main,"d) information that you choose to share publicly or with others may be indexed through third party search engines – we do not control the practices of third party search engines so you need to be careful about the information you make public;e) at your request or with your consent;f) as required by applicable laws and related rules and regulations, including as requested by law enforcement, pursuant to a subpoena or other governmental or regulatory authorities;",465,<third>,<how-gathered>
6. How We Share the Information We Collect,6. How We Share the Information We Collect,100.0,10762,main,"g) with a buyer, investor, new affiliate, or other successor in the event we or any affiliate undergoes a business transaction, such as a merger, acquisition, consolidation, reorganization, divestiture, liquidation or dissolution (including bankruptcy), or a sale or other transfer of all or a portion of our assets or any affiliates or during steps in contemplation of such activities (e.g., negotiations and due diligence);",425,<third>,<how-gathered>
6. How We Share the Information We Collect,6. How We Share the Information We Collect,100.0,10762,main,"h) with our financial, insurance, legal, accounting or other advisors that provide professional services to us;i) we may collect statistics about the behavior of visitors to our Website. We may display this information, in aggregated form, publicly or provide it to others.",273,<third>,<how-gathered>
7. Retention of and Access and Change to Personal Information,7. Retention of and Access and Change to Personal Information,100.0,13133,main,"7. Retention of and Access and Change to Personal InformationWe will only retain personal information that we collect for as long as is necessary and in accordance with applicable laws.You may request access to your personal information or request to know how we use it or to whom it has been disclosed, subject to limited exceptions prescribed by law. Requests must be made in writing via e-mail to support@hushed.com. We will respond to requests within 45 days or provide notice if we require longer. To the extent permitted by applicable law, fees may be charged to access information, but you will be notified of such in advance so you can choose whether or not to proceed.",677,<retention>,<other>
7. Retention of and Access and Change to Personal Information,7. Retention of and Access and Change to Personal Information,100.0,13133,main,"A government agency may ask us to set aside a copy of specific information while the agency applies for legal process to compel the disclosure of that information. Preservation requests only apply to information that AffinityClick and its affiliates have at the time of the request, not information that may be generated in the future.",335,<retention>,<other>
8. Security of Personal Information,8. Security of Personal Information,100.0,14149,main,"8. Security of Personal InformationWe are committed to the security of your personal information and we take steps to protect it from unauthorized access, collection, use, disclosure, copying, modification, disposal and other risks. We store personal information in a secure location, accessible by designated staff and we only use it for the purposes for which you provide it (as set out in this Privacy Policy).We use appropriate security measures when we destroy personal information.",487,<security>,<other>
8. Security of Personal Information,8. Security of Personal Information,100.0,14149,main,"We routinely review and update our security policies and controls to ensure ongoing personal information security, though the Internet is not a 100% secure environment so we cannot guarantee the complete security and protection of the transmission and storage of your information.",280,<security>,<other>
9. Accuracy of Personal Information,9. Accuracy of Personal Information,100.0,14920,main,"9. Accuracy of Personal InformationWe make reasonable efforts to ensure your personal information is accurate and complete. You may make a request to update, correct, or delete your personal information at any time by submitting a request in writing to support@hushed.com. It is your responsibility to provide updates to your personal information and to maintain its accuracy.",376,<generic>,<other>
10. Safety of Minors,10. Safety of Minors,100.0,15298,main,"10. Safety of MinorsWe encourage parents and guardians to be aware of their children’s online activities. We do not knowingly collect the personal information of minors (persons under the age of 13 or under a higher age if permitted by the laws of their residence). If you are aware that a minor has provided us with personal information, please contact us at support@hushed.com. If it comes to our attention that we have collected personal information from a minor, we may delete this information without notice.",513,<audience>,<other>
11. Tracking,11. Tracking,100.0,15813,main,"11. TrackingWe will not respond to Web browser “do not track” signals. If you would like additional information about online tracking and various opt-out mechanisms, please seehttps://youradchoices.com/Because we link to social media sites, and from time to time may include third-party advertisements, other parties may collect your personally identifiable information about your online activities over time and across different web sites when you visit our Website.",467,<tracking>,<how-gathered>
11. Tracking,11. Tracking,100.0,15813,main,"In addition, we may use Google AdWords, an online advertising service provided by Google, to serve ads on our behalf across the Internet and sometimes on the Website. Google uses your Internet searches, cookies, and similar identifiers (e.g., pixel tags) to collect information about your visits to the Website and your interaction with our Services to generate targeted advertisements to you on other websites that you visit across the Internet. To opt out of remarketing advertising provided through Google, to customize your ad preferences, or to limit Google’s collection or use this information, visit",606,<tracking>,<how-gathered>
11. Tracking,11. Tracking,100.0,15813,main,"Google’s Safety CenterandGoogle’s Ad Settingsand followGoogle’s personalized ad opt-out instructions. Opting out will not affect your use of the Website.  Alternatively, you can opt out of a third-party vendor’s use of cookies by visiting the Network Advertising Initiative opt-out page.http://www.networkadvertising.org/choices/Please note that not all tracking will stop even if you delete cookies.",400,<tracking>,<how-gathered>
12. Limitation of Liability,12. Limitation of Liability,100.0,17299,main,"12. Limitation of LiabilityUNDER NO CIRCUMSTANCES SHALL WE BE LIABLE FOR ANY DIRECT OR INDIRECT, SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES THAT MAY ARISE FROM A CLAIM OF BREACH OF THIS PRIVACY POLICY.  Some jurisdictions do not allow the exclusion or limitation of liability for consequential or incidental damages. In such jurisdictions, our liability is limited to the greatest extent permitted by law, or $5, whichever is less.",433,<not>,<other>
13. Questions and Complaints,13. Questions and Complaints,100.0,17734,main,"13. Questions and ComplaintsYou may direct complaints, concerns or questions regarding our compliance with applicable privacy laws and/or this Privacy Policy to support@hushed.com. If you remain unable to resolve the concern after speaking with a representative of AffinityClick, you may also write to the Privacy Commissioner of Canada.",337,<contact>,<other>
14. Changes to the Privacy Policy,14. Changes to the Privacy Policy,100.0,18073,main,"14. Changes to the Privacy PolicyAlthough most changes are likely to be minor, we may change our Privacy Policy from time to time, and in our sole discretion. We encourage visitors and users to frequently check this page for any changes to the Privacy Policy. Your continued use of this site after any change in this Privacy Policy will constitute your acceptance of such change.",379,<change>,<other>
15. Additional Rights,15. Additional Rights,100.0,18454,main,15. Additional RightsApplicable laws may give you additional rights that are not described in the Privacy Policy.,113,<choice>,<other>
EUROPEAN PRIVACY POLICY,EUROPEAN PRIVACY POLICY,100.0,18569,main,"EUROPEAN PRIVACY POLICYThe followingEuropean Privacy Policy applies to you if you reside in the European Union, the European Economic Area or Switzerland.",154,<region>,<other>
Personal Data and Processing.,"
Personal Data
and
Processing",89.65517241379311,18725,sub,"Personal DataandProcessing. For the purposes of this European Privacy Policy:“Personal Data” means any information relating to an identified or identifiable natural person who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of such natural person; and“Processing",501,<region>,<other>
Personal Data and Processing.,"
Personal Data
and
Processing",89.65517241379311,18725,sub,"” means any operation or set of operations which is performed on Personal Data or on sets of Personal Data, whether or not by automated means, such as collection, recording, organization, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction.",401,<region>,<other>
Purposes and Legal Basis for Processing Personal Data.,"
Purposes and Legal Basis for Processing Personal Data",98.14814814814815,19637,sub,Purposes and Legal Basis for Processing Personal Data,53,<region>,<why>
Purposes and Legal Basis for Processing Personal Data.,"
Purposes and Legal Basis for Processing Personal Data",98.14814814814815,19637,sub,". AffinityClick processes data for the purposes as set forth in our Privacy Policy, including to provide the Services and as explained in the sections of the Privacy Policy titled ‘How We Use the Information We Collect’ and ‘How We Share Information We Collect’. To fulfill these purposes, AffinityClick may access data, including Personal Data, to provide the Services, to correct and address technical, service or security problems, or in response to contractual requirements. Please see the our Privacy Policy for additional details on how we collect, use, disclose and share data, make automated decisions, and retain data, including Personal Data, about individual users.",676,<region>,<why>
Purposes and Legal Basis for Processing Personal Data.,"
Purposes and Legal Basis for Processing Personal Data",98.14814814814815,19637,sub,"Our legal basis for the processing of Personal Data are: (i) consent or (ii) any other applicable legal basis, such as our legitimate interest in engaging in commerce, offering products and services of value to the customers of the Services, preventing fraud, ensuring information and network security, direct marketing and advertising, and complying with industry practices.",375,<region>,<why>
Additional Rights for European Residents.,"
Additional Rights for European Residents",97.5609756097561,20744,sub,"Additional Rights for European Residents. As a resident of the European Union or a country following substantially similar legislation regarding the protection of Personal Data, individuals may have one or more of the following additional rights:",246,<region>,<other>
Access.,"
Access",85.71428571428572,20992,sub,Access. To request a copy of the Personal Data we have collected about you by contacting us.,92,<access>,<other>
Rectification & Erasure.,"
Rectification & Erasure",95.83333333333334,21086,sub,"Rectification & Erasure. To request that we rectify or delete any of the Personal Data about you that is incomplete, incorrect, unnecessary or outdated.",152,<access>,<other>
Objection.,"
Objection",90.0,21240,sub,"Objection. To object, at any time, to Personal Data about you being Processed for direct marketing purposes.",108,<choice>,<other>
