decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Castbox Privacy Policy,Castbox Privacy Policy,100.0,0,main,"Castbox Privacy PolicyGet the AppFor PodcastersTop ShowsBlogListenSearchSearch for """"Sign inGet the AppFor PodcastersTop ShowsBlogListenAbout CastboxNewsroomFAQsListen NowCastbox Privacy PolicyModified date: June 16, 2023This Privacy Policy (the “Policy”) describes how Guru Network Limited (referred to in this Privacy Policy as “Company,” “we,” “us,” or “our”), as the operator of the websitehttps://castbox.fm",412,<generic>,<other>
Castbox Privacy Policy,Castbox Privacy Policy,100.0,0,main,"(the “Site”) and the developer of the associated Castbox mobile application, auto application, and smart home application (the “App”), collects information when you visit the Site or use the App, or any other website, pages, features, or content owned or operated by Company (separately and collectively, the “Service”). This Policy also explains how we use and disclose the information we collect from you, and your rights in relation to that information.",456,<generic>,<other>
Castbox Privacy Policy,Castbox Privacy Policy,100.0,0,main,"Terms not defined in this Policy shall have the meaning given to them in our Terms of Service. This Policy is part of, and is governed by, the terms and conditions set forth in our Terms of Service located atcastbox.fm/termsofservice.html.",239,<generic>,<other>
1. Acceptance,1. Acceptance,100.0,1134,main,"1. AcceptancePlease read the Terms of Service carefully before you use or access our Services. By accepting the Terms of Service, you agree with our collection, storage, use and disclosure of your information as described in this Privacy Policy. Please note that if you disagree with anything in this Privacy Policy, you must not use the Service.",346,<generic>,<other>
2. Amendments to this Policy,2. Amendments to this Policy,100.0,1482,main,"2. Amendments to this PolicyWe will notify you of changes to this Privacy Policy by posting the amended terms on the Service or via the email address we have on file. By continuing to use the Service after those changes are posted, you agree to be bound by the revised Policy. To find out when we last updated this Policy, please refer to the date listed after “Last Modified” at the top of this Policy. If you do not agree to the changes, you should discontinue your use of the Service immediately.",499,<change>,<other>
2. Amendments to this Policy,2. Amendments to this Policy,100.0,1482,main,"In addition, we may provide you with “just-in-time” disclosures or additional information about the data collection, use and sharing practices of specific parts of our Service. These notices may provide additional information about our privacy practices, or additional choices about how we process your information.",315,<change>,<other>
3. Information We Collect,3. Information We Collect,100.0,2299,main,3. Information We CollectA.,27,<first>,<what>
Account Information.,Account Information.,100.0,2328,sub,"Account Information.You may use our Service as a guest or you can create an account. When you create an account with us, we will request you to provide certain personal information, which may include: name, e-mail address, and password. We may request additional information necessary to establish and maintain your account.B.",326,<first>,<what>
Information You Directly and Voluntarily Provide to Us.,Information You Directly and Voluntarily Provide to Us.,100.0,2657,sub,"Information You Directly and Voluntarily Provide to Us.If you visit or access our Service, we may collect information that you provide to us when you communicate with any of our departments, such as customer service or technical services. You can also choose to provide us with additional information about yourself in your profile, leave comments on other user’s content, and more.C.",384,<first>,<how-gathered>
Information Automatically Collected Through the Service.,Information Automatically Collected Through the Service.,100.0,3044,sub,"Information Automatically Collected Through the Service.We may automatically collect information about you when you use the Service. For example, we collect information about your listening preferences so that we may suggest other audiobooks or podcasts that we think you might be interested in. We may also track your behavior within our App, including without limitation what you click on in the App, and what podcasts you subscribe to.D.",440,<first>,<how-gathered>
Transaction Information.,Transaction Information.,100.0,3487,sub,"Transaction Information.When you register an account with us, you may connect your iTunes or Android payment account with our Service or provide us with your digital currency information. If you connect your iTunes or Android payment account with our account, we do not collect your payment information. When you share your digital currency information with us, we collect your cryptocurrency address.E.",403,<first>,<what>
Cookies & Similar Tracking Technologies.,Cookies & Similar Tracking Technologies.,100.0,3893,sub,"Cookies & Similar Tracking Technologies.We use “cookies” and similar tracking technologies to collect information about your use of the Service and to provide you with interest-based advertising. For example, we collect information about the way you interact with features on our Site, how long you spend on certain pages, and whether you received an error message on our Service. Please read ourCookie Policyfor more information about the cookie data we collect and how you can manage it.F.",491,<tracking>,<how-gathered>
Geolocation Information.,Geolocation Information.,100.0,4389,sub,"Geolocation Information.We collect your geolocation data when you use our Service. For example, your device may configured such that it shares your real-time location-based information with us. In addition, the content you create or share with us while using our Service may contain recorded geolocation information. Also, some of the information we collect from your device (e.g., IP address) can sometimes be used to approximate your device’s location.G.",456,<first>,<what>
Device Information.,Device Information.,100.0,4848,sub,"Device Information.We collection information about the device you use to access or use our Service. For example, we may collect the following information from your device: the type of device you use (e.g., mobile, auto, a smart home device, etc.); your advertising Identifier (“IDFA” or “AdID”); network connection type (e.g., Bluetooth, WiFi, 3G, 4G, LTE, etc.); operating system and version (e.g., iOS, Android or Windows); language settings in your mobile device; and your mobile service carrier.",499,<first>,<what>
4. Third Party Sources of Information,4. Third Party Sources of Information,100.0,5349,main,"4. Third Party Sources of InformationIn some cases, the information we collect about you comes from third party sources, as described below.A.",142,<first>,<how-gathered>
Third Party Applications or Services.,Third Party Applications or Services.,100.0,5495,sub,"Third Party Applications or Services.We may collect information about you or others from third party applications or services available on our Service. For example, when you register for an account with us, you may do so by choosing to connect your already existing social media account with our Service (e.g., Facebook, Google+, etc.). We receive certain information from your social media account depending on your permissions and which information you have made public. We use this information to make an account for you on our Service.",539,<first>,<how-gathered>
Third Party Applications or Services.,Third Party Applications or Services.,100.0,5495,sub,B.,2,<first>,<how-gathered>
Public Databases and Social Media Platforms.,Public Databases and Social Media Platforms.,100.0,6040,sub,Public Databases and Social Media Platforms.,44,<first>,<how-gathered>
Public Databases and Social Media Platforms.,Public Databases and Social Media Platforms.,100.0,6040,sub,"For users that upload content to our Service, we may populate your content submissions with publicly available information from other platforms, which may include personal information about you. The purpose of the information collection is to streamline your upload process and make it easier for you to upload content on our platform. For example, we may collect descriptions, social media accounts, or tags you have used for your podcast channel on other platforms so that you can use the same information on our Service.",523,<first>,<how-gathered>
Public Databases and Social Media Platforms.,Public Databases and Social Media Platforms.,100.0,6040,sub,C.,2,<first>,<how-gathered>
Your Friends and Family.,Your Friends and Family.,100.0,6613,sub,"Your Friends and Family.We may receive your personal information from other users, such as your friends and family, when they want to share something with you through or about our Service. When you invite others to join our Service, we will contact them on your behalf.",269,<first>,<how-gathered>
5. How We Use the Information We Collect,5. How We Use the Information We Collect,100.0,6884,main,"5. How We Use the Information We CollectWe use the information we gather through the Service to help us better understand how the Site or Service and our products, apps, and services are being used. We will only use your personal information as described in this Policy or as disclosed to you prior to such processing taking place.",331,<first>,<how-used>
5. How We Use the Information We Collect,5. How We Use the Information We Collect,100.0,6884,main,"If you believe that we are processing your information for purposes that are incompatible with the purposes for which we originally collected your information or subsequently obtained your consent, you may choose not to allow us to use your personal information for such processing. However, by limiting how we may process your information, some or all of the Service may not be available to you.We describe how we use your personal information below:A.",453,<first>,<how-used>
To Provide Our Service.,To Provide Our Service.,100.0,7674,sub,"To Provide Our Service.In order to provide you with our Service, we need to process certain personal information about you. We also share information about you upon your request, and with third parties performing functions on our behalf. When we share your information with such third parties, we only share the information necessary for the third party to perform their functions and as permitted by applicable law. We cannot provide you with our Service without processing your personal information.B.",503,<first>,<how-used>
To Send You Service-Related Communications.,To Send You Service-Related Communications.,100.0,8181,sub,To Send You Service-Related Communications.,43,<first>,<how-used>
To Send You Service-Related Communications.,To Send You Service-Related Communications.,100.0,8181,sub,"We want to make sure you stay informed about service- or account-related news, updates, or changes by sending you communications via email, in-app notifications and any other methods as permitted by law. For example, we may send you communications about changes to our security policies, your transaction information, or other important transaction information. Unlike marketing communications, service-related communications are not promotional in nature. You are not able to unsubscribe from service-related communications because such communications are part of our Service.",577,<first>,<how-used>
To Send You Service-Related Communications.,To Send You Service-Related Communications.,100.0,8181,sub,C.,2,<first>,<how-used>
To Respond to You.,To Respond to You.,100.0,8807,sub,"To Respond to You.When you contact us with questions, feedback, or any other concerns, we use any information that you provide to us to respond to you. We cannot respond to you without processing your personal information.D.",224,<first>,<how-used>
"To Enforce Compliance with Our Terms, Agreements or Policies.","To Enforce Compliance with Our Terms, Agreements or Policies.",100.0,9035,sub,"To Enforce Compliance with Our Terms, Agreements or Policies.",61,<first>,<how-used>
"To Enforce Compliance with Our Terms, Agreements or Policies.","To Enforce Compliance with Our Terms, Agreements or Policies.",100.0,9035,sub,"When you access or use our Service you are bound to our Terms of Service and policies, including this Privacy Policy. We ensure your compliance with our terms, agreements and policies (the “Terms”) by: monitoring, investigating, preventing and mitigating any alleged or actual prohibited, illicit or illegal activities on our Service or violations of our Terms; enforcing our Terms with third parties and/or partners; and, as applicable, collecting fees based on your use of our Service. We cannot perform our Service in accordance with our Terms without processing your personal information.",592,<first>,<how-used>
"To Enforce Compliance with Our Terms, Agreements or Policies.","To Enforce Compliance with Our Terms, Agreements or Policies.",100.0,9035,sub,E.,2,<first>,<how-used>
