decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Welcome to Dexati | Premier Photo AppsHomeAppsAbout usContact usPrivacy,71,<error>,<error>
We Respect Your Privacy,We Respect Your Privacy,100.0,77,main,"We Respect Your PrivacyHomePrivacyPrivacyWe Respect Your PrivacyLast Updated date: September 9, 2019This Privacy Policy details how we collect, use, share and protect data in relation to our mobile apps that use cloud services and your choices about the collection and use of your data.By using our Service you understand and agree that we are providing a platform for you to process your content.Our Policy applies to all visitors, users, and others who access the Service (â€œUsersâ€)",487,<generic>,<other>
1. DATA WE HAVE ACCESS TO,1. DATA WE HAVE ACCESS TO,100.0,573,main,1. DATA WE HAVE ACCESS TOWe collect the following types of data.,64,<first>,<what>
a) Your photos that you provide to our app for following features:,a) Your photos that you provide to our app for following features:,100.0,639,sub,a) Your photos that you provide to our app for following features:Auto Background RemoverFace CopyPicture MorphWe delete the photos you share with us immediately after processing them. No person at Dexati LLC or any other service operated by Dexati LLC will have access to these photos. We may add additional services in futrue to improve the app that use our cloud services.,375,<first>,<what>
b) Device Metadata:,b) Device Metadata:,100.0,1019,sub,"b) Device Metadata:When you use our app, we may access, collect following data about your device to provide better service:Operating systemDevice type and manufacturerDevice languageWhether you purchased our pro version and purchase id as proof",244,<first>,<what>
2. HOW WE USE YOUR DATA,2. HOW WE USE YOUR DATA,100.0,1269,main,"2. HOW WE USE YOUR DATAIn addition to some of the specific uses of data we describe in this Privacy Policy, we may use data that we receive to:provide personalized content and information to you, which could include online ads or other forms of marketingmonitor metrics such as total number of visitors, traffic, and demographic patternsdiagnose or fix technology problems",372,<first>,<how-used>
3. SHARING YOUR DATA,3. SHARING YOUR DATA,100.0,1646,main,3. SHARING YOUR DATAWe will not rent or sell your data to third parties. How ever we use use Google Admob SDK for advertisements in our applications and Facebook SDK for analytics.,180,<third>,<how-gathered>
What happens in the event of a change of control:,What happens in the event of a change of control:,100.0,1828,sub,"What happens in the event of a change of control:If we sell or otherwise transfer part or the whole of app or our assets to another organization (e.g., in the course of a transaction like a merger, acquisition, bankruptcy, dissolution, liquidation), your information such as User Content and any other data collected through the Service may be among the items sold or transferred. You will continue to own your User Content. The buyer or transferee will have to honor the commitments we have made in this Privacy Policy.",520,<third>,<when>
Responding to legal requests and preventing harm:,Responding to legal requests and preventing harm:,100.0,2350,sub,Responding to legal requests and preventing harm:,49,<third>,<why>
Responding to legal requests and preventing harm:,Responding to legal requests and preventing harm:,100.0,2350,sub,"We may access, preserve and share your data in response to a legal request (like a search warrant, court order or subpoena) if we have a good faith belief that the law requires us to do so. This may include responding to legal requests from jurisdictions outside of the United States where we have a good faith belief that the response is required by law in that jurisdiction, affects users in that jurisdiction, and is consistent with internationally recognized standards. We may also access, preserve and share data when we have a good faith belief it is necessary to: detect, prevent and address fraud and other illegal activity; to protect ourselves, you and others, including as part of investigations; and to prevent death or imminent bodily harm. Information we receive about you may be accessed, processed and retained for an extended period of time when it is the subject of a legal request or obligation, governmental investigation, or investigations concerning possible violations of our terms or policies, or otherwise to prevent harm.",1047,<third>,<why>
4. HOW WE PROCESS YOUR DATA,4. HOW WE PROCESS YOUR DATA,100.0,3448,main,4. HOW WE PROCESS YOUR DATA,27,<first>,<how-used>
Storage and Processing:,Storage and Processing:,100.0,3476,sub,"Storage and Processing:Your data collected through the Service may be processed in the United States. If you are located in the European Union or other regions with laws governing data collection and use that may differ from U.S. law, please note that we may transfer information, including personal information, to a country and jurisdiction that does not have the same data protection laws as your jurisdiction.",413,<retention>,<how-used>
Storage and Processing:,Storage and Processing:,100.0,3476,sub,"By registering for and using the Service you consent to the transfer of information to the U.S. and the use and disclosure of information about you as described in this Privacy Policy.We use commercially reasonable safeguards to help keep the information collected through the Service secure and take reasonable steps to protect any information you provided us. However, Dexati LLC cannot ensure the security of any information you transmit to our app or guarantee that information on the Service may not be accessed, disclosed, altered, or destroyed.",551,<retention>,<how-used>
5. CHILDRENâ€™S PRIVACY,5. CHILDRENâ€™S PRIVACY,100.0,4444,main,"5. CHILDRENâ€™S PRIVACYDexati LLC does not knowingly collect or solicit any information from anyone under the age of 13. The Service and its content are not directed at children under the age of 13. In the event that we learn that we have collected personal information from a child under age 13 without parental consent, we will delete that information as quickly as possible. If you believe that we might have any information from or about a child under 13, please contact us.",478,<audience>,<other>
6. QUESTIONS?,6. QUESTIONS?,100.0,4924,main,"6. QUESTIONS?If you have any questions about this Privacy Policy or the Service, please contact us through the email partners@dexati.com.",137,<contact>,<other>
7. CHANGES TO OUR PRIVACY POLICY,7. CHANGES TO OUR PRIVACY POLICY,100.0,5063,main,"7. CHANGES TO OUR PRIVACY POLICYDexati LLC may modify or update this Privacy Policy from time to time, so please review it periodically. We may provide you additional forms of notice of modifications or updates as appropriate under the circumstances. Your continued use of our app or the Service after any modification to this Privacy Policy will constitute your acceptance of such modification.© 2022Dexati.All Rights Reserved.|Privacy|Terms of serviceadmin@dexati.com",469,<change>,<other>
