decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
개인정보처리방침,개인정보처리방침,100.0,0,main,개인정보처리방침개인정보처리방침 바로가기 메뉴,24,<generic>,<other>
Kakao Privacy Policy,Kakao Privacy Policy,100.0,26,main,Kakao Privacy Policy펼치기Kakao Privacy Policy,43,<generic>,<other>
1. Kakao Privacy Policy,1. Kakao Privacy Policy,100.0,72,main,1. Kakao Privacy PolicyA privacy policy refers to guidelines a company complies with in order to ensure that users can use the service with confidence. Kakao adheres to the statutory laws and personal data protection regulations of the Republic of Korea applicable to data controllers and provides a privacy policy in compliance therewith.Kakao “uses and provides the user’s ,375,<generic>,<other>
Personal Information,personal information,100.0,449,sub,"personal information based on the user’s consent”.Kakao strives to offer an easy-to-comprehend Privacy Policy in order to actively guarantee the user’s rights (the right to control one’s own personal information). As part of our efforts, we have used labels to highlight the important categories of our Privacy Policy.PersonalInformationPersonal Information[Required]",367,<first>,<what>
Personal Information,personal information,100.0,449,sub,"Email, password, name (nickname), profile photo, friends, KakaoTalk phone number (only for KakaoTalk users), contacts, service use history, purchase/payment history in the Service[Optional]Date of birth, gender, shipping address information (recipient's name, shipping address, phone number)These personal information items are collected when you sign up for a ""Kakao Account"". Please refer to thePrivacy Policybelow for more details.닫기Purposeof Processing",456,<first>,<what>
Purpose of Processing,Purpose of Processing,100.0,1287,sub,"Purpose of ProcessingUsers' personal information collected by Kakao is only used for purposes needed to provide Kakao services, including member management, service provision and improvement, and new service development.Whenever personal information is collected, users are notified of the processing of information and users' consent is obtained.Please refer to the contents of thePrivacy Policybelow for more information on the purpose of processing personal information collected by Kakao.닫기Provision",503,<first>,<why>
Purpose of Processing,Purpose of Processing,100.0,1287,sub,to Third Parties,16,<first>,<why>
Provision to Third Parties,Provision to Third Parties,100.0,1815,sub,"Provision to Third PartiesPersonal information may be provided to connect to a third party's service or use affiliated services. Kakao does not provide personal information to a third party without separate consent from the user, unless it is stipulated in laws and regulations. Information that is provided to third parties is only provided after notify users of the information recipient and the purpose of provision, and after obtaining consent from the user.Please refer to the contents of thePrivacy Policy",511,<third>,<how-used>
Provision to Third Parties,Provision to Third Parties,100.0,1815,sub,below on when and why Kakao provides personal information to a third party.닫기Entrustmentof Processing,101,<third>,<how-used>
Entrustment of Processing,Entrustment of Processing,100.0,2435,sub,"Entrustment of ProcessingIf needed for service provision, some personal information processing tasks may be entrusted to an external entity. Kakao manages and supervises whether the entrusted entity complies with laws and regulations on personal information protection by limiting the entrusted entity's processing of personal information to that necessary to execute the entrusted tasks, applying technical and administrative protective measures and restricting re-entrustment.",478,<third>,<how-used>
Entrustment of Processing,Entrustment of Processing,100.0,2435,sub,Please refer to the contents of thePrivacy Policybelow for a complete list of parties that are entrusted by Kakao to handle personal information.닫기Rights andObligationsof InformationOwners,188,<third>,<how-used>
Rights and Obligations of Information Owners,Rights and Obligations of Information Owners,100.0,3111,sub,"Rights and Obligations of Information OwnersKakao guarantees the rights and obligations of the information owner when processing personal information.Kakao users can view or update their personal information at any time, withdraw consent to the collection, use and provision of personal information, and request to deactivate their account.Please refer to thePrivacy Policybelow for more information on the rights and obligations of information owners defined by Kakao.닫기Privacy ProtectionDepartments",500,<choice>,<other>
