decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicySearch this siteSkip to main contentSkip to navigationHomeSetup GuideOppo ColorOS 3.0Oppo ColorOS 2.0Xiaomi DeviceHuawei EMUI 4Huawei EMUI 3VIVOPrivacy PolicyHomeSetup GuideOppo ColorOS 3.0Oppo ColorOS 2.0Xiaomi DeviceHuawei EMUI 4Huawei EMUI 3VIVOPrivacy PolicyMoreHomeSetup GuideOppo ColorOS 3.0Oppo ColorOS 2.0Xiaomi DeviceHuawei EMUI 4Huawei EMUI 3VIVOPrivacy PolicyPrivacy Policy,398,<generic>,<other>
Assistive Touch Team - Privacy Policy,Assistive Touch Team - Privacy Policy,100.0,431,main,Assistive Touch Team - Privacy Policy,37,<generic>,<other>
ASSISTIVE TOUCH TEAM'S STATEMENT OF PRIVACY PROTECTION,ASSISTIVE TOUCH TEAM'S STATEMENT OF PRIVACY PROTECTION,100.0,469,main,ASSISTIVE TOUCH TEAM'S STATEMENT OF PRIVACY PROTECTIONAssistive Touch Team attaches great importance to ,104,<generic>,<other>
Protecting YOUR Privacy,protecting your privacy,100.0,574,main,"protecting your privacy. Before using the services or apps provided by Assistive Touch Team, please read carefully the following statements.In order to provide more accurate and well-targeted services, Assistive Touch Team may use personal information submitted by you in the manners mentioned below; nevertheless, Assistive Touch Team will treat such information with a high level duty of diligence. Without your permission, Assistive Touch Team will not disclose such information or provide such information to any third party.",529,<generic>,<other>
Protecting YOUR Privacy,protecting your privacy,100.0,574,main,Protecting YOUR Privacy,23,<generic>,<other>
Protecting YOUR Privacy,protecting your privacy,100.0,574,main,"It is Assistive Touch Team's principle to respect the privacy of the personal information of our users. Assistive Touch Team will take reasonable measures to protect user's personal information, without disclosing such information to any third party other than its Partners (without the consent of the user), unless such disclosure is required by law, court order or competent government departments or agreed to by the user. Exceptions will be applied if the user selects to accept such disclosures during the registration process (where applicable), or is otherwise stipulated on the disclosure or use of a user's personal information between the user and Assistive Touch Team and its Partners. The user shall bear any risks that may arise from any authorized disclosure of a user's personal information. For the operation and improvement of Assistive Touch Team's technologies and services, Assistive Touch Team may collect and use the non-personal information of its users, or provide such information to third parties, in order to provide better user experience and improve the quality of our services.",1107,<generic>,<other>
Collection of Information,Collection of Information,100.0,2237,main,Collection of Information,25,<first>,<what>
Collection of Information,Collection of Information,100.0,2237,main,"Assistive Touch Team may collect your personal information when you voluntarily opt to use our services, apps or provide us with your personal information. We may use your personal information to communicate with you, and may send certain mandatory service communications to you, such as notification, information on technical service issues, and security announcements. We may also occasionally send you product surveys or promotional mailings to inform you of other products or services available from Assistive Touch Team and its affiliates. Your download, installation and use of the software shall be deemed to constitute consent to our use of your personal information. In addition, your download, installation and use of products/service from Assistive Touch Team and its affiliates, shall be deemed that you have expressly provided your consent to Assistive Touch Team for disclosure of personal information to Assistive Touch Team's partners and/or affiliates ""Partners"").",981,<first>,<what>
Permission,Permission,100.0,3245,main,PermissionThis app uses the Device Administrator permission.- Permission,72,<first>,<how-gathered>
android.permission.CAMERA,android.permission.CAMERA,100.0,3320,sub,"android.permission.CAMERAto turn on Flashlight, not take a photo.- Permission",77,<first>,<how-gathered>
android.permission.READ_PHONE_STATE,android.permission.READ_PHONE_STATE,100.0,3400,sub,android.permission.READ_PHONE_STATEonly listen state of phone to make app work properly.- Permission,100,<first>,<how-gathered>
android.permission.BIND_DEVICE_ADMIN,android.permission.BIND_DEVICE_ADMIN,100.0,3503,sub,"android.permission.BIND_DEVICE_ADMINonly use for lock the screen function. App does not use the permission for any other purpose.- We never publicly disclose any personal or sensitive user data related to financial or payment activities or any government identification numbers, photos and contacts, etc.Thank You!Report abuseGoogle SitesReport abuse",350,<first>,<how-gathered>
