decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy – My Data Manager,Privacy Policy – My Data Manager,100.0,0,main,Privacy Policy – My Data ManagerAboutSupportPrivacy Policy –My Data ManagerAvailable at:www.mydatamanagerapp.com/pp-en/See previous versionsdata.ai,147,<generic>,<other>
Privacy Policy for Mobile Applications ( My Data Manager ),"Privacy Policy for Mobile Applications (
My Data Manager
)",96.55172413793103,156,main,"Privacy Policy for Mobile Applications (My Data Manager)Last UpdatedJune28, 2022",80,<generic>,<other>
Our Privacy Policy Has Recently Changed.,Our Privacy Policy Has Recently Changed.,100.0,243,main,"Our Privacy Policy Has Recently Changed.The privacy and security of your information is important to us. We have made changes to our Privacy Policy that apply with respect to information that you provide on or after the date indicated in the “Last Updated” legend above. These changes include:Additional detail regarding what personal information and other information we collect from you, and how we collect and use it;",420,<change>,<other>
Our Privacy Policy Has Recently Changed.,Our Privacy Policy Has Recently Changed.,100.0,243,main,"Further descriptions of the parties with whom and for what purposes your information is shared; andWhat rights you have regarding your personal information.To learn more, please review the fulldata.aiPrivacy Policy for Mobile Applications below.data.ai cares about the privacy of individuals who use our mobile application,My Data Manager(“App”). You can also learn more about the App at our websitewww.mydatamanagerapp.com.As used herein, “data.ai” or “us/we/our”, refers todata.ai inc.",487,<change>,<other>
Our Privacy Policy Has Recently Changed.,Our Privacy Policy Has Recently Changed.,100.0,243,main,", a US company, acting by itself and/or through entities that are legally part of the data.ai family of companies (the “Related Companies”). Those Related Companies include, but are not limited to,data.ai Europe Limited,Mobidia Technology Inc., andDistimo BVSee a list of Related Companies here:www.mydatamanagerapp.com/related-companies-en/For more information about how data.ai processes your personal information when you visit our website atdata.ai, please reviewhttps://www.data.ai/en/legal/privacy/.",505,<change>,<other>
Summary,Summary,100.0,1691,main,"SummaryThisdata.aiPrivacy Policy for Mobile Applications (“Policy”) explains how the App collects information about you and about how you use your mobile device, including information about the apps you use and websites you visit.data.aiprocesses and safeguards information we obtain from and about you when you use the App. The Policy also explains your rights and choices with respect to your personal information, and how you can contact us if you have any questions or concerns. No part of the App is directed to children under the age of 16, nor do we knowingly collect information from anyone under the age of 16. This Policy does not apply to other websites, mobile applications and services provided by",710,<generic>,<other>
Summary,Summary,100.0,1691,main,"data.ai. Please visit the privacy policy for the respective website, mobile application or service.Your use of the App is subject to this Policy and theTerms of Serviceaccessible on the App.If any term of this Policy is unacceptable to you, please do not use the App and do not provide your personal information.",312,<generic>,<other>
TABLE OF CONTENTS,TABLE OF CONTENTS,100.0,2727,main,TABLE OF CONTENTSHOWDATA.AICOLLECTS YOUR INFORMATIONHOW WE USE YOUR INFORMATIONHOW WE DISCLOSE YOUR INFORMATIONTRANSFERS TO OTHER COUNTRIESDATA RETENTIONOUR COMMITMENT TO SECURITYCHILDREN’S PRIVACYDO NOT TRACKYOUR RIGHTS AND CHOICESTHIRD-PARTY PLATFORMSUPDATES TO THIS PRIVACY POLICYHOW TO CONTACT US,300,<not>,<other>
1. How data.ai Collects Your Information,"1. How
data.ai
Collects Your Information",95.0,3042,main,"1. Howdata.aiCollects Your InformationFor the purpose of this Policy, “Personal Information” means any information relating to an identified or identifiable individual or, when applicable, legal entity. An identifiable individual or legal entity is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, or an online identifier. We obtain Personal Information relating to you from various sources described below.",510,<first>,<how-gathered>
1. How data.ai Collects Your Information,"1. How
data.ai
Collects Your Information",95.0,3042,main,"Where applicable, we indicate whether and why the provision of your Personal Information is a statutory or contractual requirement, as well as the possible consequences of failing to do so.",189,<first>,<how-gathered>
i. Personal Information Provided Directly by You When You Engage With Us,i. Personal Information Provided Directly by You When You Engage With Us,100.0,3748,sub,"i. Personal Information Provided Directly by You When You Engage With UsIf you contact us directly, such as to request information, access the App, or connect with Customer Support, we may receive additional Personal Information about you, such as your name, email address, the content, date and time of your message, and our reply. We also may receive Personal Information if you complete a survey, such as demographic information (e.g., age, gender) and any other Personal Information you choose to provide.",509,<first>,<how-gathered>
ii. Personal Information We Collect About You When You Use the App,ii. Personal Information We Collect About You When You Use the App,100.0,4259,sub,"ii. Personal Information We Collect About You When You Use the AppDepending on the mobile device operating system you use (i.e.,iOSorAndroid) and the choices you make when you open the App for the first time or at any later stage in the App’sData Privacy Preferences, we collect the following Personal Information:",314,<first>,<how-gathered>
Device-specific information:,"
Device-specific information",96.42857142857143,4580,sub,"Device-specific information: This includes your mobile device model, operating system, version number, web browser used, language and regional setting, carrier or network, time stamp and zone, device motion parameters;",218,<first>,<what>
Information about your use of other apps and websites:,"
Information about your use of other apps and websites",98.14814814814815,4800,sub,Information about your use of other apps and websites: This includes the frequency and length of time you spend on other apps and websites you visit as well as the dates and times of your interactions;,201,<first>,<what>
Your approximate (“coarse”) location:,"
Your approximate (“coarse”) location",97.2972972972973,5003,sub,Your approximate (“coarse”) location: This includes latitude and longitude of the center of the nearest city without revealing your precise location or GPS data;,161,<first>,<what>
Unique identifiers:,"
Unique identifiers",94.73684210526316,5166,sub,"Unique identifiers: This includes unique installation IDs, IP addresses, User Agents,Identifiers for Advertisers(“IDFA”, oniOSonly),Android IDs (onAndroidonly) and other user and device identifiers;",198,<tracking>,<what>
Crash-related information:,"
Crash-related information",96.15384615384616,5376,sub,"Crash-related information: This includes information about errors and crashes when accessing and using the App (e.g., lost connection to the Internet), such as date and time of crashes and crash traces;",202,<first>,<what>
User tracking information:,"
User tracking information",96.15384615384616,5580,sub,"User tracking information: This includes statistics about your interaction within the App, such as the number of daily active App users, how often and when users launch or close the App, which App screens users open and how they interact with different App features;",266,<tracking>,<what>
Ad attribution and user analytics information:,"
Ad attribution and user analytics information",97.82608695652173,5848,sub,"Ad attribution and user analytics information: This includes information related to our marketing campaigns and user behavior, such as clicks on our ads, the webpage or application from which such ads were displayed, other user events and actions related to our marketing campaigns.This App integrates several software development kits (“SDKs",342,<tracking>,<what>
Ad attribution and user analytics information:,"
Ad attribution and user analytics information",97.82608695652173,5848,sub,"”) that contain a set of tools from third-party providers that allow us to use their existing framework to develop certain functionalities of this App. Please refer to Section 10 of this Policy for more details about the SDKs and the specific categories of Personal Information that these SDKs process, if you have consented to their use in the App’sData Privacy Preferences.",375,<tracking>,<what>
2. How We Use Your Information,2. How We Use Your Information,100.0,6573,main,2. How We Use Your Information,30,<first>,<how-used>
