decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY,Privacy Policy,100.0,0,main,Privacy Policy | GreetingsIsland.comGO PREMIUMLogin/Sign upMy favoritesSaved draftsmy eventsMy eventsPurchasesSettingsLog outWeddingWedding invitesElegantRusticSimplePhotoModernFloral & BotanicalBeachIndianDestinationPremiumVintageMoreSave the dateRusticSimpleDestinationPhotoPartyEngagement partyBridal showerBachelor partyRehearsal dinnerStationeryRSVP cardsBridesmaid cardsEngagement announcementsWedding announcementsGreetingsWeddingThank youEngagementUpload your ownBirthdayBirthday invitesKids1st birthday,511,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,Women'sMilestoneAdd a photoMen'sSurpriseMoreInvite themesUnicornDinosaurRainbowSuperheroWild oneButterflyPrincessMermaidPirateFiestaVirtual partyMoreBirthday cardsKidsAdd a photoFunnyMilestoneThank youBelatedSweet 16FamilyMoreCards for himDadGrandpaSonBrotherHusbandUncleMoreCards for herMomGrandmaDaughterSisterWifeAuntMoreUpload your ownBaby & KidsBabyBaby showerGender revealBaby sprinkleSip & SeeBaby shower themesElephantButterflyPremiumFloralWoodlandPrincessPink and goldSafariUnicornMermaidDinosaur,505,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,NauticalVirtual PartyMoreAnnouncementsBirthPregnancyReligiousBaptism & ChristeningBar & Bat MitzvahFirst communionBirthday invitesKids1st birthdaySweet 16QuinceaneraUpload your ownPartyCelebrationsGraduation partyAnniversaryRetirement & FarewellBaby showerEngagement partyRehearsal dinnerBridal showerBachelor partyMoreGatheringsHousewarmingDinner partyCocktail partyBrunchFamily reunionBack to schoolAnytimeSleepoverBBQPotluckSummer & PoolLuauSports & GamesFiestaPicnicTea partyVirtual partyMoreHolidays,504,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,St patrick`s dayRamadanEaster4th of JulyRosh HashanahHalloweenThanksgivingDiwaliHanukkahChristmasNew yearKwanzaaChinese new yearValentine`s dayMoreReligiousBaptism & ChristeningBar & Bat MitzvahFirst communionBusiness eventsGalaGrand openingOpen houseCocktail partyDinner partyRetirementMoreUpload your ownGreetingsBirthdayKidsFunnyMilestoneBelatedAdd a photoFamilyFor herFor himMoreEvents & OccasionsNew babyGraduationWeddingAnniversaryRetirementEngagementBar MitzvahNew homeMoreThank youGeneralGraduation,506,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,Teacher appreciationFor supportWeddingBirthdayBabyBaptismMoreThoughts & FeelingsGet wellSympathyLove & RomanceCongratulationsGood luckGoodbyeSorryFriendshipMiss youAnytimeCheer upExamHugsMoreHolidaysSt patrick`s dayRamadanEasterCinco De MayoMother`s dayFather`s day4th of JulyRosh HashanahGrandparents dayHalloweenBoss dayThanksgivingDiwaliVeterans dayHanukkahChristmasNew yearKwanzaaChinese new yearValentine`s dayMoreAnnouncementsGraduationMemorialSave the dateEngagementWeddingPregnancyBirthMovingMore,504,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,EnvelopesUpload your ownTrendingEngagement partyCollection: Bethan RichardsFloral wedding invitesUnicorn birthdaysSt. Patrick's Day invitesPopular searchesMy favoritesSaved draftsmy eventsMy eventsPurchasesSettingsLog outLoginSign upCancelPopular searchesGO PREMIUMAllWeddingWedding InvitesElegantRusticSimplePhotoModernFloral & BotanicalIndianAllSave the dateRusticSimpleDestinationPhotoAllPartyEngagement partyBridal showerBachelor partyRehearsal dinnerStationeryRSVP cardsBridesmaid cards,491,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,Engagement announcementsWedding announcementsGreetingsEngagementWeddingThank youUpload your ownBirthdayBirthday invitesKids1st birthdayWomen'sMen'sAdd a photoMilestoneAllInvite themesUnicornDinosaurRainbowSuperheroWild oneButterflyPrincessAllBirthday cardsKidsAdd a photoFunnyMilestoneThank youAllCards for himDadGrandpaSonBrotherHusbandAllCards for herMomGrandmaDaughterSisterWifeAllUpload your ownBaby & KidsBabyBaby showerGender revealBaby sprinkleSip & SeeAllBaby shower themesElephantButterflyPremiumFloral,511,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,WoodlandPrincessPink and goldAllAnnouncementsBirthPregnancyReligiousBaptism & ChristeningBar & Bat MitzvahFirst communionBirthday invitesKids1st birthdaySweet 16QuinceaneraUpload your ownPartyCelebrationsGraduation partyAnniversaryRetirement & FarewellBaby showerEngagement partyRehearsal dinnerBridal showerBachelor partyAllGatheringsHousewarmingDinner partyCocktail partyBrunchFamily reunionBack to schoolAnytimeAllHolidaysSt patrick`s dayChinese new yearValentine`s dayRamadanEaster4th of JulyRosh HashanahAll,512,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,ReligiousBaptism & ChristeningBar & Bat MitzvahFirst communionAllBusiness eventsGalaGrand openingOpen houseCocktail partyDinner partyRetirementAllUpload your ownGreetingsBirthdayKidsFunnyMilestoneBelatedAllEvents & OccasionsNew babyGraduationWeddingAnniversaryAllThank youGraduationTeacher appreciationFor supportWeddingAllThoughts & FeelingsGet wellSympathyLove & RomanceCongratulationsAllHolidaysValentine`s dayChinese new yearSt patrick`s dayRamadanEasterCinco De MayoMother`s dayAllAnnouncementsGraduation,509,<generic>,<other>
PRIVACY POLICY,Privacy Policy,100.0,0,main,MemorialSave the dateEngagementWeddingAllEnvelopesUpload your ownTrendingEngagement partyCollection: Bethan RichardsFloral wedding invitesUnicorn birthdaysSt. Patrick's Day invitesPRIVACY POLICY,194,<generic>,<other>
