decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Notice,Privacy Notice,100.0,0,main,Privacy Notice | YousicianInstrumentsGuitarBassPianoUkuleleSingingArtist CoursesMetallicaJason MrazJuanesBlogFamily PlanHelpsphereLanguagesDeutschEnglishEspañolFrançaisItaliano日本語PortuguêsРусский简体中文繁體中文My accountLogoutPrivacy NoticeLast edited 10 January 2023,260,<generic>,<other>
Privacy Notice,Privacy Notice,100.0,0,main,"Thank you for using Yousician services! This Privacy Notice explains what personal data Yousician Ltd. and its subsidiaries (“we” in this notice) collect about you and how we use your personal data, as well as the choices you have about your personal data.This Privacy Notice applies to all of Yousician’s services (such as our online music learning apps Yousician and Campfire, and our instrument tuning apps), websites likeyousician.com",438,<generic>,<other>
Privacy Notice,Privacy Notice,100.0,0,main,"and related services and properties we control and which we collectively here call the “Services”. We may update this Privacy Notice from time to time by posting a new version of the Privacy Notice onyousician.com. If the changes we make are material, we will notify you by posting a notice in the Services or by other appropriate means. Please note that your use of the Services after the effective date is subject to the new Privacy Notice.",442,<generic>,<other>
Privacy Notice,Privacy Notice,100.0,0,main,The terms and conditions applicable to our Services have been set out in ourTerms of Service.,93,<generic>,<other>
1. CONTACT US,"1.
CONTACT US",92.3076923076923,1271,main,"1.CONTACT USIf you have any questions about this Privacy Notice or the ways we use your data, please contact us atprivacy@yousician.com.For the activities described in this notice, the data controller (i.e. the entity that determines how and why personal data is processed) is Yousician Ltd. Our address is Siltasaarenkatu 16, 00530 Helsinki, Finland.",351,<contact>,<other>
1. CONTACT US,"1.
CONTACT US",92.3076923076923,1271,main,"When we operate the Services, we may share your data with the partners we work with. Some of the partners are data controllers independently of us and they can determine how and why they process your data.",205,<contact>,<other>
2. WHAT PERSONAL DATA WE COLLECT AND WHERE WE GET THE DATA,"2.
WHAT PERSONAL DATA WE COLLECT AND WHERE WE GET THE DATA",98.27586206896551,1834,main,2.WHAT PERSONAL DATA WE COLLECT AND WHERE WE GET THE DATA,57,<first>,<what>
Personal data that you provide us:,Personal data that you provide us:,100.0,1893,sub,"Personal data that you provide us:Contact information, such as your name, email address or other contact information, if you have provided them to us (for example, if you create an account in our Services or subscribe to our communications),Your username and password (if you create an account in our Services),Profile information (such as profile photo, if you choose to add this to your profile),Your payment related data for processing the billing of your Services subscriptions and other purchases you make,",511,<first>,<how-gathered>
Personal data that you provide us:,Personal data that you provide us:,100.0,1893,sub,"School name and contact details, if you enroll in our Service as a teacher user to make sure it’s a real place of education,Your messages to the Services (such as if you are in touch with us or our support agents about resolving issues in the Services, send messages to our forums or support),Your comments, feedback or other info you provide, if you participate in our surveys or other research,Other data you choose to give to us through our Services or otherwise,",466,<first>,<how-gathered>
Personal data that you provide us:,Personal data that you provide us:,100.0,1893,sub,"With your consent, other information explained to you when asking for your consent.",83,<first>,<how-gathered>
Personal Data we get from our partners,Personal Data we get from our partners,100.0,2963,sub,"Personal Data we get from our partnersIf you choose to connect a third party account (for example a Facebook account) with our Services, we receive information from the third-party account provider (for exampleif you decide to sign up to our Service with Facebook login, we receive from Facebook your name, email address or other identifier to enable cross-device gameplay, profile picture, and friends information to connect you with your friends who already use our Services),",478,<third>,<how-gathered>
Personal Data we get from our partners,Personal Data we get from our partners,100.0,2963,sub,"Data from platforms that the applications run on (e.g. to verify payments),We also receive personal information from our analytics and advertising partners, such as information about your interactions with our ads outside our Services (for example on third party websites), including information on how you were referred to our Services,",337,<third>,<how-gathered>
Personal Data we get from our partners,Personal Data we get from our partners,100.0,2963,sub,"If you are shown ads in our Services, we receive personal information from our advertising partners, such as information about how you interact with those ads (for example, the number of times you click, view or engage with an ad, as well as your device platform and country of location),If you make purchases in our Services, we receive data relating to thetransactionsfrom the third-party payment service providers involved in those transactions to validate those purchases.",476,<third>,<how-gathered>
Services collect certain data automatically when you use them:,Services collect certain data automatically when you use them:,100.0,4264,sub,"Services collect certain data automatically when you use them:Information on your use of the Services, such as your data about your use of our Services (e.g. progress, songs played, levels, session length, visits to our websites), and your interactions in the Services (such as data on or purchases you make or content you choose to share) as well as crash logs and other information related to bugs, errors and other issues in our Services",440,<first>,<how-gathered>
Services collect certain data automatically when you use them:,Services collect certain data automatically when you use them:,100.0,4264,sub,"Your IP address to bring our product to your device, but also to get an idea of your general location through IP geolocation data (on city, state or country level) so that we can manage the content available in the Service in your territory or to show you pricing in your own currency and also to analyse our Service and its usage.",331,<first>,<how-gathered>
Services collect certain data automatically when you use them:,Services collect certain data automatically when you use them:,100.0,4264,sub,"Device identifiers (such as your device ID, advertising ID, IMEI), identifiers we assign to your account, other technical information about the device you use for our Services (such as device type, operating system, language or browser type and version)Cookies and other similar technologies (such as software development kits, SDKs) we use can collect some data automatically. You can find more details about our cookie usage at the end of this document in the “Cookies” -section.",481,<first>,<how-gathered>
Services collect certain data automatically when you use them:,Services collect certain data automatically when you use them:,100.0,4264,sub,We may also generate and assign a user ID when you access or use our Services,77,<first>,<how-gathered>
Services collect certain data automatically when you use them:,Services collect certain data automatically when you use them:,100.0,4264,sub,"Providing data to us is not mandatory, but we are unable to provide the Services, or some parts or features of the Services, without processing your data. If you use our Services, we will collect data relating to you for some or all of the purposes described in this notice, depending on the Services you decide to use and your choices when using them. You have a number of options to control the extent to which we process your data, such as whether or not to connect your third party accounts to our Services, resetting or limiting the use of your advertising IDs in your device settings, or disable the use of cookies in our cookie banner and/or your browser settings, or opt-out of the sharing of your personal data for the purposes of personalized advertising in the privacy settings of our Services.",805,<first>,<how-gathered>
Services collect certain data automatically when you use them:,Services collect certain data automatically when you use them:,100.0,4264,sub,"We do not intend to collect or process any data relating to you belonging to special categories, such as data revealing racial or ethnic origin, religious or philosophical beliefs or trade union membership, genetic, biometric or health information, or data concerning person’s sex life or sexual orientation. Please do not provide this type of information to us or make it available to others in the Services.",409,<first>,<how-gathered>
3. WHY WE PROCESS YOUR PERSONAL DATA,3. WHY WE PROCESS YOUR PERSONAL DATA,100.0,6815,main,3. WHY WE PROCESS YOUR PERSONAL DATAWe will use your personal data for the following purposes on these legal bases:,115,<first>,<why>
To make the Services work.,To make the Services work.,100.0,6932,sub,"To make the Services work.In order for us to perform our contract with you, we process your data necessary toset up and maintain your account in our Services (where applicable) and allow you to use our Services,operate the Services,provide you the Services and products you request,process transactions and verify and confirm payments,send you service-related communications (for example confirmations, administrative messages, technical notices).",447,<first>,<why>
To make the Services more suitable to our users.,To make the Services more suitable to our users.,100.0,7386,sub,"To make the Services more suitable to our users.In order to provide great Services to our users and to provide you the best user experience possible, we have a legitimate interest to process necessary data toanalyze, develop and improve our Services and the user experience, and customize it for you,manage our customer relationship with you,provide social features as part of the Services (for example, leaderboards),provide user support and respond to your questions and comments,",482,<first>,<why>
To make the Services more suitable to our users.,To make the Services more suitable to our users.,100.0,7386,sub,"analyze your use of our Services, for example to understand what type of content or music genre you are interested in, and customize your service experience,send you updates, alerts, news and other information related to our Services or other operations,troubleshoot or debug any errors or other issues in our Services,create data that is not identifiable to you (for example, aggregated data),conduct surveys or other research to learn more about our Services or users.",470,<first>,<why>
