decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyThis Privacy Policy (the ""Policy"") explains the way of treatment of the information which is provided or collected in the websites on which this Policy is posted. In addition the Policy also explains the information which is provided or collected in the course of using the applications of the Company which exist in the websites or platforms of other company.Â",375,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,"Through this Policy, the Company regards personal information of the users as important and inform them of the purpose and method of Company's using the personal information provided by the users and the measures taken by the Company for protection of those personal information.Â",280,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,"This Policy will be effective on the 1 th day of March, 2017 and, in case of modification thereof, the Company will make public notice of it through posting it on the bulletin board of Company's website or individual notice through sending mails, fax or e-mails).Â",264,<generic>,<other>
1. Information to be collected and method of collection,1. Information to be collected and method of collection,100.0,926,main,1. Information to be collected and method of collectionÂ,56,<first>,<how-gathered>
(1) Personal information items to be collected,(1) Personal information items to be collected,100.0,984,sub,"(1) Personal information items to be collectedÂPersonal information items to be collected by the Company are as follows:Â* Information provided by the usersÂThe Company may collect the information directly provided by the users.Â- Name, email address, ID, national informationÂ- Information of service use of members such as the type of contents watched or used by members, frequencies and period of activities of membersÂ* Information collected while the users use servicesÂ",475,<first>,<what>
(1) Personal information items to be collected,(1) Personal information items to be collected,100.0,984,sub,"Besides of information directly provided by the users, the Company may collect information in the course that the users use the service provided by the Company.ÂEquipment information : Equipment identifier, operation system, hardware version, equipment set-up.ÂLog information : Log data, use time, search word input by users, internet protocol address, cookie and web beaconÂOther information : Preference, advertisement environment, visited pages regarding service use of usersÂ",480,<first>,<what>
(2) Method of collection,(2) Method of collection,100.0,1961,sub,"(2) Method of collectionÂThe Company collects the information of users in a way of the followings:Â* webpage, written form, fax, telephone calling, e-mailing, tools for collection of created informationÂ* provided by partner companiesÂ",235,<first>,<how-gathered>
2. Use of collected information,2. Use of collected information,100.0,2204,main,2. Use of collected informationÂThe Company uses the collected information of users for the following purposes:Â* Member management and identificationÂ* To detect and deter unauthorized or fraudulent use of or abuse of the ServiceÂ* Performance of contract and service fee settlement regarding provision of services demanded by the usersÂ* Improvement of existing services and development of new servicesÂ* Making notice of function of company sites or applications or matters on policy changeÂ,494,<first>,<how-used>
2. Use of collected information,2. Use of collected information,100.0,2204,main,"* To help you connect with other users you already know and, with your permission, allow other users to connect with youÂ* To make statistics on memberÃ¢â‚¬â„¢s service usage, to provide services and place advertisements based on statistical characteristicsÂ* To provide information on promotional events as well as opportunity to participate * To comply with applicable laws or legal obligationÂ* Use of information with prior consent of the users (for example, utilization of marketing advertisement)Â",503,<first>,<how-used>
2. Use of collected information,2. Use of collected information,100.0,2204,main,"The Company agrees that it will obtain consent from the users, if the Company desires to use the information other than those expressly stated in this Policy.Â",159,<first>,<how-used>
3. Sharing collected information,3. Sharing collected information,100.0,3384,main,"3. Sharing collected informationÂExcept for the following cases, the Company will not share personal information with a 3rd party:Â* when the Company shares the information with its affiliates, partners and service providers;Â- When the Company's affiliates, partners and service providers carry out services such as bill payment, execution of orders, products delivery and dispute resolution (including disputes on payment and delivery) for and on behalf of the CompanyÂ",471,<third>,<how-used>
3. Sharing collected information,3. Sharing collected information,100.0,3384,main,* when the users consent the sharing in advance;Â- when the user selects to be provided by the information of products and services of certain companies by sharing his or her personal information with those companiesÂ- when the user selects to allow his or her personal information to be shared with the sites or platform of other companies such as social networking sitesÂ- other cases where the user gives prior consent for sharing his or her personal informationÂ* when the sharing is required by the lawsÂ,509,<third>,<how-used>
3. Sharing collected information,3. Sharing collected information,100.0,3384,main,- if required to be disclosed by the laws and regulations; orÂ- if required to be disclosed by the investigative agencies for detecting crimes in accordance with the procedure and method as prescribed in the laws and regulationsÂ,229,<third>,<how-used>
"4. Cookies, Beacons and Similar Technologies","4. Cookies, Beacons and Similar Technologies",100.0,4615,main,"4. Cookies, Beacons and Similar TechnologiesÂThe Company may collect collective and impersonal information through 'cookies' or 'web beacons'.ÂCookies are very small text files to be sent to the browser of the users by the server used for operation of the websites of the Company and will be stored in hard-disks of the users' computer.Â",337,<tracking>,<how-gathered>
"4. Cookies, Beacons and Similar Technologies","4. Cookies, Beacons and Similar Technologies",100.0,4615,main,"Web beacon is a small quantity of code which exists on the websites and e-mails. By using web beacons, we may know whether a user has interacted with certain webs or the contents of email.ÂThese functions are used for evaluating, improving services and setting-up users' experiences so that much improved services can be provided by the Company to the usersÂThe items of cookies to be collected by the Company and the purpose of such collection are as follows:Â",461,<tracking>,<how-gathered>
strictly necessary cookies,strictly necessary cookies,100.0,5425,sub,"strictly necessary cookiesÂThis cookie is a kind of indispensable cookie for the users to use the functions of website of the Company. Unless the users allow this cookie, the services such as shopping cart or electronic bill payment cannot be provided. This cookie does not collect any information which may be used for marketing or memorizing the sites visited by the usersÂ",375,<tracking>,<how-gathered>
(Examples of necessary cookies),(Examples of necessary cookies),100.0,5804,sub,"(Examples of necessary cookies)Â- Memorize the information entered in an order form while searching other pages during web browser sessionÂ- For the page of products and check-out, memorize ordered services - Check whether login is made on websiteÂ- Check whether the users are connected with correct services of the website of the Company while the Company changes the way of operating its websiteÂ- Connect the users with certain application or server of the servicesÂ",470,<tracking>,<how-gathered>
performance cookies,performance cookies,100.0,6284,sub,performance cookiesÂThis cookie collects information how the users use the website of the Company such as the information of the pages which are visited by the users most. This data helps the Company to optimize its website so that the users can search that website more comfortably. This cookie does not collect any information of the users. Any and all the information collected by this cookie will be processed collectively and the anonymity will be guaranteed.Â,465,<tracking>,<how-gathered>
(Examples of performance cookies),(Examples of performance cookies),100.0,6753,sub,(Examples of performance cookies)Â- Web analysis: provide statistical data on the ways of using websiteÂ- Advertisement response fee: check the effect of advertisement of the CompanyÂ- Tracing affiliated companies; one of visitors of the Company provides anonymously feedback to the affiliated companiesÂ- Management of error: measure an error which may occur so as to give a help for improving websiteÂ- Design testing: test other design of the website of CompanyÂ,465,<tracking>,<how-gathered>
