decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy Policy(updated April 23, 2020)",38,<generic>,<other>
Introduction,Introduction,100.0,40,main,"IntroductionYour privacy and trust are important toZenjoy.This Privacy Policy (â€œPolicyâ€) providesimportant information about howZenjoyand itsworldwide affiliated companies and subsidiaries (collectively, â€œZenjoyâ€, â€œweâ€, or â€œusâ€) collect, store, use, process and/or handle personal information. And this Policy applies to anyZenjoywebsite, application, software, or service thatlinks to it (collectively, our â€œServicesâ€). Meanwhile, we may also make",468,<generic>,<other>
Introduction,Introduction,100.0,40,main,"different privacy policy with particular privacy practice for some Servicesparallelly.Please read this Policy carefully and contactus if you have any questions about our privacy practices or your personalinformation choices. By ticking the â€œagreeâ€ box after your read this Policy,you expressly consent to the information handling practices described in this Policy.It is important that you check back regularlyfor updates to this Policy. If we make changes we consider to be important, we",492,<generic>,<other>
Introduction,Introduction,100.0,40,main,will let you know by placing a notice on the relevant Services and/or contactyou using other methods such as email.,115,<generic>,<other>
Controller,Controller,100.0,1140,main,"ControllerZenjoyis a multinational company group withdifferent legal entities worldwide. This privacy policy is issued on behalf oftheZenjoyGroup so when we mention â€œZenjoyâ€, â€œweâ€, or â€œusâ€ in this Policy, we are referring tothe relevant company in theZenjoyGroup responsiblefor processing your data.ZenjoyLimited, a limitedliability company with residence at Room 1403, 14/F.,Officeplus@Sheung Wan, No. 93-103 Wing Lok Street, Hong Kong, is the controller andresponsible for the Services.",500,<generic>,<other>
Controller,Controller,100.0,1140,main,<![if !supportLists]>1.<![endif]>,33,<generic>,<other>
The information we collect,The information we collect,100.0,1695,main,The information we collect,26,<first>,<what>
User-provided Information:,User-provided Information:,100.0,1722,sub,"User-provided Information:You may provide toZenjoywhat is generally called â€œPersonal Informationâ€, whenyou register for aZenjoyServices, or upload,purchase, view or download certain content or products from the Services, entercontests or sweepstakes, or otherwise use the features and functionality of theServices. â€œPersonal informationâ€ means any information relating to an identifiedor identifiable natural person; an identifiable person is one who can be",465,<first>,<what>
User-provided Information:,User-provided Information:,100.0,1722,sub,"identified, directly or indirectly, in particular by reference to an identifiersuch as a name, an identification number, location data, online identifier orto one or more factors specific to the physical, physiological, genetic,mental, economic, cultural, or social identity of that person.Illustratively, we may collect differentkinds of Personal Information about you as follows:â€¢Â Â Â ÂIdentity Data includes first name, maidenname, last name, username or similar identifier, marital status, title, date of",511,<first>,<what>
User-provided Information:,User-provided Information:,100.0,1722,sub,"birth and gender.â€¢Â Â Â ÂContact Data includes billing address,delivery address, email address and telephone numbers.â€¢Â Â Â ÂFinancial Data includes bank account andpayment card details.â€¢Â Â Â ÂTransaction Data includes details aboutpayments to and from you and other details of products and services you havepurchased from us.â€¢Â Â Â ÂProfile Data includes your username andpassword, purchases or orders made by you, your interests, preferences, feedbackand survey responses.",483,<first>,<what>
Automatically Collected Information:,Automatically Collected Information:,100.0,3221,sub,"Automatically Collected Information:When you access the Services oropen one of our HTML emails, we may automatically record certain informationfrom your system by using cookies and other types of tracking technologies. Thisâ€œautomatically collectedâ€ information may include Internet Protocol address("" IP Address ""), a unique user ID, device type, device identifiers,browser types and language, referring and exit pages, platform type, version of",449,<first>,<what>
Automatically Collected Information:,Automatically Collected Information:,100.0,3221,sub,"software installed, system type, the content and pages that you access on theServices, the number of clicks, the amount of time spent on pages, the datesand times that you visit the Services, and other similar information. Dependingon the law of your country of residence, your IP address may legally beconsidered as personal information.",338,<first>,<what>
Cookies Information:,Cookies Information:,100.0,4020,sub,"Cookies Information:Cookies are pieces of text thatmay be provided to your computer through your web browser when you access awebsite. Your browser stores cookies in a manner associated with each websiteyou visit. We use cookies to enable our servers to recognize your web browserand tell us how and when you visit the site and otherwise use the Servicesthrough the Internet.Our cookies do not, by themselves, containPersonal Information, and we do not combine the general information collected",494,<tracking>,<what>
Cookies Information:,Cookies Information:,100.0,4020,sub,"through cookies with other Personal Information to tell us who you are. Asnoted, however, we do use cookies to identify that your web browser hasaccessed aspects of the Services and may associate that information with yourAccount if you have one.Most browsers have an option for turning offthe cookie feature, which will prevent your browser from accepting new cookies,as well as (depending on the sophistication of your browser software) allowing",447,<tracking>,<what>
Cookies Information:,Cookies Information:,100.0,4020,sub,"you to decide on acceptance of each new cookie in a variety of ways. Westrongly recommend that you leave cookies active, because they enable you totake advantage the most attractive features of the Services.This Policy covers our use of cookies only anddoes not cover the use of cookies by third parties. We do not control when orhow third parties place cookies on your computer. For example, third partywebsites to which a link points may set cookies on your computer.",469,<tracking>,<what>
Information from Other Sources:,Information from Other Sources:,100.0,5453,sub,"Information from Other Sources:We may obtain information,including personal information, from third parties and sources other than theServices, such as advertisers or social media networks for which you haveapproved our access to information (e.g., information from your Facebook accountprovided by the Facebook APIs). When you access the Services through socialmedia networks or when you connect a Services to social media networks, you areauthorizing to collect, store and use such information and content in",510,<first>,<what>
Information from Other Sources:,Information from Other Sources:,100.0,5453,sub,"accordance with this Policy. We may also obtain information from third partiessuch as social entertainment platforms regarding your use of such Services,including about your use of the content you choose to broadcast through theServices. If we combine or associate information from other sources withpersonal information that we collect through the Services, we will treat thecombined information as personal information in accordance with this Policy.We collect, use, disclose, transfer, and",492,<first>,<what>
Information from Other Sources:,Information from Other Sources:,100.0,5453,sub,"store personal information when needed to provide our Services and for ouroperational and business purposes as described in this Policy. We want to beclear about our privacy practices so that you can make informed choices aboutthe use of your information, and we encourage you to contact us at any timewith questions or concerns.<![if !supportLists]>2.<![endif]>",362,<first>,<what>
How we use your information,How we use your information,100.0,6840,main,How we use your informationWe will use your information only for theseService- and business-related purposes.,109,<first>,<how-used>
Account setup and administration:,Account setup and administration:,100.0,6952,sub,"Account setup and administration:We use personal information such as     your name, email address, phone number, and information about your device     to set up and administer your account, provide technical and customer     support and training, verify your identity, and send important account,     subscription, and Service information.",339,<first>,<how-used>
Personalization:,Personalization:,100.0,7297,sub,"Personalization:We use personal information to deliver and     suggest tailored content such as news, research, reports, and business     information and to personalize your experience with our Services. Some of     our Services will ask you to share your precise geolocation so we can     customize your experience and increase the accuracy of the Service. If you     agree to share your precise geolocation with us, you will be able to turn",442,<first>,<how-used>
Personalization:,Personalization:,100.0,7297,sub,     it off at any time by going to the privacy settings on your mobile device     or online.,93,<first>,<how-used>
Marketing and events:,Marketing and events:,100.0,7841,sub,"Marketing and events:We use personal information to deliver     marketing and event communications to you across various platforms, such     as email, telephone, text messaging, direct mail, and online. If we send     you a marketing email, it will include instructions on how to opt out of     receiving these emails in the future. We also maintain email preference     centers for you to manage your information and marketing preferences.",440,<first>,<how-used>
Marketing and events:,Marketing and events:,100.0,7841,sub,"     Please remember that even if you opt out of receiving marketing emails, we     may still send you important Service information related to your accounts     and subscriptions.",180,<first>,<how-used>
Communication:,Communication:,100.0,8471,sub,"Communication:We use your information to allow you to     comment on content, and participate in any events, promotions, activities,     focus groups, research studies, contests, promotions, polls, surveys or     any productions and to communicate with you regarding your attendance     thereto.",295,<first>,<how-used>
Payments:,Payments:,100.0,8772,sub,"Payments:Sometime, we may use your information to     process any refunds, rebates and or charges pursuant to the applicable     terms of use.",142,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"Research and development:We use personal information for     internal research and development purposes and to improve and test the     features and functions of our Services.Chat rooms, messaging, and community and event     forums:A number of our     Services provide features including chat rooms, messaging services, and     community and event forums for collaboration, peer connection, games, and     information exchange purposes. Depending on the Service, the personal",476,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"     information you choose to post, share, upload, or make available is public     and visible to others who use those Services. You should never post or     share any information that is confidential or about others unless you have     permission to do so. We may use information you provide in community and     event profiles and forums to personalize your experience and to make     content and peer connection recommendations. These Services may have their",462,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"     own terms of use and, where appropriate, their own privacy policy.Legal obligations:We may be required to use and retain personal     information for legal and compliance reasons, such as the prevention,     detection, or investigation of a crime; loss prevention; or fraud. We may     also use personal information to meet our internal and external audit     requirements, information security purposes, and as we otherwise believe     to be necessary or appropriate: (a) under applicable law, which may",509,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"     include laws outside your country of residence; (b) to respond to requests     from courts, law enforcement agencies, regulatory agencies, and other     public and government authorities, which may include such authorities     outside your country of residence; (c) to enforce our terms and     conditions; and (d) to protect our rights, privacy, safety, or property,     or those of other persons.We may use Automatically Collected information",449,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"and Cookies information to maintain and improve our Services, including to dothe following things: (a) automatically update the applications on your system;(b) remember your information so that you will not have to re-enter it duringyour visit or the next time you access our Services; (c) provide customizedthird-party advertisements, content and information, unless it will includeinstructions on how to opt out of receiving these advertisements, content and",460,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"information in the future; (d) monitor the effectiveness of third-partymarketing campaigns; (e) monitor aggregate site usage metrics such as totalnumber of visitors and pages accessed; and (f) track your entries, submissions,and status in any promotions or other activities.<![if !supportLists]>3.<![endif]>When we share your informationWe do not share your personal informationwith other organizations for their own marketing or promotional uses without",454,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"your prior express consent. Please be aware, however, that any personalinformation that you voluntarily choose to display on any publicly availableportion of our Services, such as when you publish content, comments or profileinformation, becomes publicly available and may be collected and used byothers.If you connect to a third-party services(such as Facebook or Twitter) through an icon or link on our Services orotherwise link yourZenjoyaccount with a third party",467,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"services, we may share the contents of your post and associated information(such as your user name, the fact that your connection originated from theServices and other relevant usage and diagnostic information) with such thirdparty. With your consent, which you may withdraw at any time with effect forthe future, we may also send information about the content you watch and youractivities on the Services to such third parties. Once such information is",453,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"shared, the use of your information will be subject to that third-partyserviceâ€™s privacy policy and this Policy will not apply. These third-partyservices may process personal data such as the web pages you visited and IPaddresses, and may set cookies to enable features to function properly. We arenot responsible for the security or privacy of any personal data collected bythese third parties. You should review the privacy policies applicable to thethird-party services you connect to, use, or access.",506,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"We may disclose Automatically Collectedinformation and other aggregates non-personal information with interested thirdparties to assist such parties in understanding the usage and demographicpatterns for certain programs, content, Services, advertisements, promotions,or other functionality of our Services.Zenjoymay make both personal andnon-personal information available to subsidiaries and affiliated companiesthat are under common ownership or controlled within theZenjoygroup, butZenjoy",492,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"Limited as the controller willguarantee the subsidiaries and affiliates to assume the obligations as same asZenjoyassumes as information receiver in this Policy.We may disclose both personal and non-personalinformation to Services providers working on our behalf to: provide web sitehosting, maintenance, and security Services; fulfil orders; conduct dataanalysis and create reports; offer certain functionality; and assistZenjoyin improving the Services and creating new Services",480,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"features. We require that these parties process such information in compliancewith this Policy, we authorize them to use the information only for thepurposes for which it is provided to them, and we require these parties to use reasonableconfidentiality measures.We may disclose your information if webelieve in good faith that such disclosure is necessary to comply with theapplicable laws around the world (for example, in the country of your",444,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"residence); or respond to a court order, judicial or other government subpoena,or warrant in the manner legally required by the requesting entity.We also reserve the right to disclose yourinformation that we believe, in good faith and after making reasonableenquiries, is appropriate or necessary to take precautions against liability toZenjoy; protectZenjoyfromfraudulent, abusive, or unlawful uses; to investigate and defend ourselves",436,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"against third-party claims or allegations to protect the security or integrityof our Services; or to protect the rights, property, or personal safety of us,our users, or others. We will notify you of these disclosures if we reasonablythink we can do so legally and without harming the purpose of the disclosure.You may, of course, decline to share yourpersonal information with us, in which case we will not be able to provide toyou some of the features and functionality found on our Services. If you would",507,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"like to access, review, correct, update, suppress, or otherwise limit our useof your personal information you have previously provided directly to us, youmay contact us as outlined in the last section of this Policy titled ""Howto contact us ""; or using the mechanism provided below. In your request,please include your email address, name, address, and telephone number andspecify clearly what information you would like to access, change, update, or",450,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"suppress. We will try to comply with your request as soon as reasonablypracticable and any information you give us will be protected by this Policy.<![if !supportLists]>4.<![endif]>Where we store and process personal informationZenjoyis a multinational corporation, andyour personal information may be stored and processed outside of your homecountry. We take steps to ensure that the information we collect is processedaccording to this Policy and the requirements of applicable law wherever thedata is located.",512,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"Zenjoyhas networks, databases, servers,systems, support, and help desks located throughout our offices around theworld. We collaborate with third parties such as cloud hosting services,suppliers, and technology support located around the world to serve the needsof our business, workforce, and customers. We take appropriate steps to ensurethat personal information is processed, secured, and transferred according toapplicable law. In some cases, we may need to disclose or transfer your",488,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"personal information withinZenjoyor to thirdparties in areas outside of your home country. The areas in which theserecipients are located will vary from time to time, but may include the UnitedStates, Europe, Canada, Asia, Australia, India, and other countries whereZenjoyhas a presence or uses contractors. We ensure asimilar degree of protection in this Policy is afforded when disclose ortransfer your personal information in areas outside of your home country.<![if !supportLists]>5.<![endif]>",497,<first>,<how-used>
Research and development:,Research and development:,100.0,8918,sub,"Our commitment to data protectionZenjoyuses commercially reasonablephysical, managerial, and technical measures designed to protect the integrityand security of your personal information (for example, making relevantpolicies and procedures to deal with accident loss and unauthorized access,training our employees and contractors to control risk, limiting access to yourpersonal data to those employees, agents, contractors and other third parties",447,<first>,<how-used>
