decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyLast Revised: January 21, 2022Welcome! You have arrived at Pray.comâ€™s privacy policy (â€œPrivacy Policyâ€). The Privacy Policy applies to our online services locations (e.g., website or mobile app) (â€œSiteâ€), as well as any features, widgets, plug-ins, applications, content, downloads and other services (collectively, the â€œServiceâ€) that are made available by Pray, Inc., (â€œPrayâ€, â€œweâ€ â€œourâ€ or â€œusâ€).",457,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,"We are a private company, established in the U.S.A., registered at 4607 Lakeview Canyon Road, Suite 456, Westlake Village, CA 91361, United States with the contact email addressprivacy@pray.com, and for the purposes of the EU General Data Protection Regulation (â€œGDPRâ€) and the UK General Data Protection Regulation (â€œUK GDPRâ€) we are the data controller. Our representative in the European Economic Area and United Kingdom are as follows:European Economic AreaThe DPO Centre Europe, Ltd.Address:",504,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,"The DPO Centre Europe, Ltd, Alexandra House, 3 Ballsbridge Park, Dublin, D04C 7H2Phone number:+353 1 631 9460Email:eurep@pray.comUnited KingdomTheDPO Centre, Ltd.Address:The DPO Centre, Ltd, 50 Liverpool street, London, EC2M 7PY, UKPhone number:+44 (0) 203 797 6340Email:ukrep@pray.com",285,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,"The Privacy Policy sets out the basis on which we will process any personal information or usage information we collect from you, or that you provide to us, in connection with your use of the Site and Service regardless of how you access or use them. Please read this Privacy Policy carefully so that you understand your rights in relation to your personal data, and how we will collect, use and process your personal information.",430,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,"This Privacy Policy does not apply to data collection activities that occur outside of your use of our Service (unless otherwise stated below), and does not govern the data practices of third-parties that interact with our Service.To the extent we provide you notice on our Service of different or additional privacy policies or practices (e.g., at the point of our collection), those additional terms shall govern such data collection and use.â€In addition, please review theTerms of Service",493,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,", which governs your use of the Service. By using our Service, you acknowledge that you have read and understood ourPrivacy PolicyandTerms of Serviceand accept our collection, use and disclosure of your information and data, and other activities, as described below. If you do not agree to the terms of this Privacy Policy, please do not use this Service.To help you navigate and find specific sections of this Privacy Policy, please refer to this table of contents below:INFORMATION WE COLLECT",494,<generic>,<other>
Privacy Policy,Privacy Policy,100.0,0,main,HOW WE USE YOUR INFORMATIONHOW WE SHARE YOUR INFORMATIONOTHER REASONS WE SHARE YOUR INFORMATIONHOW WE TREAT PUBLICLY AVAILABLE INFORMATIONSOCIAL FEATURESTHIRD-PARTY CONTENT SITES AND/OR APPS YOU ACCESS THROUGH USCALIFORNIA RIGHTSCHANGING YOUR PERSONAL INFORMATIONCHANGING HOW WE COMMUNICATE WITH YOUHOW LONG WE RETAIN YOUR INFORMATIONUSERâ€™S OUTSIDE OF THE UNITED STATESCHILDRENâ€™S PRIVACYSECURITYCHANGES TOÂ THEÂ PRIVACYÂ POLICYSEVERABILITYCONTACT US,453,<generic>,<other>
I. INFORMATION WE COLLECT,I. INFORMATION WE COLLECT,100.0,3169,main,I. INFORMATION WE COLLECT,25,<first>,<what>
1. Information You Provide to Us.,1. Information You Provide to Us.,100.0,3195,sub,"1. Information You Provide to Us. If you are an Individual User (as such term is defined in theTerms of Service), you will provide us with Personal Information and Demographic Information (each as defined below). If you are an FBO User (as such term is defined in theTerms of Service), you will provide us Business Information (as defined below):",346,<first>,<how-gathered>
1. Information You Provide to Us.,1. Information You Provide to Us.,100.0,3195,sub,"â€œPersonal Informationâ€ is information about you, such as your first and last name, phone number, user name and password, credit card information, home address, and email address.â€œBusiness Informationâ€ is information about your organization such as your legal name, tax ID number, tax status, employer identification number(s), location(s), phone number(s),business contact information, bank account information such as bank name, account number and routing number, first and last name(s), birthdate(s), job title(s), phone number(s), last-four digits of social security number(s), and email address(es) of person(s) authorized to operate your account.",659,<first>,<how-gathered>
1. Information You Provide to Us.,1. Information You Provide to Us.,100.0,3195,sub,"We collect this information through various forms and in various places on the Service, including when you sign up for a Pray account, through â€œcontact usâ€ forms, or when you otherwise interact with the Service. Any Personal Information, Demographic Information, and Business Information you provide to Pray must be true and accurate. Specifically, you verify that you are the current subscriber of any telephone number that you provide to us. Should you change any of your Personal Information, Demographic Information, or Business Information, you agree to notify us before the change goes into effect by updating your Profile Page (as such term is defined in the",669,<first>,<how-gathered>
1. Information You Provide to Us.,1. Information You Provide to Us.,100.0,3195,sub,Terms of Service).,18,<first>,<how-gathered>
2. Information Collected and Stored As You Access and Use the Service.,2. Information Collected and Stored As You Access and Use the Service.,100.0,4897,sub,"2. Information Collected and Stored As You Access and Use the Service. In addition to any information that you choose to submit to us via our Service, we and our third-party service providers use a variety of technologies that automatically (or passively) store or collect certain information whenever you visit or interact with the Service (â€œUsage Informationâ€). This Usage Information will be stored or accessed using a variety of technologies that will be downloaded to your personal computer, browser, laptop, tablet, mobile phone or other device (a â€œDeviceâ€) whenever you visit or interact with our Service. To the extent we associate Usage Information with your Business Information and/or Personal Information we collect directly from you on the Service, we will treat it as Personal Information. Usage Information includes:",839,<first>,<how-gathered>
2. Information Collected and Stored As You Access and Use the Service.,2. Information Collected and Stored As You Access and Use the Service.,100.0,4897,sub,"your IP address, UDID, Ad-ID, or other unique identifier (â€œDevice Identifierâ€). A Device Identifier is a number that is automatically assigned to your Device used to access the Service, and our computers identify your Device by its Device Identifier;your Device functionality (including browser, operating system, hardware, mobile network information);the areas within our Service that you visit and your activities there, including remembering you and your preferences;",474,<first>,<how-gathered>
2. Information Collected and Stored As You Access and Use the Service.,2. Information Collected and Stored As You Access and Use the Service.,100.0,4897,sub,"content you post to the Service including messages you send and/or receive via the Service;your Device location (with your consent where required by local law);your Device characteristics; andcertain other Device data, including the time of day, among other information.",270,<first>,<how-gathered>
2. Information Collected and Stored As You Access and Use the Service.,2. Information Collected and Stored As You Access and Use the Service.,100.0,4897,sub,"We use various methods and technologies to store or collect Usage Information (â€œTracking Technologiesâ€). A few of the Tracking Technologies used on the Service, include, without limitation, cookies, web beacons, embedded scripts, browser fingerprinting, entity tags, UTM codes, and recognition technologies that make assumptions about users and devices. For more detailed information about the use of Tracking Technologies and how to manage your settings, please read and review our Cookie Policy",500,<first>,<how-gathered>
2. Information Collected and Stored As You Access and Use the Service.,2. Information Collected and Stored As You Access and Use the Service.,100.0,4897,sub,"pray.com/cookie-policy.We use Tracking Technologies for a variety of purposes, including:",89,<first>,<how-gathered>
Strictly Necessary.,Strictly Necessary.,100.0,7080,sub,"Strictly Necessary.We use Tracking Technologies that we consider are strictly necessary to allow you to use and access our Service, including cookies required to prevent fraudulent activity, improve security or allow you to make use of Service functionality.",258,<tracking>,<why>
Performance Related.,Performance Related.,100.0,7340,sub,"Performance Related.We use Tracking Technologies that are useful in order to assess the performance of the Service, including as part of our analytic practices or otherwise to improve the content, ads, products or services offered through the Service.",251,<tracking>,<why>
Functionality Related.,Functionality Related.,100.0,7593,sub,"Functionality Related.We use Tracking Technologies that are required to offer you enhanced functionality when accessing the Service, including identifying you when you use our Service or keeping track of your specified preferences.",231,<tracking>,<why>
Targeting Related,Targeting Related,100.0,7826,sub,"Targeting Related. We use Tracking Technologies to deliver content, including ads relevant to your interests on our Service and third-party services based on how you interact with our advertisements and/or content. This includes using Tracking Technologies to understand the usefulness to you of the content and ads that have been delivered to you.",348,<tracking>,<why>
Targeting Related,Targeting Related,100.0,7826,sub,"We use Google Analytics, which is a web analytics tool that helps us understand how users engage with our Service. Like many services, Google Analytics uses first-party cookies to track user interactions, as in our case, where they are used to collect information about how users use our Service. This information is used to compile reports and to help us improve our Service. The reports disclose website trends without identifying individual visitors. You can opt out of Google Analytics without affecting how you visit our Service â€“ for more information on opting out of being tracked by Google Analytics across all websites you use, visit this Google page:",662,<tracking>,<why>
Targeting Related,Targeting Related,100.0,7826,sub,https://tools.google.com/dlpage/gaoptout,40,<tracking>,<why>
Targeting Related,Targeting Related,100.0,7826,sub,". Further, third-parties use Tracking Technologies in connection with our Service, which include the collection of information about your online activities over time and across third-party websites or online services as well as across your Devices. We do not control those Tracking Technologies and we are not responsible for them. However, you accept that you will encounter third-party Tracking Technologies in connection with use of our Service and accept that our statements under this Privacy Policy do not apply to the Tracking Technologies or practices of such third-parties.",582,<tracking>,<why>
3. Information Collected and Stored When We Send You a Text Message.,3. Information Collected and Stored When We Send You a Text Message.,100.0,9463,sub,"3. Information Collected and Stored When We Send You a Text Message. After you sign up for our Service (subject to your consent where required by applicable law), we and/or our FBO Users will send you text messages that provide marketing, promotional, and/or other information. We and our third-party service providers use a variety of technologies that automatically (or passively) store or collect certain information whenever you we and/or our FBO Users send you a text message. This information will be stored or accessed using a variety of technologies that will be downloaded to your mobile device whenever you receive a text message.",640,<first>,<when>
4. Location-Based Information.,4. Location-Based Information.,100.0,10104,sub,"4. Location-Based Information. With your consent (where required by applicable law), our Service uses location-based services in order to verify your location and deliver you relevant content and ads based on your location. We also share your location with third-parties (as set out below) as part of the location-based services we offer and for other commercial purposes. You can change the settings on your Device to prevent it from providing us with such information. This location data is collected in a form that personally identifies you and will be used by us and our partners and licensees to provide and improve location-based products and services or for other commercial purposes. You should consider the risks involved in disclosing your location information to other people. We share your location information with the following third-parties: Google Analytics, Braze, Chartio, Mixpanel, Amplitude, Tableau, and Twilio.",932,<first>,<what>
5. Information We Collect From Third-Parties.,5. Information We Collect From Third-Parties.,100.0,11037,sub,"5. Information We Collect From Third-Parties. We will, from time to time, supplement the information we collect directly from you on our Service with outside records from third-parties such as data analytics providers and data brokers for various purposes, including to enhance our ability to serve you, to tailor our content to you and to offer you opportunities that may be of interest to you. These records may include information such as your gender, age, religious affiliation, ethnicity, marital status, household size and income, political party affiliation and interests (â€œDemographic Informationâ€), geographic location, and Personal Information. To the extent we receive Personal Information and/or Demographic Information from those sources we will apply this Privacy Policy.",789,<first>,<how-gathered>
6. Information We Receive From Interactions with Third-Party Services.,6. Information We Receive From Interactions with Third-Party Services.,100.0,11827,sub,"6. Information We Receive From Interactions with Third-Party Services. The Service includes functionality that allows certain kinds of interactions between the Service and a third-party web site or application. The use of this functionality involves the third-party operator providing certain information, including Personal Information, to us. For example, we receive information related to payments you make through the Service from our third party payment processors and information relating to correspondence you send from our business communication and collaboration tool partners (e.g., Twilio). These third-parties may retain any information used or provided in any such activities and these third-partiesâ€™ practices are not subject to our Privacy Policy. We do not control these third-parties. Further, when you use third-party sites or services, you are using their services and not our services and they, not we, are responsible for their practices. You should review the applicable third-party privacy policies before using such third-party tools on our Service.",1075,<first>,<how-gathered>
7. California Do Not Track Disclosures.,7. California Do Not Track Disclosures.,100.0,12903,sub,"7. California Do Not Track Disclosures. Various third-parties are developing or have developed signals or other mechanisms for the expression of consumer choice regarding the collection of information about an individual consumerâ€™s online activities over time and across third-party websites or online services (e.g., browser do not track signals). Currently, we do not monitor or take any action with respect to these signals or other mechanisms.",449,<region>,<other>
8. Information You Provide About a Third-Party.,8. Information You Provide About a Third-Party.,100.0,13353,sub,"8. Information You Provide About a Third-Party. You can send someone else a communication from the Service, such as sending a message to a friend. If so, the information you provide (names, email addresses, telephone numbers, etc.) is used to facilitate the communication and is not used by us for any other marketing purpose unless we obtain consent from that person or we explicitly say otherwise. Please be aware that when you use any send-to-a-friend functionality on our Service, your contact information, name or username and message is included in the communication sent to your addressee(s). Third-party tools will be subject to third-party privacy policies.",666,<first>,<how-gathered>
9. Information Collected and Stored When You Communicate With Other Pray Users Using the Service.,9. Information Collected and Stored When You Communicate With Other Pray Users Using the Service.,100.0,14020,sub,"9. Information Collected and Stored When You Communicate With Other Pray Users Using the Service. We work with a third-party partner, Twilio, to facilitate phone calls and text messages between us, FBO Users and you for marketing, promotional, and informational purposes. We receive information about these communications including the date and time of the call or text message, the partiesâ€™ phone numbers, and the content of any text messages. We also monitor the contents of text messages made with us. By proceeding you agree to allow Pray to monitor text messages or voice messages made using the Service.",611,<first>,<when>
II. HOW WE USE YOUR INFORMATION,II. HOW WE USE YOUR INFORMATION,100.0,14632,main,II. HOW WE USE YOUR INFORMATION,31,<first>,<how-used>
1. Generally.,1. Generally.,100.0,14664,sub,"1. Generally. In order to perform our contract with you, we will process your Personal Information, Business Information or Usage Information:to process and track the transactions you enter into using the Service;to verify your identity, including your accounts on the Service;to provide the Service;to provide customer support, including to resolve disputes, collect fees and troubleshoot problems;",399,<first>,<how-used>
1. Generally.,1. Generally.,100.0,14664,sub,"to contact you with regard to your use of the Service and, in our discretion, changes to the Service and/or Serviceâ€™s policies; andto enable you to participate in a variety of the Serviceâ€™s features.As it is in our legitimate interests to be responsive to you and to ensure the proper functioning of our Service and provide you with an user-friendly service, we will use your Personal Information, Business Information, Demographic Information or Usage Information:",469,<first>,<how-used>
1. Generally.,1. Generally.,100.0,14664,sub,"to provide you with information such as to send you electronic newsletters or to provide you with special offers or promotional and marketing materials on behalf of us or third-parties, including to let you know about new products, services or upcoming events;manage risk, or to detect, prevent, and/or remediate fraud or other potentially prohibited or illegal activities;manage and protect our information technology infrastructure;to improve the Service, marketing endeavors or our Service offerings;",503,<first>,<how-used>
1. Generally.,1. Generally.,100.0,14664,sub,"to customize your experience on the Service or to serve you specific content or ads that are relevant to you;to identify your Service preferences so that you can be informed of new or additional products, services and promotions;to improve the overall experience of the Service;to comply with our legal and regulatory obligations;for internal business purposes; andfor purposes disclosed at the time you provide your information or as otherwise set forth in this Privacy Policy.",478,<first>,<how-used>
1. Generally.,1. Generally.,100.0,14664,sub,"Where required by applicable law, we will process information relating to your religious affiliations based on your consent in order to provide you with our Service and allow you to join or be affiliated to a specific organization.",231,<first>,<how-used>
2. Telephonic Communications.,2. Telephonic Communications.,100.0,16763,sub,"2. Telephonic Communications. If you are an Individual User, you acknowledge that by providing your telephone number(s) to Pray, you are providing Pray with your express written consent to receive promotional, marketing, and/or informational text messages and/or phone calls from us and/or FBO Users. You acknowledge that you will incur a charge for these messages and calls by your telephone carrier and that Pray is not responsible for these charges. You can opt-out of receiving text messages and/or phone calls at any time:",527,<first>,<how-used>
2. Telephonic Communications.,2. Telephonic Communications.,100.0,16763,sub,"To opt-out of text messages, text STOP to any text message you receive. For help, text HELP. You acknowledge and agree that you will receive a final text message from Pray confirming your opt-out. You can also change your â€œNotificationâ€ settings in the Pray mobile app to stop receiving text messages.To opt-out of automated phone calls (but not text messages), please contact us atoptout@pray.com. Please allow up to thirty (30) days to process any opt-out request.",470,<first>,<how-used>
2. Telephonic Communications.,2. Telephonic Communications.,100.0,16763,sub,"Providing your consent to receive promotional, marketing, and/or informational text messages and/or phone calls is not a condition to use the Service, however, opting out of receiving such communications will limit your use of the Service.If you opt out of receiving text messages and/or phone calls, we reserve the right to still contact you if it relates to verifying your account, any transaction made using our Service, or if required by law.",446,<first>,<how-used>
III. HOW WE SHARE YOUR INFORMATION,III. HOW WE SHARE YOUR INFORMATION,100.0,18213,main,III. HOW WE SHARE YOUR INFORMATION,34,<third>,<how-gathered>
