decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
AirAsia's Privacy Statement,AirAsia's Privacy Statement,100.0,0,main,"AirAsia's Privacy Statement | airasiaAirAsia's Privacy Statement[Last updated on 13th July 2022]This page sets out the privacy statement (â€œPrivacy Statementâ€) for using the www.airasia.com website, airasia.com mobile application and any subsisting page within the airasia.com domain ( collectively known as â€œWebsiteâ€). The Website is owned and operated by AirAsia Com Travel Sdn Bhd and/or its subsidiaries.",415,<generic>,<other>
Introduction,Introduction,100.0,419,main,Introduction,12,<generic>,<other>
Information collection,Information collection,100.0,432,main,Information collection,22,<first>,<what>
Use of information collected,Use of information collected,100.0,455,main,"Use of information collectedSharing of Information CollectedCookiesData storageYour consentAccess to and Correction of Your Personal InformationMinors* Under Age of MajorityExternal and Third Party SitesContact UsTerms of UseIntroductionAirAsia Com Travel Sdn Bhd is concerned about your right to privacy. Therefore, AirAsia together with the ",343,<first>,<how-used>
AirAsia Group of Companies,AirAsia Group of Companies,100.0,809,sub,"AirAsia Group of Companies (hereunder defined) pledge to be responsible when gathering your personal information and to protect your privacy in every possible way. Although this Privacy Statement is not a contract and does not create any legal rights, it serves as an expression of our commitment to protecting private personal information.",340,<third>,<how-gathered>
AirAsia Group of Companies,AirAsia Group of Companies,100.0,809,sub,"AirAsia Com Travel Sdn Bhd and its subsidiaries (â€œAirAsiaâ€, â€œweâ€, â€œusâ€, â€œourâ€) are malaysian entities   indirectly owned by AirAsia Group Berhad (â€œAAGBâ€). AirAsia Com Travel Sdn Bhd is a wholly owned subsidiary AirAsia Digital Sdn Bhd (â€œAADâ€). AAGB, AAD and its respective affiliates shall collectively be known as AirAsia Group of Companies. For avoidance of doubt, affiliates shall mean an entity, present and future, that directly or indirectly, through one or more intermediaries, controls, is controlled by, or is under common control with AirAsia. The term â€œcontrolâ€ (including the terms â€œcontrolled byâ€ and â€œunder common control withâ€) means the possession, directly or indirectly, of the power to direct or cause the direction of the management and policies of AirAsia, whether through the ownership of voting securities, by contract or otherwise",890,<third>,<how-gathered>
AirAsia Group of Companies,AirAsia Group of Companies,100.0,809,sub,"We reserve the right to amend, modify, add, delete and make corrections to this Privacy Statement at any time and will notify users of the same by updating the statement on the website and by including a ""NEWLY UPDATED"" label with the ""PRIVACY STATEMENT"" link on the websites for a period of 30 days. After the 30-daysâ€™ period, the updated version(s) of the Privacy Statement shall supersede all previous versions of the Privacy Statement with automatic effect, without any further action by us. You acknowledge and agree that all your Personal Information collected or processed by us (including all information already in our possession), shall be processed in accordance with the terms of the most recent version of the Privacy Statement found on the Website.",764,<third>,<how-gathered>
AirAsia Group of Companies,AirAsia Group of Companies,100.0,809,sub,"This Privacy Statement describes the information that we collect, how it is used, when it may be shared with others, and how we safeguard its confidentiality and security.This Privacy Statement is applicable to all users of this Website and those who have provided their personal information to any third party providers of products and services.Information collection",368,<third>,<how-gathered>
AirAsia Group of Companies,AirAsia Group of Companies,100.0,809,sub,"We collect and maintain information that you enter on our Website or give us in any other way (collectively, â€œPersonal Informationâ€). You can choose not to provide certain information, but you may not be able to enjoy all the features of our Website and services provided by us. Personal Information we collect from you helps us to personalise and continually improve your online experience. Here are the types of Personal Information that we collect:",455,<third>,<how-gathered>
AirAsia Group of Companies,AirAsia Group of Companies,100.0,809,sub,"Personally Identifiable information e.g. Name, photo, facial features, gender, date of birth, nationality, passport/identification card number, passport expiry date, passport issuing country and country of residence;Contact information e.g. address, email address and phone numbers;Payment information e.g. credit or debit card information, including the name of cardholder, card number, card issuing bank, card issuing country, card expiry date and banking account details;",474,<third>,<how-gathered>
