decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy policy – AerotoolsSkip to contentHomePrivacy policyContactSearch for:Aerotoolsthe best salutionsMenuPrivacy policyPRIVACY POLICY1 .,139,<error>,<error>
Privacy Policy,Privacy Policy,100.0,150,sub,"Privacy Policy for Android mobile applications.aerotools(“We has developed this privacy policy to help users to understand how we get , use and protect the information of the user . By installing and using the our applications, you agree to this privacy policy and give an explicit and informed consent to the processing. If you do not agree, please do not install our applications.",382,<error>,<error>
2,2,100.0,534,main,2. ,3,<error>,<error>
Personal Data,Personal Data,100.0,537,sub,"Personal DataWe do NOT collect any personal data with anyone. Your vedios and photos phone numbers or any Personal data means personally identifiable information that specifically identifies you as an individual (e.g. your name, email address, Contects etc).",258,<first>,<error>
3,3,100.0,797,main,3. ,3,<error>,<error>
Non-personal Data,Non-personal Data,100.0,800,sub,Non-personal Data,17,<first>,<error>
Non-personal Data,Non-personal Data,100.0,800,sub,"We may disclose non-personal data to third parties and/or allow third parties to collect non-personal data through their own embedded technology. In order to deliver targeted ads to you, the third-party advertising companies may place or recognize unique cookies, anonymous identifiers or similar technology for non-personally identifiable information. Non-personal data means information that, by itself, does not personally identify you. We may collect non-personal data such as your device model number, operating system version, country code and other properties for purposes of managing the apps and communicating with you, as well as for targeted ad-serving.",664,<first>,<error>
4,4,100.0,1483,main,4. ,3,<error>,<error>
Camera data,Camera data,100.0,1486,sub,Camera dataSome of the application may request your camera data. It is used to capturs for the pupose of editing and you don not share any photo data with anyone app or person,175,<first>,<error>
5,5,100.0,1663,main,5. ,3,<error>,<error>
Contects Data,Contects Data,100.0,1666,sub,"Contects DataSome of ours applicatins use contects of by your premission, we don’t share any of your data with any third parties",128,<first>,<error>
6,6,100.0,1796,main,6. ,3,<error>,<error>
Disclosure and Transfer of Personal Data,Disclosure and Transfer of Personal Data,100.0,1799,sub,"Disclosure and Transfer of Personal DataWe disclose information to respond to subpoenas, court orders and other legal processes as well as to establish/exercise our legal rights or defend against legal claims. We will share non-Personal data and personal data in order to investigate, prevent or take action against illegal activities, suspected fraud, potential threats to the physical safety of any person, violations of our Terms of Use or as otherwise required by law.LikeLoading...",486,<third>,<error>
Disclosure and Transfer of Personal Data,Disclosure and Transfer of Personal Data,100.0,1799,sub,"Website Built with WordPress.com.Privacy & Cookies: This site uses cookies. By continuing to use this website, you agree to their use.To find out more, including how to control cookies, see here:Cookie PolicySubscribeSubscribedAerotoolsSign me upAlready have a WordPress.com account?Log in now.AerotoolsCustomizeSubscribeSubscribedSign upLog inCopy shortlinkReport this contentView post in ReaderManage subscriptionsCollapse this bar%d",435,<third>,<error>
