decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicySearch this siteSkip to main contentSkip to navigationPrivacy PolicyDigital Generation HubThis Privacy Policy applies to your use of the Digital Generation Hub on all platforms.By using  Digital Generation Hub, Services or the Site, you consent to the privacy practices described in this Policy.",309,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"This Policy covers our collection, use and disclosure of your information through the Applications, the Services and the Site. It does not cover any collection, use or disclosure by third parties through any applications, Web sites, products or services that we do not control or own, such as Facebook, or any third party features or services made available via an Application, the Services or the Site. All trademarks, trade names, and logos of third parties featured on the Applications or the Site belong to their respective owners.",535,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"By installing and using the apps, you agree to this privacy policy and give an explicit and informed consent to the processing. If you do not agree, please do not install and use the apps.1. ",191,<generic>,<error>
How we use collected information,How we use collected information,100.0,1045,main,How we use collected information,32,<first>,<error>
Personal Information,Personal Information,100.0,1078,sub,"Personal Information- since we do not collect Personal Information, we may not use your personal information in any way.Non- Personal Information. We may use ",158,<first>,<what>
Non-Personal Information,Non-Personal Information,100.0,1237,sub,"Non-Personal Information for any purpose as below:To personalize user experience- We may use your Non- Personal Information to understand demographics, customer interest, and other trends among our Users;To help develop our service- We may use Non- Personal Information to provide, maintain, improve and modify the Applications and develop new services.To further develop business. We may use Non- Personal Information for promotion and marketing purposes.2. ",459,<first>,<what>
Third party terms and conditions,Third party terms and conditions,100.0,1700,main,Third party terms and conditionsPlease note that your access to and use of the apps may be subject to certain third-party terms and conditions and privacy policies. You recognize and agree that we is not liable for any such third-party terms and conditions and any third party’s use of your Personal data. Here are links to the privacy policies of a few of the distributors we use:Google -http://www.google.com/intl/en/policies/privacy/3. ,439,<third>,<other>
Location Data,Location Data,100.0,2143,main,Location DataSome of the apps may request your Location data for a functional purpose. We may use ,98,<region>,<error>
Various technologies to determine location,various technologies to determine location,100.0,2242,sub,"various technologies to determine location, such as GPS, Wi-Fi or other network-based data such as IP address. Your GPS geo-location is not accessed without your consent. We do NOT provide your Location data for advertising networks and third parties.4. ",254,<region>,<how-gathered>
Disclosure and Transfer of Personal Data,Disclosure and Transfer of Personal Data,100.0,2497,main,"Disclosure and Transfer of Personal DataWe disclose information to respond to subpoenas, court orders and other legal processes as well as to establish/exercise our legal rights or defend against legal claims. We will share Personal data and Non-personal data in order to investigate, prevent or take action against illegal activities, suspected fraud, potential threats to the physical safety of any person, violations of our Terms of Use or as otherwise required by law.5. ",475,<third>,<how-gathered>
Ad serving Technology,Ad serving Technology,100.0,2974,main,"Ad serving TechnologyWe may disclose Non-personal data to third parties and/or allow third parties to collect Non-personal data through their own embedded technology. In order to deliver ads to you, the ",203,<third>,<how-used>
Third-party advertising companies,third-party advertising companies,100.0,3178,sub,"third-party advertising companies may place or recognize unique cookies, anonymous identifiers or similar technology for non-personally identifiable information. If you would like more information, please follow the link below:AdMob -https://www.google.com/policies/privacy/6. ",277,<third>,<how-used>
Changes to this Privacy Policy,Changes to this Privacy Policy,100.0,3458,main,Changes to this Privacy Policy,30,<change>,<when>
Changes to this Privacy Policy,Changes to this Privacy Policy,100.0,3458,main,"We reserve the right, at our sole discretion, to change, modify or otherwise alter this Policy at any time. You must review this Policy on a regular basis to keep yourself apprised of any changes. If you do not agree to any modifications to this Policy, your sole recourse is to immediately stop all use of all Applications, the Services and the Site. Your continued use of any Application, the Services or the Site following the posting of any modifications to this Policy will constitute your acceptance of the revised Policy. Please note that none of our employees or agents has the authority to vary any of our Policies.",624,<change>,<when>
Changes to this Privacy Policy,Changes to this Privacy Policy,100.0,3458,main,7. ,3,<change>,<when>
Refund policies,Refund policies,100.0,4117,main,"Refund policiesYou can get refund as follow Google Play policy-https://support.google.com/googleplay/answer/2479637#policy.After 48 hours from purchasing time, we will not refund for any purchasing transactions.If you have any questions about this Privacy Policy, please contact us atameelharis18@gmail.comReport abusePage detailsPage updatedGoogle SitesReport abuse",366,<not>,<other>
