decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyEffective date: October 08, 2018Bluelight Filter (""us"", ""we"", or ""our"") operates the  website and the Bluelight Filter mobile application (the ""Service"").This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data.",359,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",295,<generic>,<error>
Information Collection And Use,Information Collection And Use,100.0,660,main,Information Collection And UseWe collect several different types of information for various purposes to provide and improve our Service to you.,143,<generic>,<error>
Types of Data Collected,Types of Data Collected,100.0,805,main,Types of Data Collected,23,<first>,<error>
Personal Data,Personal Data,100.0,829,sub,"Personal DataWhile using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personally identifiable information may include, but is not limited to:",250,<first>,<error>
Cookies and Usage Data,Cookies and Usage Data,100.0,1081,sub,"Cookies and Usage DataUsage DataWe may also collect information that your browser sends whenever you visit our Service or when you access the Service by or through a mobile device (""Usage Data"").This Usage Data may include information such as your computer's Internet Protocol address (e.g. IP address), browser type, browser version, the pages of our Service that you visit, the time and date of your visit, the time spent on those pages, unique device identifiers and other diagnostic data.",492,<first>,<error>
Cookies and Usage Data,Cookies and Usage Data,100.0,1081,sub,"When you access the Service by or through a mobile device, this Usage Data may include information such as the type of mobile device you use, your mobile device unique ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data.",337,<first>,<error>
Tracking & Cookies Data,Tracking & Cookies Data,100.0,1915,sub,"Tracking & Cookies DataWe use cookies and similar tracking technologies to track the activity on our Service and hold certain information.Cookies are files with small amount of data which may include an anonymous unique identifier. Cookies are sent to your browser from a website and stored on your device. Tracking technologies also used are beacons, tags, and scripts to collect and track information and to improve and analyze our Service.",442,<tracking>,<error>
Tracking & Cookies Data,Tracking & Cookies Data,100.0,1915,sub,"You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent. However, if you do not accept cookies, you may not be able to use some portions of our Service.Examples of Cookies we use:Session Cookies.We use Session Cookies to operate our Service.Preference Cookies.We use Preference Cookies to remember your preferences and various settings.Security Cookies.We use Security Cookies for security purposes.",438,<tracking>,<error>
Use of Data,Use of Data,100.0,2806,main,"Use of DataBluelight Filter uses the collected data for various purposes:To provide and maintain the ServiceTo notify you about changes to our ServiceTo allow you to participate in interactive features of our Service when you choose to do soTo provide customer care and supportTo provide analysis or valuable information so that we can improve the ServiceTo monitor the usage of the ServiceTo detect, prevent and address technical issues",437,<first>,<error>
