decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy policy,14,<error>,<error>
Podcast Addict,Podcast Addict,100.0,15,main,Podcast Addict,14,<error>,<error>
App,App,100.0,30,main,App,3,<error>,<error>
Podcast promotion,Podcast promotion,100.0,34,main,Podcast promotionالعربية (Arabic)中文 (Chinese)Hrvatski (Croatian)Čeština (Czech)Dansk (Danish)Nederlands (Dutch)EnglishEesti (Estonian)Suomi (Finnish)Français (French)Deutsch (German)Ελληνικά (Greek)עברית (Hebrew)हिन्दी (Hindi)Magyar (Hungarian)Bahasa Indonesia (Indonesian)Italiano (Italian)日本語 (Japanese)한국어 (Korean)Norsk (Norwegian)فارسی (Persian)Polski (Polish)Português (Portuguese)Русский (Russian)Español (Spanish)Svenska (Swedish)Українська (Ukrainian),459,<error>,<error>
Terms of Services,Terms of Services,100.0,521,main,Terms of Services,17,<generic>,<other>
Privacy policy,Privacy policy,100.0,539,main,Privacy policyTerms of Services,31,<generic>,<other>
User generated content,User generated content,100.0,572,main,"User generated contentPodcast Addict users can generate content by reviewing podcasts. Those reviews are available through the app and on the website.It is forbidden for anyone to scrap those reviews and any other Podcast Addict data like the popular podcasts lists, subscriptions and download numbers without the permission of Podcast Addict.",343,<generic>,<other>
User generated content,User generated content,100.0,572,main,"So by using Podcast Addict app and website you agree that you will not develop, support or use software devices, scripts, robots or any other means or processes (including crawlers, browser plugins and add-ons or any other technology) to scrape the Services or otherwise copy reviews and other data from the Services.Privacy PolicyThank you for using Podcast Addict!",366,<generic>,<other>
User generated content,User generated content,100.0,572,main,"Podcast Addict respects your privacy. This Privacy Policy explains how Podcast Addict collects, uses, and transfers your information, and how you can control the use of the information that Podcast Addict collects.",214,<generic>,<other>
What we collect,What we collect,100.0,1502,main,"What we collectPodcast Addict does not collect any personal information.Feed urls, subscriptions, downloads, streaming information are collected anonymously in order to improve the app database, podcasts recommendation, and other services. If you manually add an RSS feed into the app that you don't want to share with the app database, make sure to select the 'PRIVATE' checkbox.",380,<first>,<what>
Analytics,Analytics,100.0,1887,main,AnalyticsAnonymous usage statistics are collected throughGoogle Analytics/Firebasein order to improve the app. You can disable them from Settings/About (Privacy policy).,169,<first>,<what>
Debug,Debug,100.0,2062,main,"DebugPodcast Addict usesFirebase Crashlyticsin order to be notified when the app crashes. Firebase Crashlytics collects some anonymous information like the stack trace, device model, android version, ... which is used by Podcast Addict team in order to fix bugs (Terms of Services).",282,<first>,<what>
Debug,Debug,100.0,2062,main,Podcast Addict team may ask you for some information when trying to debug an issue. This information will only be used to solve that issue. None of the information gathered during the debug process will be shared with any 3rd party.,232,<first>,<what>
Google Drive Sign-in,Google Drive Sign-in,100.0,2581,main,Google Drive Sign-inThis is an optional feature of the app that allows you to authenticate yourself to store a copy of the app data on your own Google Drive account.The app doesn't store this data on its server. Your name and email address are not stored on the app server. The email address is only displayed in the app settings screen to remind you about the Google account used to sign-in.The app only store the token Id on its server.,438,<first>,<what>
YouTube,YouTube,100.0,3023,main,"YouTubeBy using Podcast Addict to subscribe to YouTube Channels, users acknowledge and agree that the app uses YouTube API Services. As such, users of Podcast Addict are agreeing to be bound by the YouTube Terms of Service (https://www.youtube.com/t/terms), Privacy Policy (https://www.google.com/policies/privacy), and API Services Terms of Service (https://developers.google.com/youtube/terms/api-services-terms-of-service) when engaging with YouTube content on the app.",472,<first>,<what>
YouTube,YouTube,100.0,3023,main,We take no responsibility for the content or privacy practices of any Third-Party Services. We encourage you to carefully review the privacy policies of any Third-Party Services you access.,189,<first>,<what>
Ads,Ads,100.0,3687,main,"AdsPodcast Addict usesAdmob, AppLovin, Fyber and Inmobito display ads. The app doesn't access any personal information like the location, contacts, SMS, ... so the ad networks don't have access to that information. They might be able to guess the location based on your IP address though.AdMobis an advertising service provided by AdMob Google Inc. Personal Data collected: Cookie and Usage Data. Place of processing: USA (Privacy policy).AppLovin",447,<first>,<how-gathered>
Ads,Ads,100.0,3687,main,"is an advertising service. Personal Data collected: Cookie and Usage Data. Place of processing: USA (Privacy policy).Fyberis an advertising service. Personal Data collected: Cookie and Usage Data (Privacy policy).InMobiis an advertising service. Personal Data collected: Cookie and Usage Data (Privacy policy).European users can choose if they want to, receive targeted ads or not from the app GDPR popup.",405,<first>,<how-gathered>
Podcast Reviews,Podcast Reviews,100.0,4560,main,"Podcast ReviewsSince v2020.6, the app allows the user to rate and review podcasts.Those reviews are stored on Podcast Addict servers. Users can delete their reviews at any time.",177,<first>,<what>
Information usage,Information usage,100.0,4740,main,"Information usageWe use the information we collect to operate and improve our website, apps, and customer support.We do not share personal information with outside parties except to the extent necessary to accomplish Podcast Addict functionality. We may share anonymous, aggregate statistics with outside parties, such as how many people listen to a particular podcast via Podcast Addict.",388,<first>,<why>
