decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy PolicyPrivacy Policy,28,<generic>,<error>
INSCODE built the Clickmate app as,INSCODE built the Clickmate app as,100.0,30,main,INSCODE built the Clickmate app as                    ad-free app. This SERVICE is provided by                    INSCODE and is intended for                    use as is.,171,<generic>,<error>
This page is used to inform visitors regarding,This page is used to inform visitors regarding,100.0,205,main,"This page is used to inform visitors regarding                    our policies with the collection, use, and                    disclosure of Personal Information if anyone decided to use                    our Service.If you choose to use our Service, then you agree                    to the collection and use of information in relation to this                    policy. The Personal Information that we collect is                    used for providing and improving the Service.",483,<generic>,<error>
This page is used to inform visitors regarding,This page is used to inform visitors regarding,100.0,205,main,                    We will not use or share your                    information with anyone except as described in this Privacy                    Policy.,155,<generic>,<error>
The terms used in this Privacy Policy have the same meanings,The terms used in this Privacy Policy have the same meanings,100.0,854,main,"The terms used in this Privacy Policy have the same meanings                    as in our Terms and Conditions, which is accessible at                    Clickmate unless otherwise defined in this Privacy                    Policy.",231,<generic>,<error>
Accessibility service usage,Accessibility service usage,100.0,1089,main,Accessibility service usage,27,<access>,<other>
This app uses Accessibility Service API to provide following features:,This app uses Accessibility Service API to provide following features:,100.0,1117,sub,"This app uses Accessibility Service API to provide following features:- perform touch gestures on the screen: single touch and multi touch gestures- perform navigation actions: back action, home action, recent apps action- performing screenshots by using take screenshot action- displaying floating widgets across the device screen",331,<error>,<how-gathered>
Data accessed through AccessibilityService API,Data accessed through AccessibilityService API,100.0,1453,main,"Data accessed through AccessibilityService API:With usage of accessibility service API app displays floating window with view attached which captures touch input and its details: X and Y coordinates of touch, count of fingers used to perform touch and its duration. \This data could be saved if you, the user, decide so. Saved data is used to reproduce your touch input later on your demand using Accessibility Service API.",423,<first>,<what>
Data accessed through AccessibilityService API,Data accessed through AccessibilityService API,100.0,1453,main,"Data described above is not shared in anyway with any third party and it stays locally on your phone, unless you, the user, decide to export the data outside the app using export option, where exporting is saving the touch-related data (x and y coordinates, finger count, touch duration, repeat count) to external file in directory indicated by you, the user.",359,<first>,<what>
Information Collection and Use,Information Collection and Use,100.0,2238,main,Information Collection and Use,30,<first>,<what>
We allow third-party companies to serve ads and collect certain anonymous information when you visit our app.,We allow third-party companies to serve ads and collect certain anonymous information when you visit our app.,100.0,2269,sub,"We allow third-party companies to serve ads and collect certain anonymous information when you visit our app. These companies may use anonymous information such as your Google Advertising ID, your device type and system version and other technical data relating to your device, in order to provide advertisements",312,<third>,<why>
Link to privacy policy of third party service providers,Link to privacy policy of third party service providers,100.0,2582,sub,Link to privacy policy of third party service providers                      ,77,<third>,<what>
used by the app,used by the app,100.0,2660,sub,used by the app,15,<first>,<error>
Google Play Services,Google Play Services,100.0,2676,main,Google Play Services,20,<third>,<what>
Firebase Analytics,Firebase Analytics,100.0,2697,main,Firebase Analytics,18,<third>,<what>
Fabric,Fabric,100.0,2716,main,Fabric,6,<third>,<what>
Crashlytics,Crashlytics,100.0,2723,main,Crashlytics,11,<third>,<what>
Log Data,Log Data,100.0,2735,main,Log Data,8,<first>,<what>
We want to inform you that whenever,We want to inform you that whenever,100.0,2744,sub,"We want to inform you that whenever                    you use our Service, in a case of an error in the                    app we collect data and information (through third                    party products) on your phone called Log Data. This Log Data                    may include information such as device name, operating system                    version, the configuration of the app when utilizing                    our Service, the time and date of your use of the",476,<first>,<error>
We want to inform you that whenever,We want to inform you that whenever,100.0,2744,sub,                    Service and other statistics.,49,<first>,<error>
Links to Other Sites,Links to Other Sites,100.0,3277,main,Links to Other Sites,20,<third>,<error>
This Service may contain links to other sites.,This Service may contain links to other sites.,100.0,3298,sub,"This Service may contain links to other sites. If you click                    on a third-party link, you will be directed to that site.                    Note that these external sites are not operated by                    us. Therefore, we strongly advise you to                    review the Privacy Policy of these websites.                    We have no control over and assume no                    responsibility for the content, privacy policies, or",459,<generic>,<other>
This Service may contain links to other sites.,This Service may contain links to other sites.,100.0,3298,sub,                    practices of any third-party sites or services.,67,<generic>,<other>
Children’s Privacy,Children’s Privacy,100.0,3832,main,Children’s Privacy,18,<audience>,<error>
These Services do not address anyone under the age of 13.,These Services do not address anyone under the age of 13.,100.0,3851,sub,"These Services do not address anyone under the age of 13.                    We do not knowingly collect personally                    identifiable information from children under 13. In the case                    we discover that a child under 13 has provided                    us with personal information,                    we immediately delete this from our servers. If you                    are a parent or guardian and you are aware that your child",459,<region>,<other>
These Services do not address anyone under the age of 13.,These Services do not address anyone under the age of 13.,100.0,3851,sub,"                    has provided us with personal information, please contact                    us so that we will be able to do                    necessary actions.",167,<region>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4487,main,Changes to This Privacy Policy,30,<change>,<error>
We may update our Privacy Policy from,We may update our Privacy Policy from,100.0,4518,sub,"We may update our Privacy Policy from                    time to time. Thus, you are advised to review this page                    periodically for any changes. We will                    notify you of any changes by posting the new Privacy Policy                    on this page. These changes are effective immediately after                    they are posted on this page.",376,<retention>,<how-used>
Contact Us,Contact Us,100.0,4900,main,Contact Us,10,<error>,<error>
If you have any questions or suggestions about,If you have any questions or suggestions about,100.0,4911,sub,"If you have any questions or suggestions about                    our Privacy Policy, do not hesitate to contact                    us at clickmateapp@gmail.com.",161,<contact>,<error>
