decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyRbigsoft built the Easy Unrar, Unzip & Zip app as                    an Ad Supported app. This SERVICE is provided by                    Rbigsoft at no cost and is intended for                    use as is.This page is used to inform visitors regarding                    my policies with the collection, use, and                    disclosure of Personal Information if anyone decided to use                    my Service.If you choose to use my Service, then you agree",498,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"                    to the collection and use of information in relation to this                    policy. The Personal Information that I collect is                    used for providing and improving the Service.                    I will not use or share your                    information with anyone except as described in this Privacy                    Policy.The terms used in this Privacy Policy have the same meanings                    as in our Terms and Conditions, which is accessible at",503,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"                    Easy Unrar, Unzip & Zip unless otherwise defined in this Privacy                    Policy.",111,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,1133,main,"Information Collection and UseFor a better experience, while using our Service,                    I may require you to provide us with certain                    personally identifiable information. The                   ",222,<generic>,<error>
The information that I request will be retained on your device and is not collected by me in any way.," information that I request will be
                    retained on your device and is not collected ",80.19801980198021,1359,sub, information that I request will be                    retained on your device and is not collected by me in any way.The app does use third party services that may collect                    information used to ide,214,<first>,<error>
Link to privacy policy of third party service providers used by the app,"ntify you.
Link to privacy policy of third party service providers
    ",83.09859154929578,1576,main,ntify you.Link to privacy policy of third party service providers                      used by the app,102,<third>,<error>
Google Play Services,Google Play Services,100.0,1681,sub,Google Play Services,20,<third>,<error>
AdMob,AdMob,100.0,1702,sub,AdMob,5,<third>,<error>
Firebase Analytics,Firebase Analytics,100.0,1708,sub,Firebase Analytics,18,<third>,<error>
Log Data,Log Data,100.0,1727,main,Log DataI want to inform you that whenever             ,55,<retention>,<error>
"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third party products) on your phone called Log Data.","       you use my Service, in a case of an error in the
                    app I collect data and information (through third
                    party products) on your phone call",77.77777777777779,1784,sub,"       you use my Service, in a case of an error in the                    app I collect data and information (through third                    party products) on your phone called Log Data. This Log Data                 ",221,<first>,<error>
"This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.","   may include information such as your device Internet
                    Protocol (â€œIPâ€) address, device name, operating system
                    version, the configuration of the app when utilizing
                    my Service, the time and date ",76.74418604651163,2008,sub,"   may include information such as your device Internet                    Protocol (â€œIPâ€) address, device name, operating system                    version, the configuration of the app when utilizing                    my Service, the time and date of your use of the                    Service, and other statistics.",323,<third>,<error>
