decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Easy Labs - ,12,<error>,<error>
Privacy Policy,Privacy Policy,100.0,12,main,"Privacy PolicyPrivacy PolicyWelcome! This Privacy Policy explains how Easy Labs (""we"") collects, uses, and shares your personal information while you use Easy Labs’ apps (""applications"" or “apps”).This privacy policy applies to the following applications:LED StrobeMultiTouch TestHair Clipper Sound - Prank",306,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,12,main,"By installing the apps on your mobile device, entering into, connecting to, accessing and/or using the apps, you agree to the terms and conditions set forth in this Privacy Policy, including to the possible collection and processing of your personal information. Please Note: If you or, as applicable, your legal guardian, disagree to any term provided herein, you may not install, access and/or use the apps and you are requested to promptly erase them, and any part thereof, from your mobile device.",501,<generic>,<error>
Consent,Consent,100.0,827,main,Consent,7,<generic>,<error>
Consent,Consent,100.0,827,main,"The first time you launch the app, we will ask for your consent to use personalized or non-personalized ads. If you consent to personalized ads, our ad partners will use personal data to personalize the ads. If you consent to non-personalized ads, personal data will not be used for ad personalization. Although non-personalized ads donâ€™t use cookies or mobile ad identifiers for ad targeting, they do still use cookies or mobile ad identifiers for internal operations (frequency capping, aggregated ad reporting, and to combat fraud and abuse).",547,<generic>,<error>
1. What kind of information does Easy Labs collect?,1. What kind of information does Easy Labs collect?,100.0,1383,main,"1. What kind of information does Easy Labs collect?We aim to minimize how much personal information we collect from users when they use the applications. Most of our data collection is limited to the following types of data, which do not identify you personally, but in some countries, these types of data may be considered as personal information:",348,<error>,<what>
IP address,IP address,100.0,1733,sub,"IP address- Device's IP address, which may be used to estimate the general location of a device.",96,<error>,<what>
User product interactions,User product interactions,100.0,1831,sub,"User product interactions- User product interactions and interaction information, including app launch, taps, and video views.",126,<error>,<what>
Diagnostic information,Diagnostic information,100.0,1959,sub,"Diagnostic information- Information related to the performance of your app and the SDK, including crash logs, app launch time, hang rate, and energy usage.",155,<error>,<what>
Device and Account identifiers,Device and Account identifiers,100.0,2116,sub,"Device and Account identifiers- Android advertising ID, App set ID, and, if applicable, other identifiers related to signed-in accounts on the device.",150,<error>,<what>
2. How is my personal information used for advertising?,2. How is my personal information used for advertising?,100.0,2268,main,2. How is my personal information used for advertising?,55,<error>,<why>
a. Ad Partner Technologies,a. Ad Partner Technologies,100.0,2324,sub,"a. Ad Partner TechnologiesWe use advertising to make our applications available for free. We show ads in our applications with the help of third-party advertising partners (""Ad Partners""). We integrate Ad Partners’ technologies into our applications which are then used by the Ad Partners to determine what kind of ads to display to you. We useAdmoband their Ad technology providers: (Adform,AppNexus,AudienceProject,Criteo,Facebook)",433,<error>,<why>
b. Do Ad Partners Collect My Personal Information?,b. Do Ad Partners Collect My Personal Information?,100.0,2771,sub,"b. Do Ad Partners Collect My Personal Information?To show you advertisements, Ad Partners collect and use the data listed in the first point. Because these Ad Partners’ technologies control what kind of personal information is collected from your Device and how it is used, we encourage you to review their respective privacy policies.https://policies.google.com/technologies/partner-siteshttps://policies.google.com/privacy",424,<error>,<why>
c. How Google uses AdMob data,c. How Google uses AdMob data,100.0,3199,sub,"c. How Google uses AdMob dataThe AdMob SDK collects and shares the data automatically for advertising, analytics, and fraud prevention purposes. More informations like data access, data retention, data deletion and data portability you will find here:https://support.google.com/admob/answer/7665968",298,<error>,<why>
3. Cookies and similar tracking technologies.,3. Cookies and similar tracking technologies.,100.0,3500,main,3. Cookies and similar tracking technologies.Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. These are sent to your browser from the websites that you visit and are stored on your device's internal memory.,259,<tracking>,<how-used>
3. Cookies and similar tracking technologies.,3. Cookies and similar tracking technologies.,100.0,3500,main,"Our apps does not use these “cookies” explicitly. However, the app may use third party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",384,<tracking>,<how-used>
4. Children’s Privacy,4. Children’s Privacy,100.0,4146,main,"4. Children’s PrivacyWe do not knowingly collect personally identifiable information from children under 13. In the case we discover that a child under 13 has provided us with personal information, we immediately delete this from our servers. If you are a parent or guardian and you are aware that your child has provided us with personal information, please contact us so that we will be able to do necessary actions.",418,<audience>,<how-gathered>
5. Security,5. Security,100.0,4566,main,5. Security,11,<security>,<error>
5. Security,5. Security,100.0,4566,main,"We have implemented appropriate technical measures to protect the confidentiality, security and integrity of the collected information, and to prevent unauthorized access and the use of information contrary to this Privacy Policy. Although we use commercially reasonable efforts to assure that your information remains secure when maintained by us, please be aware that no security measures are perfect or impenetrable. All of the user data collected by AdMob SDK is encrypted in transit using the Transport Layer Security (TLS) protocol.",538,<security>,<error>
6. For users in the European Economic Area,6. For users in the European Economic Area,100.0,5117,main,6. For users in the European Economic Area,42,<error>,<when>
a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),100.0,5160,sub,"a. Your Data Protection Rights Under General Data Protection Regulation (GDPR)If you are a resident of the European Economic Area (EEA), you have certain data protection rights. Easy Labs aims to take reasonable steps to allow you to correct, amend, delete, or limit the use of your Personal Data. If you wish to be informed what Personal Data we hold about you and if you want it to be removed, please contact us.In certain circumstances, you have the following data protection rights:",486,<error>,<when>
a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),100.0,5160,sub,"The right to access, update or to delete the information we have on you.The right of rectification. You have the right to have your information rectified if that information is inaccurate or incomplete.The right to object. You have the right to object to our processing of your Personal Data.The right of restriction. You have the right to request that we restrict the processing of your personal information.",409,<error>,<when>
a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),100.0,5160,sub,"The right to data portability. You have the right to be provided with a copy of the information we have on you in a structured, machine-readable and commonly used format.The right to withdraw consent. You also have the right to withdraw your consent at any time where The apps relied on your consent to process your personal information.",337,<error>,<when>
a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),a. Your Data Protection Rights Under General Data Protection Regulation (GDPR),100.0,5160,sub,"You have the right to complain to a Data Protection Authority about our collection and use of your Personal Data. For more information, please contact your local data protection authority in the European Economic Area (EEA).",224,<error>,<when>
b. Legal Basis for Processing.,b. Legal Basis for Processing.,100.0,6626,sub,b. Legal Basis for Processing.,30,<error>,<when>
b. Legal Basis for Processing.,b. Legal Basis for Processing.,100.0,6626,sub,"Our legal basis for collecting, using, and sharing your personal information will depend on the purpose for which we use your personal information. Typically, we will rely on the following legal bases for processing your personal information: (i) your consent; (ii) where our processing is in our legitimate interest or in the legitimate interest of our Ad Partners; or (iii) where our processing is necessary to perform a contract with you (e.g. to make the applications accessible to you). If we rely on your consent to process your personal information, you have the right to withdraw your consent at any time.",613,<error>,<when>
