decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,App Lock Privacy Policy: App Lock Privacy PolicyApp Lock Privacy Policy2016年7月28日星期四App Lock Privacy PolicyThis document clarifies how User data and any sensitive information is handled in the App.,197,<error>,<error>
Read Phone State:,Read Phone State:,100.0,202,main,"Read Phone State:This is used to detect whether the phone is calling when your screen is off, if your phone is calling, the timer of locked apps will not be reset, otherwise, the timer will be reset. (The timer is used to prevent frequently repeated lock of your apps).",269,<generic>,<error>
Get Tasks:,Get Tasks:,100.0,473,main,Get Tasks:Get the top running apps of your phone and decide lock it or not.,75,<first>,<error>
Package Usage Stats,Package Usage Stats,100.0,550,main,"Package Usage StatsSame as Get Tasks. (Get Tasks is not working on newer Android OS, so we have to use Package Usage Stats to get the top running apps).",152,<generic>,<error>
Personal Data collected for Advertising,Personal Data collected for Advertising,100.0,704,main,Personal Data collected for Advertising,39,<first>,<what>
Cookies,Cookies,100.0,744,sub,"Cookies, ",9,<third>,<error>
"unique device identifiers for advertising (Google Advertiser ID or IDFA, for example)","unique device identifiers for advertising (Google Advertiser ID or IDFA, for example)",100.0,753,sub,"unique device identifiers for advertising (Google Advertiser ID or IDFA, for example) and ",90,<third>,<what>
Usage Data,Usage Data,100.0,843,sub,Usage Data,10,<first>,<what>
Google Mobile Ads SDK is used to serve ads in the application. Please refer Google Privacy Policy in https://policies.google.com/privacy,Google Mobile Ads SDK is used to serve ads in the application. Please refer Google Privacy Policy in https://policies.google.com/privacy,100.0,854,main,Google Mobile Ads SDK is used to serve ads in the application. Please refer Google Privacy Policy in https://policies.google.com/privacy,136,<third>,<error>
"Google may use the advertising ID from your device to generate interests and demographics (for example,'sports enthusiasts')","Google may use the advertising ID from your device to generate interests and demographics (for example, 'sports enthusiasts'",99.19354838709677,991,sub,"Google may use the advertising ID from your device to generate interests and demographics (for example, 'sports enthusiasts'). ",127,<third>,<why>
"Interests, demographics, and other data may be used to serve better targeted ads to you","Interests, demographics, and other data may be used to serve better targeted ads to you",100.0,1118,sub,"Interests, demographics, and other data may be used to serve better targeted ads to you. ",89,<third>,<how-used>
"You can view and edit your interests and demographics, or opt out of personalized ads from https://www.google.com/settings/ads","You can view and edit your interests and demographics, or opt out of personalized ads from https://www.google.com/settings/ads",100.0,1207,sub,"You can view and edit your interests and demographics, or opt out of personalized ads from https://www.google.com/settings/ads发帖者anderson时间：18:27通过电子邮件发送BlogThis!共享给 Twitter共享给 Facebook分享到Pinterest11 条评论:Unknown2020年1月10日 04:53SsohailSohailSohaISohaISohaI回复删除回复回复rudra singh2020年3月2日 02:08great post....nice appsbest app lock for android回复删除回复回复Unknown2020年7月2日 19:48Lock回复删除回复Unknown2020年8月28日 17:29S删除回复回复Unknown2020年11月27日 13:18Kumari删除回复回复回复Unknown2020年8月28日 17:28Sandhu saab lock lagan hi回复删除回复Unknown",506,<choice>,<how-gathered>
"You can view and edit your interests and demographics, or opt out of personalized ads from https://www.google.com/settings/ads","You can view and edit your interests and demographics, or opt out of personalized ads from https://www.google.com/settings/ads",100.0,1207,sub,2020年12月15日 10:31Angela liberata 3删除回复回复回复Unknown2020年10月28日 21:57NADEEEM7y回复删除回复回复Unknown2020年11月27日 13:19Kumari回复删除回复回复Unknown2021年4月18日 05:43bet cepat kirim回复删除回复回复Unknown2021年10月8日 19:45thelemaque papito回复删除回复回复添加评论加载更多...较新的博文主页订阅：博文评论 (Atom)我的简介anderson查看我的完整个人资料博客归档►2018(1)►九月(1)▼2016(1)▼七月(1)App Lock Privacy Policy“简单”主题背景. 由Blogger提供支持.,347,<choice>,<how-gathered>
