decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Arvin Apps - Privacy PolicyArvin AppsHomeProductsServicesAboutContactPrivacy Policy – Green Apple MessageArvin Apps (“us”, “we”, or “our”) operates the Green Apple Message mobile application (the “Service”).This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data..",385,<error>,<error>
,,-1.0,0,,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",295,<error>,<error>
Information Collection And Use,Information Collection And Use,100.0,691,main,Information Collection And UseWe collect several different types of information for various purposes to provide and improve our Service to you.Types of Data Collected,166,<generic>,<error>
Personal Data,Personal Data,100.0,860,main,"Personal DataWhile using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (“Personal Data”). Personally identifiable information may include, but is not limited to:",250,<first>,<what>
Cookies,Cookies,100.0,1112,main,"Cookies and Usage DataUsage DataWhen you access the Service by or through a mobile device, we may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile device unique ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data (“Usage Data”).Tracking & Cookies Data",440,<tracking>,<what>
Cookies,Cookies,100.0,1112,main,"We use cookies and similar tracking technologies to track the activity on our Service and hold certain information.Cookies are files with small amount of data which may include an anonymous unique identifier. Cookies are sent to your browser from a website and stored on your device. Tracking technologies also used are beacons, tags, and scripts to collect and track information and to improve and analyze our Service.",419,<tracking>,<what>
Cookies,Cookies,100.0,1112,main,"You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent. However, if you do not accept cookies, you may not be able to use some portions of our Service.Examples of Cookies we use:Session Cookies.We use Session Cookies to operate our Service.Preference Cookies.We use Preference Cookies to remember your preferences and various settings.Security Cookies.We use Security Cookies for security purposes.",438,<tracking>,<what>
Use of Data,Use of Data,100.0,2423,main,"Use of DataGreen Apple Message uses the collected data for various purposes:To provide and maintain the ServiceTo notify you about changes to our ServiceTo allow you to participate in interactive features of our Service when you choose to do soTo provide customer care and supportTo provide analysis or valuable information so that we can improve the ServiceTo monitor the usage of the ServiceTo detect, prevent and address technical issues",440,<first>,<why>
Transfer Of Data,Transfer Of Data,100.0,2872,main,"Transfer Of DataYour information, including Personal Data, may be transferred to — and maintained on — computers located outside of your state, province, country or other governmental jurisdiction where the data protection laws may differ than those from your jurisdiction.If you are located outside Sri Lanka and choose to provide information to us, please note that we transfer the data, including Personal Data, to Sri Lanka and process it there.",449,<third>,<how-used>
Transfer Of Data,Transfer Of Data,100.0,2872,main,Your consent to this Privacy Policy followed by your submission of such information represents your agreement to that transfer.Green Apple Message will take all steps reasonably necessary to ensure that your data is treated securely and in accordance with this Privacy Policy and no transfer of your Personal Data will take place to an organization or a country unless there are adequate controls in place including the security of your data and other personal information.,473,<third>,<how-used>
Disclosure Of Data,Disclosure Of Data,100.0,3799,main,Disclosure Of DataLegal RequirementsGreen Apple Message may disclose your Personal Data in the good faith belief that such action is necessary to:To comply with a legal obligationTo protect and defend the rights or property of Green Apple MessageTo prevent or investigate possible wrongdoing in connection with the ServiceTo protect the personal safety of users of the Service or the publicTo protect against legal liability,424,<third>,<how-used>
Security Of Data,Security Of Data,100.0,4231,main,"Security Of DataThe security of your data is important to us, but remember that no method of transmission over the Internet, or method of electronic storage is 100% secure. While we strive to use commercially acceptable means to protect your Personal Data, we cannot guarantee its absolute security.",299,<security>,<how-used>
Service Providers,Service Providers,100.0,4532,main,"Service ProvidersWe may employ third party companies and individuals to facilitate our Service (“Service Providers”), to provide the Service on our behalf, to perform Service-related services or to assist us in analyzing how our Service is used.These third parties have access to your Personal Data only to perform these tasks on our behalf and are obligated not to disclose or use it for any other purpose.",407,<third>,<how-gathered>
Analytics,Analytics,100.0,4942,main,AnalyticsWe may use third-party Service Providers to monitor and analyze the use of our Service.Google Analytics,112,<third>,<how-gathered>
Analytics,Analytics,100.0,4942,main,"Google Analytics is a web analytics service offered by Google that tracks and reports website traffic. Google uses the data collected to track and monitor the use of our Service. This data is shared with other Google services. Google may use the collected data to contextualize and personalize the ads of its own advertising network.You may opt-out of certain Google Analytics features through your mobile device settings, such as your device advertising settings or by following the instructions provided by Google in their Privacy Policy:",540,<third>,<how-gathered>
Analytics,Analytics,100.0,4942,main,"https://policies.google.com/privacy?hl=enFor more information on the privacy practices of Google, please visit the Google Privacy & Terms web page:https://policies.google.com/privacy?hl=enFirebaseFirebase is analytics service provided by Google Inc.You may opt-out of certain Firebase features through your mobile device settings, such as your device advertising settings or by following the instructions provided by Google in their Privacy Policy:https://policies.google.com/privacy?hl=en",489,<third>,<how-gathered>
Analytics,Analytics,100.0,4942,main,"We also encourage you to review the Google’s policy for safeguarding your data:https://support.google.com/analytics/answer/6004245. For more information on what type of information Firebase collects, please visit please visit the Google Privacy & Terms web page:https://policies.google.com/privacy?hl=en",303,<third>,<how-gathered>
Links To Other Sites,Links To Other Sites,100.0,6400,main,"Links To Other SitesOur Service may contain links to other sites that are not operated by us. If you click on a third party link, you will be directed to that third party’s site. We strongly advise you to review the Privacy Policy of every site you visit.We have no control over and assume no responsibility for the content, privacy policies or practices of any third party sites or services.",392,<third>,<other>
Children’s Privacy,Children’s Privacy,100.0,6795,main,"Children’s PrivacyOur Service might address below the age of 18 (“Children”).We do not knowingly collect any personally identifiable information from anyone under the age of 18 or above. If you are a parent or guardian and you are aware that your Children has provided us with Personal Data, please contact us. If we become aware that we have collected Personal Data from children without verification of parental consent, we take steps to remove that information from our servers.",481,<audience>,<other>
Changes To This Privacy Policy,Changes To This Privacy Policy,100.0,7279,main,"Changes To This Privacy PolicyWe may update our Privacy Policy from time to time. We will notify you of any changes by posting the new Privacy Policy on this page.We will let you know via email and/or a prominent notice on our Service, prior to the change becoming effective and update the “effective date” at the top of this Privacy Policy.You are advised to review this Privacy Policy periodically for any changes. Changes to this Privacy Policy are effective when they are posted on this page.",496,<change>,<other>
Contact Us,Contact Us,100.0,7779,main,"Contact UsIf you have any questions about this Privacy Policy, please contact us:By email: apps.arvin@gmail.comBy visiting this page on our website: https://www.arvinapps.comBy phone number: 0771775727Arvin AppsAt our company, we turn the digital dreams of our clients into a reality.Useful LinksHomeAboutServicesContactContact458/3, Patabendimulla, Ambalangoda+94 77 177 5727contact@arvinapps.comCopyright © 2021 Arvin Apps | Powered by Arvin Apps",448,<contact>,<other>
