decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,eharmony ,9,<error>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Privacy PolicyTourDating AdviceLocal DatingPress and ResearchSuccess StoriesLoginJoin nowLoginTourDating AdviceLocal DatingPress and ResearchSuccess StoriesJoin nowPrivacy PolicyShow Privacy Policy as PDFThis Privacy Policy discloses the privacy practices of eHarmony, Inc. (“eharmony,” “us,” “our,” or “we”) with respect to your information collected, stored, disclosed and used by eharmony, its subsidiaries and corporate affiliates, through our Services, including our Websites and Applications (as defined in the Terms and Conditions of Service or",551,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,"Agreement).YOUR USE OF OUR SERVICES IS SUBJECT TO THIS PRIVACY POLICY AND THE APPLICABLE TERMS AND CONDITIONS OF SERVICE. BY USING OUR SERVICES, YOU ARE ACCEPTING THE PRACTICES SET OUT IN THIS PRIVACY POLICY AND THE APPLICABLE TERMS AND CONDITIONS OF SERVICE.The ",263,<generic>,<error>
Effective Date,effective date,100.0,844,main,"effective date of this Privacy Policy is noted below. We reserve the right to modify this Privacy Policy at any time, so please review it frequently. If we make material changes to this Privacy Policy, we will update the “last revised” date. Your continued use of any portion of our Services following the posting of the updated Privacy Policy will constitute your acceptance of the changes.",391,<generic>,<other>
What Personal Information We Collect and How We Collect It,What Personal Information We Collect and How We Collect It,100.0,1236,main,"What Personal Information We Collect and How We Collect ItHow and Why We Use Your Personal InformationMobile Push NotificationsIf Information Is Not ProvidedDisclosure of Your Personal InformationThird-Party AdvertisingAge RestrictionsCustom AudienceSecurity“Do Not Track” SignalsLinks to or Access from Other SitesChoice/Opt-OutRight to Access, Delete, Correct/Update Your Personal InformationRetention and Storage of Your Personal InformationSupplemental Privacy PolicyDispute ResolutionContact Us",499,<first>,<what>
What Personal Information We Collect and How We Collect It,What Personal Information We Collect and How We Collect It,100.0,1236,main,"Effective Date1. What Personal Information We Collect and How We Collect ItIn order to provide our Services, we collect information about you that, alone or in combination with other information, can be used to identify you as an individual (“personal information”). What personal information we collect and process when you use our Services depends on how and why you interact with us.",386,<first>,<what>
Personal Information You Provide,Personal Information You Provide,100.0,2141,sub,Personal Information You Provide,32,<first>,<what>
Personal Information You Provide,Personal Information You Provide,100.0,2141,sub,". When you register for an account or subscribe to any of our Services, we collect a variety of information about you, including your contact information such as your name, email address, contact number, mailing address, date of birth, dating preferences, etc. When you sign up for our Services, you may provide us with answers to our proprietary questionnaire (our Compatibility Quiz), which we use to build a personality profile for you and to match you with other compatible singles. You may also choose to provide us with your photo(s) which may contain personal information. By providing us photo(s) you agree that we may make them available to your potential partners and users of eHarmony’s Services. We may also collect your name, contact information (such as your email), and a copy of your correspondences with us, if you contact us. If you are a Premium Member, you will also be able to communicate with your potential partners via video chat in selected countries. If you use the video chat feature, you acknowledge and agree that the potential partners with whom you choose to video chat will have access to video of you. Furthermore, eharmony uses a third-party service provider to enable the video chat feature, and you agree that eharmony will transfer your IP address and profile ID to this service provider strictly for the purpose of providing the service. To process purchases, we may require your name, address, phone number, email address and payment information, including but not necessarily limited to credit or debit card information and associated account information. If you would like us to delete such payment information from our systems, you may contact us as described under the “Contacting Us” section below.",1742,<first>,<what>
Sensitive Personal Information,Sensitive Personal Information,100.0,3917,sub,"Sensitive Personal Information.During the registration process and while updating your profile, you may provide us with personal information that is considered “sensitive” in your jurisdiction, including but not limited to, religious beliefs, ethnicity and political views. This information is only used by us to provide the services to you. You may change update your information by accessing your profile at any time or select the “prefer not to specify” option in response to any questions requesting such information.",521,<first>,<what>
Surveys,Surveys,100.0,4440,sub,"Surveys.We may periodically conduct voluntary member surveys. We encourage our members to participate in such surveys because they provide us with important information regarding the improvement of our Services. You may also volunteer for certain surveys that we may offer to our users, and any additional rules regarding the conduct of such surveys will be disclosed to you prior to your participation. We do not link the survey responses to any personal information, and all responses are anonymous.",501,<first>,<what>
