decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
FOTOX PRIVACY POLICY,FotoX Privacy Policy,100.0,0,main,FotoX Privacy PolicyHomeAboutPortfolioBloom - Period trackerCountdown WidgetLilly - Period & OvulationAutomatic Call RecorderFotoX - Hide PicturesCall Recorder ProBirth control reminderCall Recorder - CallsBOXHide Photos/App LockVoice RecorderSelfie Expert HD CameraAnalog ClockContact UsFOTOX PRIVACY POLICY,308,<generic>,<error>
"This privacy policy applies to (i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"").","This privacy policy applies to (i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"").",100.0,326,main,"This privacy policy applies to (i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"").",281,<error>,<error>
"This privacy policy applies to (i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"").","This privacy policy applies to (i) our website at www.smsrobot.com (the ""Site""); and (ii) any of our games, mobile applications, products or services (whether accessible via a web application, third party platform, social networking service or otherwise) (together our ""Services"").",100.0,326,main,"	By using any of our Services, you confirm that you have read, understood and agree to this privacy policy in its entirety. If you do not agree to this policy, please do not use any of the Services. If you have any queries, please email us at support@smsrobot.com.",264,<error>,<error>
Introduction,Introduction,100.0,873,main,Introduction,12,<generic>,<other>
"1. SMSROBOT, LLC (""we"" or ""us"" or ""our"", depending on what makes the most sense)","1. SMSROBOT, LLC (""we"" or ""us"" or ""our"", depending on what makes the most sense)",100.0,886,sub,"1. SMSROBOT, LLC (""we"" or ""us"" or ""our"", depending on what makes the most sense)						",86,<error>,<error>
are committed to protecting and respecting your privacy.,are committed to protecting and respecting your privacy.,100.0,973,sub,are committed to protecting and respecting your privacy.,56,<error>,<error>
"2. This privacy policy sets out the basis on which we will process any personal information we collect from you,","2. This privacy policy sets out the basis on which we will process any personal information we collect from you,",100.0,1030,sub,"2. This privacy policy sets out the basis on which we will process any personal information we collect from you,						",118,<error>,<error>
or that you provide to us. Please read this privacy policy carefully so that you understand how we will treat your,or that you provide to us. Please read this privacy policy carefully so that you understand how we will treat your,100.0,1149,sub,or that you provide to us. Please read this privacy policy carefully so that you understand how we will treat your						,120,<error>,<error>
personal information.,personal information.,100.0,1270,sub,personal information.,21,<error>,<error>
A quick word about children,A quick word about children,100.0,1292,main,A quick word about children,27,<first>,<why>
3. We recognize we have a special obligation to protect personal information we obtain from children. We do,3. We recognize we have a special obligation to protect personal information we obtain from children. We do,100.0,1320,sub,3. We recognize we have a special obligation to protect personal information we obtain from children. We do						,113,<audience>,<why>
"not and will not knowingly collect information from any unsupervised child under the age of 13. In certain jurisdictions,","not and will not knowingly collect information from any unsupervised child under the age of 13. In certain jurisdictions,",100.0,1434,sub,"not and will not knowingly collect information from any unsupervised child under the age of 13. In certain jurisdictions,						",127,<region>,<error>
prior written permission or other verifiable consent may also be required from a parent or guardian for children under,prior written permission or other verifiable consent may also be required from a parent or guardian for children under,100.0,1562,sub,prior written permission or other verifiable consent may also be required from a parent or guardian for children under						,124,<region>,<error>
the age of 18.,the age of 18.,100.0,1687,sub,the age of 18.,14,<error>,<error>
The Data Controller,The Data Controller,100.0,1702,main,The Data Controller,19,<first>,<other>
