decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Discover,8,<error>,<error>
Privacy Policy,Privacy Policy,100.0,9,main,Privacy PolicyPrivacy Policy- ​,31,<generic>,<error>
Last updated,Last updated,100.0,42,main,"Last updated:May 2, 2019​Our products(""service"", ""we,"") collects some information from you in order to provide better service and better user experience. Your privacy is a top priority to us, and this Privacy policy explains how we collect, use, and protect your information.​​1. ",280,<generic>,<error>
Information we may collect from you and how we use it,Information we may collect from you and how we use it,100.0,326,main,Information we may collect from you and how we use it:- ,56,<first>,<what>
"When you use our services, we automatically collect Non-Personal information about the device you use to access our services and your usage of our services.","When you use our services, we automatically collect Non-Personal information about the device you use to access our services and your usage of our services.",100.0,383,sub,"When you use our services, we automatically collect Non-Personal information about the device you use to access our services and your usage of our services.- ",158,<error>,<what>
"The information we collect may include (where available) the type and model of the device you use, the device's unique device identifier, operating system, language options and mobile network information to allow you to use our services.","The information we collect may include (where available) the type and model of the device you use, the device's unique device identifier, operating system, language options and mobile network information to allow you to use our services.",100.0,542,sub,"The information we collect may include (where available) the type and model of the device you use, the device's unique device identifier, operating system, language options and mobile network information to allow you to use our services. We use this information to administer our services and for our internal operations including troubleshooting, data analysis, testing, research, statistical and survey purposes, to improve our services.​2. ",443,<error>,<what>
Explaination for permissions,Explaination for permissions,100.0,986,main,Explaination for permissions:-  ​ ,34,<first>,<why>
CAMERA,CAMERA,100.0,1021,sub,"CAMERA :Camera sensor, which is used for the purpose of taking photos.​     A permission  is required to use the phone's camera hardware,It is necessary for the basic function of the application.-  ​",199,<error>,<error>
AUDIO RECORD,AUDIO RECORD,100.0,1223,sub,"AUDIO RECORD:​    Microphone data, which is used for the purpose of recording videos.​      It is a necessary permission for recording voices during video recording. It can not be used for any other purpose.​   -  ​",215,<error>,<error>
ACCESS LOCATION,ACCESS LOCATION,100.0,1441,sub,"ACCESS LOCATIONLocation permission is required for geotagging of photos, but this is disabled by default. If enabled, your location is encoded in the saved image and video files (and it is only used for this purpose).-  ​",221,<error>,<error>
WRITE EXTERNAL STORAGE,WRITE EXTERNAL STORAGE,100.0,1664,sub,WRITE EXTERNAL STORAGE:The permission to writing data to external memory.- ​ ,77,<error>,<error>
We also use：,We also use：,100.0,1743,sub,We also use：,12,<first>,<error>
ACCESS_NETWORK_STATE,ACCESS_NETWORK_STATE,100.0,1756,sub,"ACCESS_NETWORK_STATE, ",22,<error>,<error>
ACCESS_WIFI_STATE,ACCESS_WIFI_STATE,100.0,1778,sub,"ACCESS_WIFI_STATE, ",19,<error>,<error>
READ_PHONE_STATE,READ_PHONE_STATE,100.0,1797,sub,"READ_PHONE_STATE , ",19,<error>,<error>
INTERNET,INTERNET,100.0,1816,sub,INTERNETpermissions.​3.  ,25,<error>,<error>
Information collected by our Third Party Advertising Partners,Information collected by our Third Party Advertising Partners,100.0,1843,main,Information collected by our Third Party Advertising Partners:- ,64,<first>,<how-gathered>
We work with third party advertising partners to provide personalized ads for you.,We work with third party advertising partners to provide personalized ads for you.,100.0,1908,sub,We work with third party advertising partners to provide personalized ads for you. ,83,<error>,<why>
"Our partners include but are not limited to Google AdMob, Facebook Audience Network, and etc.","Our partners include but are not limited to Google AdMob, Facebook Audience Network, and etc.",100.0,1991,sub,"Our partners include but are not limited to Google AdMob, Facebook Audience Network, and etc.- Our partners may collect hardware and software information such as IP address, device ID and type, advertising IDs (such as Google's AAID, randomly generated numbers that you can reset by going into your device' settings), device language, operating system, time zones, and identifiers associated with cookies or other technologies that may uniquely identify your device.4. ",469,<error>,<error>
How we share your information,How we share your information,100.0,2462,main,How we share your information,29,<third>,<how-used>
How we share your information,How we share your information,100.0,2462,main,"​We may retain third parties to perform services on our behalf and we may collaborate with third parties with respect to particular products or services. These third parties may be provided with access to the information needed to perform their functions, as long as they agree to keep the information confidential. We reserve the right to disclose your information as required by law, when we believe disclosure is necessary to comply with a regulatory requirement, judicial proceeding, court order, or legal process served on us, or to protect the safety, rights, or property of our users, the public or our product. ​",620,<third>,<how-used>
How we share your information,How we share your information,100.0,2462,main,5. ,3,<third>,<how-used>
Changes to this Privacy Policy,Changes to this Privacy Policy,100.0,3116,main,"Changes to this Privacy PolicyOur product may in its sole discretion, change this Privacy Policy from time to time, any and all changes will be reflected here and the date new versions are posted will be stated at the top of this Privacy Policy, so please review it periodically.6. ",282,<change>,<other>
Contact us,Contact us,100.0,3400,main,"Contact usIf you have any suggestions, feedback or requests, please contact us through developer email.Powered by通过可定制的模板创建自己独特的网站。入门DiscoverDiscover",149,<contact>,<other>
