decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Hamm Technology Systems | ,26,<error>,<error>
Privacy Policy,Privacy Policy,100.0,26,main,Privacy Policy MOTORCYCLE SOUNDSWebdesignIT-LösungenApp/Skill-EntwicklungMobile App-EntwicklungAlexa Skill-EntwicklungReferenzenProjektanfrageKontaktSucheMenüMenüPrivacy Policy MOTORCYCLE SOUNDSDu bist hier:Startseite1/Privacy Policy MOTORCYCLE SOUNDSPrivacy Policy for the Mobile App: MOTORCYCLE SOUNDS,303,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,26,main,"The protection of your privacy and personal information is very important to us. That’s why we strive to protect your personal rights to the best of our ability. Since our free app is financed exclusively by advertising, personal data captures for personalized advertisements.",276,<generic>,<error>
Summary of the privacy policy,Summary of the privacy policy,100.0,625,main,"Summary of the privacy policyPersonal data collected for the following purposes using the following services:Advertising by Google AdMobPersonal data: cookie, unique device identifier for advertising (Google Advertising ID or IDFA, for example) and usage dataHosting and backend infrastructure through Firebase and Firebase hostingPersonal data: different types of data as described in the privacy policy of the serviceComplete privacy policy",442,<generic>,<error>
Contact details,Contact details,100.0,1074,main,Contact detailsProvider and responsible:Hamm Technology SystemsOwner: Pascal HammHeidestrasse 871665 Vaihingen / EnzBaden-WurttembergGermanyE-Mail:info@hamm-tech.de,164,<contact>,<other>
Types of collected data,Types of collected data,100.0,1248,main,"Types of collected dataPersonal information that this application processes on its own or by a third party includes: cookie, usage data, unique device identifier for advertising (Google Advertising ID or IDFA, for example) and storage entitlement.Full details of each type of personal information processed will be provided in the appropriate sections of this privacy policy or at times through explanatory text that will be displayed prior to data collection.",460,<first>,<what>
"Personal data may be voluntarily provided by the user or, in the case of usage data, automatically collected when this application is used","Personal data may be voluntarily provided by the user or, in the case of usage data, automatically collected when this application is used",100.0,1711,main,"Personal data may be voluntarily provided by the user or, in the case of usage data, automatically collected when this application is used.Unless otherwise stated, the specification of all data requested by this application is mandatory. If the user refuses to provide the data, this may result in this application being unable to provide its services to the user. In cases where this application expressly identifies the provision of personal information as voluntary, users may choose not to provide that information without any impact on the availability or viability of the service.",586,<first>,<how-gathered>
"Personal data may be voluntarily provided by the user or, in the case of usage data, automatically collected when this application is used","Personal data may be voluntarily provided by the user or, in the case of usage data, automatically collected when this application is used",100.0,1711,main,Users who are unsure about which personal information is mandatory may contact the provider.,92,<first>,<how-gathered>
Any use of cookies – or other tracking tools – by this application or third-party service providers used by this application,Any use of cookies – or other tracking tools – by this application or third-party service providers used by this application,100.0,2392,main,"Any use of cookies – or other tracking tools – by this application or third-party service providers used by this application is for the purpose of providing the service requested by the user, and for any other purposes described in this document and, if so, present in the cookie policy.",287,<third>,<how-used>
Any use of cookies – or other tracking tools – by this application or third-party service providers used by this application,Any use of cookies – or other tracking tools – by this application or third-party service providers used by this application,100.0,2392,main,"Users are responsible for any third party personal information obtained, published or shared by this Application and acknowledge that they have obtained consent to the transfer of personal information of any third party to this application.",240,<third>,<how-used>
Application methods,Application methods,100.0,2921,main,"Application methodsProvider will properly process User Data and take reasonable security measures to prevent unauthorized access, unauthorized redirection, alteration or destruction of data.",190,<first>,<how-gathered>
Application methods,Application methods,100.0,2921,main,"The data processing is carried out by means of computers or IT-based systems according to organizational procedures and procedures, which target the specified purposes. In addition to the controller, other persons may also be designated internally (such as human resources, sales, marketing, legal, systems administrators) or externally, and as appropriate, by the controller (such as technical service providers, delivery companies, hosting providers, IT companies, etc.) Communication agencies) – operate this application and thus have access to the data. An up-to-date list of these parties can be requested by the provider at any time.",639,<first>,<how-gathered>
Legal basis of processing,Legal basis of processing,100.0,3753,main,"Legal basis of processingThe provider may only process personal data of users if one of the following applies:Users have given their consent for one or more specific purposes. Note: In some jurisdictions, the provider may be allowed to process personal data until the user opposes such processing („opt-out“) without having to rely on the consent or any of the following legal bases. However, this does not apply if the processing of personal data is subject to European data protection law",490,<first>,<error>
Legal basis of processing,Legal basis of processing,100.0,3753,main,The collection of data is necessary for the fulfillment of a contract with the user and / or for precontractual measuresThe processing is required to fulfill a legal obligation to which the provider is subject;The processing is related to a task performed in the public interest or in the exercise of public authority delegated to the providerThe processing is necessary to protect the legitimate interests of the provider or a third party.,440,<first>,<error>
Legal basis of processing,Legal basis of processing,100.0,3753,main,"In any case, the provider will be happy to provide information on the specific legal basis on which the processing is based, in particular on whether the provision of personal data is a legal or contractual obligation or a condition for the conclusion of a contract.",266,<first>,<error>
Place,Place,100.0,4957,main,"PlaceThe data is processed at the provider’s office and at all other locations where the data processing units are located.Depending on the location of the users, data transfers may involve transferring the user’s data to a country other than their own. To find out more about the place of processing the data transmitted, users can consult the section on the details of the processing of personal data.",403,<region>,<when>
Place,Place,100.0,4957,main,"Users also have the right to obtain the legal basis for the transfer of data to a country outside the European Union or to an international organization governed by international law or established by two or more countries, such as the United Nations, as well as those of the provider security measures taken to protect their data.",331,<region>,<when>
Place,Place,100.0,4957,main,"If such submission occurs, the user may learn more by reviewing the relevant sections of this document or by contacting the provider through the information provided in the contact section.",189,<region>,<when>
Storage time,Storage time,100.0,5885,main,Storage timePersonal data will be processed and stored as long as the purpose for which it was collected is required.Therefore:Personal data collected for the purpose of fulfilling a contract concluded between the provider and the user will be stored until full performance of this contract.,291,<retention>,<when>
Storage time,Storage time,100.0,5885,main,Personal data collected to safeguard the legitimate interests of the provider will be retained for as long as necessary to fulfill those purposes. Users may obtain more detailed information about the vendor’s legitimate interests in the relevant sections of this document or by contacting the vendor.,300,<retention>,<when>
Storage time,Storage time,100.0,5885,main,"In addition, the provider is permitted to store personal data for a longer period if the user has consented to such processing, as long as the consent is not revoked. In addition, the provider may be required to retain personal data for a longer period if required to fulfill a legal obligation or as ordered by an authority.",325,<retention>,<when>
Storage time,Storage time,100.0,5885,main,"After expiration of the retention period, personal data will be deleted. Therefore, the right to information, the right of cancellation, the right of rectification and the right to data portability can not be invoked after the expiration of the retention period.",262,<retention>,<when>
Purposes of processing,Purposes of processing,100.0,7070,main,"Purposes of processingPersonal data about the user are collected so that the provider can provide the services. In addition, data will be collected for the following purposes: advertising, analytics, viewing content from external platforms, hosting and back-end infrastructure, and device permissions to access personal information.Users may find more detailed information about these processing purposes and the personal data used for their purpose in the relevant sections of this document.",492,<first>,<why>
Device permissions for accessing personal information,Device permissions for accessing personal information,100.0,7565,main,"Device permissions for accessing personal informationDepending on the device used by the user, this application may request certain permissions that allow access to the user’s device data as described below.By default, these access permissions must be granted by the user before the appropriate information can be accessed. A once given consent can be revoked at any time by the user. To revoke these approvals, users can browse the device settings or contact the owner’s support using the contact information provided in this document.",536,<first>,<how-gathered>
Device permissions for accessing personal information,Device permissions for accessing personal information,100.0,7565,main,"The exact procedure for checking app permissions may depend on the device and software of the user.It should be noted that this application could be impaired by the cancellation of such permissions in the proper functioning.If the user grants any of the below privileges, that particular personal information could be processed (i.e. accessed, modified or removed) by this application.",385,<first>,<how-gathered>
Detailed information on the processing of personal data,Detailed information on the processing of personal data,100.0,8492,main,Detailed information on the processing of personal dataPersonal data is collected for the following purposes using the following services:,138,<first>,<how-gathered>
Hosting and backend infrastructure,Hosting and backend infrastructure,100.0,8632,sub,"Hosting and backend infrastructureThe purpose of this type of service is to host data and files so that this application can be managed and used. Furthermore, these offers may provide a ready-made infrastructure that handles specific functions or whole components for this application.Some of these services work with geographically distributed servers, making it difficult to determine the location where the personal information is stored.Firebase (Firebase, Inc.)",466,<third>,<how-used>
Hosting and backend infrastructure,Hosting and backend infrastructure,100.0,8632,sub,"Firebase is a web hosting and backend service provided by Google Inc.Collected Personal information: different types of data as described in the privacy policy of the service.Processing Location: USA –Privacy Policy.Firebase Hosting (Firebase, Inc.)Firebase Hosting is a web hosting service provided by Google Inc.Collected Personal information: different types of data as described in the privacy policy of the service.Processing Location: USA –Privacy Policy.",461,<third>,<how-used>
Advertising,Advertising,100.0,9574,sub,"AdvertisingWith this type of service, this application may use user data to communicate advertising in the form of banners and other marketing methods, possibly based on the interests of the user.This does not mean that all personal data is used for this purpose. Further information and terms of use are listed below.",318,<third>,<how-used>
Advertising,Advertising,100.0,9574,sub,"Some of the services listed below may use cookies to identify users or use so-called behavioral retargeting. It also identifies the interests and browsing behaviors of users who do not use this application to target advertisements. For further information please refer to the privacy policy of the respective services.AdMob (AdMob Google Inc.)AdMob is an advertising service by AdMob Google Inc.For more information about how Google uses data, see theGoogle Partner Policy.",473,<third>,<how-used>
Advertising,Advertising,100.0,9574,sub,"Collected Personal information: cookie, unique device identifier for advertising (Google Advertising ID or IDFA, for example) and usage data.Processing Location: USA –Privacy Policy–Opt Out.",190,<third>,<how-used>
The rights of users,The rights of users,100.0,10570,main,"The rights of usersUsers may exercise certain rights with respect to their data processed by the provider.In particular, users have the right to do the following:",162,<choice>,<other>
The consents at any time revoked,The consents at any time revoked,100.0,10735,sub,"The consents at any time revoked. If the user has previously consented to the processing of personal data, he may revoke his consent at any time.",145,<choice>,<other>
Objection to the processing of their data,Objection to the processing of their data,100.0,10881,sub,Objection to the processing of their data. The user has the right to object to the processing of his data if the processing is based on a different legal basis than the consent. More information is provided below.,213,<choice>,<other>
Get information regarding their data,Get information regarding their data,100.0,11095,sub,"Get information regarding their data. The user has the right to know whether the data is processed by the provider, to receive information about individual aspects of the processing and to obtain a copy of the data.",215,<choice>,<other>
Check and have it corrected,Check and have it corrected,100.0,11311,sub,Check and have it corrected. The user has the right to check the accuracy of his data and to ask for their updating or rectification.,133,<choice>,<other>
To restrict the processing of their data,To restrict the processing of their data,100.0,11445,sub,"To restrict the processing of their data. Users have the right, under certain circumstances, to restrict the processing of their data. In this case, the provider will not process the data for any purpose other than storage.",223,<choice>,<other>
Request deletion or other removal of personal data,Request deletion or other removal of personal data,100.0,11669,sub,Request deletion or other removal of personal data. Users have the right under certain circumstances to request the deletion of their data from the provider.,157,<choice>,<other>
Your data received and transferred to another person responsible,Your data received and transferred to another person responsible,100.0,11827,sub,"Your data received and transferred to another person responsible. The user has the right to receive his data in a structured, common and machine-readable format and, if technically possible, to have it transmitted to another person without any hindrance. This provision is applicable if the data is processed automatically and the processing is based on the consent of the user, on a contract in which the user participates or on pre-contractual obligations.",458,<choice>,<other>
Give a complaint,Give a complaint,100.0,12286,sub,Give a complaint. Users have the right to lodge a complaint with the competent regulatory authority.,100,<choice>,<other>
Details of the right of objection regarding the processing,Details of the right of objection regarding the processing,100.0,12387,main,"Details of the right of objection regarding the processingIf personal data are processed in the public interest, in the exercise of a sovereign authority delegated to the provider or in order to safeguard the legitimate interests of the provider, the user can object to this processing by indicating a justification based on his particular situation.",350,<choice>,<other>
Details of the right of objection regarding the processing,Details of the right of objection regarding the processing,100.0,12387,main,"Users are informed that they can object to the processing of personal data for direct mail at any time without stating reasons. In order to know whether the provider processes personal data for direct mail purposes, users can refer to the relevant sections of this document.",274,<choice>,<other>
How the rights can be exercised,How the rights can be exercised,100.0,13014,main,"How the rights can be exercisedAll requests to exercise User Rights may be directed to the Provider through the contact details provided in this document. Applications can be made free of charge and will be processed by the provider as early as possible, at the latest within one month.",286,<choice>,<other>
Further information about the personal data of the user,Further information about the personal data of the user,100.0,13302,main,"Further information about the personal data of the userIn addition to the information provided in this Privacy Policy, this application may provide the user with other contextual information upon request relating to specific services or the collection and processing of personal data.",284,<choice>,<other>
System logs and maintenance,System logs and maintenance,100.0,13588,sub,"System logs and maintenanceThis application and third-party services may, for operational and maintenance purposes, collect files that record the interaction through that application (system logs), or use other personal information (such as an IP address) for this purpose.",273,<security>,<other>
