decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,ï»¿iMuthoot ,12,<error>,<error>
Privacy Policy,Privacy Policy,100.0,13,main,"Privacy PolicyiMuthoot Privacy PolicyThis privacy policy is to provide information to you, our client, on how your personal data is gathered and used within our practice, and the circumstances in which we may share it with third parties.We use your Personal Information only for furnishing and improving the App. By using the app iMuthoot, you accord to the collection and use of data in accordance with this policy.WHAT INFORMATION DO WE COLLECT?",447,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,13,main,"We collect information from you when you register on our app, site, place an order, subscribe to our newsletter, respond to a survey, fill out a form. When ordering or registering on our app or site, as appropriate, you may be asked to enter your: name, e-mail address, mailing address, phone numberWHAT DO WE USE YOUR INFORMATION FOR?Any of the ",346,<generic>,<error>
Information Collection,information we collect,86.36363636363636,817,main,information we collect from you may be used in one of the following ways:To personalize your experience(your information helps us to better respond to your individual needs)To improve our website/App(we continually strive to improve our website/App offerings based on the information and feedback we receive from you)To improve customer service(your information helps us to more effectively respond to your customer service requests and support needs)To process transactions ,475,<generic>,<error>
Information Collection,information we collect,86.36363636363636,817,main,"Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.To administer a contest, promotion, survey or other site featureTo send periodic emailsThe email address you provide may be used to send you information, respond to inquiries, and/or other requests or questions.",469,<generic>,<error>
Information Collection,information we collect,86.36363636363636,817,main,"DO WE DISCLOSE ANY INFORMATION TO OUTSIDE PARTIES?We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include trusted third parties who assist us in operating our website/App, conducting our business, or servicing you, so long as those  parties agree to keep this information confidential. We may also release your information when we believe release is appropriate ",434,<generic>,<error>
Information Collection,information we collect,86.36363636363636,817,main," to comply with the law, enforce our app policies, or protect ours or others rights, property, or safety. However, non-personally  identifiable visitor information may be provided to other parties for marketing, advertising, or other usesDO WE USE COOKIES?Yes (Cookies are small files that a site or its service provider transfers to your device storage through your Web browser ",379,<generic>,<error>
Information Collection,information we collect,86.36363636363636,817,main,"(if you allow) that enables the sites or service providers systems to recognize your browser and capture and remember certain information. We use cookies to help us remember and process the items in your shopping cart, understand and save your preferences for future visits, keep track of advertisements and compile aggregate data about site/App traffic and site/App interaction so that we can offer better site/App experiences and tools in the future.",452,<generic>,<error>
HOW DO WE PROTECT YOUR INFORMATION?,HOW DO WE PROTECT YOUR INFORMATION?,100.0,3051,sub,"HOW DO WE PROTECT YOUR INFORMATION?We implement a variety of security measures to maintain the safety of your personal information when you enter, submit, or access your personal information",190,<security>,<error>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,3244,sub,"Changes to This Privacy PolicyThis Privacy Policy is effective as of1st December 2019and will remain in effect except with respect to any changes in its provisions in the future, which will be in effect immediately after being posted on this App.We set aside the right to update or modify our Privacy Policy at any time and you should check this Privacy Policy periodically. ",375,<change>,<when>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,3244,sub,"Your continued use of the Service after we post any modifications to the Privacy Policy on this app will constitute your acknowledgment of the modifications and your consent to abide and be bound by the modified Privacy Policy.If we make any material changes to this Privacy Policy, we will notify you either through the email address you have provided us, or by placing a prominent notice on our App.",401,<change>,<when>
Contact Us,Contact Us,100.0,4030,sub,"Contact UsIf you have any questions about this Privacy Policy, please contact us.Phone: +91- 484 669 0363email : cc.imuthoot@muthootgroup.com",141,<contact>,<other>
