decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy for Dosti Friendship Shayari Hindi - dostii shaayrii 2018 - FreePrivacyPolicy.comPrivacy Policy for Dosti Friendship Shayari Hindi - dostii shaayrii 2018Privacy Policy,182,<generic>,<error>
Effective Date,Effective date,100.0,185,main,"Effective date: October 09, 2018Dosti Friendship Shayari Hindi - दोस्ती शायरी 2018 (""us"", ""we"", or ""our"") operates the Dosti Friendship Shayari Hindi - दोस्ती शायरी 2018 mobile application (hereinafter referred to as the ""Service"").This page informs you of our policies regarding the collection, use and disclosure of personal data when you use our Service and the choices you have associated with that data. This Privacy Policy is managed byPrivacy Policy Generator.",467,<generic>,<when>
Effective Date,Effective date,100.0,185,main,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, the terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",299,<generic>,<when>
Definitions,Definitions,100.0,957,main,Definitions,11,<generic>,<other>
Service,Service,100.0,969,sub,ServiceService is the Dosti Friendship Shayari Hindi - दोस्ती शायरी 2018 mobile application operated by Dosti Friendship Shayari Hindi - दोस्ती शायरी 2018,154,<first>,<other>
Personal Data,Personal Data,100.0,1125,sub,Personal DataPersonal Data means data about a living individual who can be identified from those data (or from those and other information either in our possession or likely to come into our possession).,203,<first>,<what>
Usage Data,Usage Data,100.0,1330,sub,"Usage DataUsage Data is data collected automatically either generated by the use of the Service or from the Service infrastructure itself (for example, the duration of a page visit).",182,<first>,<what>
Cookies,Cookies,100.0,1514,sub,CookiesCookies are small files stored on your device (computer or mobile device).,81,<tracking>,<what>
Information Collection and Use,Information Collection and Use,100.0,1597,main,Information Collection and UseWe collect several different types of information for various purposes to provide and improve our Service to you.,143,<first>,<how-gathered>
Types of Data Collected,Types of Data Collected,100.0,1742,main,Types of Data Collected,23,<first>,<why>
Personal Data,Personal Data,100.0,1766,sub,"Personal DataWhile using our Service, we may ask you to provide us with certain personally identifiable information that can be used to contact or identify you (""Personal Data""). Personally identifiable information may include, but is not limited to:Email address",263,<first>,<error>
Cookies and Usage Data,Cookies and Usage Data,100.0,2032,sub,Cookies and ,12,<first>,<how-gathered>
Usage Data,Usage Data,100.0,2044,sub,"Usage DataUsage DataWhen you access the Service with a mobile device, we may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile device unique ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browser you use, unique device identifiers and other diagnostic data (""Usage Data"").",396,<first>,<how-used>
Tracking & Cookies Data,Tracking & Cookies Data,100.0,2443,sub,"Tracking & Cookies DataWe use cookies and similar tracking technologies to track the activity on our Service and we hold certain information.Cookies are files with a small amount of data which may include an anonymous unique identifier. Cookies are sent to your browser from a website and stored on your device. Other tracking technologies are also used such as beacons, tags and scripts to collect and track information and to improve and analyse our Service.",460,<third>,<how-gathered>
Tracking & Cookies Data,Tracking & Cookies Data,100.0,2443,sub,"You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent. However, if you do not accept cookies, you may not be able to use some portions of our Service.Examples of Cookies we use:Session Cookies.We use Session Cookies to operate our Service.Preference Cookies.We use Preference Cookies to remember your preferences and various settings.Security Cookies.We use Security Cookies for security purposes.",438,<third>,<how-gathered>
