decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Mobile Apps Privacy Policy – obdscanner.netSkip to contentobdscanner.netAndroid OBD-2 car scanners for ELM327 adaptersMenuAboutELM327 AdapterFAQEnglishРусскийMobile Apps Privacy PolicyPavel Hulevich built the Obd Mary, Obd Harry and Obd Arny apps as a Freemium app. This SERVICE is provided by Pavel Hulevich at no cost and is intended for use as is.This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service.",510,<error>,<error>
,,-1.0,0,,"If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which are accessible at Obd Mary unless otherwise defined in this Privacy Policy.",476,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,1001,main,Information Collection and Use,30,<generic>,<error>
"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information.","For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information.",100.0,1032,sub,"For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information. ",132,<error>,<error>
The information that I request will be retained on your device and is not collected by me in any way.,The information that I request will be retained on your device and is not collected by me in any way.,100.0,1164,sub,The information that I request will be retained on your device and is not collected by me in any way.,101,<first>,<error>
The app does use third-party services that may collect information used to identify you.,The app does use third-party services that may collect information used to identify you.,100.0,1266,sub,The app does use third-party services that may collect information used to identify you.,88,<third>,<error>
Link to the privacy policy of third-party service providers used by the app,Link to the privacy policy of third-party service providers used by the app,100.0,1355,main,Link to the privacy policy of third-party service providers used by the app,75,<third>,<error>
Google Play Services,Google Play Services,100.0,1431,sub,Google Play Services,20,<error>,<error>
AdMob,AdMob,100.0,1452,sub,AdMob,5,<error>,<error>
Google Analytics for Firebase,Google Analytics for Firebase,100.0,1458,sub,Google Analytics for Firebase,29,<error>,<error>
Firebase Crashlytics,Firebase Crashlytics,100.0,1488,sub,Firebase Crashlytics,20,<error>,<error>
Log Data,Log Data,100.0,1509,main,Log Data,8,<error>,<error>
"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third-party products) on your phone called Log Data.","I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third-party products) on your phone called Log Data.",100.0,1518,sub,"I want to inform you that whenever you use my Service, in a case of an error in the app I collect data and information (through third-party products) on your phone called Log Data. ",181,<third>,<error>
"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.","This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",100.0,1699,sub,"This Log Data may include information such as your device Internet Protocol (“IP”) address, device name, operating system version, the configuration of the app when utilizing my Service, the time and date of your use of the Service, and other statistics.",254,<error>,<error>
Cookies,Cookies,100.0,1954,main,Cookies,7,<generic>,<error>
Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers.,100.0,1962,sub,Cookies are files with a small amount of data that are commonly used as anonymous unique identifiers. ,102,<first>,<error>
These are sent to your browser from the websites that you visit and are stored on your device’s internal memory.,These are sent to your browser from the websites that you visit and are stored on your device’s internal memory.,100.0,2064,sub,These are sent to your browser from the websites that you visit and are stored on your device’s internal memory.,112,<error>,<error>
This Service does not use these “cookies” explicitly.,This Service does not use these “cookies” explicitly.,100.0,2177,sub,This Service does not use these “cookies” explicitly. ,54,<error>,<error>
"However, the app may use third-party code and libraries that use “cookies” to collect information and improve their services.","However, the app may use third-party code and libraries that use “cookies” to collect information and improve their services.",100.0,2231,sub,"However, the app may use third-party code and libraries that use “cookies” to collect information and improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",334,<third>,<error>
Service Providers,Service Providers,100.0,2566,main,Service Providers,17,<generic>,<error>
I may employ third-party companies and individuals due to the following reasons:,I may employ third-party companies and individuals due to the following reasons:,100.0,2584,sub,I may employ third-party companies and individuals due to the following reasons:,80,<third>,<error>
To facilitate our Service;,To facilitate our Service;,100.0,2665,sub,To facilitate our Service;,26,<error>,<error>
To provide the Service on our behalf;,To provide the Service on our behalf;,100.0,2692,sub,To provide the Service on our behalf;,37,<error>,<error>
To perform Service-related services; or,To perform Service-related services; or,100.0,2730,sub,To perform Service-related services; or,39,<error>,<error>
To assist us in analyzing how our Service is used.,To assist us in analyzing how our Service is used.,100.0,2770,sub,"To assist us in analyzing how our Service is used.I want to inform users of this Service that these third parties have access to their Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",313,<error>,<error>
Security,Security,100.0,3085,main,"SecurityI value your trust in providing us your Personal Information, thus we are striving to use commercially acceptable means of protecting it. But remember that no method of transmission over the internet, or method of electronic storage is 100% secure and reliable, and I cannot guarantee its absolute security.",315,<security>,<error>
Links to Other Sites,Links to Other Sites,100.0,3402,main,Links to Other Sites,20,<generic>,<error>
This Service may contain links to other sites.,This Service may contain links to other sites.,100.0,3423,sub,This Service may contain links to other sites. ,47,<third>,<error>
"If you click on a third-party link, you will be directed to that site.","If you click on a third-party link, you will be directed to that site.",100.0,3470,sub,"If you click on a third-party link, you will be directed to that site. ",71,<error>,<error>
Note that these external sites are not operated by me.,Note that these external sites are not operated by me.,100.0,3541,sub,Note that these external sites are not operated by me. ,55,<error>,<error>
