decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Kaisquare Android Applications,kaisquare Android Applications,100.0,0,main,kaisquare Android Applications,30,<error>,<error>
Terms - Service and Privacy,Terms - Service and Privacy,100.0,31,main,"Terms - Service and Privacy 06/24/2022Thank you for your interest in our application. This privacy policy tells you how we            use personal information collected at this site. Please read this privacy policy before using the            application or submitting any personal information. By using the application, you are accepting the            practices described in this privacy policy. These practices may be changed, but any changes will be posted",460,<error>,<error>
Terms - Service and Privacy,Terms - Service and Privacy,100.0,31,main,            on this page. You are encouraged to review the privacy policy whenever you visit the site to make sure that            you understand how any personal information you provide will be used.,200,<error>,<error>
Cookie/Tracking Technology,Cookie/Tracking Technology,100.0,698,main,"Cookie/Tracking TechnologyOur applications use Firebase Analytics to improve the user experience and gather            information such as browser type and operating system, tracking the number of visitors to the application,            and understanding how visitors use the application. In general, personal information cannot be collected via            Firebase Analytics and other tracking technology.",406,<generic>,<error>
Non-Personal Information,Non-Personal Information,100.0,1109,main,Non-Personal Information,24,<first>,<error>
Through our analytics provider Google Firebase Analytics and Google Play Services we,Through our analytics provider Google Firebase Analytics and Google Play Services we,100.0,1134,sub,"Through our analytics provider Google Firebase Analytics and Google Play Services we            collect and/or have access to the following non-personal information:Device Information such as hardware manufacturer & model, operating system            version, screen size, CPU model, mobile network information.Aggregate App Usage Data - information about aggregate usage of the app.General Geographic Information - geographic and language information such as locale,            country, county, and city.",505,<third>,<error>
Distribution of Information,Distribution of Information,100.0,1646,main,Distribution of InformationWe will not share your personal information or anything you submitted with 3rd            parties unless we are required by law or you have provided consent to do so.,193,<third>,<error>
Ad Provider,Ad Provider,100.0,1842,main,Ad Provider,11,<third>,<error>
"Mobile ads are provided by Facebook Audience Network, AppLovin, Bytedance Pangle, InMobi, Vungle, Mintegral, and Digital Turbine Adcolony","Mobile ads are provided by Facebook Audience Network, AppLovin,
            Bytedance Pangle, InMobi, Vungle, Mintegral, and Digital Turb",91.24087591240875,1854,sub,"Mobile ads are provided by Facebook Audience Network, AppLovin,            Bytedance Pangle, InMobi, Vungle, Mintegral, and Digital Turbine Adcol",145,<third>,<error>
Please refer to their terms and privacy policy,"ony. Please refer to their terms and privacy
 ",86.95652173913044,2000,sub,"ony. Please refer to their terms and privacy            policy.Our mobile ad providers may collect the following information:Advertising IDs - Google Android Advertising ID - you may change your advertising ID            or ""opt-out"" at any time.",246,<choice>,<error>
Privacy policy of said provider are listed below,Privacy policy of said provider are listed below,100.0,2251,main,Privacy policy of said provider are listed below:,49,<generic>,<error>
Facebook,Facebook,100.0,2301,main,Facebook                Audience Network,40,<third>,<error>
Applovin,Applovin,100.0,2343,main,Applovin,8,<third>,<error>
Bytedance,Bytedance,100.0,2352,main,Bytedance                ,25,<third>,<error>
Pangle,Pangle,100.0,2378,sub,Pangle,6,<third>,<error>
Digital,Digital,100.0,2385,main,Digital                ,23,<third>,<error>
Turbine Adcolony,Turbine Adcolony,100.0,2409,sub,Turbine Adcolony,16,<third>,<error>
InMobi,InMobi,100.0,2426,main,InMobi,6,<third>,<error>
Vungle,Vungle,100.0,2433,main,Vungle,6,<third>,<error>
Mintegral,Mintegral,100.0,2440,main,Mintegral,9,<third>,<error>
Service Disclaimer,Service Disclaimer,100.0,2450,main,"Service DisclaimerTHE SERVICE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND, EXPRESS            OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE            AND NONINFRINGEMENT. IN NO EVENT SHALL THE AUTHORS OR COPYRIGHT HOLDERS BE LIABLE FOR ANY CLAIM, DAMAGES OR            OTHER LIABILITY, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING FROM, OUT OF OR IN CONNECTION",446,<generic>,<error>
Service Disclaimer,Service Disclaimer,100.0,2450,main,            WITH THE SERVICE OR THE USE OR OTHER DEALINGS IN THE SERVICE.,73,<generic>,<error>
Privacy Contact Information,Privacy Contact Information,100.0,2975,main,"Privacy Contact InformationIf you have any questions, concerns, or comments about our privacy policy you may            contact us at feedback.kaisquare@gmail.com",162,<contact>,<error>
