decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,"Privacy PolicyPrivacy PolicyMoDev Studio built the Free Wifi Connection Anywhere Network Map Connect app as								  a Free app. This SERVICE is provided by								  MoDev Studio at no cost and is intended for use as								  is.This page is used to inform visitors regarding my								  policies with the collection, use, and disclosure of Personal								  Information if anyone decided to use my Service.If you choose to use my Service, then you agree to",457,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"								  the collection and use of information in relation to this								  policy. The Personal Information that I collect is								  used for providing and improving the Service. I will not use or share your information with								  anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings								  as in our Terms and Conditions, which is accessible at",412,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,								  Free Wifi Connection Anywhere Network Map Connect unless otherwise defined in this Privacy Policy.,108,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,994,main,Information Collection and Use,30,<generic>,<what>
For a better experience,For a better experience,100.0,1025,sub,"For a better experience, while using our Service, I								  may require you to provide us with certain personally								  identifiable information. The information that								  I request will be retained on your device and is not collected by me in any way.The app does use third party services that may collect									information used to identify you.Link to privacy policy of third party service providers used									by the appGoogle Play ServicesAdMobGoogle Analytics for FirebaseFirebase Crashlytics",509,<first>,<why>
For a better experience,For a better experience,100.0,1025,sub,FacebookOne Signal,18,<first>,<why>
Log Data,Log Data,100.0,1566,main,Log Data,8,<first>,<how-gathered>
I want to inform you that whenever you,I want to inform you that whenever you,100.0,1575,sub,"I want to inform you that whenever you								  use my Service, in a case of an error in the app								  I collect data and information (through third party								  products) on your phone called Log Data. This Log Data may								  include information such as your device Internet Protocol								  (â€œIPâ€) address, device name, operating system version, the								  configuration of the app when utilizing my Service,								  the time and date of your use of the Service, and other								  statistics.",511,<first>,<error>
Cookies,Cookies,100.0,2095,main,Cookies,7,<tracking>,<how-used>
Cookies are files with a small amount of data that are,Cookies are files with a small amount of data that are,100.0,2103,sub,"Cookies are files with a small amount of data that are								  commonly used as anonymous unique identifiers. These are sent								  to your browser from the websites that you visit and are								  stored on your device's internal memory.This Service does not use these â€œcookiesâ€ explicitly. However,								  the app may use third party code and libraries that use								  â€œcookiesâ€ to collect information and improve their services.",446,<third>,<how-gathered>
Cookies are files with a small amount of data that are,Cookies are files with a small amount of data that are,100.0,2103,sub,"								  You have the option to either accept or refuse these cookies								  and know when a cookie is being sent to your device. If you								  choose to refuse our cookies, you may not be able to use some								  portions of this Service.",245,<third>,<how-gathered>
Service Providers,Service Providers,100.0,2805,main,Service Providers,17,<third>,<how-gathered>
I may employ third-party companies and,I may employ third-party companies and,100.0,2823,sub,"I may employ third-party companies and								  individuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Service								  that these third parties have access to your Personal								  Information. The reason is to perform the tasks assigned to								  them on our behalf. However, they are obligated not to",475,<security>,<how-used>
I may employ third-party companies and,I may employ third-party companies and,100.0,2823,sub,								  disclose or use the information for any other purpose.,64,<security>,<how-used>
Security,Security,100.0,3373,main,Security,8,<error>,<what>
I value your trust in providing us your,I value your trust in providing us your,100.0,3382,sub,"I value your trust in providing us your								  Personal Information, thus we are striving to use commercially								  acceptable means of protecting it. But remember that no method								  of transmission over the internet, or method of electronic								  storage is 100% secure and reliable, and I cannot								  guarantee its absolute security.",352,<security>,<why>
Links to Other Sites,Links to Other Sites,100.0,3740,main,Links to Other Sites,20,<third>,<other>
This Service may contain links to other sites,This Service may contain links to other sites,100.0,3761,sub,"This Service may contain links to other sites. If you click on								  a third-party link, you will be directed to that site. Note								  that these external sites are not operated by me.								  Therefore, I strongly advise you to review the								  Privacy Policy of these websites. I have								  no control over and assume no responsibility for the content,								  privacy policies, or practices of any third-party sites or								  services.",454,<not>,<other>
Children’s Privacy,Childrenâ€™s Priva,83.33333333333334,4223,main,Childrenâ€™s Privacy,20,<audience>,<other>
These Services do not address anyone under the age of 13,These Services do not address anyone under the age of 13,100.0,4244,sub,"These Services do not address anyone under the age of 13.								  I do not knowingly collect personally								  identifiable information from children under 13. In the case								  I discover that a child under 13 has provided								  me with personal information, I immediately								  delete this from our servers. If you are a parent or guardian								  and you are aware that your child has provided us with								  personal information, please contact me so that",474,<audience>,<other>
These Services do not address anyone under the age of 13,These Services do not address anyone under the age of 13,100.0,4244,sub,								  I will be able to do necessary actions.,49,<audience>,<other>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4776,main,Changes to This Privacy Policy,30,<change>,<when>
I may update our Privacy Policy from,I may update our Privacy Policy from,100.0,4807,sub,"I may update our Privacy Policy from								  time to time. Thus, you are advised to review this page								  periodically for any changes. I will								  notify you of any changes by posting the new Privacy Policy on								  this page.This policy is effective as of 2020-12-29",280,<change>,<how-used>
Contact Us,Contact Us,100.0,5093,main,Contact Us,10,<contact>,<other>
If you have any questions or suggestions about my,If you have any questions or suggestions about my,100.0,5104,sub,"If you have any questions or suggestions about my								  Privacy Policy, do not hesitate to contact me at mohamedsalsamy@gmail.com.Copyright Â© 2021 MoDev Studio",163,<contact>,<other>
