decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy of First Words for BabyPrivacy Policy ofFirst Words for BabyThis Application collects some Personal Data from its Users.This document can be printed for reference by using the print command in the settings of any browser.,236,<generic>,<error>
Policy Summary,Policy summary,100.0,241,main,Policy summaryPersonal Data collected for the following purposes and using the following services:Contacting the UserContact formPersonal Data: date of birth; email address; first nameFurther information about Personal DataPush notificationsThis Application may send push notifications to the User.The Service is directed to children under the age of 13,353,<generic>,<other>
Policy Summary,Policy summary,100.0,241,main,"This Application is directed to children under the age of 13. It doesn't require the child to disclose any more information than is reasonably necessary to participate in its activity.Parents may review the personal information about their child collected by this Application - if any - outlined in the rest of this policy, ask for its deletion and request any further collection or use to be omitted by contacting the Owner. Parents may also agree to the collection and use of their childâ€™s information, but still not allow disclosure to third parties, unless disclosure is integral to the Service.",601,<generic>,<other>
Contact Information,Contact information,100.0,1206,main,Contact information,19,<contact>,<other>
Owner and Data Controller,Owner and Data Controller,100.0,1226,main,Owner and Data ControllerPapumba S.R.LOwner contact email:info@papumba.com,74,<first>,<how-gathered>
Full Policy,Full policy,100.0,1304,main,Full policyOwner and Data ControllerPapumba S.R.LOwner contact email:info@papumba.com,85,<generic>,<other>
Types of Data Collected,Types of Data collected,100.0,1394,main,Types of Data collectedAmong the types of ,42,<first>,<what>
Personal Data,Personal Data,100.0,1437,main,"Personal Data that this Application collects, by itself or through third parties, there are:      first name; date of birth; email address.Complete details on each type of Personal Data collected are provided in the dedicated sections of this privacy policy or by specific explanation texts displayed prior to the Data collection.Personal Data may be freely provided by the User, or, in case of ",395,<first>,<what>
Usage Data,Usage Data,100.0,1835,main,"Usage Data, collected automatically when using this Application.Unless specified otherwise, all Data requested by this Application is mandatory and failure to provide this Data may make it impossible for this Application to provide its services. In cases where this Application specifically states that some Data is not mandatory, Users are free not to communicate this Data without consequences to the availability or the functioning of the Service.",450,<first>,<what>
Usage Data,Usage Data,100.0,1835,main,"Users who are uncertain about which Personal Data is mandatory are welcome to contact the Owner.Any use of Cookies â€“ or of other tracking tools â€“ by this Application or by the owners of third-party services used by this Application serves the purpose of providing the Service required by the User, in addition to any other purposes described in the present document and in the Cookie Policy, if available.",409,<first>,<what>
Usage Data,Usage Data,100.0,1835,main,"Users are responsible for any third-party Personal Data obtained, published or shared through this Application and confirm that they have the third party's consent to provide the Data to the Owner.",197,<first>,<what>
Mode and Place of Processing the Data,Mode and place of processing the Data,100.0,2896,main,Mode and place of processing the Data,37,<third>,<how-gathered>
Methods of Processing,Methods of processing,100.0,2934,main,"Methods of processingThe Owner takes appropriate security measures to prevent unauthorized access, disclosure, modification, or unauthorized destruction of the Data.",165,<first>,<how-gathered>
Methods of Processing,Methods of processing,100.0,2934,main,"The Data processing is carried out using computers and/or IT enabled tools, following organizational procedures and modes strictly related to the purposes indicated. In addition to the Owner, in some cases, the Data may be accessible to certain types of persons in charge, involved with the operation of this Application (administration, sales, marketing, legal, system administration) or external parties (such as third-party technical service providers, mail carriers, hosting providers, IT companies, communications agencies) appointed, if necessary, as Data Processors by the Owner. The updated list of these parties may be requested from the Owner at any time.",665,<first>,<how-gathered>
Legal Basis of Processing,Legal basis of processing,100.0,3767,main,"Legal basis of processingThe Owner may process Personal Data relating to Users if one of the following applies:Users have given their consent for one or more specific purposes. Note: Under some legislations the Owner may be allowed to process Personal Data until the User objects to such processing (â€œopt-outâ€), without having to rely on consent or any other of the following legal bases. This, however, does not apply, whenever the processing of Personal Data is subject to European data protection law;",508,<first>,<how-gathered>
Legal Basis of Processing,Legal basis of processing,100.0,3767,main,provision of Data is necessary for the performance of an agreement with the User and/or for any pre-contractual obligations thereof;processing is necessary for compliance with a legal obligation to which the Owner is subject;processing is related to a task that is carried out in the public interest or in the exercise of official authority vested in the Owner;processing is necessary for the purposes of the legitimate interests pursued by the Owner or by a third party.,471,<first>,<how-gathered>
Legal Basis of Processing,Legal basis of processing,100.0,3767,main,"In any case, the Owner will gladly help to clarify the specific legal basis that applies to the processing, and in particular whether the provision of Personal Data is a statutory or contractual requirement, or a requirement necessary to enter into a contract.",260,<first>,<how-gathered>
Place,Place,100.0,5014,main,"PlaceThe Data is processed at the Owner's operating offices and in any other places where the parties involved in the processing are located.Depending on the User's location, data transfers may involve transferring the User's Data to a country other than their own. To find out more about the place of processing of such transferred Data, Users can check the section containing details about the processing of Personal Data.",424,<region>,<when>
Place,Place,100.0,5014,main,"Users are also entitled to learn about the legal basis of Data transfers to a country outside the European Union or to any international organization governed by public international law or set up by two or more countries, such as the UN, and about the security measures taken by the Owner to safeguard their Data.If any such transfer takes place, Users can find out more by checking the relevant sections of this document or inquire with the Owner using the information provided in the contact section.",503,<region>,<when>
Retention Time,Retention time,100.0,5946,main,Retention timePersonal Data shall be processed and stored for as long as required by the purpose they have been collected for.Therefore:Personal Data collected for purposes related to the performance of a contract between the Owner and the User shall be retained until such contract has been fully performed.,308,<retention>,<when>
Retention Time,Retention time,100.0,5946,main,Personal Data collected for the purposes of the Ownerâ€™s legitimate interests shall be retained as long as needed to fulfill such purposes. Users may find specific information regarding the legitimate interests pursued by the Owner within the relevant sections of  this document or by contacting the Owner.,307,<retention>,<when>
Retention Time,Retention time,100.0,5946,main,"The Owner may be allowed to retain Personal Data for a longer period whenever the User has given consent to such processing, as long as such consent is not withdrawn. Furthermore, the Owner may be obliged to retain Personal Data for a longer period whenever required to do so for the performance of a legal obligation or upon order of an authority.",348,<retention>,<when>
Retention Time,Retention time,100.0,5946,main,"Once the retention period expires, Personal Data shall be deleted. Therefore, the right of access, the right to erasure, the right to rectification and the right to data portability cannot be enforced after expiration of the retention period.",242,<retention>,<when>
The Purposes of Processing,The purposes of processing,100.0,7158,main,"The purposes of processingThe Data concerning the User is collected to allow the Owner to provide its Service, comply with its legal obligations, respond to enforcement requests, protect its rights and interests (or those of its Users or third parties), detect any malicious or fraudulent activity, as well as the following:        Contacting the User.For specific information about the Personal Data used for each purpose, the User may refer to the section â€œ",461,<first>,<why>
Detailed Information on the Processing of Personal Data,Detailed information on the processing of Personal Data,100.0,7622,main,Detailed information on the processing of Personal Dataâ€.Detailed information on the processing of Personal DataPersonal Data is collected for the following purposes and using the following services:,201,<first>,<how-used>
Contacting the User,Contacting the User,100.0,7826,main,"Contacting the UserContact form (This Application)By filling in the contact form with their Data, the User authorizes this Application to use these details to reply to requests for information, quotes or any other kind of request as indicated by the formâ€™s header.Personal Data processed: date of birth; email address; first name.",332,<choice>,<how-used>
Further Information about Personal Data,Further information about Personal Data,100.0,8162,main,Further information about Personal DataPush notificationsThis Application may send push notifications to the User.The Service is directed to children under the age of 13This Application is directed to children under the age of 13. It doesn't require the child to disclose any more information than is reasonably necessary to participate in its activity.,353,<choice>,<how-used>
Further Information about Personal Data,Further information about Personal Data,100.0,8162,main,"Parents may review the personal information about their child collected by this Application - if any - outlined in the rest of this policy, ask for its deletion and request any further collection or use to be omitted by contacting the Owner. Parents may also agree to the collection and use of their childâ€™s information, but still not allow disclosure to third parties, unless disclosure is integral to the Service.",417,<choice>,<how-used>
The Rights of Users,The rights of Users,100.0,8938,main,"The rights of UsersUsers may exercise certain rights regarding their Data processed by the Owner.In particular, Users have the right to do the following:Withdraw their consent at any time.Users have the right to withdraw consent where they have previously given their consent to the processing of their Personal Data.Object to processing of their Data.",352,<choice>,<other>
The Rights of Users,The rights of Users,100.0,8938,main,"Users have the right to object to the processing of their Data if the processing is carried out on a legal basis other than consent. Further details are provided in the dedicated section below.Access their Data.Users have the right to learn if Data is being processed by the Owner, obtain disclosure regarding certain aspects of the processing and obtain a copy of the Data undergoing processing.Verify and seek rectification.",426,<choice>,<other>
The Rights of Users,The rights of Users,100.0,8938,main,"Users have the right to verify the accuracy of their Data and ask for it to be updated or corrected.Restrict the processing of their Data.Users have the right, under certain circumstances, to restrict the processing of their Data. In this case, the Owner will not process their Data for any purpose other than storing it.Have their Personal Data deleted or otherwise removed.Users have the right, under certain circumstances, to obtain the erasure of their Data from the Owner.",477,<choice>,<other>
The Rights of Users,The rights of Users,100.0,8938,main,"Receive their Data and have it transferred to another controller.Users have the right to receive their Data in a structured, commonly used and machine readable format and, if technically feasible, to have it transmitted to another controller without any hindrance. This provision is applicable provided that the Data is processed by automated means and that the processing is based on the User's consent, on a contract which the User is part of or on pre-contractual obligations thereof.Lodge a complaint.",505,<choice>,<other>
The Rights of Users,The rights of Users,100.0,8938,main,Users have the right to bring a claim before their competent data protection authority.,87,<choice>,<other>
Details about the Right to Object to Processing,Details about the right to object to processing,100.0,10804,main,"Details about the right to object to processingWhere Personal Data is processed for a public interest, in the exercise of an official authority vested in the Owner or for the purposes of the legitimate interests pursued by the Owner, Users may object to such processing by providing a ground related to their particular situation to justify the objection.",355,<choice>,<other>
Details about the Right to Object to Processing,Details about the right to object to processing,100.0,10804,main,"Users must know that, however, should their Personal Data be processed for direct marketing purposes, they can object to that processing at any time without providing any justification. To learn, whether the Owner is processing Personal Data for direct marketing purposes, Users may refer to the relevant sections of this document.",331,<choice>,<other>
How to Exercise These Rights,How to exercise these rights,100.0,11493,main,How to exercise these rightsAny requests to exercise User rights can be directed to the Owner through the contact details provided in this document. These requests can be exercised free of charge and will be addressed by the Owner as early as possible and always within one month.,280,<access>,<other>
Additional Information about Data Collection and Processing,Additional information about Data collection and processing,100.0,11775,main,Additional information about Data collection and processing,59,<first>,<other>
