decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy & Security,Privacy & Security,100.0,0,main,"Privacy & SecuritySkip to main contentBy using our websites, you agree to the use of cookies to analyze website traffic and improve your experience in our websites.Learn moreAgreeLocationsContact UsCareersespañolQuick LinksLogin to Online BankingEnroll in Online BankingLogin to Positive PayLogin to WNB Treasury ManagerLogin to Remote DepositLogin to e-Remitt LockboxLogin to WNB Commercial LockboxLocationsPersonal CheckingRe-Order ChecksConsumer LoansCareersCalculatorsBanking GPSPersonalSmall Business",505,<generic>,<error>
Privacy & Security,Privacy & Security,100.0,0,main,CommercialWoodforest CaresAbout UsProductsCheckingSavingsLoansDeposit Interest RatesServicesOnline BankingMobile BankingManaging Your AccountInvestmentsInsuranceDebit CardsCash In at CheckoutIDnotifyRefer a Friend ProgramProductsCheckingSavingsLoansDeposit Interest RatesServicesInvestments & Insurance ServicesMerchant ServicesBusiness Overdraft ServicesFederal Tax PaymentsCard ServicesCRA & Community DevelopmentSmall Business GrowthEconomic Development and RevitalizationAffordable Housing,493,<generic>,<error>
Privacy & Security,Privacy & Security,100.0,0,main,"Disaster Recovery ResponseImproving Financial HealthCRA & Community Development TeamCommunity PartnersCommunity SupportCOVID-19Our Financial StabilityWoodforest Bank Charity RunWoodforest UBanking GPSClassroom Courses and EventsArticlesFinancial ToolsMoney Management Resource CenterGlossaryPress RoomAwards & RecognitionCareersWeb AccessibilityWeb Accessibility is helping our customers to identify, interpret and understand the information presented on our websites.Contact UsLocationsConfirmation Services",508,<generic>,<error>
Privacy & Security,Privacy & Security,100.0,0,main,Privacy & Security,18,<generic>,<error>
How We Protect You,How We Protect You,100.0,1607,main,How We Protect You,18,<generic>,<how-used>
Cookie Policy,Cookie Policy,100.0,1626,main,Cookie Policy,13,<generic>,<what>
Terms of Use,Terms of Use,100.0,1640,main,Terms of UsePress RoomAwards & RecognitionCareers,49,<generic>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,Web AccessibilityContact UsLocationsConfirmation ServicesPrivacy & SecurityHow We Protect YouCookie PolicyTerms of UseHome:About Us:Privacy & SecurityProtecting your personal and account information is one of our top priorities. We are committed to helping you recognize and protect yourself against fraud.How We Protect YouPassword and Biometric ControlledAccess for Online ServicesHow to Enable Biometrics in Mobile BankingHow to Update Contact Information in Mobile Banking,476,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,How to Disable and Enable SMS Text Authentication in Mobile BankingHow to Enable Text Message Authentication in Online BankingAutomated Security AlertsHow to Set Up Mobile Authenticator on Desktop in Online BankingHow to Enable Text Message Authentication on Desktop in Online BankingSSL Data EncryptionFirewalls and Filtering RoutersYour Privacy Rights (PDF)&Cookie PolicyLearn MoreSTOP. THINK. CONNECT.™Partner,412,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"We signed on as a partner of STOP.THINK.CONNECT.™, the global cybersecurity awareness campaign focusing on keeping the internet safe and secure in an increasingly connected world.The campaign launched in 2010 and was developed by the STOP. THINK. CONNECT. Messaging Convention, a public-private partnership established in 2009 and led by The Anti-Phishing Working Group (APWG) and National Cyber Security Alliance (NCSA) to develop and support a national cybersecurity awareness campaign. The Department of Homeland Security provides the Federal Government's leadership for the campaign.",587,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"What You Can Do to Protect YourselfONLINE SECURITY TIPSVerify Websites Before Providing Any Account and/or Personal InformationBefore providing information, look for the padlock icon in the browser's status bar, the symbol for a secure connection. Double-click for verification.Check Daily/Weekly Email NotificationsReview transactions on a more frequent basis to help manage your account.Review StatementsCarefully review transaction activity on your financial statements as soon as they are available.",503,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"If your paper statement is late by more than a week, check to verify your mailing address and ensure account balances have not been affected.Install and Keep Virus Protection Software Up To DateComputer viruses can destroy data, steal private information or funds from your account and affect computer performance. This is why it is important to run full system scans often.Learn MoreRemember:Woodforest National Bank willNEVER",427,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"ask you to provide or verify account or login information by email, phone or text message. This includes account numbers, user IDs, passwords, and debit or credit card information.IDnotifyTMPlans include Lost Wallet Services, Identity Restoration, Internet Surveillance, and more!Exclusive offer for Woodforest customers.*Learn More* Offer provided by IDnotify™, a part of Experian™.Look Out For These Types Of FraudPhishingVishingMalwareForeign CountryEmail ScamCross-BorderEmail Scam",485,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"Mass emails or text messages sent by criminals impersonating trustworthy entities in an attempt to trick you into giving them your private information. They may try to steal your usernames, passwords, account numbers or Social Security numbers.Typically contain an urgent message with instructions to click a link or open an attachment that will direct you to a fraudulent website.",381,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"A combination of ""voice"" and ""phishing"", this is a variation of phishing where automated recordings are left alerting you of fraudulent or unusual activity on your credit card, debit card, or bank account and you should call a provided phone number immediately.If called, automated instructions direct you to provide private information that could help criminals make fraudulent use of your credit or debit cards or access your bank accounts.",442,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"Beware, the criminals can mask their phone number so the calls appear to come from the financial institution they are impersonating. ALWAYS call us directly to verify the validity of ANY message asking you to provide private information.A combination of ""malicious"" and ""software"", Malware is a type of malicious software such as computer viruses, worms, trojan horses and spyware, that criminals use to access your computer without your consent or knowledge. Once on your computer, it can be used to steal information, send spam, commit fraud, or inflict damage on your computer system and software.",600,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"Typically involves criminals posing as foreigners. They offer to transfer potentially thousands of dollars to you in exchange for paying a fee for them to access their money that is being tied up due to strife in their country.Often followed by emails requesting things such as additional money to cover transaction, transfer, or attorney's fees, blank letterhead, or even bank account numbers.",394,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"Illegal solicitations over the internet where criminals utilize foreign lottery, money offers, or even check overpayment schemes to try and steal money from you or commit identity theft.Reporting FraudReceived a Suspicious Email?Do not click any links or act on any instructions in the email.Forward the entire email to:Our Phishing Groupreportphishing@woodforest.comAnti-Phishing Working Groupreportphishing@apwg.orgVisit the link below to report the email to theFederal Trade Commission:",489,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,"https://reportfraud.ftc.gov/#/assistantIf You Clicked Any Links:Call Us Immediately1-877-968-7962Log into Online Banking and:Change your username, password, and Security QuestionsIf any account information was communicated, close those accountsPlace a Fraud Alert On YourCredit File by Contacting:Equifaxwww.equifax.com|(800) 525-6285Experianwww.experian.com|(888) 397-3742TransUnionwww.transunion.com|(800) 680-7289You get 1 free credit report yearly from each of these reporting agencies.Additional Links",506,<access>,<other>
Web Accessibility,Web Accessibility,100.0,1693,main,Federal Trade Commission Online SecurityNational Cybersecurity AllianceAnti-Phishing Working GroupCISA: STOP.THINK.CONNECTTMAbout Us,132,<access>,<other>
Careers,Careers,100.0,7645,main,CareersPrivacy & SecurityCookie Policy,38,<generic>,<other>
Contact Us,Contact Us,100.0,7686,main,Contact UsFDIC NEWS:Learn MorePersonalProductsCheckingSavingsLoansDeposit Interest RatesServicesOnline BankingMobile BankingManaging Your AccountInvestmentsInsuranceDebit CardsCash In at CheckoutIDnotifyRefer a Friend ProgramSmall BusinessProductsCheckingSavingsLoansDeposit Interest RatesServicesInvestments & Insurance ServicesMerchant ServicesBusiness Overdraft ServicesFederal Tax PaymentsCard ServicesCommercialWoodforest CaresCRA & Community DevelopmentSmall Business Growth,480,<contact>,<other>
Contact Us,Contact Us,100.0,7686,main,Economic Development and RevitalizationAffordable HousingDisaster Recovery ResponseImproving Financial HealthCRA & Community Development TeamCommunity PartnersCommunity SupportCOVID-19Our Financial StabilityWoodforest Bank Charity RunWoodforest UBanking GPSClassroom Courses and EventsArticlesFinancial ToolsMoney Management Resource CenterGlossaryAbout UsPress RoomAwards & RecognitionCareersWeb AccessibilityContact Us,420,<contact>,<other>
Locations,Locations,100.0,8644,main,Locations,9,<region>,<other>
Confirmation Services,Confirmation Services,100.0,8654,main,Confirmation ServicesPrivacy & SecurityHow We Protect YouCookie PolicyTerms of UseContact us!1-877-968-7962 (toll-free)1-866-553-0541 (toll-free)General Inquiries:info@woodforest.com© 2023,188,<generic>,<when>
Woodforest Cares, Woodforest Nati,75.0,8852,main, Woodforest National BankMember FDICEqual Housing LenderEqual Opportunity EmployerMessages go hereEnter Your Zip CodePlease enter your zip code so we can give you product information for your location.CancelContinuePlease enter a valid zip code,244,<generic>,<error>
