decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Key Updates,Key Updates,100.0,0,main,"Key UpdatesSubscriber privacy is the most important thing in running the application. Since we started MySmartfren, we’ve built our Services with a set of strong privacy principles in mind. In our updated Terms and Privacy Policy you’ll find:Information that is easier to understand. Our updated Terms and Privacy Policy are easier to understand and reflect new features.We’ve built privacy, end-to-end encryption, and other security features into MySmartfren.",460,<error>,<error>
Key Updates,Key Updates,100.0,0,main,"We allow third-party banner ads on MySmartfren with a strict filtering process.Subscriber can do fully control for their account. Control balance, package info, expiry date, point, and can subscribe any package what subscriber want that appropriate with their needs, and we will honor the choices you make.MySmartfren Terms Of ServiceLast modified: March 15, 2021",363,<error>,<error>
Key Updates,Key Updates,100.0,0,main,"MySmartfren Application owned by PT Smartfren Telecom Tbk. Application provides all information related subscriber account include transaction buying data package, account settings, and etc. Application addressed to Smartfren users. Please read our Terms of Service so you understand all function with your use of MySmartfren Application. You agree to our Terms of Service (“Terms”) by installing, accessing, or using our apps, services, features, software, or website (together, “Services”).",492,<error>,<error>
About our services,About our services,100.0,1324,main,"About our servicesRegistration. You must register for our Services using accurate data, provide your email to make security for password.Devices and Software. You must provide certain devices, software, and data connections to use our Services, which we otherwise do not supply. For as long as you use our Services, you consent to downloading and installing updates to our Services, including automatically.",407,<error>,<error>
Privacy policy and user data,Privacy policy and user data,100.0,1734,main,Privacy policy and user data,28,<error>,<error>
Privacy policy and user data,Privacy policy and user data,100.0,1734,main,"MySmartfren cares about your privacy. MySmartfren Privacy Policy describes our information, including the types of information we receive and collect from you and how we use and share this information. You agree to our data practices, including the collection, payment, balance deduction, use, processing, and sharing of your information as described in our Privacy Policy, as well as the transfer and processing of your information. Smartfren also collect information from you such as location, signal strength, and other info from device. Collected data will use for basis analysis to maintain our network performance. You acknowledge that the laws, regulations, and standards of the country in which your information is stored.",730,<error>,<error>
LOCATION BASED AND NETWORK DIAGNOSTIC INFORMATION WE COLLECT,LOCATION BASED AND NETWORK DIAGNOSTIC INFORMATION WE COLLECT,100.0,2494,main,LOCATION BASED AND NETWORK DIAGNOSTIC INFORMATION WE COLLECT,60,<first>,<what>
LOCATION BASED AND NETWORK DIAGNOSTIC INFORMATION WE COLLECT,LOCATION BASED AND NETWORK DIAGNOSTIC INFORMATION WE COLLECT,100.0,2494,main,"When you use the Application, SDK collects your location and network diagnostic information under users permission. SDK uses that information to provide you with the Services and to improve the Services for your use and that of other users. SDK may use your location and/or network diagnostic information to create aggregated anonymous data and to use such data in accordance with this policy (please refer to the section below on use of aggregated information). SDK will permanently remove or obscure your identity from your location or network diagnostic information that is used for aggregated purposes.",606,<first>,<what>
OPTING OUT OF LOCATION AND NETWORK DIAGNOSTIC INFORMATION COLLECTION BY UNINSTALLING THE APPLICATION OR CHANGING SETTINGS,OPTING OUT OF LOCATION AND NETWORK DIAGNOSTIC INFORMATION COLLECTION BY UNINSTALLING THE APPLICATION OR CHANGING SETTINGS,100.0,3162,main,OPTING OUT OF LOCATION AND NETWORK DIAGNOSTIC INFORMATION COLLECTION BY UNINSTALLING THE APPLICATION OR CHANGING SETTINGS,121,<choice>,<how-gathered>
OPTING OUT OF LOCATION AND NETWORK DIAGNOSTIC INFORMATION COLLECTION BY UNINSTALLING THE APPLICATION OR CHANGING SETTINGS,OPTING OUT OF LOCATION AND NETWORK DIAGNOSTIC INFORMATION COLLECTION BY UNINSTALLING THE APPLICATION OR CHANGING SETTINGS,100.0,3162,main,"At any time you may change which information and how often information is collected by the Application by using the Application’s internal settings. There is no obligation to share any network diagnostic or location information with us. At any time you may uninstall the Application, by using the Application's uninstall option, or by using the programs removal feature of your operating system. Following the uninstallation process, SDK will not be able to collect any further location or network diagnostic information from you.",530,<choice>,<how-gathered>
WHAT DOES MYSF SDK DO WITH YOUR INFORMATION?,WHAT DOES MYSF SDK DO WITH YOUR INFORMATION?,100.0,3815,main,"WHAT DOES MYSF SDK DO WITH YOUR INFORMATION?To operate the Services.To customize your experience with the Services, as well as the experience of other users.To improve the Services for your experience, as well as the experience of other users.To provide you with customer support and handle requests and complaints.To send you updates, notices, announcements, and additional information related to the Services.",411,<first>,<what>
WHAT DOES MYSF SDK DO WITH YOUR INFORMATION?,WHAT DOES MYSF SDK DO WITH YOUR INFORMATION?,100.0,3815,main,"To send you marketing and advertising material through e-mail messages, subject to your prior indication of consent. In any case, SDK will not knowingly share your personal identifiable details with any advertisers, without your explicit consent.To conduct surveys and questionnaires of the Services.",300,<first>,<what>
