decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy | AirtelPrivacy Policy – AirtelAbout AirtelCareersPrepaidGet A New ConnectionFreedom PacksOther PacksPostpaidGet A New ConnectionPostpaid PlansMobile InternetInternationalIDDPrepaid IDD RatesPrepaid IDD PacksPostpaid IDD RatesTravel And ExplorePrepaid RoamingPostpaid RoamingVisiting Sri LankaRoaming in Sri LankaGet a Tourist SimTips For The TripEntertainmentAirtel ServicesLoan ServicesCall ManagementPurchase / ReservationsValue Added ServicesNewsWelcome TuneSportsAstrologyLifestyleReligious,510,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Fun & LeisureSupportGet HelpFAQSupport ContactService Touch Points LocatorCoverage MapOnline Bill Payment GuideSelf ActivationCustomer Re-registrationGet App×PrepaidGet A New ConnectionFreedom PacksOther PacksPostpaidGet A New ConnectionPostpaid PlansMobile InternetInternationalIDDPrepaid IDD RatesPrepaid IDD PacksPostpaid IDD RatesTravel And ExplorePrepaid RoamingPostpaid RoamingVisiting Sri LankaRoaming in Sri LankaGet a Tourist SimTips For The TripEntertainmentAirtel ServicesLoan ServicesCall Management,511,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,Purchase / ReservationsValue Added ServicesNewsWelcome TuneSportsAstrologyLifestyleReligiousFun & LeisureSupportGet HelpFAQSupport ContactService Touch Points LocatorCoverage MapOnline Bill Payment GuideSelf ActivationCustomer Re-registrationGet AppAbout AirtelCareersGet appSearch for:Search ButtonxPrivacy Policy,314,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"We at Bharti Airtel Lanka (Private) Limited (hereinafter mentioned as “Airtel”) are committed to protecting our customers’ personal information and strive to maintain the privacy of your Personal Information.“Personal information” is any information that can be used by itself to uniquely identify, contact, or locate a person, or can be used with information available from other sources to uniquely identify an individual.",424,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Personal information collected and/or held by us may include but is not limited to your name, father’s name, mother’s name, spouse’s name, date of birth, current and previous addresses, telephone number, mobile phone number, email address, occupation and information contained in the documents used as proof of identity and proof of address.",341,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"For the purpose of this policy, sensitive personal data or information like financial information (such as bank account or credit card or debit card or other payment instrument details), passwords or authentication information for any of our products or services etc. has been considered as a part of Personal Information.",322,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Airtel and its group companies may collect, store, process and transfer your Personal Information well in accordance with the applicable laws and regulations for a variety of regulatory and business purposes. These may include, but are not limited to:Verify your identity;Complete transactions effectively and bill for products and services;Respond to your request for service or assistance;Perform market analysis, market research, business and operational analysis;",467,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Provide, maintain and improve our products and services;Anticipate and resolve issues and concerns with our products and services;Promote and market products and services which we consider may be of interest to you and/or may benefit you; andEnsure adherence to legal and regulatory requirements for prevention and detection of frauds and crimes.",346,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"This Privacy Policy describes the Personal Information which we may collect and provides our approach towards handling and usage of or dealing with the same in compliance with the applicable laws and regulations.Please read the terms of this Privacy Policy carefully. By using and continuing to use our products and services, you are deemed to have accepted and consented to the terms of this Policy.For further details on the policy, please click on the links below:",467,<generic>,<error>
Collection of Personal Information,Collection of Personal Information,100.0,3816,main,Colle,5,<generic>,<error>
