decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"MP3Converter Privacy PolicyEffectiveDate: 24/01/2022Pleasecarefully read this Privacy Policy ( the “Policy”), which explains thecategories of personal information that VideoMakeStudio (""MP3 Converter,"" ""we"" ""us"" or""our"") collects when you (the “User” or “You”), as the user of our MP3Converter video creation tools through its website (the “Website”) and itsmobile application (the “Application”) (collectively, the Website andApplication are the ""Services""), how that information is used, with",494,<error>,<error>
,,-1.0,0,,"whom it may be shared, and your privacy choices.1.",50,<error>,<error>
Data Controller and Representative,"Data controller and
representative",97.05882352941177,557,main,Data controller andrepresentativeTheData Controller for the MP3 Converter Services is VideoMakeStudio. You can contactthe Data Controller by emailing videomakestudio@gmail.com2.,177,<generic>,<error>
Data Collection and Processing by MP3 Converter,Data Collection and Processing by MP3 Converter,100.0,740,main,"Data Collection and Processing by MP3 ConverterWhenthe User visits our Website, purchases an Application or Service, whetherthrough the Website, within the Application, or through a third party appstore, or uses the Application or Service, MP3 Converter may collect and usepersonal data as follows:(1)",301,<first>,<error>
Personal data collected,Personal data collected,100.0,1048,sub,"Personal data collectedMP3Converter collects the following categories of personal data, which may becollected from you, through the collection forms in the ordering process orother processes",190,<first>,<what>
(1) Information you provide to us,".
①
Information you
provide to us",84.84848484848484,1242,sub,".①Information youprovide to us.Wemay ask that you provide certain information to us when you set up an accountor profile on the Website, order the Application or contact us through theWebsite or Application for information or support.Thisinformation may include your email address,accountname, or other personal identifier, order information,purchase-token,theproducts you purchase, date andamountof the order,expires date,currency code,country code",449,<first>,<what>
(2) Information we automatically collect when you visit our Website,";
②
Information we
automatically collect when you visit our Website",92.53731343283582,1711,sub,";②Information weautomatically collect when you visit our Website.Thisinformation may include your IP address (or other unique device identifier,including one that we may assign); certain details about your browser, operatingsystem, and hardware; your location, if available; the URL that referred you toour Website; your activities on our Website, including your preferences; andother logging information, such as the date and time of your visit. We also use",458,<first>,<what>
(2) Information we automatically collect when you visit our Website,";
②
Information we
automatically collect when you visit our Website",92.53731343283582,1711,sub,"web server logs to collect and store information about Service usage. Ifapplicable, when you visit our Website from a mobile device, like a smartphone,we may also collect additional information from your device, including yourlocation, device identifier, and information about your mobile network",296,<first>,<what>
(3) Information we get from your use of our products,".
③
Information we get
from your use of our products",90.38461538461539,2478,sub,".③Information we getfrom your use of our products.Wecollect information about the products that you use and how you use them andyour local device information, including but not limited to your deviceinformation (e.g. phone model and brand), operating system (system version, ID,and language), IP address, operating, log information (access time、usage time、click operation, crash reports",386,<first>,<what>
(4) Third parties may use tracking technologies in connection with our Service,").
④
Third parties may
use tracking technologies in connection with our Servic",93.58974358974359,2876,sub,").④Third parties mayuse tracking technologies in connection with our Service, which may include thecollection of information about your online activities over time and acrossthird party websites.ThisPolicy does not apply to these third party technologies because we may notcontrol them and we are not responsible for them. Do Not Track is a technologythat enables users to opt out of tracking by websites they do not visit.Currently, we do not monitor or take any action with respect to Do Not Tracktechnology.3.",512,<third>,<what>
