decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Our Privacy Policy,Our privacy policy,100.0,0,main,"Our privacy policy explains how information is collected, used and disclosed by GNotes with respect to your access and use of GNotes’s services through our mobile & web application (referred to below as “GNotes”).",213,<generic>,<error>
1、What Information Do We Collect?,1、What Information Do We Collect?,100.0,214,main,"1、What Information Do We Collect?We collect certain information you provide to us when using GNotes, such as when you send us an email or post information on our Google Groups, the information include",200,<first>,<what>
1.1、Personal Information,"s:
“Personal Information",83.33333333333334,415,sub,"s:“Personal Information”is the information that you provide to us that personally identifies you, such as your name, phone number or email address. GNotes does not collect or require users to provide Personal Informatio",219,<error>,<what>
1.2、Non-Personal Information,"n.
“Non-Personal Information",89.28571428571429,635,sub,"n.“Non-Personal Information”is the information that cannot be directly associated with a specific person or entity. Non-Personal Information includes but is not limited to your device’s configuration, the package ID and version of GNotes that you use.",251,<error>,<what>
2、How Do We Use the Information We Collect?,2、How Do We Use the Information We Collect?,100.0,888,main,2、How Do We Use the Information We Collect?We use the information collected through GNotes for the purposes described below:to ,127,<first>,<why>
2.1、Provide Services,provide our services,80.0,1017,sub,"provide our services or information you request, and to process and complete any transactions;to respond to your emails, submissions, questions, comments, req",158,<error>,<why>
2.2、Respond to Emails and Provide Customer Service,"uests, and complaints and provide customer service",78.0,1176,sub,"uests, and complaints and provide customer service;",51,<error>,<why>
2.3、Monitor and Analyze Usage and Trends,"
to monitor and analyze usage and trends",90.0,1227,sub,"to monitor and analyze usage and trends, and to personalize and improve GNotes and your experiences when you use GNotes;to push y",129,<error>,<why>
2.4、Push Confirmations and Security Alerts,"ou confirmations, updates, security alerts",78.57142857142857,1358,sub,"ou confirmations, updates, security alerts, and support and administrative messages and otherwise facilitate your use of, and our administration and operation of, our services;",176,<error>,<why>
3、What Information Do We Share With Third Parties?,3、What Information Do We Share With Third Parties?,100.0,1535,main,3、What Information Do We Share With Third Parties?We will no,60,<third>,<how-gathered>
3.1、Sharing Personal Information,t share the personal information,78.125,1596,sub,"t share the personal information we have collected from you.We are not responsible for the actions of service providers or other third parties, nor are we responsible for any additional information you provide directly to any third parties.",240,<error>,<how-gathered>
4、Links to Other Sites,4、Links to Other Sites,100.0,1838,main,"4、Links to Other SitesGNotes may contain links to other sites. Any information you provide on those sites is provided directly to the owner of that site and is subject to that party's privacy policy. Our privacy policy does not apply to such sites, and we are not responsible for the content or privacy and security practices and policies of those sites.",354,<third>,<other>
5、Changes,5、 Change,88.88888888888889,2194,main,5、 Changes,10,<change>,<other>
5、Changes,5、 Change,88.88888888888889,2194,main,"Any information that is collected is subject to the privacy policy in effect at the time such information is collected. We may, however, modify and revise our privacy policy from time-to-time. If we make any material changes to this policy, we will notify you of such changes by posting them on GNotes or by sending you an email or other notification, and we will indicate when such changes will become effective. By continuing to access or use GNotes after those changes become effective, you are agreeing to be bound by the revised policy.",541,<change>,<other>
