decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,HomeJoin UsContact Us,21,<error>,<error>
Privacy Policy,Privacy Policy,100.0,24,main,Privacy PolicyWhat personal information does Fitvate collect?Nothing. None. Nada.We do not collect any personal information. Nothing at all.What general information does Fitvate collect?We do use leading grade analytics in order to analyze the usage of our apps. For example: which features people like more (or less) and to make sure that our apps are high grade and bug-free. Analytics provide us with collections of large scale information that helps us make better products.,478,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,24,main,"What if I am in a Facebook page related to Fitvate?Then you will see our posts to the group, and we will see yours. Just like any other open group. We still donâ€™t collect any info at all.How do we use the information that we collect?We only use the information through analytics to analyze app usage and to improve the apps by provided better features & content.How do we use the information that we see (such as your posts)?",427,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,24,main,"We will gladly communicate with you when you want us to. We might answer a question, reply to a comment, or give thanks, praises, or virtual high fives.Sharing of your Personal InformationThat sucks. We donâ€™t do that. And in any case, we donâ€™t even have your personal information.Cookies and Other Tracking Devices",318,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,24,main,"We might use analytics with our apps or website, which helps us optimize the experience for you (basically, to make our apps and website better). This means that a cookie will be stored on your computer â€“ this is a small text file that stores non-personal information, and this helps us know large scale statistics such as how often people visit our site, how they use it, etc. We donâ€™t know who the actual people are â€“ just the trends of usage. Most browsers automatically accept cookies, but you can modify your browser settings to decline or delete cookies.",566,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,24,main,"Is there anything else? something hidden & not being told?Nope. There is nothing else.Weâ€™re all about making good apps, thatâ€™s all.Can you please put this all into legal language just to make sure that Fitvate is GDPR Compliant?Sure. Here it is below, in full legalese.Privacy Policy",287,<generic>,<error>
Effective Date,Effective date,100.0,2122,main,"Effective date: May 16, 2018Fitvate (""us"", ""we"", or ""our"") operates theFitvate.comwebsite and the Fitvate suite of mobile applications (the ""Service"").This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our Service and the choices you have associated with that data.",328,<generic>,<error>
Effective Date,Effective date,100.0,2122,main,"We use your data to provide and improve the Service. By using the Service, you agree to the collection and use of information in accordance with this policy. Unless otherwise defined in this Privacy Policy, terms used in this Privacy Policy have the same meanings as in our Terms and Conditions.",295,<generic>,<error>
Definitions,Definitions,100.0,2751,main,Definitions,11,<generic>,<error>
Service,Service,100.0,2763,sub,ServiceService means theFitvate.comwebsite and the Fitvate Suite of Apps operated by Fitvate,92,<first>,<error>
