decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy,Privacy,100.0,0,main,"PrivacyEffective Dec 8, 20161. ",31,<error>,<error>
Acceptance,Acceptance,100.0,33,main,Acceptance,10,<error>,<error>
Acceptance,Acceptance,100.0,33,main,"We have created this Privacy Policy (the â€œPolicyâ€) because we value usersâ€™ privacy. The Policy describes the types of information we may collect from you, or that you may provide, when you access GoForex- Forex Trading For Beginners mobile application (the â€œAppâ€). App users are referred to herein as â€œYouâ€ and â€œYour.â€ Â This Policy covers the information we collect on or through our App, or when you contact us for any reason. It does not apply to information collected by any third party, including through any external website that may link to or be accessible from the App. Please check directly with each such third party to avoid unfair surprises and misunderstandings.",694,<error>,<error>
Acceptance,Acceptance,100.0,33,main,"â€Your use of our App constitutes your acceptance of this Privacy Policy. If you do not agree with this Privacy Policy you may not use our App. This Policy may change from time to time, and the date of last update is indicated at the top of this page. Your continued use of this App after we revise this Policy is deemed to be acceptance of the revisions, so please check this page from time to time for updates.â€2. ",419,<error>,<error>
What information we collect,What information we collect,100.0,1161,main,What information we collectWe may collect sever,47,<first>,<error>
a. Types of information,al types of information,95.65217391304348,1209,sub,"al types of information from guests participating in our App, including the following:a. Name, email, country.b. Analytical App usage information collected via statistics services. This data may include the App pages you view and other similar information about your behavior on our App.We collect this information:c. Directly from you when you provide it to us (e.g. when you contact us for any reason).d. Automatically as you navigate through the App.3. ",456,<first>,<error>
How we use your information,How we use your information,100.0,1670,main,"How we use your informationWe use information that we collect about you or that you provide to us, including any personal information:",134,<first>,<error>
a. To provide the services you requested,a. To provide the services you requested,100.0,1806,sub,a. To provide the services you requested.,41,<first>,<error>
b. To notify you about changes,b. To notify you about changes,100.0,1848,sub,b. To notify you about changes to our App or any services we offer or provide though it.,88,<first>,<error>
c. To allow you to participate in interactive features,c. To allow you to participate in interactive features,100.0,1937,sub,c. To allow you to participate in interactive features of our App.,66,<first>,<error>
d. To carry out our obligations and enforce our rights,d. To carry out our obligations and enforce our rights,100.0,2004,sub,d. To carry out our obligations and enforce our rights.,55,<first>,<error>
e. In any other way we may describe,e. In any other way we may describe,100.0,2060,sub,e. In any other way we may describe when you provide the information.4. ,72,<first>,<error>
Disclosure of your information,Disclosure of your information,100.0,2133,main,Disclosure of your informationWe may disclose personal information that we collect or you provide as described in this Policy:,126,<third>,<error>
a. To fulfill the purpose for which you provide it,a. To fulfill the purpose for which you provide it,100.0,2261,sub,a. To fulfill the purpose for which you provide it.,51,<third>,<error>
"b. To contractors, service providers and other third parties","b. To contractors, service providers and other third parties",100.0,2313,sub,"b. To contractors, service providers and other third parties we use to support our business.",92,<third>,<error>
c. To a buyer or other successor in the event of a merger,c. To a buyer or other successor in the event of a merger,100.0,2406,sub,"c. To a buyer or other successor in the event of a merger, divestiture, restructuring, reorganization, dissolution or other sale or transfer of some or all of the App's assets, whether as a going concern or as part of bankruptcy, liquidation or similar proceeding, in which personal information about our App users is among the assets transferred.",347,<third>,<error>
d. We may disclose aggregated information,d. We may disclose aggregated information,100.0,2754,sub,d. We may disclose aggregated information about our users and information that does not identify any individual without restriction.,132,<third>,<error>
e. For any other purpose disclosed by us,e. For any other purpose disclosed by us,100.0,2887,sub,e. For any other purpose disclosed by us when you provide the information.We may also disclose your personal information:,121,<third>,<error>
"f. To comply with any court order, law or legal process","f. To comply with any court order, law or legal process",100.0,3010,sub,"f. To comply with any court order, law or legal process, including to respond to any government or regulatory request.g. If we believe disclosure is necessary or appropria",171,<third>,<error>
"g. To protect the rights, property, or safety of the App","te to protect the rights, property, or safety of the App",96.42857142857143,3182,sub,"te to protect the rights, property, or safety of the App, our customers or others.5. Childrenâ€™s privacyWe are committed to respecting the sensitive nature of ",160,<error>,<error>
Children's privacy,children's privacy,100.0,3344,main,"children's privacy online. Children under 13 years of age are not allowed to use our App. We do not knowingly collect personally identifiable information from anyone under the age of 13 and our service is not directedÂ toÂ children under 13. If we learn or have reason to suspect that any App user is under the age of 13, we will delete any personal information in that user's account or use that information only to respond directly to that child (or a parent or legal guardian) to inform him or her that he or she cannot use our App.",535,<audience>,<error>
Children's privacy,children's privacy,100.0,3344,main,6. ,3,<audience>,<error>
Data security,Data security,100.0,3883,main,Data security,13,<security>,<error>
Data security,Data security,100.0,3883,main,"Personal information you provide to us is stored on a password protected server accessible only by administrator. We use SSL (Secure Sockets Layer) technology to keep your information secure.Â We adhere to generally accepted industry standards to protect the personal information submitted to us, both during transmission and once we receive it. However, we cannot guarantee the security of your personal information transmitted to our App because any transmission of information over the Internet has its inherent risks. Any transmission of personal information is at your own risk. We are not responsible for circumvention of any privacy settings or security measures contained on the App. You are responsible for keeping your login credentials, if any, confidential.",769,<security>,<error>
Data security,Data security,100.0,3883,main,7. ,3,<security>,<error>
Accessing and correcting your personal information,Accessing and correcting your personal information,100.0,4670,main,"Accessing and correcting your personal informationPlease send us an e-mail to[email protected]to request access to, correct or delete any personal information that you have provided to us or to ask questions about this Privacy Policy. We reserve the right to refuse a request if we believe it would violate any law or cause the information to be incorrect.8. ",359,<choice>,<error>
