decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy | Talk360DownloadBuy creditRatesCompanyAbout usTeamCareersNewsPress RoomHelpHelp centerPayment methodsContact usAED (AED)AOA (Kz)AUD ($)BDT (à§³)BHD (BD)BRL (R$)BWP (P)CAD ($)CDF (FC)CHF (CHF)CNY (Â¥)COP ($)EGP (EÂ£)ETB (Br)EUR (â‚¬)GBP (Â£)GHS (GHâ‚µ)INR (â‚¹)JOD (JOD)JPY (Â¥)KES (Ksh)KWD (KD)LBP (LBP)LSL (L)LYD (LD)MAD (MAD)MXN ($)NAD (N$)NGN (â‚¦)NZD (NZ$)OMR (R.O.)PHP (â‚±)PKR (Rs)PLN (zÅ‚)QAR (QR)RUB (RUB)SAR (SAR)SDG (Â£SD)TRY (â‚º)TZS (TSh)UGX (USh)USD ($)XAF (FCFA)ZAR (R)ZMW (ZMW)ENES,512,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"DEFRNLItBuy creditPrivacy PolicyLast edited 8th of May 2018Privacy PolicyThis privacy policy discloses the privacy practices for Talk360 B.V. located at Leusderend 32, Leusden and can be reached via mail: info@www.talk360.com. This privacy policy is meant to help you understand what data we collect, why we collect it, and what we do with it.",343,<generic>,<error>
The personal data that is necessary in order to make use of our services is your phone number.,The personal data that is necessary in order to make use of our services is your phone number.,100.0,925,sub,The personal data that is necessary in order to make use of our services is your phone number. ,95,<first>,<error>
We will use your phone number for the purpose of:,We will use your phone number for the purpose of:,100.0,1020,sub,We will use your phone number for the purpose of:,49,<first>,<error>
To verify your identity,To verify your identity,100.0,1070,sub,To verify your identity,23,<error>,<error>
To setup outgoing calls for you.,To setup outgoing calls for you.,100.0,1094,sub,To setup outgoing calls for you.,32,<error>,<main>
To manage your Talk360 app,To manage your Talk360 app,100.0,1127,sub,To manage your Talk360 app,26,<error>,<error>
"Prevent cheating, crime or fraud","Prevent cheating, crime or fraud",100.0,1154,sub,"Prevent cheating, crime or fraud",32,<error>,<error>
Personalise and optimise our services,Personalise and optimise our services,100.0,1187,sub,Personalise and optimise our services,37,<error>,<error>
For internal operations,For internal operations,100.0,1225,sub,For internal operations,23,<error>,<error>
Processing of your personal data is lawful based on the following legal basis:,Processing of your personal data is lawful based on the following legal basis:,100.0,1249,sub,Processing of your personal data is lawful based on the following legal basis:,78,<first>,<error>
The data subject has given consent to the processing of his or her personal data for one of more specific purposes;,The data subject has given consent to the processing of his or her personal data for one of more specific purposes;,100.0,1328,sub,The data subject has given consent to the processing of his or her personal data for one of more specific purposes;,115,<error>,<error>
Processing is necessary for the performance of a contract to which the data subject is party of in order to take steps at the request of the data subject prior to entering into a contract.,Processing is necessary for the performance of a contract to which the data subject is party of in order to take steps at the request of the data subject prior to entering into a contract.,100.0,1444,sub,Processing is necessary for the performance of a contract to which the data subject is party of in order to take steps at the request of the data subject prior to entering into a contract.,188,<error>,<error>
What information about you is collected and how will we use it?,What information about you is collected and how will we use it?,100.0,1633,main,What information about you is collected and how will we use it?,63,<first>,<main>
Profile Information,Profile Information,100.0,1697,sub,Profile Information,19,<first>,<sub>
"When downloading the App or otherwise start using the Services you are requested to register with us, and creating your Talk360 account.","When downloading the App or otherwise start using the Services you are requested to register with us, and creating your Talk360 account.",100.0,1717,sub,"When downloading the App or otherwise start using the Services you are requested to register with us, and creating your Talk360 account. ",137,<error>,<main>
"By registering you give your consent for us to collect, use and store the following information:","By registering you give your consent for us to collect, use and store the following information:",100.0,1854,sub,"By registering you give your consent for us to collect, use and store the following information:",96,<error>,<sub>
Phone number,Phone number,100.0,1951,sub,Phone number,12,<error>,<main>
IP Address,IP Address,100.0,1964,sub,IP Address,10,<error>,<error>
"In addition to using this information to be able to provide you with the Services that you request, we use, store and/or may disclose the above listed information as follows:","In addition to using this information to be able to provide you with the Services that you request, we use, store and/or may disclose the above listed information as follows:",100.0,1975,sub,"In addition to using this information to be able to provide you with the Services that you request, we use, store and/or may disclose the above listed information as follows:",174,<first>,<sub>
To verify your identity (your phone number will be used as Talk360 caller ID).,To verify your identity (your phone number will be used as Talk360 caller ID).,100.0,2150,sub,To verify your identity (your phone number will be used as Talk360 caller ID).,78,<error>,<main>
To setup outgoing calls for you.,To setup outgoing calls for you.,100.0,2229,sub,To setup outgoing calls for you.,32,<error>,<error>
