decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy policy,14,<error>,<error>
PRIVACY POLICY â€“ TPVapps,PRIVACY POLICY â€“ TPVapps,100.0,15,main,PRIVACY POLICY â€“ TPVapps,26,<error>,<error>
PRIVACY POLICY â€“ TPVapps,PRIVACY POLICY â€“ TPVapps,100.0,15,main,"We respect the privacy concerns of our users. We have created this Privacy Policy to better serve those who are concerned with how their 'Personally Identifiable Information' (PII) is being used online. PII, as described in US privacy law and information security, is information that can be used on its own or with other information to identify, contact, or locate a single person, or to identify an individual in context. Please read our privacy policy carefully to get a clear understanding of how we collect, use, protect or otherwise handle your Personally Identifiable Information in accordance with our apps. ",616,<error>,<error>
PRIVACY POLICY â€“ TPVapps,PRIVACY POLICY â€“ TPVapps,100.0,15,main,Our privacy policy is legally structured in compliance with the new European Union (EU) General Data Protection Regulation (GDPR) ensuring that the data protection process is more secure and unfailing for the users from EU. It is important for you to review and agree with our privacy policy before you accept to share the information required.,344,<error>,<error>
USERS IN EUROPEAN ECONOMIC AREA (EEA),USERS IN EUROPEAN ECONOMIC AREA (EEA),100.0,1004,main,"USERS IN EUROPEAN ECONOMIC AREA (EEA)We use Google Admob to show ads. In the line with the new European Data Protection Regulation (GDPR), we will ask all EU users to give explicit consent in order to serve them with personalized or non-personalized ads on our apps.",266,<error>,<error>
IMPORTANT TERMINOLOGIES FOR USERS,IMPORTANT TERMINOLOGIES FOR USERS,100.0,1272,main,IMPORTANT TERMINOLOGIES FOR USERS,33,<error>,<error>
Personal Data,Personal Data,100.0,1306,sub,Personal Data - any information related to a natural person or â€˜,66,<error>,<error>
Data Subject,Data Subject,100.0,1372,sub,Data Subjectâ€™ that can be used to directly or indirectly identify the person.Data Subject â€“ it refers to any natural person whose personal data is processed by a ,166,<error>,<error>
Data Controller,Data Controller,100.0,1539,sub,"Data Controller.Data Controller - the entity that determines the purposes, conditions and means of the processing of personal data.",131,<error>,<error>
Consent,Consent,100.0,1672,sub,"Consent â€“ it refers to any freely given, specific, informed and explicit consent by statement or action signifying agreement to the ",134,<error>,<error>
Processing,processing,100.0,1806,sub,"processing of the personal data by the user â€œData Subjectâ€.Processing - any operation performed on personal data, whether or not by automated means, including collection, use, recording, etc.",195,<error>,<error>
WHAT TYPE OF INFORMATION WE COLLECT FROM YOU,WHAT TYPE OF INFORMATION WE COLLECT FROM YOU,100.0,2003,main,"WHAT TYPE OF INFORMATION WE COLLECT FROM YOUTPVapps does not collect any sort of personal data from users. We mainly deliver Android apps and shows personalized advertisements within the app considering user based interests. Please note that we do not collect any personal information like name, e-mail, address or date of birth. We use Admob advertisements for personalized ads.",379,<first>,<error>
HOW AND WHY WE PROCESS ANY INFORMATION,HOW AND WHY WE PROCESS ANY INFORMATION,100.0,2384,main,"HOW AND WHY WE PROCESS ANY INFORMATIONThe personal information of the users will be processed as per companyâ€™s standard procedures while keeping the privacy and secrecy of individualâ€™s data and not disclosing or misusing it. As mentioned above, we use Admob Ads on our apps to offer relevant personalized ads.We process this information to maintain standard such as:",370,<error>,<error>
