decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy Policy | NBCUNIVERSAL MEDIAPlease Rotate Your Device 90For the best experience, turn your mobile device portrait mode.Skip to main contentHomeABOUTLEADERSHIPSYMPHONYCOMCASTSKYHISTORYValuesDIVERSITY, EQUITY & INCLUSIONENVIRONMENTSOCIAL IMPACTBRANDSNEWSROOMCAREERSFollow us on LinkedInFollow us on TwitterLike us on FacebookinstagramSearchNBCU Privacy CenterPrivacy PolicyCookie NoticeCalifornia NoticePrivacy FAQsLast Updated: December 16, 2022EnglishCeštinaChineseCрпскиDanishDeutschEspañol (Americas)",509,<error>,<error>
,,-1.0,0,,Español (Spain)FrançaisHrvatskiItalianoJapaneseKoreanMagyarNederlandsPolskiPortuguês (Portugal)Português(Brasil)RomânSlovenskýSlovenščinaSwedishEnglishNBCUniversal Privacy PolicyThis Privacy Policy explains how NBCUniversal and its affiliates (“NBCUniversal Affiliates”) (collectively “we” or “us,296,<error>,<error>
,,-1.0,0,,"”) collect, use, and share information from or about you when you use our websites, downloadable applications, interactive TV applications, voice-activated skills, other digital services, connected devices such as theme-park devices, and off-line services that link to this policy,  or if you engage in business with us (“NBCUniversal ServicesorServices”).",356,<error>,<error>
,,-1.0,0,,"This Privacy Policy applies to the NBCUniversal Services throughout the world. Any additional privacy terms that relate to specific NBCUniversal products or services should be read in conjunction with this Policy.As one of the world’s leading media and entertainment companies, we offer NBCUniversal Services through a wide range of businesses and under many different brands. The data controller of your personal information will be the NBCUniversal company which provides services to you or does business with you. You can find out more information about NBCUniversal, including a list of our NBCUniversal Affiliates,",619,<error>,<error>
,,-1.0,0,,"here.PLEASE READ THIS PRIVACY POLICY CAREFULLY TO UNDERSTAND HOW WE HANDLE YOUR INFORMATION. BY USING THE SERVICES, YOU ACKNOWLEDGE YOU HAVE READ AND UNDERSTAND THE PRIVACY POLICY AND THAT WE WILL COLLECT, USE AND SHARE YOUR INFORMATION AS SET FORTH BELOW.Expand All",266,<error>,<error>
PERSONAL INFORMATION WE COLLECT AND PURPOSES,PERSONAL INFORMATION WE COLLECT AND PURPOSES,100.0,2116,main,"PERSONAL INFORMATION WE COLLECT AND PURPOSESThe tables below explain the categories of information we collect and the purposes for which we use them.  Each NBCUniversal Service’s collection and use may vary. Please note that we may use any or all of this information to comply with the law, detect or prevent fraud, for safety and security purposes, and to defend our legal rights. Further detail about each of the purposes is set out in the “Additional Information on Purposes” table below.",491,<generic>,<what>
PERSONAL INFORMATION WE COLLECT AND PURPOSES,PERSONAL INFORMATION WE COLLECT AND PURPOSES,100.0,2116,main,"Information you provide to us:Categories of personal information we collectPurposes of use (“Processing Purposes” described in more detail below)Contact and account registration informationFor example: name, email, postal address, telephone number, account user name and password, business contact information, and any information you may provide to us at an event or in person.Provide the NBCUniversal ServicesPersonalize your experienceSend you NBCUniversal marketing and advertising",485,<generic>,<what>
PERSONAL INFORMATION WE COLLECT AND PURPOSES,PERSONAL INFORMATION WE COLLECT AND PURPOSES,100.0,2116,main,"Provide seamless experience across platforms and devicesSafety and securityBuild and manage business-to-business relationshipsMarket and advertise for third partiesIdentification information, and demographics, and interestsFor example: as permitted by law, date of birth, race*, ethnicity*, gender, interests, lifestyle information, school and sports information, photos, social media credentials, including identification information about friends, contacts or referrals you provide.",484,<generic>,<what>
PERSONAL INFORMATION WE COLLECT AND PURPOSES,PERSONAL INFORMATION WE COLLECT AND PURPOSES,100.0,2116,main,"Provide the NBCUniversal ServicesPersonalize your experienceSend you NBCUniversal marketing and advertisingProvide seamless experience across platforms and devicesSafety and securityMarket and advertise for third partiesTransactionalFor example: credit/debit card details, purchase history, delivery address, membership information, reservations and other travel related information, meal preferences, and the personal details of any of your guestsProvide the NBCUniversal ServicesPersonalize your experience",508,<generic>,<what>
PERSONAL INFORMATION WE COLLECT AND PURPOSES,PERSONAL INFORMATION WE COLLECT AND PURPOSES,100.0,2116,main,"Send you NBCUniversal marketing and advertisingProvide seamless experience across platforms and devicesSafety and securityMarket and advertise for third partiesUser-generated contentFor example: photos, videos, audio, and other information you may submit to us, such as comments on our forums.Provide the NBCUniversal ServicesPersonalize your experienceSend you NBCUniversal marketing and advertisingSafety and securityMarket and advertise for third partiesResearch and feedback",478,<generic>,<what>
