decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy Policy,Privacy Policy,100.0,0,main,Privacy Policy · promadesign/privacypolicy Wiki · GitHubSkip to contentToggle navigationSign inProductActionsAutomate any workflowPackagesHost and manage packagesSecurityFind and fix vulnerabilitiesCodespacesInstant dev environmentsCopilotWrite better code with AICode reviewManage code changesIssuesPlan and track workDiscussionsCollaborate outside of codeExploreAll featuresDocumentationGitHub SkillsBlogSolutionsForEnterpriseTeamsStartupsEducationBy SolutionCI/CD & AutomationDevOpsDevSecOpsResources,503,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Learning PathwaysWhite papers, Ebooks, WebinarsCustomer StoriesPartnersOpen SourceGitHub SponsorsFund open source developersThe ReadME ProjectGitHub community articlesRepositoriesTopicsTrendingCollectionsPricingSearch or jump to...Search code, repositories, users, issues, pull requests...SearchClearSearch syntax tipsProvide feedbackWe read every piece of feedback, and take your input very seriously.Include my email address so I can be contactedCancelSubmit feedbackSaved searches",483,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Use saved searches to filter your results more quicklyNameQueryTo see all available qualifiers, see ourdocumentation.CancelCreate saved searchSign inSign upYou signed in with another tab or window.Reloadto refresh your session.You signed out in another tab or window.Reloadto refresh your session.You switched accounts on another tab or window.Reloadto refresh your session.Dismiss alertpromadesign/privacypolicyPublicNotificationsFork0Star0CodeIssues0Pull requests0ActionsProjects0WikiSecurityInsights",502,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"Additional navigation optionsCodeIssuesPull requestsActionsProjectsWikiSecurityInsightsPrivacy PolicyJump to bottomMartijn van de Sande edited this pageFeb 12, 2017·4 revisionsPrivacy PolicyPromadesign (“Promadesign” or “we”) respect your preferences concerning the treatment of Information that we may collect. This Privacy Policy explains what kind of information we collect, use, share and the security of your information in relation to our mobile applications (“Applications” or “Apps”) and mobile services (“Services”). Please take a moment to familiarize yourself with our privacy practices.",598,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,0,main,"BY INSTALLING THE APPS ON YOUR MOBILE DEVICE, ENTERING INTO, CONNECTING TO, ACCESSING AND/OR USING THE APPS, YOU AGREE TO THE TERMS AND CONDITIONS SET FORTH IN THIS PRIVACY POLICY, INCLUDING TO THE POSSIBLE COLLECTION AND PROCESSING OF YOUR INFORMATION AND YOU ARE CONSENTING TO THE USE OF COOKIES AND OTHER TRACKING TECHNOLOGIES ON YOUR DEVICE. PLEASE NOTE: IF YOU OR, AS APPLICABLE, YOUR LEGAL GUARDIAN, DISAGREE TO ANY TERM PROVIDED HEREIN, YOU MAY NOT INSTALL, ACCESS AND/OR USE THE APPS AND YOU ARE REQUESTED TO PROMPTLY ERASE THEM, AND ANY PART THEREOF, FROM YOUR MOBILE DEVICE.",584,<generic>,<error>
What information we collect,What information we collect,100.0,2790,main,"What information we collectOur primary purpose in collecting information is to provide you with a safe, efficient and customized experience and to provide you with Services and features that better meet your needs or requests.",226,<generic>,<what>
Personal Information,Personal Information,100.0,3018,sub,"Personal InformationWe do NOT collect any Personal Information about you. “Personal Information” means personally identifiable information, such as your name, email address, physical address, calendar entries, contact entries, files, photos, etc.",246,<first>,<what>
Non-Personal Information,Non-Personal Information,100.0,3266,sub,"Non-Personal InformationWe collect non-personal information about your use of our Apps and aggregated information regarding the usages of the Apps. “Non-Personal Information” means information that is of an anonymous nature, such as the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, your mobile operating system, and information about the way you use the Applications.",429,<first>,<what>
How we use your information we collect,How we use your information we collect,100.0,3697,main,How we use your information we collect,38,<first>,<why>
Personal Information,Personal Information,100.0,3736,sub,Personal Information.We do NOT collect and use Personal Information in any way.,79,<first>,<how-used>
Non-personal Information,Non-personal Information,100.0,3817,sub,"Non-personal Information.Generally non-personal information is used internally to monitor and improve the Services, to perform analyses of the behavior of our users, to measure user demographics and interests, to describe our services to third parties such as advertisers and to analyze how and where best to use our resources. We do not combine Non-Personal Information with Personal Information.",397,<first>,<how-used>
How we share the information we collect,How we share the information we collect,100.0,4216,main,How we share the information we collect,39,<third>,<how-gathered>
Personal Information,Personal Information,100.0,4256,sub,Personal Information.We do NOT collect and share Personal Information in any way.,81,<third>,<how-gathered>
Non-personal information,Non-personal information,100.0,4339,sub,Non-personal information.,25,<third>,<how-gathered>
