decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Tiny Flashlight privacy policy,30,<error>,<error>
Tiny Flashlight + LED Privacy Policy,"Tiny Flashlight +
LED Privacy Policy",97.22222222222221,31,main,Tiny Flashlight +LED Privacy Policy,35,<error>,<error>
Effective Date:,Effective Date:,100.0,68,main,"Effective Date:November 6, 2012. Last revised on November 6, 2012.",66,<error>,<error>
At Tiny Flashlight we recognize that privacy is important.,At Tiny Flashlight we recognize that privacy is important.,100.0,136,main,At Tiny Flashlight we recognize that privacy is important.,58,<error>,<error>
"This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED","This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED",100.0,195,main,"This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LEDapplications on all platforms (the ""Application"" or ""Applications""), therelated services we provide (""Services"") and the Site.Tiny Flashlight (""TF,"" ""us"" or ""we"") has created thisPolicy to explain our privacy practices so you will understand what informationabout you is collected, used and disclosed with respect to the Applications,the Services and the Site.By using any Application, the Services or the Site, you",494,<error>,<error>
"This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED","This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED",100.0,195,main,"consent to the privacy practices described in this Policy.We reserve the right, at our sole discretion, to change,modify or otherwise alter this Policy at any time. You can find the most recentversion of this Policy athttp://tinyflashlight.com/privacypolicy.html, with the date of last modification noted above. Such modificationsshall become effective immediately upon the posting thereof on the Site.Therefore, we encourage you to check the date of this Policy whenever you",475,<error>,<error>
"This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED","This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED",100.0,195,main,"access or use an Application, the Services or the Site to check if this Policyhas been updated. You must review this Policy on a regular basis to keepyourself apprised of any changes. If you do not agree to any modifications tothis Policy, your sole recourse is to immediately stop all use of allApplications, the Services and the Site. Your continued use of any Application,the Services or the Site following the posting of any modifications to this",450,<error>,<error>
"This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED","This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED",100.0,195,main,"Policy will constitute your acceptance of the revised Policy. Should you haveany questions regarding this Policy, please contact us at the contactinformation listed at the end of this Policy. Please note that none of ouremployees or agents has the authority to vary any of our Policies.This Policy covers our collection, use and disclosure ofyour information through the Applications, the Services and the Site. It doesnot cover any collection, use or disclosure by third parties through any",491,<error>,<error>
"This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED","This Privacy Policy (""Policy"") applies to your use of the Tiny Flashlight + LED",100.0,195,main,"applications, Web sites, products or services that we do not control or own,such as Facebook, or any third party features or services made available via anApplication, the Services or the Site. All trademarks, trade names, and logosof third parties featured on the Applications or the Site belong to theirrespective owners.",323,<error>,<error>
1. WHAT KIND OF INFORMATION WE COLLECT,1. WHAT KIND OF INFORMATION WE COLLECT,100.0,2462,main,1. WHAT KIND OF INFORMATION WE COLLECT,38,<generic>,<error>
Personal Information.,Personal Information.,100.0,2501,sub,Personal Information.,21,<first>,<error>
We do not,We do not,100.0,2523,sub,We do not,9,<error>,<error>
collect Personal Information.,collect Personal Information.,100.0,2533,sub,collect Personal Information. ,30,<error>,<error>
"""Personal Information"" is information that","""Personal Information"" is information that",100.0,2563,sub,"""Personal Information"" is information that",42,<error>,<error>
"identifies you or another person, which may be transmitted or received when you","identifies you or another person, which may be transmitted or received when you",100.0,2606,sub,"identifies you or another person, which may be transmitted or received when you",79,<error>,<error>
"use an Application, the Services and/or the Site.","use an Application, the Services and/or the Site.",100.0,2686,sub,"use an Application, the Services and/or the Site. ",50,<error>,<error>
Personal Information includes,Personal Information includes,100.0,2736,sub,Personal Information includes,29,<first>,<error>
"your geographic location information, names, physical addresses, email","your geographic location information, names, physical addresses, email",100.0,2766,sub,"your geographic location information, names, physical addresses, email",70,<error>,<error>
"addresses, telephone, fax and other device numbers, social security numbers, calendar","addresses, telephone, fax and other device numbers, social security numbers, calendar",100.0,2837,sub,"addresses, telephone, fax and other device numbers, social security numbers, calendar",85,<error>,<error>
"entries stored within your Device, contact entries stored within your Device,","entries stored within your Device, contact entries stored within your Device,",100.0,2923,sub,"entries stored within your Device, contact entries stored within your Device,",77,<error>,<error>
"files, content, photographs, location information and other metadata in","files, content, photographs, location information and other metadata in",100.0,3001,sub,"files, content, photographs, location information and other metadata in",71,<error>,<error>
"photographs and other information you transmit or receive using an Application,","photographs and other information you transmit or receive using an Application,",100.0,3073,sub,"photographs and other information you transmit or receive using an Application,",79,<error>,<error>
"the Services, and/or the Site which identifies you or another person.","the Services, and/or the Site which identifies you or another person.",100.0,3153,sub,"the Services, and/or the Site which identifies you or another person. ",70,<error>,<error>
Personal Information also includes information about you or others that may be accessed,"Personal
Information also includes information about you or others that may be accessed",98.85057471264368,3223,sub,PersonalInformation also includes information about you or others that may be accessed,86,<error>,<error>
"by our system directly from your Device, including from your address book,","by our system directly from your Device, including from your address book,",100.0,3311,sub,"by our system directly from your Device, including from your address book,",74,<error>,<error>
"location, photos or contacts folder, in order to enable certain features of an","location, photos or contacts folder, in order to enable certain features of an",100.0,3386,sub,"location, photos or contacts folder, in order to enable certain features of an",78,<error>,<error>
"Application or the Services, such as the feature that finds and suggests mutual","Application or the Services, such as the feature that finds and suggests mutual",100.0,3465,sub,"Application or the Services, such as the feature that finds and suggests mutual",79,<error>,<error>
friends and other individuals who you may know.,friends and other individuals who you may know.,100.0,3545,sub,friends and other individuals who you may know. ,48,<error>,<error>
"Unless you have elected to opt-out of providing your geographic location information,","Unless you have elected to
opt-out of providing your geographic location information,",98.82352941176471,3593,sub,"Unless you have elected toopt-out of providing your geographic location information, ",85,<first>,<error>
the Applications may use and store information related to the geographic location of your device,"the Applications may
use and store information related to the geographic location of your device",98.95833333333334,3679,sub,the Applications mayuse and store information related to the geographic location of your device ,96,<error>,<error>
and combine this information with other Personal Information to provide certain,"and
combine this information with other Personal Information to provide certain",98.73417721518987,3776,sub,andcombine this information with other Personal Information to provide certain,78,<error>,<error>
"services, whether or not the Application is active.","services, whether or not the Application is active.",100.0,3856,sub,"services, whether or not the Application is active.",51,<error>,<error>
Non-Personal Information.,Non-Personal Information.,100.0,3908,sub,Non-Personal Information.,25,<error>,<error>
We,We,100.0,3934,sub,We,2,<error>,<error>
collect Non-Personal Information.,collect Non-Personal Information.,100.0,3937,sub,collect Non-Personal Information. ,34,<error>,<error>
"""Non-Personal Information"" is information","""Non-Personal Information"" is information",100.0,3971,sub,"""Non-Personal Information"" is information",41,<error>,<error>
"that does not identify you or any other individual, and includes Session and","that does not identify you or any other individual, and includes Session and",100.0,4013,sub,"that does not identify you or any other individual, and includes Session and",76,<error>,<error>
"Usage Data, Log Data and Aggregate Information, each as described below.","Usage Data, Log Data and Aggregate Information, each as described below.",100.0,4090,sub,"Usage Data, Log Data and Aggregate Information, each as described below.",72,<error>,<error>
Session and Usage Data.,Session and Usage Data.,100.0,4163,sub,Session and Usage Data.,23,<error>,<error>
"""Session and Usage Data"" is information about your use of an Application, the","""Session and Usage Data"" is information about your use of an Application, the",100.0,4187,sub,"""Session and Usage Data"" is information about your use of an Application, the",77,<error>,<error>
"Services and/or the Site and includes, without limitation, connection and","Services and/or the Site and includes, without limitation, connection and",100.0,4265,sub,"Services and/or the Site and includes, without limitation, connection and",73,<error>,<error>
"service-related data submitted to us through your use of an Application, the","service-related data submitted to us through your use of an Application, the",100.0,4339,sub,"service-related data submitted to us through your use of an Application, the",76,<error>,<error>
Services or the Site.,Services or the Site.,100.0,4416,sub,Services or the Site. ,22,<error>,<error>
Session and Usage Data includes information relating to,Session and Usage Data includes information relating to,100.0,4438,sub,Session and Usage Data includes information relating to,55,<error>,<error>
"the connection request, server communication and data sharing, including","the connection request, server communication and data sharing, including",100.0,4494,sub,"the connection request, server communication and data sharing, including",72,<error>,<error>
"network measurements, quality of service, and date, time and location of","network measurements, quality of service, and date, time and location of",100.0,4567,sub,"network measurements, quality of service, and date, time and location of",72,<error>,<error>
the bump.,the bump.,100.0,4640,sub,the bump. ,10,<error>,<error>
We also may aggregate Session and Usage data as described in,We also may aggregate Session and Usage data as described in,100.0,4650,sub,We also may aggregate Session and Usage data as described in,60,<first>,<error>
Aggregate Information below.,Aggregate Information below.,100.0,4711,sub,Aggregate Information below. ,29,<error>,<error>
Please note that Session and Usage Data does not,Please note that Session and Usage Data does not,100.0,4740,sub,Please note that Session and Usage Data does not,48,<error>,<error>
include any Personal Information nor does it include Content you may transmit,include any Personal Information nor does it include Content you may transmit,100.0,4789,sub,include any Personal Information nor does it include Content you may transmit,77,<error>,<error>
"or share through the use of an Application (such as photos, contacts, calendar","or share through the use of an Application (such as photos, contacts, calendar",100.0,4867,sub,"or share through the use of an Application (such as photos, contacts, calendar",78,<error>,<error>
"appointments, etc.), the Services, or the Site.","appointments, etc.), the Services, or the Site.",100.0,4946,sub,"appointments, etc.), the Services, or the Site.",47,<error>,<error>
Log Data.,Log Data.,100.0,4994,sub,Log Data.,9,<error>,<error>
When you interact,When you interact,100.0,5004,sub,When you interact,17,<error>,<error>
"with us or use an Application, the Services or our Site, our systems may","with us or use an Application, the Services or our Site, our systems may",100.0,5022,sub,"with us or use an Application, the Services or our Site, our systems may",72,<error>,<error>
"automatically collect your unique User Device number, the IP address, type of","automatically collect your unique User Device number, the IP address, type of",100.0,5095,sub,"automatically collect your unique User Device number, the IP address, type of",77,<error>,<error>
"browser or operating system you use, and the dates and times of your use (""Log","browser or operating system you use, and the dates and times of your use (""Log",100.0,5173,sub,"browser or operating system you use, and the dates and times of your use (""Log",78,<error>,<error>
"Data"").","Data"").",100.0,5252,sub,"Data"").",7,<error>,<error>
Aggregate Information.,Aggregate Information.,100.0,5260,sub,Aggregate Information.,22,<error>,<error>
"""Aggregate Information"" is data we collect about a group or category of","""Aggregate Information"" is data we collect about a group or category of",100.0,5283,sub,"""Aggregate Information"" is data we collect about a group or category of",71,<error>,<error>
services or Users from which individual User identities have been removed.,services or Users from which individual User identities have been removed.,100.0,5355,sub,services or Users from which ,29,<error>,<error>
In,in,100.0,5384,sub,individual User identities have been removed. In,48,<error>,<error>
"other words, information on how you use the Applications, the Services and the","other words, information on how you use the Applications, the Services and the",100.0,5433,sub,"other words, information on how you use the Applications, the Services and the",78,<error>,<error>
Site may be collected and combined with information about how others use the,Site may be collected and combined with information about how others use the,100.0,5512,sub,Site may be collected and combined with information about how others use the,76,<error>,<error>
"Applications, the Services and the Site, but no personally identifiable","Applications, the Services and the Site, but no personally identifiable",100.0,5589,sub,"Applications, the Services and the Site, but no personally identifiable",71,<error>,<error>
information will be included in the resulting Aggregate Information.,information will be included in the resulting Aggregate Information.,100.0,5661,sub,information will be included in the resulting Aggregate Information. ,69,<error>,<error>
Aggregate Information helps us understand trends in our Users' needs so that we can,"Aggregate
Information helps us understand trends in our Users' needs so that we can",98.79518072289156,5730,sub,AggregateInformation helps us understand trends in our Users' needs so that we can,82,<error>,<error>
"better consider new features or otherwise tailor the Applications, the Services","better consider new features or otherwise tailor the Applications, the Services",100.0,5814,sub,"better consider new features or otherwise tailor the Applications, the Services",79,<error>,<error>
and the Site.,and the Site.,100.0,5894,sub,and the Site.,13,<error>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"2. HOW WE USE YOUR INFORMATIONPersonal Information.Sincewe do not collect Personal Information, we may not use your PersonalInformation in any way.Non-Personal Information.Wemay use Non-Personal Information for any purpose, including for our owninternal purposes; to measure traffic patterns; to understand demographics,customer interest, and other trends among our Users; to provide, improve andmodify the Applications, Services and the Site; and for promotion and marketing",475,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"purposes. We do not combine Non-Personal Information with Personal Information(such as combining your name with your unique User Device number).3. HOW YOUR INFORMATION MAY BE DISCLOSEDPersonal Information.Ingeneral, we use Session and Usage Data internally to serve our Users and enablethem to take maximum advantage of the Applications, the Services and the Site.We do not store Personal Information and therefore we do not disclose yourPersonal Information:Non-Personal Information.We",486,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"may disclose Non-Personal Information for any purpose. We do not combineNon-Personal Information with Personal Information4. THIRD-PARTY SITESIn general, the Applications, the Services and the Siteaccess third party information (such as your Facebook account information)through application interfaces. We may provide links to third-party Web sites,such as Facebook, as a service to our Users. The Site may also carryadvertisements from other companies. When you click on links of third parties",494,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"in an Application, the Services or the Site, you may leave the Application, theServices or the Site. Some of these third party sites may be co-branded withour name/logo or our affiliated entity's name/logo, even though they are notoperated or maintained by us. This Policy does not address, and we are notresponsible for, the privacy practices of Web sites operated by third parties,whether they are linked to or otherwise accessible from an Application, the",458,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"Services or the Site. The inclusion of a link or accessibility of third partyWeb sites does not imply endorsement of such third party Web site by us.Althoughwe don't collect any Personal Information,theApplications, the Services and the Siteuse third partyservices, which may do so. These services are:Â·Flurry. Their privacy policycan be found here:http://www.flurry.com/privacy-policy.html. Userscan opt-out here:http://www.flurry.com/user-opt-out.html.Â·Google Admob. Their privacypolicy can be found here:",509,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"http://www.admob.com/home/privacy.Â·Millennial Media. Their privacypolicy can be found here:http://www.millennialmedia.com/privacy-policy/.Users can opt-out here:http://lp.mydas.mobi/rich/foundation/opt-out.php.This Policy only covers our collection, use and disclosureof your information through the Applications, the Services and the Site. Itdoes not cover any collection, use or disclosure by third parties through anyapplications, Web sites, products or services that we do not control or own,",497,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"such as Facebook, or any third party features or services made available via anApplication, the Services or the Site. We shall not be liable for thecollection, use and disclosure of your Personal Information by any thirdparties.5. USERS WITH WHOM YOU SHARE YOUR INFORMATIONWe cannot control the actions of other Users with whom youshare your information. We cannot, and do not, control the information youshare with other Users using an Application, the Services or the Site",474,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"(including via Forums) or how such other Users will use or share suchinformation. We are not responsible for third party circumvention of oursecurity measures.6. CHOICES ABOUT YOUR PERSONAL INFORMATIONOpting Out of Marketing-Related Communications.You may opt out from receiving marketing-related emails, texts,phone messages or other communications from us on a going-forward basis bycontacting us atprivacy@tinyflashlight.com.We will try to comply with your opt-out request as soon as",486,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"reasonably practicable. Please note that if you opt out as described above,this will apply to marketing messages from us only. We will not be able toremove your Personal Information from the database of any other Users you haveshared such information. Please also note that if you do opt-out of receivingmarketing-related messages from us, we may still send you importantadministrative messages, and you cannot opt-out from receiving administrativemessages.",457,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"Accessing, Changing or Suppressing Your Personal Information.If you would like to review, correct, update, suppress, delete orotherwise limit our use of your Personal Information that has been previouslyprovided to us, you may contact us atprivacy@tinyflashlight.com. In your request, please make clear what information you would liketo have changed, or otherwise let us know what limitations you would like toput on our use of your information. We will try to comply with your request as",488,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"soon as and to the extent reasonably practicable. Again, we cannot remove yourPersonal Information from the database of any other Users you have shared suchinformation.If you have questions about your Personal Information,please contact us atprivacy@tinyflashlight.com.7. SECURITYTiny Flashlight is very concerned about safeguarding theconfidentiality of your information. We do not collect Personal Information,and we employ administrative, physical and electronic measures designed to",486,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"protect your Non-Personal Information from unauthorized access and use. Pleasebe aware that no security measures that we take to protect your information isabsolutely guaranteed to avoid unauthorized access or use of your Non-PersonalInformation or is impenetrable.8. OUR POLICY TOWARD CHILDREN UNDER 13 YEARS OF AGEThe Services are not directed to children under 13 years ofage. If you become aware that your child under 13 has provided us with personalinformation without your consent, please contact us at",508,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"privacy@tinyflashlight.com. We do not knowingly collect Personal Information from childrenunder 13. If we become aware that a child under 13 has provided us with PersonalInformation, we take steps to remove such information and terminate the child'saccount. By using any Application, the Services or the Site, you arerepresenting to us that you are not under the age of 13. If you are under 13years of age, you are not authorized to use any of the Applications and must",469,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"immediately delete it from your User Devices. We recommend that minors, who are13 years old but under 18 years old, ask their parents or legal guardians forpermission before sending any information about themselves to us or anyoneelse, whether by using an Application, the Services or the Site.9. INTERNATIONAL USERSYour Personal Information may be stored and processed inany country where we have facilities, and by using an Application, the Services",451,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"or the Site you consent to the transfer of your Personal Information tocountries, including the United States, which may be outside of your country ofresidence and may provide for different and less stringent data protectionrules than in your country. If you object to your Personal Information beingtransferred or used as described in this Policy, please do not use anyApplication, the Services or the Site and immediately delete all Applicationsfrom your User Devices.10. CALIFORNIA RESIDENTS",494,<generic>,<error>
2. HOW WE USE YOUR INFORMATION,2. HOW WE USE YOUR INFORMATION,100.0,5908,main,"We do not disclose your Personal Information to thirdparties for the third parties' direct marketing purposes, unless you firstaffirmatively agree to that disclosure.California Civil Code Section 1798.83 permits user who areCalifornia residents to request certain information regarding disclosure ofPersonal Information to third parties for their direct marketing purposes. Ifyou would like more information with respect to your privacy rights under",449,<generic>,<error>
