decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Heart Photo Effect Video Maker with MusicSearch this siteSkip to main contentSkip to navigationHeart Photo Effect Video Maker with MusicHeart Photo Effect Video Maker with MusicTerms & ConditionsThis page is used to inform visitors regarding our policies with the collection, use, and disclosure of Personal Information if anyone decided to use our Service.",357,<error>,<error>
,,-1.0,0,,"If you choose to use our Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that we collect is used for providing and improving the Service. We will not use or share your information with anyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible atHeart Photo Effect Video Maker with Music",461,<error>,<error>
,,-1.0,0,,Privacy unless otherwise defined in this Privacy Policy. ,57,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,886,main,Information Collection and Use,30,<generic>,<error>
"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information.","For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information.",100.0,917,sub,"For a better experience, while using our Service, we may require you to provide us with certain personally identifiable information. ",133,<first>,<error>
The information that we request will be retained by us and used as described in this privacy policy.,The information that we request will be retained by us and used as described in this privacy policy.,100.0,1050,sub,The information that we request will be retained by us and used as described in this privacy policy.,100,<first>,<error>
The app does use third party services that may collect information used to identify you.,The app does use third party services that may collect information used to identify you.,100.0,1151,sub,The app does use third party services that may collect information used to identify you.,88,<third>,<error>
Link to privacy policy of third party service providers used by the app,Link to privacy policy of third party service providers used by the app,100.0,1240,sub,Link to privacy policy of third party ,38,<error>,<error>
Service Providers,service providers,100.0,1278,main,service providers used by the appGoogle Play ServicesAdMob,58,<Link to privacy policy of third party service providers used by the app>,<error>
Service Providers,service providers,100.0,1278,main,"We want to inform you that whenever you use our Service, in a case of an error in the app we collect data and information (through third party products) on your phone called Log Data. This Log Data may include information such as your device Internet Protocol (â€œIPâ€) address, device name, operating system version, the configuration of the app when utilizing our Service, the time and date of your use of the Service, and other statistics. We also collect the currently installed packages in the device for the solely purpose of checking if the device is a trusted device or not, using our proprietary algorithms in our servers.",632,<Link to privacy policy of third party service providers used by the app>,<error>
Service Providers,service providers,100.0,1278,main,Service Providers,17,<Link to privacy policy of third party service providers used by the app>,<error>
We may employ third-party companies and individuals due to the following reasons:,We may employ third-party companies and individuals due to the following reasons:,100.0,1990,sub,We may employ third-party companies and individuals due to the following reasons:,81,<third>,<error>
To facilitate our Service;,To facilitate our Service;,100.0,2072,sub,To facilitate our Service;,26,<error>,<error>
To provide the Service on our behalf;,To provide the Service on our behalf;,100.0,2099,sub,To provide the Service on our behalf;,37,<error>,<error>
To perform Service-related services;,To perform Service-related services;,100.0,2137,sub,To perform Service-related services;,36,<error>,<error>
To assist us in analyzing how our Service is used.,To assist us in analyzing how our Service is used.,100.0,2174,sub,"To assist us in analyzing how our Service is used.We want to inform users of this Service that these third parties have access to your Personal Information. The reason is to perform the tasks assigned to them on our behalf. However, they are obligated not to disclose or use the information for any other purpose.",313,<error>,<error>
Cookies,Cookies,100.0,2489,main,Cookies,7,<tracking>,<error>
Cookies are files with small amount of data that is commonly used an anonymous unique identifier.,Cookies are files with small amount of data that is commonly used an anonymous unique identifier.,100.0,2497,sub,Cookies are files with small amount of data that is commonly used an anonymous unique identifier. ,98,<tracking>,<error>
These are sent to your browser from the website that you visit and are stored on your device internal memory.,These are sent to your browser from the website that you visit and are stored on your device internal memory.,100.0,2595,sub,"These are sent to your browser from the website that you visit and are stored on your device internal memory.This Service does not use these ""cookies"" explicitly. However, the app may use third party code and libraries that use ""cookies"" to collection information and to improve their services. You have the option to either accept or refuse these cookies and know when a cookie is being sent to your device. If you choose to refuse our cookies, you may not be able to use some portions of this Service.",503,<tracking>,<error>
Third Party Disclosure,Third Party Disclosure,100.0,3100,main,Third Party Disclosure,22,<third>,<error>
"No, We do not sell, trade, or otherwise transfer to outside parties users personally identifiable information","No, We do not sell, trade, or otherwise transfer to outside parties users personally identifiable information",100.0,3123,sub,"No, We do not sell, trade, or otherwise transfer to outside parties users personally identifiable information ",110,<not>,<error>
Your Choices Regarding Your Information,Your Choices Regarding Your Information,100.0,3233,main,Your Choices Regarding Your Information,39,<choice>,<error>
Online Advertising and Tracking.,Online Advertising and Tracking.,100.0,3273,sub,Online Advertising and Tracking. ,33,<tracking>,<error>
"We permit third parties, such as ad networks and analytics providers, to collect information about your use of our website over time, in order that they may display ads that may be relevant to your interests or provide us with enhanced demographic and analytic information about our users.","We permit third parties, such as ad networks and analytics providers, to collect information about your use of our website over time, in order that they may display ads that may be relevant to your interests or provide us with enhanced demographic and analytic information about our users.",100.0,3306,sub,"We permit third parties, such as ad networks and analytics providers, to collect information about your use of our website over time, in order that they may display ads that may be relevant to your interests or provide us with enhanced demographic and analytic information about our users. ",290,<tracking>,<error>
"Typically, the information we share with third party providers is provided through cookies or similar tracking technologies.","Typically, the information we share with third party providers is provided through cookies or similar tracking technologies.",100.0,3596,sub,"Typically, the information we share with third party providers is provided through cookies or similar tracking technologies. The only way to completely â€œopt outâ€ of the collection of any information through cookies or other tracking technology is to actively manage the settings on your browser or mobile device. Please refer to your browserâ€™s or mobile deviceâ€™s technical information for instructions on how to delete and disable cookies, and other tracking/recording tools.",483,<tracking>,<error>
Security And Storage Of Information,Security And Storage Of Information,100.0,4080,main,Security And Storage Of Information,35,<security>,<error>
GameField,GameField,100.0,4116,sub,GameField,9,<error>,<error>
"cares about the security of your information and uses commercially reasonable physical, administrative, and technological safeguards to preserve the integrity and security of all information we collect and that we share with our service providers.","cares about the security of your information and uses commercially reasonable physical, administrative, and technological safeguards to preserve the integrity and security of all information we collect and that we share with our service providers.",100.0,4126,sub,"cares about the security of your information and uses commercially reasonable physical, administrative, and technological safeguards to preserve the integrity and security of all information we collect and that we share with our service providers. ",248,<security>,<error>
"However, no security system is impenetrable and we cannot guarantee the security of our systems 100%.","However, no security system is impenetrable and we cannot guarantee the security of our systems 100%.",100.0,4374,sub,"However, no security system is impenetrable and we cannot guarantee the security of our systems 100%. In the event that any information under our control is compromised as a result of a breach of security, we will take reasonable steps to investigate the situation and where appropriate, notify those individuals whose information may have been compromised and take other steps, in accordance with any applicable laws and regulations.",434,<security>,<error>
