decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,File Miner ,11,<error>,<error>
Privacy Policy,Privacy Policy,100.0,11,main,"Privacy PolicyPrivacy PolicyFile Miner Team built the File Miner app asa Free app. This SERVICE is provided byFile Miner Team at no cost and is intended for use asis.This page is used to inform visitors regarding mypolicies with the collection, use, and disclosure of PersonalInformation if anyone decided to use my Service.If you choose to use my Service, then you agree tothe collection and use of information in relation to thispolicy. The Personal Information that I collect is",481,<generic>,<error>
Privacy Policy,Privacy Policy,100.0,11,main,"used for providing and improving the Service. I will not use or share your information withanyone except as described in this Privacy Policy.The terms used in this Privacy Policy have the same meaningsas in our Terms and Conditions, which is accessible atFile Miner unless otherwise defined in this Privacy Policy.",314,<generic>,<error>
Information Collection and Use,Information Collection and Use,100.0,823,main,"Information Collection and UseFor a better experience, while using our Service, Imay require you to provide us with certain personallyidentifiable information. The information thatI request will be retained on your device and is not collected by me in any way.The app does use third party services that may collectinformation used to identify you.",347,<first>,<what>
Link to privacy policy of third party service providers used by the app,"Link to privacy policy of third party service providers used
by the app",98.59154929577466,1177,main,Link to privacy policy of third party service providers usedby the app,70,<third>,<what>
Google Play Services,Google Play Services,100.0,1249,sub,Google Play Services,20,<third>,<what>
AdMob,AdMob,100.0,1270,sub,AdMob,5,<third>,<what>
Google Analytics for Firebase,Google Analytics for Firebase,100.0,1276,sub,Google Analytics for Firebase,29,<third>,<what>
Firebase Crashlytics,Firebase Crashlytics,100.0,1306,sub,Firebase Crashlytics,20,<third>,<what>
Facebook,Facebook,100.0,1327,sub,Facebook,8,<third>,<what>
Log Data,Log Data,100.0,1336,main,"Log DataI want to inform you that whenever youuse my Service, in a case of an error in the appI collect data and information (through third partyproducts) on your phone called Log Data. This Log Data mayinclude information such as your device Internet Protocol(“IP”) address, device name, operating system version, theconfiguration of the app when utilizing my Service,the time and date of your use of the Service, and otherstatistics.",435,<first>,<what>
Cookies,Cookies,100.0,1781,main,"CookiesCookies are files with a small amount of data that arecommonly used as anonymous unique identifiers. These are sentto your browser from the websites that you visit and arestored on your device's internal memory.This Service does not use these “cookies” explicitly. However,the app may use third party code and libraries that use“cookies” to collect information and improve their services.You have the option to either accept or refuse these cookies",455,<tracking>,<what>
Cookies,Cookies,100.0,1781,main,"and know when a cookie is being sent to your device. If youchoose to refuse our cookies, you may not be able to use someportions of this Service.",145,<tracking>,<what>
Service Providers,Service Providers,100.0,2393,main,"Service ProvidersI may employ third-party companies andindividuals due to the following reasons:To facilitate our Service;To provide the Service on our behalf;To perform Service-related services; orTo assist us in analyzing how our Service is used.I want to inform users of this Servicethat these third parties have access to your PersonalInformation. The reason is to perform the tasks assigned tothem on our behalf. However, they are obligated not todisclose or use the information for any other purpose.",506,<third>,<what>
Security,Security,100.0,2911,main,"SecurityI value your trust in providing us yourPersonal Information, thus we are striving to use commerciallyacceptable means of protecting it. But remember that no methodof transmission over the internet, or method of electronicstorage is 100% secure and reliable, and I cannotguarantee its absolute security.",310,<security>,<why>
Links to Other Sites,Links to Other Sites,100.0,3228,main,"Links to Other SitesThis Service may contain links to other sites. If you click ona third-party link, you will be directed to that site. Notethat these external sites are not operated by me.Therefore, I strongly advise you to review thePrivacy Policy of these websites. I haveno control over and assume no responsibility for the content,privacy policies, or practices of any third-party sites orservices.",404,<generic>,<how-used>
Children’s Privacy,Children’s Privacy,100.0,3641,main,"Children’s PrivacyThese Services do not address anyone under the age of 13.I do not knowingly collect personallyidentifiable information from children under 13 years of age. In the caseI discover that a child under 13 has providedme with personal information, I immediatelydelete this from our servers. If you are a parent or guardianand you are aware that your child has provided us withpersonal information, please contact me so thatI will be able to do necessary actions.",474,<audience>,<when>
Changes to This Privacy Policy,Changes to This Privacy Policy,100.0,4125,main,"Changes to This Privacy PolicyI may update our Privacy Policy fromtime to time. Thus, you are advised to review this pageperiodically for any changes. I willnotify you of any changes by posting the new Privacy Policy onthis page.This policy is effective as of 2022-06-02",270,<change>,<other>
Contact Us,Contact Us,100.0,4402,main,"Contact UsIf you have any questions or suggestions about myPrivacy Policy, do not hesitate to contact me at[email protected].",125,<contact>,<how-gathered>
