decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
Privacy,Privacy,100.0,0,main,Privacy,7,<error>,<error>
Policy,Policy,100.0,8,main,Policy,6,<error>,<error>
This,This,100.0,15,main,This,4,<error>,<error>
Privacy Policy,Privacy Policy,100.0,20,sub,"Privacy Policy (""Policy"") describes what data are collectedbyJoyRide(the ""Company,"" “we,” “us,” and “our”) and howthe information is used and shared by the Company, its subsidiariesand affiliated companies.  Defined terms used here shall bearthe same meaning as defined in our Terms and Conditions of Use,unless otherwise stated.Asa condition for use of our service, you are consenting to this Policyand the ",408,<generic>,<error>
Collection,collection,100.0,438,main,"collection, use, access, transfer, storage and processing ofyour Personal Data as described in this Policy.  Personal Data simplymeans any information or data that can be used to distinguish,identify or contact you.  Our privacy policy values and protects yourpersonal data under the Data Privacy Act of 2012 and the laws of thePhilippines and is in compliance with leading global practices andregulations around data privacy and protection.Collection	",452,<error>,<error>
of Personal Data,of Personal Data,100.0,898,sub,"of Personal Data""PersonalData"" or “Personal Information” shall refer to anyinformation which identifies you, including but not limited to: yourname, LTO-issued driver's license number, NBI clearance number,government issued identification card number, nationality, address,mobile number, telephone number, email address, credit card details,debit card details, race, gender, date of birth, marital status,educational background, financial background, personal interests,",470,<error>,<error>
of Personal Data,of Personal Data,100.0,898,sub,"your occupation, designation and the organization your work inincluding its industry, and any other relevant information about youwhich you may have provided to the Company in registration orapplication forms in whatever format, and/or any other relevantinformation about you that has been stored, collected, used andprocessed by the Company which may include sensitive information suchas relating to your health, religion, political views, and devicelocation while accessing the application.The",495,<error>,<error>
of Personal Data,of Personal Data,100.0,898,sub,"provision of your Personal Data is voluntary.  However, if you do notprovide the Company your Personal Data, the Company will not be ableto process your Personal Data for the following ",185,<error>,<error>
Purposes,purposes,100.0,2068,main,"purposes:To	provide you access to the Company's services and to validate your	bookings;To	improve the overall user experience when using the application from	data collected based on your individual needs;To	improve customer service by allowing us to respond to your support	needs more efficiently;To	send you alerts, updates, greetings from the Company;To	notify and invite you to events organized by the Company;To	improve our website and social media channels based on your",475,<error>,<error>
Purposes,purposes,100.0,2068,main,"	suggestions and continuous feedback; andTo	tailor our rewards and promos to better cater to your preferences.Ifyou are an agent, vendor, supplier or service provider, the provisionof your Personal Data is mandatory and failure to provide yourPersonal Data, may be a breach of laws or regulatory requirements andmay be cause for the Company to not engage your services or issuepayments for products or services provided.Youprovide us Personal Data directly when you:Create",472,<error>,<error>
Purposes,purposes,100.0,2068,main,"	an Account by filling out our online Signup Form through the Company	website or through the Company mobile application.Get	in touch with the Company to ask about something, file a complaint	or request for service;When	you apply for job with the Company.Inaddition to the Personal Data you provide to the Company directly asmentioned above, the Company may also collect your Personal Data froma variety of sources such as, but not limited to:Filling",449,<error>,<error>
Purposes,purposes,100.0,2068,main,"	up of application or registration forms or other similar forms from	other sources;From	publicly available sources such as directories;From	the Company’s social media pages, if you follow, like, subscribe	or are a fan of such pages;From	credit reporting agencies;When	you interact and communicate with the Company at any events or	activities;When	you enter into contests organized by the Company,From	various entities or divisions or affiliations of the Company; orBy	using theCompany’swebsitewherepersonal",506,<error>,<error>
Purposes,purposes,100.0,2068,main,"	data may also be collected from cookies used on theCompany’s	websites.Weimplement a variety of security measures to safeguard your PersonalData and your information, whether public or private will not besold, exchanged, transferred, or given to any other company for anyreason whatsoever without your consent. Third party vendors likeGoogle, however, use cookies to serve ads on our site. If you are aparent or a legal guardian, please do not allow a minor (individuals",470,<error>,<error>
Purposes,purposes,100.0,2068,main,"under 18 years of age) under your care to submit Personal Data to theCompany. In the event that such Personal Data is provided to theCompany, you hereby consent to the processing of the minor's PersonalData and personally accept and agree to be bound by this Notice andtake responsibility for his or her actions.Purposes	",321,<error>,<error>
of Processing,of Processing,100.0,4839,sub,"of ProcessingTheCompany may use and process your Personal Data for business andactivities of the Company which shall include, but not limited to thefollowing purposes (“Purposes”):As	a customer:To	provide services to you;To	perform any obligation with respect to any contract entered into	with you;To	process your subscriptions and to deliver the services to you;Where	you have requested to download and use the Company’s application,	to process your request, to deliver the application to you and to",500,<error>,<error>
of Processing,of Processing,100.0,4839,sub,"	provide you a license for the use of the application;To	process your participation in any events, activities, focus groups,	research studies, contests, promotions, polls, surveys or any	productions; to process, manage or verify your application for	subscription the Company and to provide you the benefits offered to	subscribers;To	validate your bookings and process payments relating to any products	or services you have requested;To	process exchanges or product returns;As",475,<error>,<error>
