decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,BigFans StudioBigFans StudioGoogle PlayContactDeck Advisor for CR: ,67,<error>,<error>
Privacy Policy,Privacy Policy,100.0,71,main,"Privacy PolicyThe fact that you are reading this shows that privacy issues are becoming a growing concern among mobile app users. Therefore, we feel that it is our duty to disclose the way we handle any data that may be collected while you are using Deck Advisor for CR(""Application""). By using the Application, you are deemed to have read and agreed to our privacy policy as described here.",391,<generic>,<error>
Advertising,Advertising,100.0,464,main,Advertising,11,<generic>,<error>
Advertising allows us to provide our content free of charge,Advertising allows us to provide our content free of charge,100.0,476,sub,Advertising allows us to provide our content free of charge. ,61,<error>,<error>
We may place banner ads and full-screen ads within the Application at places where we deem unobstrusive,We may place banner ads and full-screen ads within the Application at places where we deem unobstrusive,100.0,537,sub,We may place banner ads and full-screen ads within the Application at places where we deem unobstrusive. ,105,<first>,<error>
We partner with Google Admob and Facebook Audience Network to deliver advertising contents,We partner with Google Admob and Facebook Audience Network to deliver advertising contents,100.0,642,sub,We partner with Google Admob and Facebook Audience Network to deliver advertising contents. ,92,<third>,<error>
"In order for advertisers to reach their audience effectively, cookies may be used","In order for advertisers to reach their audience effectively, cookies may be used",100.0,734,sub,"In order for advertisers to reach their audience effectively, cookies may be used. It is possible to opt out from personalized ads. ",132,<third>,<error>
"To understand more, please refer to","To understand more, please refer to",100.0,866,sub,"To understand more, please refer toGoogle's Privacy Policy on AdvertisingandFacebook Privacy Settings.",102,<error>,<error>
Changes,Changes,100.0,973,main,Changes,7,<error>,<error>
We may change this Privacy Policy at any time,We may change this Privacy Policy at any time,100.0,981,sub,We may change this Privacy Policy at any time. ,47,<change>,<error>
The most recent version of the Privacy Policy is reflected by the version date located at the bottom of this Privacy Policy,The most recent version of the Privacy Policy is reflected by the version date located at the bottom of this Privacy Policy,100.0,1028,sub,The most recent version of the Privacy Policy is reflected by the version date located at the bottom of this Privacy Policy.,124,<error>,<error>
Contact us,Contact us,100.0,1153,main,Contact us,10,<error>,<error>
"If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email at big.fans.studio@gmail.com","If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email at big.fans.studio@gmail.com",100.0,1164,sub,"If you have any questions regarding privacy while using the Application, or have questions about our practices, please contact us via email at big.fans.studio@gmail.com.Updated March 10th, 2017Great BigFans Apps are delivered to your mobiles for free!",251,<contact>,<error>
