decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Master Recorder Privacy PolicyEffective Date: 03/03/2021Please carefully read this Privacy Policy ( the “Policy”), whichexplains the categories of personal information that Videoeditorstudio (""Master Recorder,"" ""we""""us"" or ""our"") collects when you (the “User” or “You”), asthe user of our Master Recorder video creation tools through itswebsite (the “Website”) and its mobile application (the “Application”)(collectively, the Website and Application are the ""Services""), how",474,<error>,<error>
,,-1.0,0,,"that information is used, with whom it may be shared, and your privacy choices.1. ",82,<error>,<error>
Data Controller and Representative,Data controller and representative,100.0,566,main,"Data controller and representativeThe Data Controller for the Master Recorder Services isVideoeditorstudio. You can contact the Data Controller by emailingvideoeditorstudio@gmail.com2.Data Collection and Processing by Master RecorderWhen the User visits our Website, purchases an Application orService, whether through the Website, within the Application, or through athird party app store, or uses the Application or Service, MasterRecorder may collect and use personal data as follows:(1)",490,<generic>,<what>
Data Controller and Representative,Data controller and representative,100.0,566,main,"Personal data collectedMaster Recorder collects the following categories of personaldata, which may be collected from you, through the collection forms in theordering process or other processes.①Information you provide to us.We may ask that you provide certain information to us when you setup an account or profile on the Website, order the Application or contact usthrough the Website or Application for information or support. This informationmay include your email address, account name, or other personal",509,<generic>,<what>
Data Controller and Representative,Data controller and representative,100.0,566,main,"identifier, order information, purchase-token, the products youpurchase, date and amount of the order, expires date,currency code,countrycode;②Information we automatically collect when you visit our Website.This information may include your IP address (or other uniquedevice identifier, including one that we may assign); certain details aboutyour browser, operating system, and hardware; your location, if available; theURL that referred you to our Website; your activities on our Website, including",500,<generic>,<what>
Data Controller and Representative,Data controller and representative,100.0,566,main,"your preferences; and other logging information, such as the date and time ofyour visit. We also use web server logs to collect and store information aboutService usage. If applicable, when you visit our Website from a mobile device,like a smartphone, we may also collect additional information from your device,including your location, device identifier, and information about your mobilenetwork.③Information we get from your use of our products.",447,<generic>,<what>
Data Controller and Representative,Data controller and representative,100.0,566,main,"We collect information about the products that you use and how youuse them and your local device information, including but not limited to yourdevice information (e.g. phone model and brand), operating system (systemversion, ID, and language), IP address, operating, log information (accesstime、usage time、clickoperation, crash reports).④Third parties may use tracking technologies in connection with ourService, which may include the collection of information about your online",478,<generic>,<what>
Data Controller and Representative,Data controller and representative,100.0,566,main,"activities over time and across thirdparty websites.This Policy does not apply to these third party technologiesbecause we may not control them and we are not responsible for them. Do NotTrack is a technology that enables users to opt out of tracking by websitesthey do not visit. Currently, we do not monitor or take any action with respectto Do Not Track technology.3. ",371,<generic>,<what>
Purpose and legal basis of the processing,Purpose and legal basis of the processing,100.0,3419,main,"Purpose and legal basis of the processingMaster Recorder uses the information we collect about you forthe following purposes:(1)Identificationand authentication: We use your data to verify you when you access youraccount（if available）for the Services.(2)Operatingour services: We use your data to provide our Services, process andfulfill orders, provide customer support, and to otherwise comply with ourcontractual obligations to you. We (and/or our third party vendors) use",475,<generic>,<what>
Purpose and legal basis of the processing,Purpose and legal basis of the processing,100.0,3419,main,"your financial information to process purchases made by you.(3)Communicatingwith you: We use your data when we communicate with you (e.g., when werespond to a customer support or other inquiry).(4)Improvingour services: We use your data to understand how our services are beingused and how we can improve them. In general, we analyze aggregated data,rather than specific user data. We may, however, need to analyze a specificcase to address a specific problem (e.g., a bug that affects only a fewaccounts).(5)",509,<generic>,<what>
Purpose and legal basis of the processing,Purpose and legal basis of the processing,100.0,3419,main,"Marketingand advertising: We use your data to show you ads on third party sitesand to send you offers. We may also use your data in deliveringthird party advertisements to you. This may include ""targetedads"" based upon your activities.(6)Exercisingour rights: Where reasonably necessary, we use your data to exercise ourlegal rights and prevent abuse of our service. For example, we may use yourdata to detect and prevent fraud, spam, or content that violates our Terms ofService.(7)Legal",488,<generic>,<what>
