decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,"Privacy PolicyThis agreement was written in English (US). To the extentany translated version of this agreement conflicts with the English version,the English version controls.This Statement is an agreement between you and Mobile Idea Studio. References to “Mobile Idea”, “us,” “we,” and “our” mean Mobile Idea Studio, as appropriate.Date of Last Revision: Oct. 12, 2016",370,<error>,<error>
WHY WE’RE SHARING THIS PRIVACY POLICY WITH YOU,"WHY WE’RE
SHARING THIS PRIVACY POLICY WITH YOU",97.82608695652173,376,main,WHY WE’RESHARING THIS PRIVACY POLICY WITH YOU,45,<generic>,<error>
Protecting the privacy of your financial information is important to us.,"Protecting the privacy of your financial
information is important to us.",98.61111111111111,423,sub,Protecting the privacy of your financialinformation is important to us.,71,<generic>,<why>
Mobile Idea Payments wants to be open and transparent about how your personal information is collected and the limited way it’s used.,"Mobile Idea Payments
wants to be open and transparent about how your personal information is
collected and the limited way it’s used.",98.49624060150376,496,sub,Mobile Idea Paymentswants to be open and transparent about how your personal information iscollected and the limited way it’s used.,131,<generic>,<error>
We’re committed to keeping your non-public personal financial information confidential.,"We’re committed to keeping your non-public
personal financial information confidential.",98.85057471264368,630,sub,"We’re committed to keeping your non-publicpersonal financial information confidential. This information includes yourcredit card or other payment method information. From here on, we’ll just callthis “Personal Information” for the sake of space.We may need to share your Personal Informationunder certain circumstances: so we can offer you the best service possible, torun our business, or to comply with legal requests. We’ll go into more detailabout these circumstances later in the document.",494,<generic>,<error>
We’re committed to keeping your non-public personal financial information confidential.,"We’re committed to keeping your non-public
personal financial information confidential.",98.85057471264368,630,sub,"*Please read this Privacy Policy. It’ll helpyou understand what information we share, what we don’t share, and how to keepyour information safe.*Mobile Idea Payments is a separate department inMobile Idea Studio. Mobile Idea Payment will not share your Personal Information withanyone, including other departments in Mobile Idea Studio. or other affiliated companies,except at times which we’ll describe later in this Policy.Mobile Idea Payments only receives limited",467,<generic>,<error>
We’re committed to keeping your non-public personal financial information confidential.,"We’re committed to keeping your non-public
personal financial information confidential.",98.85057471264368,630,sub,"Personal Information from you -- specifically, your credit card numbers andother payment method information.",108,<generic>,<error>
HOW WE USE YOUR INFO,"HOW WE USE
YOUR INFO",95.0,1717,main,"HOW WE USEYOUR INFOWhen you give your Personal Information toMobile Idea Payments, we only use this information to help you make payments onthe Mobile Idea Studio website and platform.",184,<first>,<what>
HOW WE SHARE YOUR INFO,"HOW WE
SHARE YOUR INFO",95.45454545454545,1906,main,HOW WESHARE YOUR INFOMobile Idea Paymen,39,<third>,<what>
We won’t share your Personal Information with anyone for marketing purposes without your explicit consent.,"ts won’t share your Personal
Information with anyone for marketing purposes without your explicit consent.",97.16981132075472,1947,sub,ts won’t share your PersonalInformation with anyone for marketing purposes without your explicit consent.,105,<first>,<why>
We won’t sell or rent your Personal Information to anyone outside of Mobile Idea Payment.,"We won’t sell or rent your Personal Information
to anyone outside of Mobile Idea Payment.",98.87640449438202,2054,sub,"We won’t sell or rent your Personal Informationto anyone outside of Mobile Idea Payment. We’ll only give this info when it’sneeded to process your payment, or if it’s a legal requirement, like inresponse to a subpoena or an independent audit. We require that anyone whoreceives this information will only use it for those purposes.",331,<first>,<why>
We may share your Personal Information with certain departments in Mobile Idea Studio.,"We may share your Personal Information with
certain departments in Mobile Idea Studio.",98.83720930232558,2390,sub,"We may share your Personal Information withcertain departments in Mobile Idea Studio. This will happen for specific reasons:·to process your payment;·for maintenance of your payment account; or·to detect, prevent, or otherwise addressfraud, security, or technical issues.",271,<error>,<why>
HOW TO ACCESS AND UPDATE YOUR PERSONAL INFORMATION,"HOW TO
ACCESS AND UPDATE YOUR PERSONAL INFORMATION",98.0,2670,main,HOW TOACCESS AND UPDATE YOUR PERSONAL INFORMATION,49,<access>,<how-gathered>
"You can view and update your Personal Information, including deleting credit cards or other payment methods, by going to the Payments Settings page in your Mobile Idea account settings.","You can view and update your Personal
Information, including deleting credit cards or other payment methods, by going
to the Payments Settings page in your Mobile Idea account settings.",98.91891891891892,2721,sub,"You can view and update your PersonalInformation, including deleting credit cards or other payment methods, by goingto the Payments Settings page in your Mobile Idea account settings.",183,<access>,<error>
"If you disable your Mobile Idea account, you won’t be able to access your Personal Information.","If you disable your Mobile Idea account, you
won’t be able to access your Personal Information.",98.94736842105263,2907,sub,"If you disable your Mobile Idea account, youwon’t be able to access your Personal Information. We keep some of it on filejust for legal reporting and auditing obligations. Mobile Idea Payments will notuse Personal Information associated with a disabled account for any reasonbesides meeting these obligations. We may delete records associated withdisabled accounts over time as permitted or required by law.",407,<error>,<other>
HOW WE KEEP YOUR PERSONAL INFORMATION SECURE,"HOW WE KEEP
YOUR PERSONAL INFORMATION SECURE",97.72727272727273,3320,main,HOW WE KEEPYOUR PERSONAL INFORMATION SECURE,43,<security>,<how-used>
"We take appropriate security measures to protect against unauthorized access and unauthorized changes, sharing, or destruction of your Personal Information.","We take appropriate security measures to
protect against unauthorized access and unauthorized changes, sharing, or
destruction of your Personal Information.",98.71794871794873,3365,sub,"We take appropriate security measures toprotect against unauthorized access and unauthorized changes, sharing, ordestruction of your Personal Information. These security measures includeinternal reviews of our data collection, storage and processing practices, andsecurity measures, as well as physical and technical security measures to guardagainst unauthorized access to systems where we store personal data. ",412,<security>,<error>
Mobile Idea Payments uses industry-leading encryption standards for your Personal Information.,"Mobile Idea
Payments uses industry-leading encryption standards for your Personal
Information.",97.87234042553192,3782,sub,"Mobile IdeaPayments uses industry-leading encryption standards for your PersonalInformation. For example, your credit card number will always be stored in anencrypted form.",172,<security>,<error>
The security of your account also depends on keeping your account password confidential.,"The security of your account also depends on
keeping your account password confidential.",98.86363636363636,3958,sub,"The security of your account also depends onkeeping your account password confidential.You should not share your account name or password with anyone.If you give your password to someone else (like a significant other, your boss,or a website), they will have access to your account and your PersonalInformation.",311,<security>,<error>
WHAT HAPPENS IF THIS POLICY CHANGES?,"WHAT
HAPPENS IF THIS POLICY CHANGES?",97.22222222222221,4275,main,WHATHAPPENS IF THIS POLICY CHANGES?,35,<change>,<when>
This privacy policy may change from time to time.,"This privacy policy may change from time to
time.",97.95918367346938,4312,sub,This privacy policy may change from time totime. ,49,<change>,<error>
We won’t reduce your rights under this policy without your explicit consent.,"We won’t reduce your rights under this policy without your explicit
consent.",98.68421052631578,4362,sub,"We won’t reduce your rights under this policy without your explicitconsent. We’ll post any policy changes on the Payments Privacy Policy Page, andif the changes are significant, we’ll email you or notify you on Mobile Idea Studio. Eachversion of this policy will be identified at the top of the page by itseffective date. We’ll also keep earlier versions of this privacy policy in anarchive where you can read them any time.FOR MOREINFORMATION",443,<change>,<other>
"For more information regarding this privacy policy or the Mobile Idea Payments privacy program, please contact us.","For more information regarding this privacy
policy or the Mobile Idea Payments privacy program, please contact us.",99.12280701754386,4813,sub,"For more information regarding this privacypolicy or the Mobile Idea Payments privacy program, please contact us. by postalmail at: Unit 603, 6F, Chow Sang Sang Building, 229 Nathan Road, Kowloon, HongKong.If you have a complaint, first contact theconsumer assistance division of Mobile Idea Studio: support@mobileideastudio.comMobile Idea Studio © 2017",353,<contact>,<error>
