decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
PRIVACY POLICY FOR MOBILE APPLICATIONS,PRIVACY POLICY FOR MOBILE APPLICATIONS,100.0,0,main,PRIVACY POLICY FOR MOBILE APPLICATIONSThis privacy policy governs your use of thesoftware application for mobile devices that was created byIngenioxapps,152,<generic>,<error>
What information does the Application obtain and how is it used?,"What information does the Application obtain and
how is it used?",98.4375,156,main,What information does the Application obtain andhow is it used?,63,<first>,<error>
Automatically Collected Information,Automatically Collected Information,100.0,221,sub,"Automatically Collected InformationIn addition, the Application may collect certaininformation automatically, including, but not limited to, the type of mobiledevice you use, your mobile devices unique device ID, the IP address of yourmobile device, your mobile operating system, the type of mobile Internetbrowsers you use, and information about the way you use the Application.",379,<first>,<error>
Does the Application collect precise real time location information of the device?,"Does the Application collect precise real time
location information of the device?",98.78048780487805,606,main,Does the Application collect precise real timelocation information of the device?This Application does not collect preciseinformation about the location of your mobile device.,175,<first>,<error>
Do third parties see and/or have access to information obtained by the Application?,"Do third parties see and/or have access to
information obtained by the Application?",98.79518072289156,785,main,"Do third parties see and/or have access toinformation obtained by the Application?Only aggregated, anonymized data is periodicallytransmitted to external services to help us improve the Application and ourservice. We will share your information with third parties only in the waysthat are described in this privacy statement.",325,<third>,<error>
We may disclose User Provided and Automatically Collected Information:,"We may disclose User Provided and Automatically
Collected Information:",98.57142857142858,1116,main,We may disclose User Provided and AutomaticallyCollected Information:·,70,<third>,<error>
"as required by law, such as to comply with a subpoena, or similar legal process;","as required
by law, such as to comply with a subpoena, or similar legal process;",98.75,1189,sub,"as requiredby law, such as to comply with a subpoena, or similar legal process;·",80,<error>,<error>
"when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request;","when we
believe in good faith that disclosure is necessary to protect our rights,
protect your safety or the safety of others, investigate fraud, or respond to a
government request;",98.34254143646409,1272,sub,"when webelieve in good faith that disclosure is necessary to protect our rights,protect your safety or the safety of others, investigate fraud, or respond to agovernment request;·",179,<error>,<error>
"with our trusted services providers who work on our behalf, do not have an independent use of the information we disclose to them, and have agreed to adhere to the rules set forth in this privacy statement;","
with our
trusted services providers who work on our behalf, do not have an independent
use of the information we disclose to them, and have agreed to adhere to the
rules set forth in this privacy statement",98.05825242718447,1455,sub,"with ourtrusted services providers who work on our behalf, do not have an independentuse of the information we disclose to them, and have agreed to adhere to therules set forth in this privacy statement.·",204,<error>,<error>
"If Ingenioxapps is involved in a merger, acquisition, or sale of all or a portion of its assets, you will be notified via email and/or a prominent notice on our Web site of any change in ownership or uses of this information, as well as any choices you may have regarding this information.","If
Ingenioxapps
is involved in a merger, acquisition,
or sale of all or a portion of its assets, you will be notified via email
and/or a prominent notice on our Web site of any change in ownership or uses of
this information, as well as any choices you may have regarding this
information.",97.92387543252595,1665,sub,"IfIngenioxappsis involved in a merger, acquisition,or sale of all or a portion of its assets, you will be notified via emailand/or a prominent notice on our Web site of any change in ownership or uses ofthis information, as well as any choices you may have regarding thisinformation.",283,<error>,<error>
What are my opt-out rights?,What are my opt-out rights?,100.0,1955,main,"What are my opt-out rights?You can stop all collection of information by theApplication easily by uninstalling the Application. You may use the standarduninstall processes as may be available as part of your mobile device or viathe mobile application marketplace or network. You can also request to opt-outvia email, atingenioxapps@gmail.com.",342,<choice>,<error>
"Data Retention Policy, Managing Your Information","Data Retention Policy, Managing Your Information",100.0,2305,main,"Data Retention Policy, Managing Your Information",48,<retention>,<error>
We will retain User Provided data for as long as you use the Application and for a reasonable time thereafter.,"We will retain User Provided data for as long as
you use the Application and for a reasonable time thereafter.",99.0909090909091,2354,sub,We will retain User Provided data for as long asyou use the Application and for a reasonable time thereafter. ,110,<error>,<error>
We will retain Automatically Collected information for up to 24 months and thereafter may store it in aggregate.,"We will retain
Automatically Collected information for up to 24 months and thereafter may
store it in aggregate.",98.21428571428571,2465,sub,"We will retainAutomatically Collected information for up to 24 months and thereafter maystore it in aggregate. If you’d like us to delete User Provided Data that youhave provided via the Application, please contact us at (tuemail) and we will respond in a reasonable time. Please note that some or allof the User Provided Data may be required in order for the Application tofunction properly.",392,<error>,<error>
Children,Children,100.0,2865,main,"ChildrenWe do not use the Application to knowingly solicitdata from or market to children under the age of 13. If a parent or guardianbecomes aware that his or her child has provided us with information withouttheir consent, he or she should contact us atingenioxapps@gmail.com. Wewill delete such information from our files within a reasonable time.",350,<audience>,<error>
Security,Security,100.0,3223,main,"SecurityWe are concerned about safeguarding theconfidentiality of your information. We provide physical, electronic, andprocedural safeguards to protect information we process and maintain. Forexample, we limit access to this information to authorized employees andcontractors who need to know that information in order to operate, develop orimprove our Application. Please be aware that, although we endeavor providereasonable security for information we process and maintain, no security system",496,<security>,<error>
Security,Security,100.0,3223,main,can prevent all potential security breaches.,44,<security>,<error>
Changes,Changes,100.0,3772,main,"ChangesThis Privacy Policy may be updated from time totime for any reason. We will notify you of any changes to our Privacy Policy byposting the new Privacy Policy here and informing you via email or text message.You are advised to consult this Privacy Policy regularly for any changes, ascontinued use is deemed approval of all changes. You can check the history ofthis policy by clicking here.",395,<change>,<error>
Your Consent,Your Consent,100.0,4174,main,"Your ConsentBy using the Application, you are consenting to ourprocessing of your information as set forth in this Privacy Policy now and asamended by us. “Processing,” means using cookies on a computer/hand held deviceor using or touching information in any way, including, but not limited to,collecting, storing, deleting, using, combining and disclosing information, allof which activities will take place in the cloud.",422,<choice>,<error>
Contact us,Contact us,100.0,4603,main,"Contact usIf you have any questions regarding privacy whileusing the Application, or have questions about our practices, please contact usvia email atingenioxapps@gmail.com.",173,<contact>,<error>
Extended policy concerning the application of the European GDPR.,"Extended policy concerning the
application of the European GDPR.",95.3125,4782,main,"Extended policy concerning theapplication of the European GDPR.In accordance with the obligations ofthe Regulation (EU) 2016/679 of the European Parliament and of the Councilof 27 April 2016 on the protection of natural persons with regard to theprocessing of personal data and on the free movement of such data, andrepealing Directive 95/46/EC (General Data Protection Regulation) (Text withEEA relevance)",406,<region>,<error>
Data processor,Data processor,100.0,5196,sub,"Data processorIngenioxappsdoes not ownany of the client data stored or processed via the serviceAppyBuilder.comIngenioxappsis notresponsible for the content of the personal data contained in the client dataor other information stored on its servers.At the discretion of the client or user nor isIngenioxappsresponsible for the manner in which theclient or user collects, handles disclosure, distributes or otherwise processessuch information.Contact to access, correct, delete any datainformation:",497,<data processor>,<error>
Data processor,Data processor,100.0,5196,sub,ingenioxapps@gmail.com,22,<data processor>,<error>
Your choices,Your choices,100.0,5732,main,Your choices,12,<choice>,<error>
"Access, Correction, Deletion","Access, Correction, Deletion",100.0,5745,sub,"Access, Correction, DeletionWe respect your privacy rights and provide you withreasonable access to the Personal Data that you may have provided through youruse of the Services.If you wish to access or amend any other PersonalData we hold about you or to request that we delete any information about youthat we have obtained from an Integrated Service, you may contact us.",372,<access>,<error>
At your request we will have any reference to you deleted or blocked in our database.,"At your request we will have any reference to you
deleted or blocked in our database.",98.82352941176471,6124,sub,At your request we will have any reference to youdeleted or blocked in our database.,84,<error>,<error>
