decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Privacy - VweeterHomeAboutContactTermsRulesPrivacyPictureless Privacy PolicyDISPEERDISPEER Terms and ConditionsShooting SharkGame Privacy PolicyVweeter CryptosCryptoWord - Earn BTCapp-adsVweeterMenuVweeter Privacy Policy,220,<error>,<error>
,,-1.0,0,,"This Privacy Policy describes how and when Vweeter collects, uses, and shares your information when you use Vweeter, including our mobile applications and websites (the ""Services""). Vweeter receives your information through our mobile applications, websites, email notifications, and other interactions with our Services. When using any of our Services you consent to the collection, transfer, manipulation, storage, disclosure and other uses of your information as described in this Privacy Policy. Irrespective of which country you reside in or supply information from, you authorize Vweeter to use your information in the United States and any other country where Vweeter operates.",684,<error>,<error>
Information Collection and Use,Information Collection and Use,100.0,923,main,Information Collection and Use,30,<first>,<error>
Creating a Vweeter Account and Profile Information:,Creating a Vweeter Account and Profile Information:,100.0,954,main,Creating a Vweeter Account and Profile Information:,51,<first>,<what>
"When you create a Vweeter account, you must provide access credentials either in the form of an email address and password or by authentication using another service, such as Twitter.","When you create a Vweeter account, you must provide access credentials either in the form of an email address and password or by authentication using another service, such as Twitter.",100.0,1006,sub,"When you create a Vweeter account, you must provide access credentials either in the form of an email address and password or by authentication using another service, such as Twitter. ",184,<error>,<how-gathered>
"You may optionally provide us with additional profile information, including a short bio, location, and profile picture.","You may optionally provide us with additional profile information, including a short bio, location, and profile picture.",100.0,1190,sub,"You may optionally provide us with additional profile information, including a short bio, location, and profile picture. ",121,<error>,<how-gathered>
"If you create your Vweeter account by connecting through another service, we may use public information from that connected account to help complete your Vweeter profile.","If you create your Vweeter account by connecting through another service, we may use public information from that connected account to help complete your Vweeter profile.",100.0,1311,sub,"If you create your Vweeter account by connecting through another service, we may use public information from that connected account to help complete your Vweeter profile. ",171,<error>,<how-gathered>
You may update or modify your profile information and contact information at any time.,You may update or modify your profile information and contact information at any time.,100.0,1482,sub,You may update or modify your profile information and contact information at any time. ,87,<choice>,<how-gathered>
"Profile information is available publicly on our Services, such as on your profile page.","Profile information is available publicly on our Services, such as on your profile page.",100.0,1569,sub,"Profile information is available publicly on our Services, such as on your profile page.",88,<retention>,<how-gathered>
Contact Information:,Contact Information:,100.0,1658,main,Contact Information:,20,<first>,<what>
"In addition to using your contact information to create your account, we may use this information to send you information about our Services, respond to your requests and facilitate your use of the Services.","In addition to using your contact information to create your account, we may use this information to send you information about our Services, respond to your requests and facilitate your use of the Services.",100.0,1679,sub,"In addition to using your contact information to create your account, we may use this information to send you information about our Services, respond to your requests and facilitate your use of the Services. ",208,<error>,<error>
"We may use the contact information (such as your phone number or email address) to help connect you with other Vweeter users, even if that information is not publicly displayed.","We may use the contact information (such as your phone number or email address) to help connect you with other Vweeter users, even if that information is not publicly displayed.",100.0,1887,sub,"We may use the contact information (such as your phone number or email address) to help connect you with other Vweeter users, even if that information is not publicly displayed. ",178,<error>,<how-gathered>
Some contact information may be required in order to use certain Services.,Some contact information may be required in order to use certain Services.,100.0,2065,sub,"Some contact information may be required in order to use certain Services. For example, you must have a verified phone number attached to your account in order to send a Vweeter Message to someone who does not follow you.",221,<error>,<how-gathered>
Social Accounts:,Social Accounts:,100.0,2287,main,Social Accounts:,16,<first>,<what>
"Any Vweeter apps that has the option of login via social accounts (e.g. Facebook, Twitter) is used for saving game status or app status.","Any Vweeter apps that has the option of login via social accounts (e.g. Facebook, Twitter) is used for saving game status or app status.",100.0,2304,sub,"Any Vweeter apps that has the option of login via social accounts (e.g. Facebook, Twitter) is used for saving game status or app status.  ",138,<error>,<error>
"For games, username might be shared with 3rd party platform for match making purposes.","For games, username might be shared with 3rd party platform for match making purposes.",100.0,2442,sub,"For games, username might be shared with 3rd party platform for match making purposes.",86,<third>,<error>
Phone Number and SMS and SMS Log:,Phone Number and SMS and SMS Log:,100.0,2529,main,Phone Number and SMS and SMS Log:,33,<first>,<what>
Phone numbers might be verified via SMS verification if you choose to login by phone number.,Phone numbers might be verified via SMS verification if you choose to login by phone number.,100.0,2563,sub,Phone numbers might be verified via SMS verification if you choose to login by phone number.  ,94,<error>,<how-gathered>
Our app might read your SMS only for the purpose of phone number verification by reading the SMS verification code.,Our app might read your SMS only for the purpose of phone number verification by reading the SMS verification code.,100.0,2657,sub,Our app might read your SMS only for the purpose of phone number verification by reading the SMS verification code. ,116,<error>,<how-gathered>
SMS Log might be uploaded also for user verification purpose only.,SMS Log might be uploaded also for user verification purpose only.,100.0,2773,sub,SMS Log might be uploaded also for user verification purpose only.,66,<error>,<how-gathered>
Finding Friends and Connecting to Other Services:,Finding Friends and Connecting to Other Services:,100.0,2840,main,Finding Friends and Connecting to Other Services:,49,<first>,<what>
Our Services include several features to help connect you to the accounts of people you already know.,Our Services include several features to help connect you to the accounts of people you already know.,100.0,2890,sub,"Our Services include several features to help connect you to the accounts of people you already know. For example, ",115,<audience>,<how-gathered>
You may upload information from your address book or connect your Vweeter account to your account on another service such as Twitter.,you may upload information from your address book or connect your Vweeter account to your account on another service such as Twitter.,100.0,3005,sub,you may upload information from your address book or connect your Vweeter account to your account on another service such as Twitter. ,134,<error>,<how-gathered>
"Vweeter will match the information you provide with the contact information of other Vweeter users in order to provide and improve the Services, for example by making recommendations and routing Vweeter messages.","Vweeter will match the information you provide with the contact information of other Vweeter users in order to provide and improve the Services, for example by making recommendations and routing Vweeter messages.",100.0,3139,sub,"Vweeter will match the information you provide with the contact information of other Vweeter users in order to provide and improve the Services, for example by making recommendations and routing Vweeter messages. You may remove address book data from Vweeter at any time through the settings in your Vweeter app. When you connect your Vweeter account to other services, you are able to post your Content to those services as well. You may disconnect your Vweeter account from your account on the other services at any time. Disconnecting your Vweeter account will immediately revoke our authorization to cross-post on your behalf or otherwise access that account and we will delete information obtained from that connection (other than information that was publicly posted on Vweeter, such as profile information), which may take some time.",840,<error>,<how-gathered>
"Content, Following, and other Public Information:","Content, Following, and other Public Information:",100.0,3980,main,"Content, Following, and other Public Information:",49,<first>,<what>
"Vweeter is a video sharing platform, so most of the information you provide us is information that you choose to be made public.","Vweeter is a video sharing platform, so most of the information you provide us is information that you choose to be made public.",100.0,4030,sub,"Vweeter is a video sharing platform, so most of the information you provide us is information that you choose to be made public. ",129,<error>,<how-gathered>
