decoder_heading,ident_heading,heading_map_score,heading_map_index,heading_type,heading_content_part,heading_content_part_len,high_level_tag,medium_level_tag
,,-1.0,0,,Our Privacy Policy | CareemServicesGoEatGetPayRidesTaxiBikeCarRentalSchoolRidesFoodDineOutQuikSupermarketsDeliveryHomeCleaningLaundryWellnessTicketsPharmacyFlowersPayDonationsPartnersCorporate packagesRestaurant deliveryB2B deliveryPay merchant solutionsCareem PlusAbout usAbout usOur social impactEngineering at CareemCareersExplore open rolesBlogDownload the appEffective Date: January 2023,392,<error>,<error>
,,-1.0,0,,"This Privacy Notice explains how Careem Networks FZ LLC and/or its Affiliates (collectively â€œCareemâ€, â€œweâ€ or â€œusâ€) collects and uses Personal Data. The Notice applies to all users of Careemâ€™s mobile applications, websites, call-centre or technology (collectively, the â€œCareem Platformâ€), users of any other products and services we provide, and when users interact or communicate with us (all collectively, the â€œServicesâ€). Our Privacy practices relating to Hala Users in the United Arab Emirates, Guest Users and Visitors are detailed in Sections 11 to 14.",580,<error>,<error>
,,-1.0,0,,"By accessing or using the Services, you confirm that you have read this Privacy Notice in full and understand that information collected by Careem in accordance with this Privacy Notice may be used in accordance with Applicable Laws, this Privacy Notice and our End User or Captain Terms of Use.",295,<error>,<error>
,,-1.0,0,,"Unless stated otherwise, Careem Networks FZ LLC (3903, Shatha Tower, Dubai Media City, Dubai, United Arab Emirates) is the data controller for the Personal Data collected in connection with the use of Careemâ€™s Services.",221,<error>,<error>
1. Scope and Application,1. Scope and Application,100.0,1530,main,1. Scope and Application,24,<generic>,<error>
2. Collection of Information,2. Collection of Information,100.0,1555,main,2. Collection of Information3. Use of Personal Data4. Sharing of Personal Data5. Automated decision taking6. International Transfer of Personal Data7. Storage of Personal Data8. Your Choices9. Security Precautions10. Cookies11. Special Notice to Hala users in the United Arab Emirates12. Guest Users13. Suppliers14. Visitors15. Changes to this Privacy Notice16. Contact Us1. Scope and Application,396,<generic>,<error>
2. Collection of Information,2. Collection of Information,100.0,1555,main,"This Privacy Notice applies to all individuals anywhere in the world who access or use our Services. It specifically applies to:Bike Users:individuals that book a trip on a Careem BIKE.Captains:individuals that provide (or submit the application to provide) transportation of people or goods, whether individually or through partner transportation companies.Delivery Recipients:individuals that purchase or receive a Product sold by a Merchant Partner, including via Careem Food and Shops.Express Users:",503,<generic>,<error>
2. Collection of Information,2. Collection of Information,100.0,1555,main,"companies that rely on Careem Express solutions for the delivery of goods sold through platforms other than the Careem Platform.OA Users:individuals that request the pick up or receive products, other than Express Users.PAY Users:individuals that make use of PAY services such as, sending or receiving money through Careem PAY (including to purchase goods and services from E-Commerce Partners) and paying for utility bills.Riders",430,<generic>,<error>
2. Collection of Information,2. Collection of Information,100.0,1555,main,": individuals that request or receive transportation, including those that receive transportation requested by another individual.Super App Users: individuals that purchase services from a Merchant Partner through the Careem Platform, such as home cleaning services.(each referred to in this Privacy Notice as â€œyouâ€ or ""Data Subject""as the context requires).Across this Notice, we will be using some important definitions:Affiliates",436,<generic>,<error>
2. Collection of Information,2. Collection of Information,100.0,1555,main,"means: (i) any entity where Careem Networks FZ LLC, directly or indirectly, through one or more intermediaries, holds at least 25% of the equity or 25% of the voting rights; and (ii) any subsidiary or affiliate of such entity in (i). It also includes our legal representatives, administrators, successors-in-interest and permitted assigns.Applicable Law",353,<generic>,<error>
